RT,CCS,m/z,RT_1,CCS_1,m/z_1,RT_2,CCS_2,m/z_2,RT_3,CCS_3,m/z_3,RT_4,CCS_4,m/z_4,RT_5,CCS_5,m/z_5,RT_6,CCS_6,m/z_6
3.899,199.02,352.3571,3.766692587610261,197.5399181,352.3539039063783,4.023732308583417,200.59418068703056,352.36027831550103,4.104106652831243,196.5442975786653,352.3547064356074,3.8882006313517548,200.0178748344285,352.3548310034789,3.7681072174826973,198.96098802323624,352.3598457517561,3.7681072174826973,209.96098802323624,352.4598457517561
1.96,149.57,352.8601,2.044663718465799,148.2540336,352.8580755421248,2.160123480625769,151.53203696277222,352.85829791706186,2.080990571644077,147.52386035652447,352.85795300638966,2.122336064478195,152.32780765021022,352.86176772771245,1.7367861560742743,147.2928442393181,352.8617496843534,1.7367861560742743,147.2928442393181,352.8617496843534
0.939,149.42,352.8606,0.975390627,146.8633907898924,352.8641175907236,1.1094713957283089,150.88889740088246,352.85857153266966,1.1045144807998613,151.90181025517194,352.85868427342916,0.8588895250191102,150.4421440745661,352.8584027332806,1.1297910111704492,152.09027916933186,352.8595104302261,1.1297910111704492,152.09027916933186,352.8595104302261
1.574,149.66,352.8615,1.3635913933350279,147.91684504499213,352.8616555420748,1.7857265144061465,148.43225580998492,352.8588061061772,1.703114747117638,152.4356981,352.8637679912625,1.352873512993443,149.05655292963715,352.8583507229551,1.6735449907839812,146.86437464591333,352.8585535203306,1.6735449907839812,146.86437464591333,352.8585535203306
1.768,165.59,352.9425,1.8234195053165825,167.14662272603076,352.9413640814549,1.940138164736905,163.8476391229122,352.94122997178107,1.9180714882449181,166.46947248524754,352.9448844822222,1.7093158455924202,165.19201776307963,352.9428084547182,1.5884292680762104,165.27188005575348,352.9396821817883,1.5884292680762104,165.27188005575348,352.9396821817883
2.029,165.19,352.9434,2.1357315410901916,162.15872200464597,352.9467361654147,2.007879535112687,166.73725606460667,352.9434307532031,1.895471495144527,163.28187383790763,352.94334959630817,1.9172045538946805,162.48797230264697,352.9431820926392,1.9179495808819702,162.43281688867754,352.9443752879508,1.9179495808819702,162.43281688867754,352.9443752879508
1.231,165.24,352.9445,1.176259951604938,167.83850506637336,352.94691653842756,1.426080130786683,162.03752947624372,352.94527208691073,1.4174968393848169,165.33226942437332,352.9416765598793,1.3541635246525852,167.06758686320197,352.94275211182105,1.136067316019427,165.5715573700068,352.9456972769905,1.136067316019427,165.5715573700068,352.9456972769905
0.909,165.55,352.9445,1.1260542559059488,164.07566714628544,352.9480262,0.9114193452084782,163.33767455527192,352.9416937116924,0.7593045211837228,167.21947412393123,352.9472761948266,0.7368542270288322,164.93456982348513,352.94189470227883,0.8350698352251891,166.69715403863103,352.9446520004964,0.8350698352251891,166.69715403863103,352.9446520004964
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
