Row,m/z,CCS,RT
19,147.0428,128.03,1.017
19,147.0429,126.33,1.205
19,147.0428,129.65,1.204
19,147.0443,130.31,0.897
19,147.0432,129.56,0.953
19,147.0414,126.75,0.838
19,147.0441,126.26,1.066
19,147.043,126.02,1.084
19,147.0438,128.79,1.25
19,147.0423,128.81,0.955
19,147.0426,130.44,1.235
19,147.0431,127.38000000000001,1.21
19,147.0434,127.58,1.179
19,147.0431,129.75,1.172
19,147.044,125.53,1.206
19,147.0429,128.14,1.22
19,147.0424,127.25,1.136
19,147.0435,128.03,1.054
19,147.0436,127.81999999999998,0.971
19,147.0426,128.96,0.872
19,147.0439,127.44,0.911
19,147.0414,129.7,0.9
19,147.0425,130.49,0.875
19,147.0436,125.84,0.875
19,147.0423,127.06999999999998,1.184
19,147.0429,130.35,1.256
19,147.0443,127.56999999999998,1.101
19,147.0434,128.86,0.882
19,147.0418,126.8,1.211
19,147.0417,125.77,1.085
19,147.0421,127.04,0.98
19,147.0426,126.89,1.007
19,147.0435,129.31,1.223
19,147.0414,127.56999999999998,1.221
19,147.0416,126.48,0.925
19,147.0418,128.1,0.976
19,147.0417,126.61,1.062
19,147.042,127.68,0.795
19,147.0424,129.58,1.035
19,147.0427,126.12,0.942
19,147.0433,126.26,0.962
19,147.0442,129.01,1.082
19,147.0429,127.48,0.826
19,147.0436,126.46000000000001,1.016
19,147.0422,126.9,0.849
19,147.043,128.71,1.164
19,147.0431,130.01,1.239
19,147.0424,129.94,1.111
19,147.0424,127.75,1.007
19,147.0442,130.35,0.818
19,147.0438,130.58,1.084
19,147.0433,128.87,1.164
19,147.0439,130.11,1.19
19,147.0433,129.34,1.004
19,147.044,126.29,0.849
19,147.0441,130.31,0.899
19,147.0413,126.4,1.181
19,147.0415,125.84,1.199
19,147.0422,125.86,0.99
19,147.0427,128.7,0.995
19,147.0438,126.01,0.787
19,147.0415,128.53,1.205
19,147.0439,126.58,1.13
19,147.0433,126.83,1.253
19,147.0434,128.51,0.885
19,147.0439,129.71,0.942
19,147.0419,128.26,0.955
19,147.0429,129.22,1.027
19,147.0416,129.71,0.823
19,147.0415,129.76,1.201
19,147.0428,128.54,1.119
19,147.0413,129.64,1.18
19,147.0437,129.57,0.951
19,147.0417,128.27,0.923
19,147.0434,125.8,0.981
19,147.0423,130.5,0.881
19,147.0434,128.71,0.84
19,147.0428,129.98,1.147
19,147.0434,129.97,1.036
19,147.0434,128.25,0.893
19,147.0423,130.24,1.04
19,147.0442,125.93,0.891
19,147.043,126.56999999999998,1.015
19,147.0437,127.38000000000001,0.859
19,147.0436,129.42,1.125
19,147.0439,126.08,1.191
19,147.0434,126.97,1.025
19,147.0421,127.13000000000001,0.853
19,147.0424,127.64,1.142
19,147.0438,127.55,0.93
19,147.0417,125.98,1.107
19,147.042,129.02,1.205
19,147.044,126.91,0.947
19,147.0433,129.94,1.051
19,147.0433,129.29,1.046
19,147.0423,130.36,1.088
19,147.0437,129.27,1.071
19,147.0434,130.03,0.869
19,147.0423,130.15,1.032
19,147.0417,126.87,0.848
19,147.0428,129.47,1.056
6,146.981,211.42000000000002,1.876
6,146.9822,209.47,2.125
6,146.9822,213.4,1.671
6,146.9796,207.76,1.782
6,146.981,214.64000000000001,1.758
6,146.9808,208.11,1.963
6,146.9804,208.18,1.991
6,146.9817,207.69,1.802
6,146.9819,210.27,1.692
6,146.9805,213.53,1.788
6,146.9805,209.13,1.89
6,146.9817,207.36,1.823
6,146.9822,213.99,1.721
6,146.9798,214.77,1.682
6,146.9802,211.95000000000002,1.89
6,146.9813,213.05,1.77
6,146.9805,212.18,2.049
6,146.9814,210.31,1.824
6,146.9812,213.98000000000002,2.0
6,146.982,214.91,1.722
6,146.9813,207.42000000000002,2.079
6,146.9821,213.84,1.844
6,146.9815,209.3,1.774
6,146.9803,212.22,1.828
6,146.9797,207.3,1.966
6,146.982,210.43,1.708
6,146.9818,207.61,2.05
6,146.9818,211.54,1.714
6,146.9817,211.27,2.047
6,146.9816,212.98000000000002,1.646
6,146.9818,207.54,2.091
6,146.9796,214.67000000000002,2.006
6,146.9807,209.9,1.979
6,146.9813,211.85,2.114
6,146.9808,207.37,1.71
6,146.9819,207.49,1.777
6,146.9809,212.04,1.898
6,146.9817,212.47,2.027
6,146.9821,214.11,1.795
6,146.9802,214.45000000000002,1.788
6,146.9819,208.22,1.758
6,146.9797,213.14000000000001,1.974
6,146.9807,209.12,2.006
6,146.9822,209.62,1.669
6,146.9808,212.88,1.909
6,146.9819,207.53,1.675
