ID,RT,DT,CCS,m/z,Z,Ions,Freq.,Q Score,Sat.,Mark, 41 B1 218.d.DeMP
1,3.636,23.146,175.56,279.2329,-1,5,33,100,x,FALSE,343860.53506482847
2,4.01,23.181,175.77,281.2488,-1,5,24,100,x,FALSE,429736.999
4,3.565,24.177,182.74,303.233,-1,5,27,100,x,FALSE,414519.80327599734
5,3.439,22.002,167.64,253.2172,-1,5,33,100,x,FALSE,245702.10845626122
6,4.437,23.395,177.34,283.264,-1,5,30,100,x,FALSE,88085.43073992745
7,3.316,29.162,217.07,480.3117,-1,5,25,100,x,FALSE,391679.22233333334
8,0.41,17.632,136.59,187.0067,-1,6,28,100,x,FALSE,377608.3517170491
9,2.817,28.177,210.08,452.2804,-1,5,23,100,x,FALSE,370666.999
10,2.785,29.144,216.69,500.281,-1,4,27,100,x,FALSE,332434.2976005702
11,3.279,23.15,175.66,277.2165,-1,4,20,100,x,FALSE,413930.06171632436
13,4.25,39.87,293.32,861.5556,-1,6,19,100,x,FALSE,402178.999
14,3.097,29.241,217.66,480.3114,-1,5,22,100,x,FALSE,329728.6279543693
15,2.955,30.653,228.29,473.2845,-1,5,33,100,x,FALSE,29864.956658722076
16,3.595,32.167,239.7,465.3061,-1,6,20,100,x,FALSE,370976.999
17,4.183,40.495,297.8,885.5542,-1,8,17,99.6,x,FALSE,419140.999
18,4.06,38.985,286.95,833.5242,-1,6,19,100,x,FALSE,395504.999
19,2.756,29.769,221.08,524.282,-1,4,23,100,x,FALSE,197909.889
25,2.773,22.87,169.89,505.9743,-1,5,25,100,x,FALSE,229389.62717486868
30,2.946,32.683,242.44,554.3488,-1,5,19,100,x,FALSE,32.11122222222224
31,2.231,22.39,166.37,498.9322,-1,6,14,100,x,FALSE,388032.889
32,4.197,39.042,287.35,835.5408,-1,6,24,100,x,FALSE,279017.999
33,4.081,39.696,292.06,857.5249,-1,8,18,93.7,x,FALSE,375523.999
34,3.406,25.14,189.46,327.2331,-1,5,18,100,x,FALSE,256080.999
37,3.426,23.424,173.93,514.9823,-1,5,22,100,x,FALSE,226582.33344444443
38,2.759,28.309,210.75,476.2824,-1,5,11,100,x,FALSE,318268.999
39,3.356,33.676,249.53,582.3804,-1,5,17,100,x,FALSE,217196.999
41,1.39,26.807,199.89,448.3086,-1,5,21,100,x,FALSE,183535.999
42,4.377,34.11,252.65,593.4813,-1,4,21,100,x,FALSE,215685.45748489272
43,3.285,32.1,238.59,511.4028,-1,5,17,100,x,FALSE,196094.22233333334
45,4.256,33.796,250.31,593.4832,-1,4,18,100,x,FALSE,176827.999
46,2.214,25.937,192.14,572.9909,-1,5,13,100,x,FALSE,263589.999
47,3.012,28.66,213.34,478.2976,-1,2,10,100,x,FALSE,317888.999
52,3.258,20.897,160.1,227.2029,-1,4,10,100,x,FALSE,402754.1112222222
53,3.692,25.238,190.15,329.2485,-1,5,19,100,x,FALSE,213437.74661344077
56,3.741,24.223,183.05,305.2478,-1,4,26,100,x,FALSE,232393.14978005044
57,4.584,34.045,252.14,595.4987,-1,6,13,100,x,FALSE,417370.0125
