Date : 2025-10-09 11:14:26
Directory : f:\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-
Total : 265 files,  18344 codes, 304 comments, 289 blanks, all 18937 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| CSV              |        111 |     16,563 |          0 |         13 |     16,576 |
| Python           |        147 |      1,336 |        304 |        274 |      1,914 |
| Excel            |          1 |        445 |          0 |          2 |        447 |
| pip requirements |          2 |          0 |          0 |          0 |          0 |
| PostCSS          |          2 |          0 |          0 |          0 |          0 |
| JSON             |          2 |          0 |          0 |          0 |          0 |
+------------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                     | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                        |        146 |     48,312 |      1,912 |      1,988 |     52,212 |
| . (Files)                                                                                                                                                                |          2 |         60 |          0 |         13 |         73 |
| PIMMS Validation work                                                                                                                                                    |         34 |      1,883 |          0 |         36 |      1,919 |
| PIMMS Validation work\Comparison test output                                                                                                                             |         14 |      1,259 |          0 |         14 |      1,273 |
| PIMMS Validation work\PIMMS data                                                                                                                                         |         13 |         33 |          0 |         13 |         46 |
| PIMMS Validation work\Skyline comparison data                                                                                                                            |          3 |        514 |          0 |          4 |        518 |
| PIMMS Validation work\Target lists                                                                                                                                       |          4 |         77 |          0 |          5 |         82 |
| PIMMS v1.2                                                                                                                                                               |         97 |     29,974 |      1,859 |      1,861 |     33,694 |
| PIMMS v1.2 (Files)                                                                                                                                                       |          3 |        313 |         43 |         46 |        402 |
| PIMMS v1.2\CEF_reading                                                                                                                                                   |          9 |     14,148 |         64 |         55 |     14,267 |
| PIMMS v1.2\CEF_reading (Files)                                                                                                                                           |          6 |        299 |         64 |         52 |        415 |
| PIMMS v1.2\CEF_reading\testing                                                                                                                                           |          3 |     13,849 |          0 |          3 |     13,852 |
| PIMMS v1.2\GUI                                                                                                                                                           |         15 |      1,260 |        155 |        229 |      1,644 |
| PIMMS v1.2\GUI (Files)                                                                                                                                                   |          3 |         62 |         17 |         18 |         97 |
| PIMMS v1.2\GUI\Tabs                                                                                                                                                      |          7 |        761 |         81 |        124 |        966 |
| PIMMS v1.2\GUI\widgets                                                                                                                                                   |          5 |        437 |         57 |         87 |        581 |
| PIMMS v1.2\IMspector Gadget                                                                                                                                              |         18 |      3,003 |        691 |        731 |      4,425 |
| PIMMS v1.2\IMspector Gadget (Files)                                                                                                                                      |          8 |        661 |        122 |        164 |        947 |
| PIMMS v1.2\IMspector Gadget\assets                                                                                                                                       |          1 |        164 |         35 |         27 |        226 |
| PIMMS v1.2\IMspector Gadget\ccs_v_mz_library_search_modules                                                                                                              |          1 |        337 |         76 |         92 |        505 |
| PIMMS v1.2\IMspector Gadget\ccs_v_mz_modules                                                                                                                             |          4 |        716 |         95 |        157 |        968 |
| PIMMS v1.2\IMspector Gadget\neutral_loss_modules                                                                                                                         |          3 |        771 |        204 |        186 |      1,161 |
| PIMMS v1.2\IMspector Gadget\rt_v_mz_library_search_modules                                                                                                               |          1 |        354 |        159 |        105 |        618 |
| PIMMS v1.2\PIMMS Validation Scripts                                                                                                                                      |          5 |        589 |         86 |        109 |        784 |
| PIMMS v1.2\import folder                                                                                                                                                 |         13 |      7,124 |          0 |         13 |      7,137 |
| PIMMS v1.2\modules                                                                                                                                                       |         33 |      3,537 |        820 |        677 |      5,034 |
| PIMMS v1.2\testing_expanded_library                                                                                                                                      |          1 |          0 |          0 |          1 |          1 |
| c:\                                                                                                                                                                      |        119 |    -29,968 |     -1,608 |     -1,699 |    -33,275 |
| c:\Users                                                                                                                                                                 |        119 |    -29,968 |     -1,608 |     -1,699 |    -33,275 |
| c:\Users\grego                                                                                                                                                           |        119 |    -29,968 |     -1,608 |     -1,699 |    -33,275 |
| c:\Users\grego\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-                                                                                                            |        119 |    -29,968 |     -1,608 |     -1,699 |    -33,275 |
| c:\Users\grego\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS- (Files)                                                                                                    |          2 |        -60 |          0 |        -13 |        -73 |
| c:\Users\grego\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS Validation work                                                                                      |         33 |     -1,438 |          0 |        -34 |     -1,472 |
| c:\Users\grego\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS Validation work\Comparison test output                                                               |         14 |     -1,259 |          0 |        -14 |     -1,273 |
| c:\Users\grego\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS Validation work\PIMMS data                                                                           |         13 |        -33 |          0 |        -13 |        -46 |
| c:\Users\grego\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS Validation work\Skyline comparison data                                                              |          2 |        -69 |          0 |         -2 |        -71 |
| c:\Users\grego\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS Validation work\Target lists                                                                         |          4 |        -77 |          0 |         -5 |        -82 |
| c:\Users\grego\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.2                                                                                                 |         71 |    -12,075 |     -1,555 |     -1,574 |    -15,204 |
| c:\Users\grego\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.2 (Files)                                                                                         |          3 |       -308 |        -45 |        -44 |       -397 |
| c:\Users\grego\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.2\GUI                                                                                             |         13 |     -1,020 |       -131 |       -184 |     -1,335 |
| c:\Users\grego\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.2\GUI (Files)                                                                                     |          3 |        -60 |        -16 |        -19 |        -95 |
| c:\Users\grego\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.2\GUI\Tabs                                                                                        |          6 |       -607 |        -72 |        -98 |       -777 |
| c:\Users\grego\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.2\GUI\widgets                                                                                     |          4 |       -353 |        -43 |        -67 |       -463 |
| c:\Users\grego\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.2\IMspector Gadget                                                                                |         18 |     -3,003 |       -691 |       -731 |     -4,425 |
| c:\Users\grego\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.2\IMspector Gadget (Files)                                                                        |          8 |       -661 |       -122 |       -164 |       -947 |
| c:\Users\grego\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.2\IMspector Gadget\assets                                                                         |          1 |       -164 |        -35 |        -27 |       -226 |
| c:\Users\grego\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.2\IMspector Gadget\ccs_v_mz_library_search_modules                                                |          1 |       -337 |        -76 |        -92 |       -505 |
| c:\Users\grego\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.2\IMspector Gadget\ccs_v_mz_modules                                                               |          4 |       -716 |        -95 |       -157 |       -968 |
| c:\Users\grego\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.2\IMspector Gadget\neutral_loss_modules                                                           |          3 |       -771 |       -204 |       -186 |     -1,161 |
| c:\Users\grego\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.2\IMspector Gadget\rt_v_mz_library_search_modules                                                 |          1 |       -354 |       -159 |       -105 |       -618 |
| c:\Users\grego\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.2\PIMMS Validation Scripts                                                                        |          5 |       -589 |        -86 |       -109 |       -784 |
| c:\Users\grego\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.2\import folder                                                                                   |          9 |     -5,511 |          0 |         -9 |     -5,520 |
| c:\Users\grego\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.2\modules                                                                                         |         22 |     -1,644 |       -602 |       -496 |     -2,742 |
| c:\Users\grego\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.2\testing_expanded_library                                                                        |          1 |          0 |          0 |         -1 |         -1 |
| c:\Users\grego\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\figures                                                                                                    |         13 |    -16,395 |        -53 |        -78 |    -16,526 |
| figures                                                                                                                                                                  |         13 |     16,395 |         53 |         78 |     16,526 |
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                                                                                                                                 | language         | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| c:\Users\grego\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS Validation work\Comparison test output\All analytes comparison master.csv                            | CSV              |       -241 |          0 |         -1 |       -242 |
| c:\Users\grego\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS Validation work\Comparison test output\COM (no halogens).csv                                         | CSV              |       -241 |          0 |         -1 |       -242 |
| c:\Users\grego\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS Validation work\Comparison test output\Report single ion features.csv                                | CSV              |       -241 |          0 |         -1 |       -242 |
| c:\Users\grego\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS Validation work\Comparison test output\after smearing filter detection native analytes only test.csv | CSV              |         -6 |          0 |         -1 |         -7 |
| c:\Users\grego\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS Validation work\Comparison test output\after_blank_subtraction.csv                                   | CSV              |         -6 |          0 |         -1 |         -7 |
| c:\Users\grego\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS Validation work\Comparison test output\after_branching_filter.csv                                    | CSV              |         -6 |          0 |         -1 |         -7 |
| c:\Users\grego\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS Validation work\Comparison test output\after_detection_frequency_filter.csv                          | CSV              |         -6 |          0 |         -1 |         -7 |
| c:\Users\grego\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS Validation work\Comparison test output\after_fluorinated_density_filter.csv                          | CSV              |         -6 |          0 |         -1 |         -7 |
| c:\Users\grego\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS Validation work\Comparison test output\after_mass_defect_filter.csv                                  | CSV              |         -6 |          0 |         -1 |         -7 |
| c:\Users\grego\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS Validation work\Comparison test output\after_monoisotopic_filter.csv                                 | CSV              |         -6 |          0 |         -1 |         -7 |
| c:\Users\grego\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS Validation work\Comparison test output\after_smearing_filter.csv                                     | CSV              |         -6 |          0 |         -1 |         -7 |
| c:\Users\grego\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS Validation work\Comparison test output\after_standards_removal.csv                                   | CSV              |         -6 |          0 |         -1 |         -7 |
| c:\Users\grego\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS Validation work\Comparison test output\common organic molecules all features.csv                     | CSV              |       -241 |          0 |         -1 |       -242 |
| c:\Users\grego\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS Validation work\Comparison test output\unbiased all analytes.csv                                     | CSV              |       -241 |          0 |         -1 |       -242 |
| c:\Users\grego\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS Validation work\PIMMS data\after_adduct_filter.csv                                                   | CSV              |         -2 |          0 |         -1 |         -3 |
| c:\Users\grego\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS Validation work\PIMMS data\after_blank_subtraction.csv                                               | CSV              |         -3 |          0 |         -1 |         -4 |
| c:\Users\grego\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS Validation work\PIMMS data\after_branching_filter.csv                                                | CSV              |         -3 |          0 |         -1 |         -4 |
| c:\Users\grego\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS Validation work\PIMMS data\after_detection_frequency_filter.csv                                      | CSV              |         -3 |          0 |         -1 |         -4 |
| c:\Users\grego\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS Validation work\PIMMS data\after_fluorinated_density_filter.csv                                      | CSV              |         -3 |          0 |         -1 |         -4 |
| c:\Users\grego\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS Validation work\PIMMS data\after_mass_defect_filter.csv                                              | CSV              |         -3 |          0 |         -1 |         -4 |
| c:\Users\grego\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS Validation work\PIMMS data\after_monoisotopic_filter.csv                                             | CSV              |         -3 |          0 |         -1 |         -4 |
| c:\Users\grego\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS Validation work\PIMMS data\after_neutral_loss_filter.csv                                             | CSV              |         -2 |          0 |         -1 |         -3 |
| c:\Users\grego\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS Validation work\PIMMS data\after_post_source_decay_filter.csv                                        | CSV              |         -2 |          0 |         -1 |         -3 |
| c:\Users\grego\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS Validation work\PIMMS data\after_regression_analysis_filter.csv                                      | CSV              |         -2 |          0 |         -1 |         -3 |
| c:\Users\grego\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS Validation work\PIMMS data\after_single_chromatography_filter.csv                                    | CSV              |         -2 |          0 |         -1 |         -3 |
| c:\Users\grego\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS Validation work\PIMMS data\after_smearing_filter.csv                                                 | CSV              |         -3 |          0 |         -1 |         -4 |
| c:\Users\grego\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS Validation work\PIMMS data\after_standards_removal.csv                                               | CSV              |         -2 |          0 |         -1 |         -3 |
