Date : 2025-03-04 16:45:08
Directory : c:\Users\Baker Lab 5\Desktop\GPK\PIMMS\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-
Total : 90 files,  40445 codes, 1029 comments, 2115 blanks, all 43589 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| CSV              |         18 |     31,720 |          0 |         18 |     31,738 |
| Python           |         65 |      8,481 |        982 |      2,051 |     11,514 |
| CSS              |          1 |        164 |         35 |         27 |        226 |
| QSS              |          1 |         21 |          0 |          3 |         24 |
| Docker           |          1 |         20 |          7 |          7 |         34 |
| Markdown         |          1 |         15 |          0 |          5 |         20 |
| pip requirements |          1 |         12 |          0 |          0 |         12 |
| Shell Script     |          1 |         11 |          5 |          4 |         20 |
| JSON             |          1 |          1 |          0 |          0 |          1 |
+------------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                                          | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                                             |         90 |     40,445 |      1,029 |      2,115 |     43,589 |
| . (Files)                                                                                                                                                                                     |         13 |      1,398 |         20 |         36 |      1,454 |
| PIMMS v1.1 files                                                                                                                                                                              |          9 |      1,156 |        196 |        286 |      1,638 |
| PIMMS v1.1 files\PIMMS v1.1.0                                                                                                                                                                 |          8 |      1,077 |        189 |        272 |      1,538 |
| PIMMS v1.1 files\PIMMS v1.2                                                                                                                                                                   |          1 |         79 |          7 |         14 |        100 |
| PIMMS v1.2                                                                                                                                                                                    |         51 |     36,232 |        624 |      1,406 |     38,262 |
| PIMMS v1.2 (Files)                                                                                                                                                                            |          2 |        587 |         86 |        116 |        789 |
| PIMMS v1.2\Data_output                                                                                                                                                                        |          3 |     25,847 |          0 |          3 |     25,850 |
| PIMMS v1.2\Figures                                                                                                                                                                            |          1 |         73 |          9 |         11 |         93 |
| PIMMS v1.2\IMspector Gadget                                                                                                                                                                   |         18 |      3,275 |        355 |        768 |      4,398 |
| PIMMS v1.2\IMspector Gadget (Files)                                                                                                                                                           |          8 |        709 |         81 |        171 |        961 |
| PIMMS v1.2\IMspector Gadget\assets                                                                                                                                                            |          1 |        164 |         35 |         27 |        226 |
| PIMMS v1.2\IMspector Gadget\ccs_v_mz_library_search_modules                                                                                                                                   |          1 |        356 |         54 |         95 |        505 |
| PIMMS v1.2\IMspector Gadget\ccs_v_mz_modules                                                                                                                                                  |          4 |        803 |         69 |        163 |      1,035 |
| PIMMS v1.2\IMspector Gadget\neutral_loss_modules                                                                                                                                              |          3 |        807 |         57 |        189 |      1,053 |
