Date : 2025-04-17 09:41:49
Directory : f:\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-
Total : 246 files,  74009 codes, 294 comments, 671 blanks, all 74974 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| CSV              |         81 |     70,852 |          0 |         46 |     70,898 |
| Python           |        149 |      2,664 |        294 |        623 |      3,581 |
| Excel            |          2 |        488 |          0 |          2 |        490 |
| pip requirements |          2 |          5 |          0 |          0 |          5 |
| Shell Script     |          2 |          0 |          0 |          0 |          0 |
| Markdown         |          2 |          0 |          0 |          0 |          0 |
| CSS              |          2 |          0 |          0 |          0 |          0 |
| QSS              |          2 |          0 |          0 |          0 |          0 |
| Docker           |          2 |          0 |          0 |          0 |          0 |
| JSON             |          2 |          0 |          0 |          0 |          0 |
+------------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                                          | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                                             |        156 |    114,454 |      1,323 |      2,786 |    118,563 |
| . (Files)                                                                                                                                                                                     |          7 |        237 |         20 |         30 |        287 |
| PIMMS Validation work                                                                                                                                                                         |         43 |     70,309 |          0 |         45 |     70,354 |
| PIMMS Validation work\Comparison test output                                                                                                                                                  |         14 |      1,259 |          0 |         14 |      1,273 |
| PIMMS Validation work\PIMMS data                                                                                                                                                              |         22 |     68,459 |          0 |         22 |     68,481 |
| PIMMS Validation work\Skyline comparison data                                                                                                                                                 |          3 |        514 |          0 |          4 |        518 |
| PIMMS Validation work\Target lists                                                                                                                                                            |          4 |         77 |          0 |          5 |         82 |
| PIMMS v1.1 files                                                                                                                                                                              |          9 |      1,156 |        196 |        286 |      1,638 |
| PIMMS v1.1 files\PIMMS v1.1.0                                                                                                                                                                 |          8 |      1,077 |        189 |        272 |      1,538 |
| PIMMS v1.1 files\PIMMS v1.2                                                                                                                                                                   |          1 |         79 |          7 |         14 |        100 |
| PIMMS v1.2                                                                                                                                                                                    |         80 |     41,093 |        918 |      2,038 |     44,049 |
| PIMMS v1.2 (Files)                                                                                                                                                                            |          2 |        699 |         87 |        126 |        912 |
| PIMMS v1.2\CCSRT v mz predictions                                                                                                                                                             |          6 |        918 |        135 |        191 |      1,244 |
| PIMMS v1.2\CEF_reading                                                                                                                                                                        |          6 |     14,240 |         12 |        113 |     14,365 |
| PIMMS v1.2\CEF_reading (Files)                                                                                                                                                                |          3 |        391 |         12 |        110 |        513 |
| PIMMS v1.2\CEF_reading\testing                                                                                                                                                                |          3 |     13,849 |          0 |          3 |     13,852 |
| PIMMS v1.2\Data_output                                                                                                                                                                        |          8 |     15,613 |          0 |          8 |     15,621 |
| PIMMS v1.2\Figures                                                                                                                                                                            |          1 |        106 |          9 |         10 |        125 |
| PIMMS v1.2\IMspector Gadget                                                                                                                                                                   |         18 |      3,282 |        360 |        782 |      4,424 |
| PIMMS v1.2\IMspector Gadget (Files)                                                                                                                                                           |          8 |        696 |         81 |        169 |        946 |
| PIMMS v1.2\IMspector Gadget\assets                                                                                                                                                            |          1 |        164 |         35 |         27 |        226 |
| PIMMS v1.2\IMspector Gadget\ccs_v_mz_library_search_modules                                                                                                                                   |          1 |        356 |         54 |         95 |        505 |
| PIMMS v1.2\IMspector Gadget\ccs_v_mz_modules                                                                                                                                                  |          4 |        745 |         64 |        159 |        968 |
| PIMMS v1.2\IMspector Gadget\neutral_loss_modules                                                                                                                                              |          3 |        885 |         67 |        209 |      1,161 |
| PIMMS v1.2\IMspector Gadget\rt_v_mz_library_search_modules                                                                                                                                    |          1 |        436 |         59 |        123 |        618 |
| PIMMS v1.2\OpenMS                                                                                                                                                                             |          3 |        189 |         18 |         42 |        249 |
| PIMMS v1.2\PIMMS Validation Scripts                                                                                                                                                           |          5 |        589 |         86 |        109 |        784 |
| PIMMS v1.2\import folder                                                                                                                                                                      |          6 |      2,912 |          0 |          5 |      2,917 |
| PIMMS v1.2\import folder (Files)                                                                                                                                                              |          5 |      2,792 |          0 |          4 |      2,796 |
| PIMMS v1.2\import folder\Standards Library                                                                                                                                                    |          1 |        120 |          0 |          1 |        121 |
| PIMMS v1.2\imported_libraries                                                                                                                                                                 |          1 |        120 |          0 |          1 |        121 |
| PIMMS v1.2\modules                                                                                                                                                                            |         19 |      2,236 |        187 |        595 |      3,018 |
| PIMMS v1.2\neutral_loss_scanning                                                                                                                                                              |          1 |         50 |          2 |         22 |         74 |
| PIMMS v1.2\number_of_fluorines_prediction                                                                                                                                                     |          1 |         97 |         15 |         20 |        132 |
| PIMMS v1.2\tests                                                                                                                                                                              |          3 |         42 |          7 |         14 |         63 |
| PIMMS v1.2\tests (Files)                                                                                                                                                                      |          2 |         42 |          7 |         13 |         62 |
| PIMMS v1.2\tests\__pycache__                                                                                                                                                                  |          1 |          0 |          0 |          1 |          1 |
| PIMMS v1.3                                                                                                                                                                                    |         16 |      1,644 |        189 |        382 |      2,215 |
| PIMMS v1.3\Development Scripts                                                                                                                                                                |          1 |        217 |         35 |         50 |        302 |
| PIMMS v1.3\Development Scripts\Peak Alignment                                                                                                                                                 |          1 |        217 |         35 |         50 |        302 |
| PIMMS v1.3\Isotopic_modeling                                                                                                                                                                  |          4 |        305 |         48 |         84 |        437 |
| PIMMS v1.3\Isotopic_modeling\Modules                                                                                                                                                          |          4 |        305 |         48 |         84 |        437 |
| PIMMS v1.3\modules                                                                                                                                                                            |         10 |      1,101 |        106 |        245 |      1,452 |
| PIMMS v1.3\styles                                                                                                                                                                             |          1 |         21 |          0 |          3 |         24 |
| Project organization                                                                                                                                                                          |          1 |         15 |          0 |          5 |         20 |
| c:\                                                                                                                                                                                           |         90 |    -40,445 |     -1,029 |     -2,115 |    -43,589 |
| c:\Users                                                                                                                                                                                      |         90 |    -40,445 |     -1,029 |     -2,115 |    -43,589 |
| c:\Users\Baker Lab 5                                                                                                                                                                          |         90 |    -40,445 |     -1,029 |     -2,115 |    -43,589 |
| c:\Users\Baker Lab 5\Desktop                                                                                                                                                                  |         90 |    -40,445 |     -1,029 |     -2,115 |    -43,589 |
| c:\Users\Baker Lab 5\Desktop\GPK                                                                                                                                                              |         90 |    -40,445 |     -1,029 |     -2,115 |    -43,589 |
| c:\Users\Baker Lab 5\Desktop\GPK\PIMMS                                                                                                                                                        |         90 |    -40,445 |     -1,029 |     -2,115 |    -43,589 |
| c:\Users\Baker Lab 5\Desktop\GPK\PIMMS\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-                                                                                                         |         90 |    -40,445 |     -1,029 |     -2,115 |    -43,589 |
| c:\Users\Baker Lab 5\Desktop\GPK\PIMMS\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS- (Files)                                                                                                 |         13 |     -1,398 |        -20 |        -36 |     -1,454 |
| c:\Users\Baker Lab 5\Desktop\GPK\PIMMS\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.1 files                                                                                        |          9 |     -1,156 |       -196 |       -286 |     -1,638 |
| c:\Users\Baker Lab 5\Desktop\GPK\PIMMS\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.1 files\PIMMS v1.1.0                                                                           |          8 |     -1,077 |       -189 |       -272 |     -1,538 |
| c:\Users\Baker Lab 5\Desktop\GPK\PIMMS\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.1 files\PIMMS v1.2                                                                             |          1 |        -79 |         -7 |        -14 |       -100 |
| c:\Users\Baker Lab 5\Desktop\GPK\PIMMS\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.2                                                                                              |         51 |    -36,232 |       -624 |     -1,406 |    -38,262 |
| c:\Users\Baker Lab 5\Desktop\GPK\PIMMS\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.2 (Files)                                                                                      |          2 |       -587 |        -86 |       -116 |       -789 |
| c:\Users\Baker Lab 5\Desktop\GPK\PIMMS\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.2\Data_output                                                                                  |          3 |    -25,847 |          0 |         -3 |    -25,850 |
| c:\Users\Baker Lab 5\Desktop\GPK\PIMMS\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.2\Figures                                                                                      |          1 |        -73 |         -9 |        -11 |        -93 |
| c:\Users\Baker Lab 5\Desktop\GPK\PIMMS\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.2\IMspector Gadget                                                                             |         18 |     -3,275 |       -355 |       -768 |     -4,398 |
| c:\Users\Baker Lab 5\Desktop\GPK\PIMMS\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.2\IMspector Gadget (Files)                                                                     |          8 |       -709 |        -81 |       -171 |       -961 |
| c:\Users\Baker Lab 5\Desktop\GPK\PIMMS\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.2\IMspector Gadget\assets                                                                      |          1 |       -164 |        -35 |        -27 |       -226 |
| c:\Users\Baker Lab 5\Desktop\GPK\PIMMS\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.2\IMspector Gadget\ccs_v_mz_library_search_modules                                             |          1 |       -356 |        -54 |        -95 |       -505 |
| c:\Users\Baker Lab 5\Desktop\GPK\PIMMS\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.2\IMspector Gadget\ccs_v_mz_modules                                                            |          4 |       -803 |        -69 |       -163 |     -1,035 |
| c:\Users\Baker Lab 5\Desktop\GPK\PIMMS\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.2\IMspector Gadget\neutral_loss_modules                                                        |          3 |       -807 |        -57 |       -189 |     -1,053 |
| c:\Users\Baker Lab 5\Desktop\GPK\PIMMS\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.2\IMspector Gadget\rt_v_mz_library_search_modules                                              |          1 |       -436 |        -59 |       -123 |       -618 |
| c:\Users\Baker Lab 5\Desktop\GPK\PIMMS\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.2\OpenMS                                                                                       |          3 |       -189 |        -18 |        -42 |       -249 |
| c:\Users\Baker Lab 5\Desktop\GPK\PIMMS\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.2\import folder                                                                                |          4 |     -2,741 |          0 |         -4 |     -2,745 |
| c:\Users\Baker Lab 5\Desktop\GPK\PIMMS\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.2\imported_libraries                                                                           |          1 |         -2 |          0 |         -1 |         -3 |
| c:\Users\Baker Lab 5\Desktop\GPK\PIMMS\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.2\modules                                                                                      |         15 |     -1,668 |       -149 |       -446 |     -2,263 |
| c:\Users\Baker Lab 5\Desktop\GPK\PIMMS\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.2\output                                                                                       |          1 |     -1,808 |          0 |         -1 |     -1,809 |
| c:\Users\Baker Lab 5\Desktop\GPK\PIMMS\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.2\tests                                                                                        |          3 |        -42 |         -7 |        -14 |        -63 |
| c:\Users\Baker Lab 5\Desktop\GPK\PIMMS\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.2\tests (Files)                                                                                |          2 |        -42 |         -7 |        -13 |        -62 |
| c:\Users\Baker Lab 5\Desktop\GPK\PIMMS\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.2\tests\__pycache__                                                                            |          1 |          0 |          0 |         -1 |         -1 |
| c:\Users\Baker Lab 5\Desktop\GPK\PIMMS\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.3                                                                                              |         16 |     -1,644 |       -189 |       -382 |     -2,215 |
| c:\Users\Baker Lab 5\Desktop\GPK\PIMMS\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.3\Development Scripts                                                                          |          1 |       -217 |        -35 |        -50 |       -302 |
| c:\Users\Baker Lab 5\Desktop\GPK\PIMMS\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.3\Development Scripts\Peak Alignment                                                           |          1 |       -217 |        -35 |        -50 |       -302 |
| c:\Users\Baker Lab 5\Desktop\GPK\PIMMS\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.3\Isotopic_modeling                                                                            |          4 |       -305 |        -48 |        -84 |       -437 |
| c:\Users\Baker Lab 5\Desktop\GPK\PIMMS\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.3\Isotopic_modeling\Modules                                                                    |          4 |       -305 |        -48 |        -84 |       -437 |
| c:\Users\Baker Lab 5\Desktop\GPK\PIMMS\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.3\modules                                                                                      |         10 |     -1,101 |       -106 |       -245 |     -1,452 |
| c:\Users\Baker Lab 5\Desktop\GPK\PIMMS\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.3\styles                                                                                       |          1 |        -21 |          0 |         -3 |        -24 |
| c:\Users\Baker Lab 5\Desktop\GPK\PIMMS\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\Project organization                                                                                    |          1 |        -15 |          0 |         -5 |        -20 |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                                                                                                                                                      | language         | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| c:\Users\Baker Lab 5\Desktop\GPK\PIMMS\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\Dockerfile                                                                                              | Docker           |        -20 |         -7 |         -7 |        -34 |
| c:\Users\Baker Lab 5\Desktop\GPK\PIMMS\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.1 files\PIMMS v1.1.0\Blank Subtraction Workflow Script.py                                      | Python           |        -35 |        -13 |        -14 |        -62 |
| c:\Users\Baker Lab 5\Desktop\GPK\PIMMS\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.1 files\PIMMS v1.1.0\Confusion matrix script.py                                                | Python           |        -56 |        -17 |        -22 |        -95 |
| c:\Users\Baker Lab 5\Desktop\GPK\PIMMS\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.1 files\PIMMS v1.1.0\Detection Frequency script.py                                             | Python           |        -98 |        -19 |        -32 |       -149 |
| c:\Users\Baker Lab 5\Desktop\GPK\PIMMS\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.1 files\PIMMS v1.1.0\Feature count script.py                                                   | Python           |        -35 |        -10 |        -13 |        -58 |
| c:\Users\Baker Lab 5\Desktop\GPK\PIMMS\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.1 files\PIMMS v1.1.0\Feature search script.py                                                  | Python           |       -475 |        -63 |        -96 |       -634 |
| c:\Users\Baker Lab 5\Desktop\GPK\PIMMS\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.1 files\PIMMS v1.1.0\Model development processor.py                                            | Python           |       -314 |        -60 |        -74 |       -448 |
| c:\Users\Baker Lab 5\Desktop\GPK\PIMMS\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.1 files\PIMMS v1.1.0\Year organization script.py                                               | Python           |        -21 |         -7 |         -8 |        -36 |
| c:\Users\Baker Lab 5\Desktop\GPK\PIMMS\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.1 files\PIMMS v1.1.0\setup_environment.py                                                      | Python           |        -43 |          0 |        -13 |        -56 |
| c:\Users\Baker Lab 5\Desktop\GPK\PIMMS\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.1 files\PIMMS v1.2\Subtracted_reader.py                                                        | Python           |        -79 |         -7 |        -14 |       -100 |
| c:\Users\Baker Lab 5\Desktop\GPK\PIMMS\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.2\Data_output\PIMMS Processed Data set test.csv                                                | CSV              |         -6 |          0 |         -1 |         -7 |
| c:\Users\Baker Lab 5\Desktop\GPK\PIMMS\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.2\Data_output\PIMMS Processed Data set.csv                                                     | CSV              |       -386 |          0 |         -1 |       -387 |
| c:\Users\Baker Lab 5\Desktop\GPK\PIMMS\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.2\Data_output\adjusted_after_blank_subtraction.csv                                             | CSV              |    -25,455 |          0 |         -1 |    -25,456 |
| c:\Users\Baker Lab 5\Desktop\GPK\PIMMS\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.2\Figures\sankey_filtering_performance.py                                                      | Python           |        -73 |         -9 |        -11 |        -93 |
