ID,RT,DT,CCS,m/z,150 B2 6915.d.DeMP, 158 B2 7099.d.DeMP, 159 B2 7280.d.DeMP
1,3.23,21.095,161.62,227.2004,401071.2703957947,407918.2703957947,404613.2703957947
2,3.718,23.177,175.81,279.2322,6668.999,426373.999,6155.999
3,2.762,28.515,212.31,476.2792,409455.3517377257,369737.3517377257,380778.3517377257
4,4.045,23.256,176.35,281.247,0.0,0.0,0.0
5,2.814,29.218,217.26,500.2803,403339.999,369977.999,337088.999
6,3.786,33.197,246.45,539.4331,395588.9857244211,421089.9857244211,406665.9857244211
7,4.374,23.368,177.14,283.2637,422356.2173192513,422236.2173192513,420173.2173192513
8,2.872,28.224,210.45,452.2791,399523.999,366651.999,335898.999
9,3.36,29.205,217.41,480.311,418654.999,92946.999,380594.999
10,2.952,29.366,218.6,480.309,173395.999,372856.999,353437.999
11,2.771,22.868,169.88,505.9739,357587.2863931286,358874.2863931286,316826.2863931286
12,3.299,23.153,175.68,277.2155,409002.8670227837,414625.8670227837,412598.8670227837
13,0.403,17.668,136.86,187.0056,242673.999,167618.999,285167.999
14,3.44,22.056,168.06,253.2156,280839.4221823013,286829.4221823013,278984.4221823013
15,2.269,22.692,168.62,498.9308,392466.14777249336,344719.14777249336,311883.14777249336
16,3.519,28.985,215.97,464.3157,327275.999,310904.999,177957.999
17,4.593,34.263,253.79,595.4959,391495.8934054227,417623.8934054227,409100.8934054227
18,1.74,18.618,139.45,375.9999,0.0,0.0,0.0
19,2.274,22.758,169.05,506.9578,0.0,0.0,0.0
