ID,RT,Experimental DT,Experimental m/z,Experimental CCS,Standard m/z,Standard CCS,Name,Sample Coverage (%),Mass Error (ppm),CCS Error (%),Intensity (148 B2 16632.d.DeMP),Intensity ( 149 B2 16631.d.DeMP),Intensity ( 220 B3 16562.d.DeMP),Intensity ( 221 B3 16563.d.DeMP),Intensity ( 291 B4 16634.d.DeMP),Intensity ( 295 B4 16707.d.DeMP),Experimental DT
24294.0,0.409,14.055,170.9946,109.43,170.996045,110.2057838,PFBA,16.666666666666664,-8.45,0.7,0.001,147.0,0.001,0.001,0.001,0.001,
14035.0,0.545,15.252,221.9941,116.85,221.996245,116.9451867,PFPeA,33.33333333333333,-9.66,0.08,631.0,0.001,0.001,205.0,0.001,0.001,
2084.0,0.924,16.421,271.9919,124.55,271.993045,124.6307339,PFHxA,100.0,-4.21,0.06,6016.0,2765.0,2092.0,2403.0,3052.0,2173.0,
909.0,0.959,17.651,300.9487,133.32,300.949745,133.6007918,PFBS,100.0,-3.47,0.21,23976.0,10233.0,7067.0,8828.0,10281.0,9481.0,
20277.0,2.31,17.544,320.9849,132.15,320.986545,132.719615,PFHpA,33.33333333333333,-5.12,0.43,178.0,165.0,0.001,0.001,0.001,0.001,
11949.0,1.772,17.555,320.9852,132.24,320.986545,132.719615,PFHpA,83.33333333333334,-4.19,0.36,12697.0,6344.0,0.001,5261.0,6123.0,6033.0,
2255.0,0.749,19.96,327.9769,150.3,327.977645,150.9921104,4:2 FTS,100.0,-2.27,0.46,4447.0,1845.0,1621.0,2190.0,2226.0,4045.0,
8216.0,2.131,18.619,374.9958,139.47,374.996745,139.7525465,PFOA,100.0,-2.52,0.2,40926.0,16769.0,19862.0,15175.0,17651.0,13782.0,
767.0,1.979,19.715,425.9968,147.1,425.996845,147.3863262,PFNA,100.0,-0.11,0.19,28898.0,15600.0,15824.0,9383.0,10627.0,6220.0,
16256.0,1.749,22.56,427.9705,168.38,427.971245,169.0161946,6:2 FTS,100.0,-1.74,0.38,14425.0,7576.0,8362.0,7458.0,7182.0,4416.0,
15576.0,1.978,22.197,470.9878,165.2,470.990045,165.5655524,PFNA,33.33333333333333,-4.77,0.22,425.0,251.0,0.001,0.001,0.001,0.001,
1053.0,2.194,20.89,472.9834,155.41,472.983645,155.943269,PFDA,100.0,-0.52,0.34,17420.0,12606.0,9988.0,6124.0,6238.0,3327.0,
532.0,2.771,22.9,504.9691,170.13,504.969645,170.529758,FOSA,100.0,-1.08,0.23,52683.0,28561.0,19988.0,16308.0,16182.0,16763.0,
206.0,2.273,22.703,505.9545,168.64,505.953745,169.2578952,PFOS,100.0,1.49,0.37,133743.0,107077.0,75909.0,47747.0,52465.0,33787.0,
8910.0,3.442,23.463,513.9725,174.24,513.9773449999999,174.3880644,N-MeFOSA,83.33333333333334,-9.43,0.08,585.0,269.0,573.0,260.0,200.0,0.001,
1160.0,2.395,22.067,523.9848,163.76,523.983745,164.3544534,PFUdA,100.0,2.01,0.36,14756.0,11595.0,7988.0,4733.0,5100.0,3287.0,
1021.0,2.093,25.11,527.966,186.38,527.964845,186.961443,8:2 FTS,100.0,2.19,0.31,16881.0,12684.0,11177.0,7234.0,6322.0,4219.0,
3000.0,3.582,24.143,530.0026,179.17,530.005545,178.9279196,N-EtFOSA,100.0,-5.56,0.14,2790.0,1408.0,2911.0,1371.0,836.0,1014.0,
4125.0,2.299,24.087,530.0036,178.75,530.005545,178.9279196,N-EtFOSA,83.33333333333334,-3.67,0.1,1687.0,1476.0,1521.0,899.0,676.0,0.001,
6198.0,2.576,23.24,568.9645,172.15,568.963845,172.6200934,PFDoA,100.0,1.15,0.27,201.0,339.0,1377.0,611.0,356.0,452.0,
8969.0,2.403,24.704,568.9773,183.03,568.976945,183.5852737,PFUdA,50.0,0.62,0.3,824.0,646.0,393.0,0.001,0.001,0.001,
18178.0,2.426,26.575,588.0094,196.77,588.011045,197.4386093,N-EtFOSAA,100.0,-2.8,0.34,13179.0,11168.0,9355.0,5625.0,5605.0,3128.0,
7139.0,2.94,25.486,668.9596,188.18,668.9574449999999,188.7751779,PFTeDA,100.0,3.22,0.32,760.0,366.0,490.0,530.0,308.0,223.0,
16659.0,2.951,28.454,713.9531,209.89,713.9506449999999,210.289103,PFTeDA,66.66666666666666,3.44,0.19,341.0,71.0,0.001,84.0,0.001,87.0,
,,,NA,NA,572.9862,193.7858179,N-MeFOSAA,0.0,NA,NA,,,,,,,NA
,,,NA,NA,563.032,193.5691892,N-MeFOSE,0.0,NA,NA,,,,,,,NA
,,,NA,NA,579.0602,197.7378366,N-EtFOSE,0.0,NA,NA,,,,,,,NA
,,,NA,NA,286.9846,127.0001528,HFPO-DA,0.0,NA,NA,,,,,,,NA
,,,NA,NA,401.9467,151.2596908,PFHxS,0.0,NA,NA,,,,,,,NA
