ID,RT,DT,CCS,m/z,Experimental m/z,Experimental CCS,Standard m/z,Standard CCS,Sample Coverage (%),Mass Error (ppm),CCS Error (%),Intensity (150 B2 6915.d.DeMP),Intensity ( 158 B2 7099.d.DeMP),Intensity ( 159 B2 7280.d.DeMP),Intensity ( 162 B2 7343.d.DeMP),Intensity ( 204 B3 6808.d.DeMP),Intensity ( 217 B3 6902.d.DeMP),Intensity ( 218 B3 6901.d.DeMP),Intensity ( 222 B3 305.d.DeMP),Intensity ( 247 B3 7211.d.DeMP),Intensity ( 303 B4 7292.d.DeMP),Intensity ( 304 B4 7291.d.DeMP),Intensity ( 305 B4 6857.d.DeMP),Intensity ( 130 B2 7523.d.DeMP),Intensity ( 131 B2 6679.d.DeMP),Intensity ( 89 B1 7236.d.DeMP)
1,3.23,21.095,110.2,171.9994,171.9994,110.2,171.9994,110.2,100,0,0,401505,408352,405047,407939,357946,387576,424133,419411,422069,426665,265764,185710,415294,353097,422674
11,2.771,22.868,169.88,505.9739,505.9739,169.88,505.973,170.5,100,1.78,0.36,363459,364746,322698,347973,310454,277858,332993,336339,394774,355517,59809,47426,247683,386483,295181
18,1.74,18.618,139.45,375.9999,375.9999,139.45,376.0001,139.8,100,-0.53,0.25,333416,288246,254784,328391,376107,303135,324815,380259,384772,337985,30999,31230,190299,332452,227944
19,2.274,22.758,169.05,506.9578,506.9578,169.05,506.9571,169.3,80,1.38,0.15,376325,391103,395198,368819,402966,385848,410562,419151,0.001,416144,85228,51172,0.001,0.001,415099
20,1.626,22.614,168.77,428.9745,428.9745,168.77,428.9746,169,86.67,-0.23,0.14,368629,358438,302014,348227,388832,349277,389456,416797,405820,390812,46128,25579,0.001,0.001,311266
22,2.211,26.149,193.73,572.9879,572.9879,193.73,572.9862,193.8,86.67,2.97,0.04,333123,351159,345159,335360,373963,348515,362500,404349,393150,355079,67335,35647,0.001,0.001,348095
25,2.094,25.168,186.8,528.9691,528.9691,186.8,528.9682,187,80,1.7,0.11,396688,399498,335715,384618,394668,366836,405761,414380,0.001,387430,70595,37281,0.001,0.001,380367
29,0.963,17.653,133.32,301.9522,301.9522,133.32,301.9531,133.6,93.33,-2.98,0.21,359889,314521,206433,332068,367884,295775,322772,387098,351932,345388,0.001,17406,168097,264673,166303
36,2.302,26.675,197.51,589.0161,589.0161,197.51,589.0144,197.4,80,2.89,0.06,350730,369726,333780,326461,370132,340649,376826,406510,0.001,350858,70586,41435,0.001,0.001,339849
41,2.396,22.065,163.74,524.9887,524.9887,163.74,524.9871,164.4,100,3.05,0.4,284938,278043,226776,269429,320212,223070,258433,371853,345611,214016,22470,19791,141277,293701,168802
53,1.439,17.566,132.3,321.9893,321.9893,132.3,321.9899,132.7,100,-1.86,0.3,268771,241342,168981,278508,299210,214707,266053,306559,305427,252641,16525,16595,121374,203894,141834
64,3.432,23.45,174.13,514.9818,514.9818,174.13,514.9807,174.4,100,2.14,0.15,240068,202698,188708,247490,290678,83845,172988,340401,345513,223964,14013,8472,56190,227111,188007
91,3.584,24.13,179.06,531.0103,531.0103,179.06,531.0089,178.9,93.33,2.64,0.09,166242,130276,126447,166100,286571,87013,148060,283915,229827,109581,0.001,7133,19201,184516,72565
110,2.546,25.98,192.5,569.9692,569.9692,192.5,569.9672,192.4,86.67,3.51,0.05,30058,189707,142564,168569,234796,119896,137120,239226,223159,118239,14383,0.001,0.001,26200,97749
126,2.304,24.093,178.78,531.0107,531.0107,178.78,531.0089,178.9,93.33,3.39,0.07,106211,129954,89356,100269,185471,75966,111851,209755,175159,74319,8556,0.001,48498,108868,62354
140,0.926,16.426,124.57,272.9954,272.9954,124.57,272.9964,124.6,93.33,-3.66,0.02,163024,120646,53658,133097,160806,93913,115404,128377,110468,119097,0.001,4411,36506,62460,38390
147,2.194,23.471,174.68,473.9874,473.9874,174.68,473.987,174.5,86.67,0.84,0.1,112224,133795,104906,112065,161708,68729,97792,190693,158301,61960,5528,5200,0.001,0.001,54285
154,2.156,24.973,185.34,528.9724,528.9724,185.34,528.9682,187,26.67,7.94,0.89,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,419964,208,0.001,0.001,352169,420273,0.001
160,2.39,26.501,196.21,589.0178,589.0178,196.21,589.0144,197.4,33.33,5.77,0.6,0.001,0.001,0.001,0.001,89,0.001,0.001,0.001,402160,265,0.001,0.001,310953,407650,0.001
181,1.978,22.222,165.86,427,427,165.86,427.0002,165.6,86.67,-0.47,0.16,97784,78297,65746,87599,163604,56138,72837,164145,118431,59138,3509,3006,0.001,0.001,33614
203,2.21,23.442,174.07,514.9817,514.9817,174.07,514.9807,174.4,100,1.94,0.19,58102,80813,56646,61130,118119,50857,58171,120669,102333,42124,4505,2302,27320,60475,37501
209,2.246,22.79,169.29,505.9539,505.9539,169.29,505.953745,169.3,93.33,0.31,0.01,61929,87644,63272,69161,140003,39657,51138,137785,105056,42180,2818,1779,0.001,567,37987
301,2.964,28.293,208.94,669.9633,669.9633,208.94,669.9608,210.3,46.67,3.73,0.65,76639,91608,83708,81824,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,46341,96296,62147
389,2.55,25.826,191.35,569.9694,569.9694,191.35,569.9672,192.4,33.33,3.86,0.55,168799,0.001,0.001,0.001,0.001,391,0.001,0.001,0.001,0.001,0.001,13043,80017,162083,0.001
