Experimental m/z,Experimental CCS,RT,Standard m/z,Standard CCS,Name,Sample Coverage (%),Mass Error (ppm),CCS Error (%),Intensity (35 2286 - Serum.d.DeMP),Intensity ( 36 2286 - Mitra.d.DeMP),Intensity ( 37 2286 - DBS.d.DeMP),Intensity ( 38 2182 - Serum.d.DeMP),Intensity ( 39 2182 - Mitra.d.DeMP),Intensity ( 40 2182 - DBS.d.DeMP),Intensity ( 41 2187 - Serum.d.DeMP),Intensity ( 42 2187 - Mitra.d.DeMP),Intensity ( 43 2187 - DBS.d.DeMP),Intensity ( 44 2854 - Serum.d.DeMP),Intensity ( 45 2854 - Mitra.d.DeMP),Intensity ( 46 2854 - DBS.d.DeMP),Intensity ( 47 2911 - Serum.d.DeMP),Intensity ( 48 2911 - Mitra.d.DeMP),Intensity ( 49 2911 - DBS.d.DeMP),Intensity ( 125 1777 - Serum.d.DeMP),Intensity ( 126 1777 - Mitra.d.DeMP),Intensity ( 127 1777 - DBS.d.DeMP),Intensity ( 128 1821 - Serum.d.DeMP),Intensity ( 129 1821 - Mitra.d.DeMP),Intensity ( 130 1821 - DBS.d.DeMP),Intensity ( 131 1673 - Serum.d.DeMP),Intensity ( 132 1673 - Mitra.d.DeMP),Intensity ( 133 1673 - DBS.d.DeMP),Intensity ( 134 1894 - Serum.d.DeMP),Intensity ( 135 1894 - Mitra.d.DeMP),Intensity ( 136 1894 - DBS.d.DeMP),Intensity ( 137 3330 - Serum.d.DeMP),Intensity ( 138 3330 - Mitra.d.DeMP),Intensity ( 139 3330 - DBS.d.DeMP),Intensity ( 80 2003 - Serum.d.DeMP),Intensity ( 81 2003 - Mitra.d.DeMP),Intensity ( 82 2003 - DBS.d.DeMP),Intensity ( 83 2095 - Serum.d.DeMP),Intensity ( 84 2095 - Mitra.d.DeMP),Intensity ( 85 2095 - DBS.d.DeMP),Intensity ( 86 2046 - Serum.d.DeMP),Intensity ( 87 2046 - Mitra.d.DeMP),Intensity ( 88 2046 - DBS.d.DeMP),Intensity ( 89 2889 - Serum.d.DeMP),Intensity ( 90 2889 - Mitra.d.DeMP),Intensity ( 91 2889 - DBS.d.DeMP),Intensity ( 92 3021 - Serum.d.DeMP),Intensity ( 93 3021 - Mitra.d.DeMP),Intensity ( 94 3021 - DBS.d.DeMP),Intensity ( DBS 2184.d.DeMP)
272.9946,124.77,6.841,272.9964,124.6307339,PFHxA,80.43478260869566,-6.59,0.11,601.0,146.0,230.0,473.0,214.0,220.0,582.0,0.0,212.0,558.0,264.0,0.0,587.0,0.0,0.0,856.0,279.0,261.0,679.0,236.0,201.0,741.0,278.0,0.0,550.0,188.0,233.0,725.0,223.0,281.0,581.0,0.0,234.0,606.0,272.0,0.0,681.0,243.0,0.0,662.0,0.0,271.0,518.0,245.0,268.0,351.0
301.9521,133.57,5.412,301.9531,133.6007918,PFBS,97.82608695652173,-3.31,0.02,9905.0,2528.0,3536.0,8585.0,3655.0,3433.0,9474.0,3529.0,3206.0,9955.0,3476.0,0.0,8724.0,3626.0,3081.0,13136.0,4695.0,4643.0,11750.0,4053.0,3605.0,11989.0,4044.0,4027.0,10159.0,3087.0,4412.0,11327.0,3563.0,5385.0,9507.0,3182.0,3741.0,10216.0,3971.0,3762.0,11068.0,3968.0,3856.0,10712.0,5220.0,4732.0,8371.0,3940.0,4540.0,1643.0
321.9886,132.48,8.306,321.9899,132.719615,PFHpA,97.82608695652173,-4.04,0.18,2596.0,620.0,910.0,2012.0,863.0,780.0,2677.0,892.0,763.0,2482.0,901.0,0.0,2145.0,971.0,761.0,3404.0,1079.0,1081.0,3186.0,1013.0,844.0,3302.0,1011.0,1021.0,2437.0,716.0,964.0,2925.0,849.0,1266.0,2176.0,749.0,883.0,2580.0,937.0,750.0,2665.0,1045.0,879.0,2729.0,1139.0,1027.0,2009.0,1028.0,1136.0,692.0
328.9795,150.59,6.682,328.981,150.9921104,4:2 FTS,97.82608695652173,-4.56,0.27,3399.0,654.0,947.0,2980.0,973.0,890.0,3458.0,890.0,821.0,3517.0,853.0,0.0,3098.0,1074.0,684.0,4145.0,931.0,906.0,3751.0,1026.0,661.0,4220.0,1073.0,892.0,3212.0,651.0,814.0,3458.0,822.0,1121.0,3032.0,876.0,756.0,3800.0,1050.0,859.0,3869.0,1019.0,836.0,4042.0,1231.0,1018.0,3694.0,1160.0,1037.0,197.0
375.9985,139.59,9.41,376.0001,139.7525465,PFOA,97.82608695652173,-4.26,0.12,4382.0,1144.0,1471.0,3788.0,1689.0,1535.0,4532.0,1596.0,1385.0,4960.0,1840.0,0.0,3994.0,1785.0,1504.0,6080.0,1972.0,1935.0,5297.0,1836.0,1421.0,6140.0,2031.0,2014.0,4433.0,1459.0,1924.0,5729.0,1805.0,2260.0,3816.0,1493.0,1443.0,5023.0,1929.0,1667.0,5256.0,2001.0,1595.0,5062.0,2161.0,1991.0,4090.0,1973.0,2101.0,664.0
401.9461,150.88,8.443,401.9467,151.2596908,PFHxS,86.95652173913044,-1.49,0.25,13407.0,3985.0,5595.0,11302.0,5744.0,5641.0,11329.0,5901.0,0.0,13515.0,6007.0,0.0,11201.0,5816.0,0.0,17933.0,6822.0,6791.0,14020.0,6397.0,5321.0,15584.0,6972.0,6243.0,12007.0,4984.0,0.0,15858.0,5737.0,7682.0,11816.0,5384.0,0.0,13124.0,6320.0,5076.0,13993.0,6615.0,5768.0,12354.0,7458.0,0.0,11233.0,6696.0,6736.0,2678.0
426.9986,147.25,10.303,427.0002,147.3863262,PFNA,97.82608695652173,-3.75,0.09,2200.0,631.0,1023.0,1983.0,843.0,910.0,2153.0,929.0,964.0,2415.0,901.0,0.0,1779.0,793.0,894.0,2939.0,1023.0,1218.0,2182.0,1011.0,823.0,2866.0,1070.0,1298.0,2001.0,729.0,1138.0,2615.0,980.0,1427.0,1822.0,798.0,959.0,2192.0,1033.0,1131.0,2397.0,909.0,1097.0,2219.0,1156.0,1331.0,1965.0,1024.0,1255.0,312.0
428.9733,168.59,9.34,428.9746,169.0161946,6:2 FTS,97.82608695652173,-3.03,0.25,3615.0,779.0,971.0,3221.0,1253.0,974.0,3789.0,1238.0,887.0,4838.0,1216.0,0.0,3611.0,1246.0,883.0,5074.0,1257.0,1246.0,4954.0,1176.0,876.0,5663.0,1275.0,1103.0,4340.0,899.0,1210.0,4723.0,1091.0,1439.0,3400.0,1001.0,912.0,5069.0,1176.0,1032.0,4908.0,1345.0,1057.0,7876.0,1741.0,1339.0,4538.0,1401.0,1373.0,274.0
473.9845,155.64,11.051,473.987,155.943269,PFDA,97.82608695652173,-5.27,0.19,1867.0,523.0,702.0,2030.0,754.0,704.0,1795.0,867.0,910.0,2436.0,833.0,0.0,1305.0,781.0,764.0,2029.0,878.0,691.0,1616.0,756.0,639.0,2629.0,918.0,810.0,1191.0,654.0,848.0,1994.0,705.0,980.0,1348.0,703.0,668.0,1974.0,918.0,639.0,1996.0,922.0,812.0,1696.0,1007.0,759.0,1849.0,942.0,827.0,112.0
505.9709,170.13,11.469,505.973,170.529758,FOSA,97.82608695652173,-4.15,0.23,3840.0,900.0,739.0,4100.0,1313.0,780.0,3718.0,1173.0,932.0,4796.0,1433.0,0.0,2942.0,893.0,768.0,4777.0,1279.0,651.0,3602.0,1257.0,771.0,5746.0,1727.0,921.0,2999.0,1148.0,1028.0,4428.0,1084.0,923.0,3044.0,1176.0,747.0,4472.0,1404.0,849.0,4287.0,1641.0,1142.0,3591.0,1554.0,750.0,3949.0,1299.0,859.0,179.0
