ID,RT,DT,CCS,m/z,150 B2 6915.d.DeMP, 158 B2 7099.d.DeMP, 159 B2 7280.d.DeMP
1,3.23,21.095,161.62,227.2004,401295.0,408142.0,404837.0
2,3.718,23.177,175.81,279.2322,6668.999,426373.999,6155.999
3,2.762,28.515,212.31,476.2792,410965.0,371247.0,382288.0
4,4.045,23.256,176.35,281.247,215810.0,218465.0,219784.0
5,2.814,29.218,217.26,500.2803,403339.999,369977.999,337088.999
6,3.786,33.197,246.45,539.4331,395687.0,421188.0,406764.0
7,4.374,23.368,177.14,283.2637,424308.0,424188.0,422125.0
8,2.872,28.224,210.45,452.2791,399523.999,366651.999,335898.999
9,3.36,29.205,217.41,480.311,418654.999,92946.999,380594.999
10,2.952,29.366,218.6,480.309,173395.999,372856.999,353437.999
11,2.771,22.868,169.88,505.9739,360902.0,362189.0,320141.0
12,3.299,23.153,175.68,277.2155,412435.0,418058.0,416031.0
13,0.403,17.668,136.86,187.0056,242673.999,167618.999,285167.999
14,3.44,22.056,168.06,253.2156,299664.0,305654.0,297809.0
15,2.269,22.692,168.62,498.9308,398689.0,350942.0,318106.0
16,3.519,28.985,215.97,464.3157,327275.999,310904.999,177957.999
17,4.593,34.263,253.79,595.4959,393295.0,419423.0,410900.0
18,1.74,18.618,139.45,375.9999,0.0,0.0,0.0
19,2.274,22.758,169.05,506.9578,0.0,233.0,4328.0
