,24.35,25.22,26.09,26.96,27.83,28.7,29.57,30.43,31.3,32.17,33.04,33.91,34.78,35.65,36.52,37.39,38.26,39.13,40,40.87,41.74,42.61,43.48,44.35,45.22,46.09,46.96,47.83,48.7,49.57,50.43,51.3,52.17,53.04,53.91,54.78,55.65,56.52,57.39,58.26,59.13,60,60.87,61.74,62.61,63.48,64.35,65.22,66.09,66.96,67.83,68.7,69.57,70.43,71.3,72.17,73.04,73.91,74.78,75.65,76.52,77.39,78.26,79.13
0.0115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0111,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0102,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0098,,,,0.01,,,0.01,,0.01,,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0093,,,,0.01,0.01,0.02,0.02,0.01,0.04,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0089,,,0,0,0.01,0.03,0.04,,0.02,,0.03,,,0.04,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0085,,,,0.01,0.01,0.03,0.04,0.03,0.02,0.06,0.04,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.008,,,,,0.01,0.04,0.03,0.03,0.02,,0.05,0.05,0.03,0,0.04,0.05,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0076,,,,,0,0.02,0.04,0.04,0.03,0.04,0.03,0.03,0.05,0.03,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0072,,,0.01,0.01,0.01,0.03,0.03,0.05,0.05,0.05,0.05,0.04,0.09,0.08,0.04,0.08,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0067,,,,,,0.03,0.04,0.04,0.04,0.03,0.06,0.09,0.07,0.06,0.07,0.07,0.07,,,,,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
