SampleName,Compound,Heavy_Halogen_Presence,r_CF2,m_over_Cm,md_over_Cm,Predicted_F_per_C,RT,DT,CCS,Peak_mz,m/z,Peak_intensity
NIST SRM-1957 1.d.DeMP,12.0,No,0.0011426656152499618,0.006131701481706646,0.0011426637872731177,2.14,10.515,22.6647891998291,168.732624638009,498.9283,498.9283,27969.0
NIST SRM-1957 1.d.DeMP,12.0,No,0.0011426656152499618,0.006131701481706646,0.0011426637872731177,2.14,10.515,22.6647891998291,168.732624638009,499.93021,498.9283,2274.0
NIST SRM-1957 1.d.DeMP,12.0,No,0.0011426656152499618,0.006131701481706646,0.0011426637872731177,2.14,10.515,22.6647891998291,168.732624638009,500.92346,498.9283,1242.0
NIST SRM-1957 1.d.DeMP,12.0,No,0.0011426656152499618,0.006131701481706646,0.0011426637872731177,2.14,10.515,22.6647891998291,168.732624638009,501.9255,498.9283,118.0
NIST SRM-1957 1.d.DeMP,41.0,No,0.0030421195749587454,0.010189471033364345,0.0030421176788876063,2.5,8.592,20.1117057800293,150.733831441359,398.93524,398.93524,10093.0
NIST SRM-1957 1.d.DeMP,41.0,No,0.0030421195749587454,0.010189471033364345,0.0030421176788876063,2.5,8.592,20.1117057800293,150.733831441359,399.93622,398.93524,557.0
NIST SRM-1957 1.d.DeMP,41.0,No,0.0030421195749587454,0.010189471033364345,0.0030421176788876063,2.5,8.592,20.1117057800293,150.733831441359,400.93577,398.93524,859.0
NIST SRM-1957 1.d.DeMP,43.0,No,0.0009811785759937515,0.0035925470306715284,-0.0009811778452173334,1.96,10.288,22.3496627807617,166.388335995484,498.92833,498.92833,9465.0
NIST SRM-1957 1.d.DeMP,43.0,No,0.0009811785759937515,0.0035925470306715284,-0.0009811778452173334,1.96,10.288,22.3496627807617,166.388335995484,499.92852,498.92833,866.0
NIST SRM-1957 1.d.DeMP,43.0,No,0.0009811785759937515,0.0035925470306715284,-0.0009811778452173334,1.96,10.288,22.3496627807617,166.388335995484,500.92321,498.92833,407.0
NIST SRM-1957 1.d.DeMP,104.0,No,0.009921204391182607,0.009576718500742194,0.009921203877616264,2.64,9.586,18.562614440918,139.50337776176,368.97459,368.97459,4633.0
NIST SRM-1957 1.d.DeMP,104.0,No,0.009921204391182607,0.009576718500742194,0.009921203877616264,2.64,9.586,18.562614440918,139.50337776176,369.97806,368.97459,242.0
NIST SRM-1957 10.d.DeMP,12.0,No,1.4443413611315105e-05,0.005378981698080658,-1.4331691094367736e-05,2.21,10.377,22.7507629394531,168.520281024947,498.92433,498.92433,23109.0
NIST SRM-1957 10.d.DeMP,12.0,No,1.4443413611315105e-05,0.005378981698080658,-1.4331691094367736e-05,2.21,10.377,22.7507629394531,168.520281024947,499.92553,498.92433,1943.0
NIST SRM-1957 10.d.DeMP,12.0,No,1.4443413611315105e-05,0.005378981698080658,-1.4331691094367736e-05,2.21,10.377,22.7507629394531,168.520281024947,500.91995,498.92433,1141.0
NIST SRM-1957 10.d.DeMP,40.0,No,0.001124688058755199,0.005516064424612687,-0.0011246865557711875,2.4,8.444,20.2082653045654,150.758686503871,398.93217,398.93217,9085.0
NIST SRM-1957 10.d.DeMP,40.0,No,0.001124688058755199,0.005516064424612687,-0.0011246865557711875,2.4,8.444,20.2082653045654,150.758686503871,399.93267,398.93217,607.0
NIST SRM-1957 10.d.DeMP,42.0,No,0.00042150005165521743,0.004850166841211218,-0.00042149695106183035,2.13,10.129,22.3711261749268,165.719719299864,498.92451,498.92451,10250.0
NIST SRM-1957 10.d.DeMP,42.0,No,0.00042150005165521743,0.004850166841211218,-0.00042149695106183035,2.13,10.129,22.3711261749268,165.719719299864,499.92563,498.92451,883.0
NIST SRM-1957 10.d.DeMP,42.0,No,0.00042150005165521743,0.004850166841211218,-0.00042149695106183035,2.13,10.129,22.3711261749268,165.719719299864,500.92028,498.92451,406.0
NIST SRM-1957 10.d.DeMP,76.0,Cl0_Br1,0.01669187156520125,-0.005357476087311123,-0.016691871469670553,1.02,6.301,17.9588413238525,136.791961654706,244.90555,244.90555,5245.0
NIST SRM-1957 10.d.DeMP,76.0,Cl0_Br1,0.01669187156520125,-0.005357476087311123,-0.016691871469670553,1.02,6.301,17.9588413238525,136.791961654706,245.90807,244.90555,422.0
NIST SRM-1957 10.d.DeMP,76.0,Cl0_Br1,0.01669187156520125,-0.005357476087311123,-0.016691871469670553,1.02,6.301,17.9588413238525,136.791961654706,246.90276,244.90555,4997.0
NIST SRM-1957 10.d.DeMP,76.0,Cl0_Br1,0.01669187156520125,-0.005357476087311123,-0.016691871469670553,1.02,6.301,17.9588413238525,136.791961654706,247.90532,244.90555,429.0
NIST SRM-1957 10.d.DeMP,76.0,Cl0_Br1,0.01669187156520125,-0.005357476087311123,-0.016691871469670553,1.02,6.301,17.9588413238525,136.791961654706,248.89956,244.90555,1389.0
NIST SRM-1957 10.d.DeMP,104.0,No,0.007224743935525604,0.0076719603584482965,0.007224743482922269,2.67,9.44,18.6572322845459,139.611186231604,368.97119,368.97119,3409.0
NIST SRM-1957 10.d.DeMP,104.0,No,0.007224743935525604,0.0076719603584482965,0.007224743482922269,2.67,9.44,18.6572322845459,139.611186231604,369.97529,368.97119,192.0
