Match,Match Source,Classification Type,ID,RT,DT,CCS,m/z,Mass Error (ppm),CCS Error (%),RT Error (%),37 2286 - DBS.d.DeMP,40 2182 - DBS.d.DeMP,43 2187 - DBS.d.DeMP,46 2854 - DBS.d.DeMP,49 2911 - DBS.d.DeMP,127 1777 - DBS.d.DeMP,130 1821 - DBS.d.DeMP,133 1673 - DBS.d.DeMP,136 1894 - DBS.d.DeMP,139 3330 - DBS.d.DeMP,82 2003 - DBS.d.DeMP,85 2095 - DBS.d.DeMP,88 2046 - DBS.d.DeMP,91 2889 - DBS.d.DeMP,94 3021 - DBS.d.DeMP,DBS 2184.d.DeMP
PFOA (M-H-CO2),PFAS Standards,likely,664.0,9.2995,18.496,139.1,368.97545,-3.12,-0.29,N/A,4804.67341153915,1989.67341153915,3751.67341153915,0.0,1693.67341153915,18556.673411539152,0.0,3067.67341153915,12359.67341153915,29024.673411539152,4851.67341153915,0.0,0.0,0.0,1252.67341153915,0.0
PFNA (M-H-CO2),PFAS Standards,likely,646.0,10.316,19.657,147.2,418.9714,-4.77,0.14,N/A,98.4304185986224,186.4304185986224,203.4304185986224,0.0,119.4304185986224,140.4304185986224,30.430418598622396,353.4304185986224,124.4304185986224,238.4304185986224,0.0,333.4304185986224,270.4304185986224,56.430418598622396,0.0,0.0
"4-bromo-3,3,4,4-tetrafluorobutan-1-ol",External Targets,tentative,2331.0,5.979,17.087,131.37,222.9364,-10.36,N/A,N/A,68.999,0.0,0.0,0.0,0.0,0.0,0.0,88.999,0.0,88.999,0.0,0.0,0.0,0.0,0.0,597.999
2-(Perfluorobutyl)ethanethiol,External Targets,tentative,3986.0,7.471,18.492,140.77,278.9916,7.37,N/A,N/A,0.0,67.999,57.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.999,49.999,0.0,0.0,0.0
"3,3,4,4,5,5,6,6,7,7,8,8-dodecafluoro-2-methyloctan-2-ol or 3,3,4,4,5,5,6,7,7,8,8,8-dodecafluoro-6-methyloctan-1-ol",External Targets,tentative,3925.0,9.565,21.608,162.67,359.0327,4.53,N/A,N/A,56.999,0.0,0.0,0.0,0.0,0.0,0.0,58.999,0.0,0.0,0.0,66.999,0.0,0.0,68.999,0.0
"Phenol, 4,4'-(2,2,3,3,4,4,5,5-octafluoropentylidene)bis-",External Targets,tentative,2868.0,8.19,19.87,149.04,399.0592,-11.21,N/A,N/A,0.0,173.999,0.0,0.0,0.0,0.0,70.999,83.999,0.0,131.999,0.0,0.0,0.0,0.0,90.999,0.0
6:2 Fluorotelomer phosphate monoester,External Targets,tentative,3909.0,10.155,20.433,152.81,442.9721,-0.52,N/A,N/A,0.0,123.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.999,67.999,0.0,0.0
"2-[2-(Tridecafluorohexyl)-5,6-dihydropyrimidin-1(4H)-yl]ethan-1-ol or 4-(Tridecafluorohexyl)cyclohexane-1-carboxylic acid",External Targets,tentative,3110.0,10.021,24.524,182.97,445.0528,-14.15 or 11.09,N/A,N/A,0.0,0.0,0.0,0.0,0.0,91.999,0.0,0.0,106.999,0.0,0.0,0.0,0.0,0.0,0.0,265.999
"1,1,2,2,3,3,4,4,5,6,6,7,7,7-tetradecafluoro-5-(trifluoromethyl)heptane-1-sulfonic acid or 1,1,2,2,3,3,4,5,5,6,6,7,7,7-tetradecafluoro-4-(trifluoromethyl)heptane-1-sulfonic acid or 1,1,2,2,3,3,5,5,6,6,6-undecafluoro-4,4-bis(trifluoromethyl)hexane-1-sulfonic acid or 1,1,2,2,3,4,4,5,5,6,6,7,7,7-tetradecafluoro-3-(trifluoromethyl)heptane-1-sulfonic acid or 1,1,2,3,3,4,4,5,5,6,6,7,7,7-tetradecafluoro-2-(trifluoromethyl)heptane-1-sulfonic acid or Heptadecafluorooctane-2-sulfonic acid or IsoPFOS or Perfluorooctanesulfonic acid",External Targets,tentative,187.0,10.2062,22.0468,164.31199999999998,498.92807999999997,-4.28,N/A,N/A,116.999,645.2858601231054,3346.285860123105,0.0,217.999,0.0,0.0,1882.285860123105,0.0,0.0,202.999,2016.285860123105,1148.2858601231055,0.0,0.0,706.2858601231054
"2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,14,15,15,16,16,17,17,18,18-tetratriacontafluorooctadecanoic acid",External Targets,tentative,4339.0,13.774,28.631,210.61,894.9384,-6.15,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.999,59.999,0.0,71.999,0.0,0.0,0.0,0.0,0.0
