Match,Match Source,Classification Type,ID,RT,DT,CCS,m/z,Mass Error (ppm),CCS Error (%),RT Error (%),36 2286 - Mitra.d.DeMP, 39 2182 - Mitra.d.DeMP, 42 2187 - Mitra.d.DeMP, 45 2854 - Mitra.d.DeMP, 48 2911 - Mitra.d.DeMP, 126 1777 - Mitra.d.DeMP, 129 1821 - Mitra.d.DeMP, 132 1673 - Mitra.d.DeMP, 135 1894 - Mitra.d.DeMP, 138 3330 - Mitra.d.DeMP, 81 2003 - Mitra.d.DeMP, 84 2095 - Mitra.d.DeMP, 87 2046 - Mitra.d.DeMP, 90 2889 - Mitra.d.DeMP, 93 3021 - Mitra.d.DeMP
PFOA (M-H-CO2),PFAS Standards,likely,988.0,9.285,18.4895,139.10000000000002,368.97525,-3.66,-0.29,N/A,3369.6274292450735,1927.6274292450735,2587.6274292450735,3714.6274292450735,4010.6274292450735,5492.6274292450735,5624.6274292450735,3164.6274292450735,6583.6274292450735,4477.6274292450735,3919.6274292450735,4233.6274292450735,6657.6274292450735,6263.6274292450735,5569.6274292450735
PFNA (M-H-CO2),PFAS Standards,likely,540.0,10.298,19.65,147.21,418.9714,-4.77,0.14,N/A,40.94199491502974,184.94199491502974,312.9419949150298,287.9419949150298,201.94199491502974,61.94199491502974,417.9419949150298,216.9419949150298,226.9419949150298,90.94199491502974,0.0,190.94199491502974,539.9419949150298,23.94199491502974,0.0
PFHpS (M-H),PFAS Standards,likely,755.0,9.464,21.368,159.72,448.9319,-3.34,0.33,N/A,254.999,252.999,616.999,444.999,0.0,124.999,335.999,385.999,407.999,94.999,536.999,781.999,853.999,439.999,0.0
PFOS (M-H),PFAS Standards,likely,47.0,10.313,22.638,168.69,498.9294,-1.6,0.23,N/A,2463.097816988552,5582.097816988552,12976.097816988553,8331.097816988553,3306.097816988552,3179.097816988552,9989.097816988553,8821.097816988553,10349.097816988553,2261.097816988552,10745.097816988553,12398.097816988553,18098.09781698855,5816.097816988552,0.0
"(-)-1-Perfluoropropylethanol or (2S)-3,3,4,4,5,5,5-Heptafluoropentan-2-ol or 1-Perfluoropropylethanol or 2(Perfluoro-2-propyl)ethanol or 3:2 Fluorotelomer alcohol",External Targets,tentative,2816.0,2.721,17.704,136.59,213.0144,-5.55,N/A,N/A,51.999,0.0,0.0,0.0,88.999,62.999,0.0,67.999,62.999,0.0,102.999,0.0,89.999,0.0,0.0
"4-bromo-3,3,4,4-tetrafluorobutan-1-ol",External Targets,tentative,1514.0,5.922,17.053,131.28,222.9363,-10.81,N/A,N/A,123.999,106.999,214.999,203.999,0.0,74.999,148.999,226.999,237.999,327.999,0.0,170.999,0.0,0.0,0.0
Perfluoro-2-(trifluoromethyl)propanesulphonic acid or Perfluorobutanesulfonic acid,External Targets,tentative,349.0,5.411,17.606,133.56,298.9415,-4.98,N/A,N/A,426.7357552624938,488.7357552624938,327.7357552624938,202.73575526249385,399.7357552624938,1640.7357552624937,837.7357552624937,448.7357552624938,191.73575526249385,698.7357552624937,99.73575526249385,297.7357552624938,776.7357552624937,841.7357552624937,787.7357552624937
"2,2,3,3-Tetrafluoropropyl 4-(2H-tetrazol-5-yl)benzoate",External Targets,tentative,2334.0,4.842,19.205,145.47,303.054,9.71,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0,244.999,0.0,63.999,220.999,0.0,0.0,0.0,114.999,125.999
"Phenol, 4,4'-(2,2,3,3,4,4,5,5-octafluoropentylidene)bis-",External Targets,tentative,1693.0,8.442,20.098,150.9,399.0601,-8.96,N/A,N/A,0.0,0.0,159.97805393963577,126.97805393963577,0.0,0.0,0.0,0.0,0.0,0.0,62.97805393963577,0.0,0.0,0.0,0.0
6:2 Fluorotelomer phosphate monoester,External Targets,tentative,2026.0,9.915,19.908,149.08,442.971,-3.01,N/A,N/A,199.999,203.999,175.999,166.999,174.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.999,0.0
"2-[2-(Tridecafluorohexyl)-5,6-dihydropyrimidin-1(4H)-yl]ethan-1-ol or 4-(Tridecafluorohexyl)cyclohexane-1-carboxylic acid",External Targets,tentative,2918.0,9.93,24.428,182.81,445.0526,-14.6 or 10.64,N/A,N/A,96.999,161.999,0.0,0.0,115.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.999
"1,1,2,2,3,3,4,4,5,6,6,7,7,7-tetradecafluoro-5-(trifluoromethyl)heptane-1-sulfonic acid or 1,1,2,2,3,3,4,5,5,6,6,7,7,7-tetradecafluoro-4-(trifluoromethyl)heptane-1-sulfonic acid or 1,1,2,2,3,3,5,5,6,6,6-undecafluoro-4,4-bis(trifluoromethyl)hexane-1-sulfonic acid or 1,1,2,2,3,4,4,5,5,6,6,7,7,7-tetradecafluoro-3-(trifluoromethyl)heptane-1-sulfonic acid or 1,1,2,3,3,4,4,5,5,6,6,7,7,7-tetradecafluoro-2-(trifluoromethyl)heptane-1-sulfonic acid or Heptadecafluorooctane-2-sulfonic acid or IsoPFOS or Perfluorooctanesulfonic acid",External Targets,tentative,119.0,10.150500000000001,22.09525,164.66750000000002,498.92855000000003,-3.33,N/A,N/A,910.999,1702.999,7690.999,2912.999,541.8458930346044,482.84589303460433,2050.999,3751.999,3037.999,510.999,5232.999,5811.999,6564.999,2584.999,0.0
