Match,Match Source,Classification Type,ID,RT,DT,CCS,m/z,Mass Error (ppm),CCS Error (%),RT Error (%),01 A.d.DeMP, 01 B.d.DeMP, 01 C.d.DeMP
PFHpA (M-H-CO2),PFAS Standards,likely,27194,8.114,17.569,132.62,318.98065,2.66,0.18,N/A,6706.995,0,1130.521406
FHxSA (M-H),PFAS Standards,likely,5798,9.76,20.341,152.11,397.9506,-5.03,0.1,N/A,33401.37125,0,0
PFHxS (M-H),PFAS Standards,likely,2005,8.355,20.167,150.85,398.9345,-5.26,0.23,N/A,203206.0655,51908.28548,45639.57548
PFNA (M-H-CO2),PFAS Standards,likely,3997,10.308,19.725,147.3,418.9704,-7.16,0.19,N/A,56428.82845,6895.278449,6464.478449
6:2 FTS (M-H),PFAS Standards,likely,22968,9.227,22.575,168.68,426.9638,-9.6,0.33,N/A,3766.095,0,0
PFHpS (M-H),PFAS Standards,likely,5223,9.404,21.426,159.49,448.9313,-4.68,0.16,N/A,62490.119,20829.899,16702.989
PFDA (M-H-CO2),PFAS Standards,likely,6650,11.06,20.923,155.57,468.9663,-8.32,0.19,N/A,55778.699,4156.285,6352.629
PFOS (M-H),PFAS Standards,likely,41,10.343,22.709,168.72,498.9255,-9.42,0.27,N/A,20826528.22,6296815.225,5846595.225
PFDA (M-H),PFAS Standards,likely,37583,11.066,23.569,175.18,512.9539,-11.89,0.56,N/A,1302.479,0,0
PFUdA (M-H-CO2),PFAS Standards,likely,1664,11.771,22.109,164.01,518.9633,-7.13,0.4,N/A,369472.1253,64760.48531,56184.76531
NEtFOSA (M-H),PFAS Standards,likely,31473,11.786,24.076,178.82,525.9723,-9.89,-0.33,N/A,1921.758,0,0
PFNS (M-H),PFAS Standards,likely,18133,10.9385,23.8035,176.405,548.9203,-12.21,-0.47,N/A,50364.409,13153.199,8529.02
PFUdA (M-H),PFAS Standards,likely,7352,11.742,24.695,182.67,562.9492,-13.5,-0.1,N/A,45126.449,6910.617,2612.152
PFDoA (M-H-CO2),PFAS Standards,likely,21354,12.2315,23.365,173.015,568.95835,-9.58,0.88,N/A,47113.539,7536.214,4574.435
NEtFOSAA (M-H),PFAS Standards,likely,12606,11.757,26.605,197.06,583.9749,-13.87,-0.07,N/A,17127.619,0,0
PFDS (M-H),PFAS Standards,likely,13846,11.47566667,24.77266667,182.91,598.9175,-10.52,-1.77,N/A,101279.299,17351.939,27809.479
PFDS (M-H),PFAS Standards,likely,457,11.75,25.212,186.33,598.9181,-9.52,0.06,N/A,1567655.007,485814.5075,435224.1075
PFDoA (M-H),PFAS Standards,likely,17508,12.303,26.064,192.85,612.9474,-10.28,0.77,N/A,7360.179,0,0
PFTrDA (M-H-CO2),PFAS Standards,likely,26578,12.7435,24.558,181.485,618.95485,-9.29,1.02,N/A,101780.899,26580.309,28059.559
PFTrDA (M-H),PFAS Standards,likely,8716,12.818,27.227,200.75,662.943,-11.31,0,N/A,35161.099,0,4073.441
PFTeDA (M-H-CO2),PFAS Standards,likely,27328,13.287,25.589,188.34,668.9505,-10.31,0.38,N/A,0,2588.317,0
PFDoS (M-H),PFAS Standards,likely,21117,12.6605,27.5925,203.345,698.9122,-7.44,-0.16,N/A,24274.309,1875.869,2929.577
"3,3,4,4-Tetrafluoro-1-butanol or 3,3,4,4-Tetrafluoro-2-butanol",External Targets,tentative,15101,2.443,15.781,124.68,145.0297,10.36,N/A,N/A,9983.571,793.2408,0
"Butanoic acid, 3,3,4,4-tetrafluoro-2,2-dimethyl-",External Targets,tentative,35181,2.943,17.661,137.17,187.0408,10.9,N/A,N/A,1509.212,0,0
"4-Hexen-3-one, 1,1,2,2-tetrafluoro-5-mercapto- or 5,5,6,6-Tetrafluoro-4-sulfanylhex-3-en-2-one or 5,6,6,6-Tetrafluoro-4-sulfanylhex-3-en-2-one",External Targets,tentative,35721,5.81,17.85,138,201.0005,1.15,N/A,N/A,1460.051,0,0
"3-(2,2,3,3-Tetrafluoropropoxy)propane-1,2-diol",External Targets,tentative,46011,3.521,18.337,141.58,205.0516,11.09,N/A,N/A,379.6813401,0,0
"2-Propanol, 2-(chloromethyl)-1,1,1,3,3,3-hexafluoro-",External Targets,tentative,16689,2.688,17.393,133.71,214.9716,5.67,N/A,N/A,6875.31,1482.502,0
"Ethyl 4,4,5,5-tetrafluoro-3-hydroxypent-2-enoate",External Targets,tentative,45958,4.751,18.101,138.88,215.0326,-5.01,N/A,N/A,0,284.9802131,0
"3-Hydroxy-3-(1,1,2,2-tetrafluoroethyl)piperazin-2-one",External Targets,tentative,11274,5.6935,17.5405,134.955,215.0428,-9.81,N/A,N/A,1201.318793,0,0
"Methyl 3-amino-4,4,5,5,5-pentafluoropent-2-enoate",External Targets,tentative,43378,2.977,18.49,141.75,218.0274,12.89,N/A,N/A,0,0,912.2566
"Methyl 4,4,5,5-tetrafluoro-3,3-dihydroxypentanoate",External Targets,tentative,8812,6.218,18.9195,145.15,219.0286,0.04,N/A,N/A,0,4119.390008,0
"Methyl 4,4,5,5-tetrafluoro-3,3-dihydroxypentanoate",External Targets,tentative,12751,6.745,18.8985,144.885,219.0286,0.04,N/A,N/A,0,741.0225668,0
"Butanoic acid, 3,3,4,4-tetrafluoro-2-hydrazino-2-hydroxy-, hydrazide",External Targets,tentative,9128,5.406,19.517,149.91,219.0524,6.13,N/A,N/A,31030.02153,0,0
"2,2,3,3,4,4,4-Heptafluorobutanimidohydrazide",External Targets,tentative,33018,2.275,20.003,153,226.0197,-10.46,N/A,N/A,0,1735.056,0
"4,4-Bis(trifluoromethyl)-4,5-dihydro-1H-pyrazole-3-carbonitrile or 5,5-Bis(trifluoromethyl)-4,5-dihydro-1H-pyrazole-4-carbonitrile",External Targets,tentative,12852,2.655,19.424,148.97,230.0135,-10.16,N/A,N/A,16409.709,0,0
"2,2,3,3,3-Pentafluoro-1-(piperazin-1-yl)propan-1-one",External Targets,tentative,50826,2.354,19.367,147.97,231.0588,11.15,N/A,N/A,0,0,434.7572
"2-(heptafluoropropyl)-4,5-dihydro-1h-imidazole",External Targets,tentative,11832,4.649,19.356,148.21,237.0239,-12.3,N/A,N/A,19833.639,0,0
"2-(heptafluoropropyl)-4,5-dihydro-1h-imidazole",External Targets,tentative,5167,5.021,19.8365,151.475,237.02415,-11.24,N/A,N/A,51114.57727,1271.525,765.9727
"4-Methyl-5-(1,1,2,2-tetrafluoroethoxy)benzene-1,2-diamine",External Targets,tentative,5987,5.406,19.777,151.21,237.0637,-8.21,N/A,N/A,49196.52092,971.960922,1458.100922
"2,4-Pentanediol, 4-methyl-1,1,1-trifluoro-2-(trifluoromethyl)- or 3,3,4,4,5,5-hexafluoroheptane-2,6-diol",External Targets,tentative,15317,5.373,20.25,154.69,239.0509,-1.33,N/A,N/A,9916.9,487.0741,0
5-fluoro-2-methyl-6-(pentafluoroethyl)pyrimidin-4(1h)-one,External Targets,tentative,3680,2.287,20.381,155.49,245.0132,-9.39,N/A,N/A,94620.06536,30957.11536,7149.855358
3-(Heptafluoropropyl)-5-methyl-1H-pyrazole,External Targets,tentative,34426,5.1445,20.1495,153.875,249.02525,-6.29,N/A,N/A,3223.78,0,0
"(2,2,4,4-Tetrafluoro-2H,4H-1,3-benzodioxin-6-yl)boronic acid or 2-Hydroxy-2-methyl-5,5-bis(trifluoromethyl)oxolan-3-one or 3-(Heptafluoropropyl)-1H-1,2,4-triazol-5-amine",External Targets,tentative,326,2.501,19.819,151.07,251.014,-13.2 or -3.32 or -1.68,N/A,N/A,1603247.447,575533.4468,377768.6468
6-fluoro-2-(pentafluoroethyl)-1h-benzimidazole,External Targets,tentative,18385,5.041,19.9085,151.925,253.01755,-12,N/A,N/A,8861.26,0,0
"2-{[2-(Dimethylamino)ethyl]amino}-1,1,1,3,3,3-hexafluoropropan-2-ol",External Targets,tentative,18885,2.4,20.525,156.61,253.0756,-9.89,N/A,N/A,2857.058466,0,0
"2-(1,1,2,3,3,3-Hexafluoropropoxy)phenol or 2-(HEXAFLUORO-2-HYDROXY-2-PROPYL)PHENOL",External Targets,tentative,10836,4.437,20.527,156.44,259.0223,9.19,N/A,N/A,24290.779,0,0
2-(4H-Perfluorobutyl)-2-propanol,External Targets,tentative,36783,6.446,20.004,151.93,259.0402,10.58,N/A,N/A,0,0,1367.135
"1H-Pyrazol-5-ol, 1-phenyl-3-(1,1,2,2-tetrafluoroethyl)- or 2,2,3,3,4,4,5,5-Octafluoro-1,6-hexanediamine",External Targets,tentative,11098,5.495,19.014,144.7,259.0485,-5.77 or -0.75,N/A,N/A,413.9528468,0,0
6-(Heptafluoropropyl)pyridin-3-amine,External Targets,tentative,17263,5.6795,20.831,158.555,261.02295,-14.81,N/A,N/A,159024.0588,18742.83875,14743.64875
"4-[(2,2,3,3,3-Pentafluoropropyl)sulfanyl]benzene-1,2-diamine",External Targets,tentative,33197,2.455,20.621,156.54,271.0359,9.3,N/A,N/A,729.9258263,0,0
"(2E)-4,4,5,5,6,6,7,7,7-Nonafluorohept-2-en-1-ol or 4,4,5,5,6,6,7,7,7-Nonafluorohept-2-en-1-ol or 4-[(1,1,1,3,3,3-Hexafluoro-2-hydroxypropan-2-yl)oxy]phenol",External Targets,tentative,9731,4.085,20.381,154.62,275.0113,-12.85 or -3.96,N/A,N/A,27778.999,0,3147.098
"1-Amino-3,3,4,4,5,5,6,6,6-nonafluorohexan-2-ol",External Targets,tentative,14850,3.15,20.873,158.54,278.0239,2.2,N/A,N/A,8299.237441,0,0
"5-(1,1,1,2,3,3,3-Heptafluoropropan-2-yl)pyrimidine-2,4(1H,3H)-dione or AC1LC6EI",External Targets,tentative,13280,6.114,20.453,155.15,278.9969,-14.68,N/A,N/A,12461.04903,0,0
Nonafluorobutane-1-sulfinic acid,External Targets,tentative,48777,4.001,19.598,148.24,282.9487,2.21,N/A,N/A,0,552.0971,0
"2-Amino-6,6,7,7,8,8,8-heptafluorooctanoic acid or 2-Methyl-4,4-bis(trifluoromethyl)-1,4-dihydro-2H-3,1-benzoxazine or Ethyl 4,4,5,5,6,6,6-heptafluoronorleucinate",External Targets,tentative,46362,7.218,20.414,154.37,284.0529,0.72 or 4.74,N/A,N/A,0,709.8494,0
"2-hydroxy-4-(2,2,3,3,3-pentafluoropropoxy)benzoic Acid",External Targets,tentative,536,3.364,21.218,160.59,285.0182,-3.4,N/A,N/A,1304428.387,446966.287,296905.787
AI 3-18011,External Targets,tentative,16628,8.2095,19.4375,146.915,288.025,-5.14,N/A,N/A,0,0,8417.948
"N-Ethyl-2,2,3,3,4,4,5,5,5-nonafluoropentanamide or N-Ethyl-2,3,3,4,4,4-hexafluoro-2-(trifluoromethyl)butanamide",External Targets,tentative,21247,6.341,21.019,159.07,290.0226,-2.37,N/A,N/A,4197.345,353.4322,0
"N-Ethyl-2,2,3,3,4,4,5,5,5-nonafluoropentanamide or N-Ethyl-2,3,3,4,4,4-hexafluoro-2-(trifluoromethyl)butanamide",External Targets,tentative,17790,6.86,20.849,158.06,290.019,-14.78,N/A,N/A,7069.883,0,0
"5-(Heptafluoropropyl)-6-methylpyrimidine-2,4(1H,3H)-dione",External Targets,tentative,43991,7.035,21.38,162,293.0129,-12.78,N/A,N/A,873.6598,0,0
"3,3,4,5,5,6,6,7,7,7-Decafluoroheptan-2-ol",External Targets,tentative,51126,5.129,19.723,148.91,295.0144,-14.29,N/A,N/A,0,0,420.1737
"2,2,3,3,3-Pentafluoro-1-(2,2,3,3,3-pentafluoropropoxy)propan-1-ol or 2,2,3-Trifluoro-3-(heptafluoropropoxy)propan-1-ol",External Targets,tentative,18814,7.611,21.773,164.87,296.9991,4.1,N/A,N/A,6125.998,0,0
5:1 Fluorotelomer alcohol,External Targets,tentative,19063,4.824,20.562,155.68,298.9936,0.19,N/A,N/A,5917.217,0,0
EF5,External Targets,tentative,761,3.575333333,21.88466667,165.3333333,301.0338333,-9.03,N/A,N/A,1056755.587,155024.587,110976.887
"Benzoic acid, 5-amino-2-(2-hydroxy-1,1,1,3,3,3-hexafluoro-2-propyl)-",External Targets,tentative,34629,5.157,17.645,133.13,302.0224,-11.03,N/A,N/A,0,1565.988,0
"2,2,3,3,4,4,4-Heptafluoro-N'-phenylbutanehydrazide",External Targets,tentative,41899,7.845,21.834,165.19,303.0397,7.66,N/A,N/A,997.943,0,0
"2,2,3,3-Tetrafluoropropyl 4-(2H-tetrazol-5-yl)benzoate",External Targets,tentative,11336,6.426,21.717,163.93,303.0546,11.69,N/A,N/A,18256.639,737.3891,3017.806
"4-(2-Bromo-2,3,3,3-tetrafluoropropanamido)butanoic acid",External Targets,tentative,15860,4.099,21.056,159.21,307.9579,9.13,N/A,N/A,9521.119,0,0
"2,2,3,3,4,5,5,5-octafluoro-4-(trifluoromethyl)pentanoic acid or 2,2,3,4,4,5,5,5-Octafluoro-3-(trifluoromethyl)pentanoic acid or Perfluorohexanoic acid",External Targets,tentative,40261,6.568,21.709,164.03,312.9705,-7.38,N/A,N/A,1104.606,0,0
"2-(4,4,5,5,6,6,6-heptafluorohexyl)propanedioic Acid or 2-Hydroxy-2-phenyl-5,5-bis(trifluoromethyl)oxolan-3-one",External Targets,tentative,49489,7.826,19.717,149.01,313.0335,5.99 or 9.64,N/A,N/A,508.3945,0,0
2-Amino-3-(perfluoropropyl)-1-phenyl-3-propanol,External Targets,tentative,46664,8.0162,21.4098,161.134,318.06882,-14.5,N/A,N/A,0,0,7077.134
6-Methoxy-5-(pentafluoroethyl)naphthalene-1-carboxylic acid,External Targets,tentative,40197,7.739,20.893,157.48,319.0404,1.55,N/A,N/A,0,12.16893232,0
