Match,Match Source,Classification Type,ID,RT,DT,CCS,m/z,Mass Error (ppm),CCS Error (%),RT Error (%), 9-M-E1-A-1.d.DeMP,10-M-E1-A-2.d.DeMP, 11-M-E1-A-3.d.DeMP, 16-DBS-E1-A-1.d.DeMP, 17-DBS-E1-A-2.d.DeMP, 18-DBS-E1-A-3.d.DeMP, 41-M-E4-A-1.d.DeMP, 42-M-E4-A-2.d.DeMP, 43-M-E4-A-3.d.DeMP, 47-DBS-E4-A-1.d.DeMP, 48-DBS-E4-A-2.d.DeMP, 49-DBS--E4-A-3.d.DeMP
PMPA (M-H-CO2),PFAS Standards,likely,4437.0,7.354,14.849,115.69,184.9835,-4.32,0.43,N/A,0.001,0.001,0.001,0.001,0.001,0.001,148.0,110.0,118.0,172.0,116.0,209.0
PMPA (M-H-CO2),PFAS Standards,likely,4437.0,7.354,14.849,115.69,184.9835,-4.32,0.43,N/A,0.001,0.001,0.001,0.001,0.001,0.001,148.0,110.0,118.0,172.0,116.0,209.0
PFHxA (M-H-CO2),PFAS Standards,likely,4302.0,6.842,16.378,124.86,268.9817,-4.83,-0.19,N/A,0.001,0.001,0.001,0.001,0.001,0.001,226.0,186.0,0.001,180.0,153.0,162.0
PFHpA (M-H-CO2),PFAS Standards,likely,523.0,8.497,17.525,132.56,318.9784,-4.39,0.14,N/A,625.0,534.0,607.0,612.0,623.0,577.0,2688.0,1962.0,1875.0,2149.0,1594.0,1973.0
PFOA (M-H-CO2),PFAS Standards,likely,318.0,9.672,18.565,139.6,368.975,-4.34,0.07,N/A,853.0,970.0,809.0,947.0,1004.0,738.0,5511.0,3924.0,3895.0,4725.0,3712.0,4184.0
PFNA (M-H-CO2),PFAS Standards,likely,1391.0,10.607,19.681,147.32,418.9712,-5.25,0.2,N/A,92.0,99.0,143.0,129.0,0.001,0.001,777.0,483.0,563.0,734.0,538.0,756.0
PFNA (M-H-CO2),PFAS Standards,likely,5156.0,11.844,19.678,147.305,418.97195,-3.46,0.19,N/A,0.002,0.002,0.002,0.002,0.002,0.002,305.0,162.0,0.002,382.0,277.0,143.001
6:2 FTS (M-H),PFAS Standards,likely,12884.0,9.489,22.561,168.65,426.9656,-5.39,0.31,N/A,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,118.0,0.001,0.001
PFDA (M-H-CO2),PFAS Standards,likely,4945.0,11.336,20.869,155.64,468.9674,-5.97,0.23,N/A,0.001,0.001,0.001,0.001,0.001,0.001,183.0,132.0,107.0,140.0,0.001,180.0
PFOS (M-H),PFAS Standards,likely,1968.0,10.58,22.669,168.71,498.9279,-4.61,0.26,N/A,87.0,0.001,0.001,0.001,0.001,0.001,439.0,397.0,328.0,505.0,440.0,469.0
NMeFOSAA (M-H),PFAS Standards,likely,461.0,12.673,25.923,192.16,569.9653,-3.51,1.13,N/A,384.0,366.0,331.0,358.0,286.0,263.0,2784.0,2574.0,2217.0,4040.0,2510.0,2810.0
