Match,Match Source,Classification Type,ID,RT,DT,CCS,m/z,Mass Error (ppm),CCS Error (%),RT Error (%),35 2286 - Serum.d.DeMP,38 2182 - Serum.d.DeMP,41 2187 - Serum.d.DeMP,44 2854 - Serum.d.DeMP,47 2911 - Serum.d.DeMP, 125 1777 - Serum.d.DeMP,128 1821 - Serum.d.DeMP,131 1673 - Serum.d.DeMP,134 1894 - Serum.d.DeMP,137 3330 - Serum.d.DeMP,80 2003 - Serum.d.DeMP,83 2095 - Serum.d.DeMP,86 2046 - Serum.d.DeMP,89 2889 - Serum.d.DeMP,92 3021 - Serum.d.DeMP
No Match,None,unmatched,5657,3.34,17.16,132.17,219.91,,,,210,0,0,0,0,0,99,0,0,0,0,0,0,133,0
No Match,None,unmatched,1528,6.35,16.69,128.54,220.9,,,,261,258,338,761,329,398,0,378,341,382,279,501,285,264,0
No Match,None,unmatched,421,5.91,17.05,131.32,220.94,,,,842,1423,1784,2556,1331,1398,1654,1970,2303,2922,1219,2649,1861,1518,526
No Match,None,unmatched,555,6.84,17.05,131.29,221.95,,,,754,350,610,1347,1153,531,2660,647,1557,2107,768,1948,781,404,2336
No Match,None,unmatched,1103,6.35,16.7,128.53,222.9,,,,358,338,455,915,484,621,438,639,513,685,410,632,329,419,0
No Match,None,unmatched,1353,6.84,17.06,131.36,223.95,,,,0,344,596,1353,1300,722,0,0,0,0,738,0,0,464,0
No Match,None,unmatched,3353,6.35,16.7,128.5,224.89,,,,0,0,162,240,107,128,0,122,127,154,0,156,137,0,0
No Match,None,unmatched,3137,5.91,17.08,131.38,224.93,,,,0,158,0,0,103,0,0,0,235,319,128,262,171,136,0
No Match,None,unmatched,3569,4.1,16.72,128.37,230.93,,,,113,0,0,0,0,0,297,0,78,0,344,200,0,156,0
No Match,None,unmatched,19,6.38,17.86,136.78,244.91,,,,21953,19939,18224,126897,27118,90977,50343,40890,30080,29716,26687,54919,46416,34506,10823
No Match,None,unmatched,5115,6.38,18.83,144.15,246.9,,,,0,0,0,230,0,192,0,0,0,0,0,136,0,0,0
No Match,None,unmatched,5251,6.25,18,137.67,250.99,,,,0,0,0,0,227,0,0,144,0,0,0,0,0,153,0
No Match,None,unmatched,5207,2.39,19.02,145.19,258.99,,,,0,0,0,0,96,121,142,0,0,0,173,0,0,0,0
No Match,None,unmatched,6113,4.14,17.65,134.7,260.91,,,,0,0,0,0,122,0,69,0,172,0,0,0,0,0,0
No Match,None,unmatched,1035,2.59,19.72,150.21,273.01,,,,0,0,0,1316,2493,0,2654,0,0,0,1019,409,0,0,0
No Match,None,unmatched,584,4.87,17.22,131.04,278.91,,,,645,379,594,1848,1106,2025,2059,1329,499,665,1562,1982,714,699,497
No Match,None,unmatched,6224,6.09,19.67,149.55,280.93,,,,0,0,82,0,0,0,79,0,80,0,0,0,0,0,106
No Match,None,unmatched,5262,3.67,20.49,155.41,302.97,,,,0,0,0,109,205,0,0,0,0,99,0,109,0,0,0
No Match,None,unmatched,5776,3.68,20.5,155.38,304.97,,,,0,0,0,0,170,126,123,0,0,0,0,0,0,0,0
No Match,None,unmatched,2298,6.67,19.49,147.61,308.97,,,,171,0,193,178,188,234,210,280,173,181,154,201,0,216,183
No Match,None,unmatched,6557,6.87,19.61,148.14,326.96,,,,78,0,0,0,0,0,0,0,0,93,0,75,0,0,56
No Match,None,unmatched,6737,9.43,20.71,154.95,430.98,,,,0,0,70,0,0,0,72,0,0,88,0,0,51,0,0
No Match,None,unmatched,792,10.95,23.77,177.66,450.92,,,,152,0,0,4455,0,3127,0,0,0,73,178,2974,0,0,0
No Match,None,unmatched,752,11.05,20.85,155.69,468.97,,,,0,460.75,557.75,922.75,260.75,559.75,433.75,666.75,81.75,74.75,291.75,876.75,1014.75,35.75,0
No Match,None,unmatched,3799,11.46,22.84,170.13,504.97,,,,0,107,88,120,0,157,93,158,102,0,0,0,112,0,119
No Match,None,unmatched,3968,11.46,22.84,170.05,507.97,,,,0,0,0,0,97,159,124,0,114,134,102,135,111,0,0
No Match,None,unmatched,2716,11.68,22.03,163.99,518.97,,,,0,145,114,409,0,177,160,245,0,117,0,183,396,0,0
