ID,RT,DT,CCS,m/z, 9-M-E1-A-1.d.DeMP,10-M-E1-A-2.d.DeMP, 11-M-E1-A-3.d.DeMP, 16-DBS-E1-A-1.d.DeMP, 17-DBS-E1-A-2.d.DeMP, 18-DBS-E1-A-3.d.DeMP, 41-M-E4-A-1.d.DeMP, 42-M-E4-A-2.d.DeMP, 43-M-E4-A-3.d.DeMP, 47-DBS-E4-A-1.d.DeMP, 48-DBS-E4-A-2.d.DeMP, 49-DBS--E4-A-3.d.DeMP
1,14.419,23.219,176.3,281.2488,385962.0,384420.0,383451.0,380057.0,373766.0,373920.0,404760.0,403034.0,401260.0,394435.0,393775.0,391493.0
2,14.969,23.384,177.48,283.2647,301118.0,293742.0,298629.0,288086.0,270596.0,271964.0,379834.0,381441.0,376247.0,372383.0,375674.0,371287.0
3,13.821,23.15,175.83,279.2334,309282.0,309446.0,311627.0,313828.0,298460.0,297441.0,344944.0,334723.0,336993.0,340005.0,337261.0,345337.0
4,14.133,22.19,169.29,255.2334,161560.0,161682.0,155303.0,172757.0,144535.0,150967.0,288071.0,295878.0,295474.0,249250.0,228019.0,206443.0
5,14.547,25.974,195.24,355.3227,0.001,0.001,0.001,367207.0,377092.0,375043.0,0.001,0.001,0.001,420053.0,419676.0,420951.0
6,13.86,24.167,182.85,303.2333,146735.0,140874.0,138842.0,131620.0,116256.0,111229.0,234159.0,227478.0,224727.0,229411.0,225768.0,222255.0
7,14.951,28.577,212.87,464.3154,81249.0,77461.0,77262.0,71080.0,60355.0,59839.0,290897.0,272124.0,282668.0,290829.0,276663.0,282847.0
8,15.144,26.941,201.93,383.3538,0.001,0.001,0.001,156849.0,153972.0,160931.0,0.001,0.001,0.001,395385.0,377068.0,374341.0
9,14.776,27.91,208.27,438.3002,36651.0,33882.0,34418.0,30476.0,27539.0,24676.0,220090.0,190752.0,212828.0,232738.0,228399.0,224638.0
10,15.099,28.257,211.37,405.2652,63967.0,68129.0,63601.0,64727.0,57188.0,49702.0,192877.0,204698.0,152448.0,131776.0,136793.0,127048.0
11,14.248,24.173,182.85,305.2491,26663.0,25367.0,23960.0,22466.0,16812.0,17869.0,188623.0,167794.0,174074.0,204854.0,179273.0,148754.0
12,16.323,25.698,193.51,339.3276,7283.0,9859.0,9669.0,65258.0,73720.0,58391.0,27041.0,32116.0,26178.0,322961.0,281785.0,281636.0
13,13.935,22.607,172.08,267.2329,27366.0,25734.0,24809.0,26533.0,20970.0,20811.0,163731.0,148380.0,149634.0,176864.0,171492.0,168086.0
14,16.066,27.214,203.98,383.3541,0.001,0.001,0.001,56163.0,57824.0,55266.0,0.001,0.001,0.001,331868.0,305696.0,303285.0
15,14.483,30.716,228.62,473.2836,34362.0,37534.0,31459.0,50204.0,42523.0,39098.0,149179.0,136884.0,123984.0,137501.0,132178.0,141986.0
16,10.634,22.689,168.78,506.9564,24448.0,22493.0,22217.0,26170.0,21995.0,18619.0,140812.0,125666.0,115480.0,171982.0,138589.0,139463.0
17,15.413,26.112,196.28,355.3219,0.001,0.001,0.001,47449.0,47761.0,44019.0,312.0,334.0,405.0,292400.0,268161.0,263195.0
18,13.684,24.809,187.11,327.2909,0.001,0.001,0.001,31180.0,29449.0,31002.0,0.001,0.001,0.001,300316.0,246524.0,279862.0
19,13.228,26.436,198.42,369.3011,0.001,0.001,0.001,28251.0,24032.0,23571.0,2425.0,0.001,167.0,300302.0,243533.0,257620.0
20,15.108,24.28,183.55,309.2803,32346.0,30801.0,31255.0,28959.0,22196.0,21607.0,137579.0,129698.0,105273.0,104619.0,99928.0,94392.0
21,14.629,22.766,173.22,269.2489,29359.0,0.001,27356.0,87.0,0.001,0.001,182244.0,172556.0,168663.0,87065.0,89339.0,78325.0
22,14.806,23.745,179.88,295.2649,19083.0,18937.0,18263.0,16896.0,13373.0,13378.0,139575.0,131658.0,105857.0,120933.0,125196.0,111344.0
23,14.045,23.126,175.65,279.2332,22904.0,22267.0,22024.0,30477.0,25247.0,25157.0,170628.0,155760.0,162752.0,190034.0,0.001,0.001
24,15.375,28.873,215.04,466.331,18567.0,17567.0,22412.0,17351.0,14402.0,14904.0,179309.0,128811.0,122912.0,98955.0,90365.0,81393.0
25,8.647,20.132,150.87,401.9467,21274.0,19322.0,19125.0,20906.0,17635.0,14709.0,126942.0,96446.0,90662.0,143342.0,103708.0,102901.0
26,2.323,17.629,137.08,187.0075,33892.0,32411.0,32759.0,29878.0,25983.0,25535.0,88102.0,76972.0,87082.0,99551.0,89025.0,88575.0
27,14.548,27.783,207.94,399.3306,0.001,0.001,0.001,114651.0,127894.0,128094.0,0.001,0.001,0.001,107533.0,114412.0,114527.0
28,9.567,22.247,169.06,277.1448,16978.0,14357.0,14842.0,15740.0,11868.0,11709.0,106366.0,76562.0,88676.0,111490.0,102001.0,99911.0
29,14.608,25.211,190.03,331.2648,24075.0,20547.0,20090.0,17588.0,13223.0,13431.0,148057.0,136851.0,136265.0,45466.0,47749.0,41090.0
30,15.557,24.545,185.5,311.2956,8153.0,6661.0,6289.0,16818.0,15719.0,12754.0,41159.0,49632.0,52346.0,157454.0,136040.0,128144.0
31,14.148,27.558,206.3,397.3335,0.001,0.001,0.001,22896.0,24018.0,24703.0,0.001,0.001,0.001,182887.0,164764.0,179140.0
32,13.397,22.002,167.93,253.2179,11745.0,11371.0,11139.0,10805.0,8686.0,8254.0,81041.0,74535.0,76162.0,106752.0,92777.0,91442.0
33,14.71,24.226,183.2,307.2646,11491.0,10876.0,10962.0,9481.0,7831.0,7980.0,90751.0,77604.0,82662.0,94091.0,88331.0,79999.0
34,13.061,25.764,194.33,325.185,16292.0,13790.0,14430.0,6836.0,4149.0,5123.0,85731.0,92565.0,130861.0,85309.0,54279.0,59018.0
35,5.41,17.629,133.64,301.9529,14671.0,14079.0,13690.0,15516.0,13357.0,10405.0,87774.0,64534.0,66679.0,103781.0,78193.0,63494.0
36,14.882,26.468,198.66,369.3379,0.001,0.001,0.001,20320.0,20547.0,20680.0,0.001,0.001,0.001,180859.0,149763.0,140379.0
37,14.163,25.18,189.85,329.2491,31235.0,29386.0,28834.0,23093.0,17997.0,19256.0,83003.0,80284.0,78520.0,46721.0,41089.0,40338.0
38,12.488,25.191,190.36,311.1689,13888.0,10801.0,12041.0,6563.0,3883.0,4882.0,74034.0,77185.0,106438.0,85892.0,53338.0,57870.0
39,13.141,24.51,184.9,325.1847,13264.0,11541.0,12330.0,0.001,0.001,5714.0,83533.0,98834.0,124875.0,96873.0,65.0,57128.0
40,15.068,28.397,211.7,452.3149,7528.0,7137.0,7202.0,6739.0,5379.0,5570.0,93234.0,72781.0,72304.0,86702.0,70946.0,67103.0
41,12.937,22.908,173.62,293.1788,5111.0,3574.0,3487.0,2823.0,1242.0,6617.0,66715.0,72050.0,141488.0,57104.0,102490.0,35632.0
42,12.543,23.949,181.02,311.1692,10630.0,9533.0,10412.0,0.001,0.001,0.001,68236.0,70378.0,90271.0,88249.0,51567.0,62167.0
43,15.723,26.674,200.2,369.3379,0.001,0.001,0.001,13280.0,15052.0,14421.0,0.001,0.001,0.001,153432.0,122714.0,124530.0
44,15.217,23.938,181.28,297.2805,9295.0,8734.0,9036.0,9129.0,7155.0,5717.0,60233.0,56462.0,50142.0,74915.0,67009.0,62382.0
45,15.05,29.26,217.73,480.3106,6669.0,5771.0,6062.0,5766.0,0.001,0.001,71158.0,56910.0,56214.0,65760.0,60660.0,56896.0
46,13.575,25.027,188.48,339.2003,0.001,7524.0,8561.0,0.001,0.001,0.001,59264.0,58920.0,84789.0,65992.0,41139.0,48435.0
47,14.902,24.947,188.14,327.2908,0.001,0.001,0.001,13538.0,12311.0,12391.0,0.001,0.001,0.001,112361.0,98255.0,85003.0
