SampleName,Compound,Combination,Isotope_Label,Normalized_Intensity_exp,Normalized_Intensity_ref,Intensity_Diff,Avg_Diff,Predicted_F_per_C,Peak_mz_1,Max_Carbons,Max_Fluorines,CF_Avg_Diff,CF_Combination
NIST SRM-1957 1.d.DeMP,12,Cl1_Br0,M+0,1.0,1.0,0.0,0.11895191851983657,2.14,498.9283,9,19,0.015086239778748595,C9_F19
NIST SRM-1957 1.d.DeMP,12,Cl1_Br0,M+1,0.08130430119060389,0.0,0.08130430119060389,0.11895191851983657,2.14,498.9283,9,19,0.015086239778748595,C9_F19
NIST SRM-1957 1.d.DeMP,12,Cl1_Br0,M+2,0.04440630698273088,0.3199577613516367,0.2755514543689058,0.11895191851983657,2.14,498.9283,9,19,0.015086239778748595,C9_F19
NIST SRM-1957 1.d.DeMP,41,Cl1_Br0,M+0,1.0,1.0,0.0,0.09667867780712935,2.5,398.93524,6,15,0.03102046600303633,C6_F15
NIST SRM-1957 1.d.DeMP,41,Cl1_Br0,M+1,0.05518676310314079,0.0,0.05518676310314079,0.09667867780712935,2.5,398.93524,6,15,0.03102046600303633,C6_F15
NIST SRM-1957 1.d.DeMP,41,Cl1_Br0,M+2,0.08510849103338948,0.3199577613516367,0.23484927031824726,0.09667867780712935,2.5,398.93524,6,15,0.03102046600303633,C6_F15
NIST SRM-1957 1.d.DeMP,43,Cl1_Br0,M+0,1.0,1.0,0.0,0.12281740486681604,1.96,498.92833,10,19,0.01813291021530386,C10_F19
NIST SRM-1957 1.d.DeMP,43,Cl1_Br0,M+1,0.09149498151082937,0.0,0.09149498151082937,0.12281740486681604,1.96,498.92833,10,19,0.01813291021530386,C10_F19
NIST SRM-1957 1.d.DeMP,43,Cl1_Br0,M+2,0.04300052826201796,0.3199577613516367,0.2769572330896188,0.12281740486681604,1.96,498.92833,10,19,0.01813291021530386,C10_F19
NIST SRM-1957 1.d.DeMP,104,Cl0_Br1,M+0,1.0,1.0,0.0,0.02611698683358515,2.64,368.97459,5,13,0.0009223338982454372,C5_F13
NIST SRM-1957 1.d.DeMP,104,Cl0_Br1,M+1,0.0522339736671703,0.0,0.0522339736671703,0.02611698683358515,2.64,368.97459,5,13,0.0009223338982454372,C5_F13
NIST SRM-1957 10.d.DeMP,12,Cl1_Br0,M+0,1.0,1.0,0.0,0.1182209515351158,2.21,498.92433,9,19,0.019475060718266646,C9_F19
NIST SRM-1957 10.d.DeMP,12,Cl1_Br0,M+1,0.08407979575057337,0.0,0.08407979575057337,0.1182209515351158,2.21,498.92433,9,19,0.019475060718266646,C9_F19
NIST SRM-1957 10.d.DeMP,12,Cl1_Br0,M+2,0.049374702496862696,0.3199577613516367,0.270583058854774,0.1182209515351158,2.21,498.92433,9,19,0.019475060718266646,C9_F19
NIST SRM-1957 10.d.DeMP,40,Cl0_Br1,M+0,1.0,1.0,0.0,0.03340671436433682,2.4,398.93217,6,14,0.0009595294861401149,C6_F14
NIST SRM-1957 10.d.DeMP,40,Cl0_Br1,M+1,0.06681342872867364,0.0,0.06681342872867364,0.03340671436433682,2.4,398.93217,6,14,0.0009595294861401149,C6_F14
