Score,SeriesType_Identifier,Name_or_Class,Formula,SMILES,m/z,Retention Time,Adduct,Unique,Score_Description,Needs_Validation,row.ID,DT,CCS,Z,Ions,Freq.,Q.Score,Sat.,Mark,X2286.17.d.DeMP,ID_Ranked,nominal mass,mass defect,[CF2]n_Kendrick_mass,[CF2]n_nominal_Kendrick_mass,[CF2]n_Kendrick_mass_defect,[CF2]n_KMD_Group,[CF2]n_homologous_series,[CF2]n_Homologous_series_count,[CF2]n_MD_Filter,[CF2]n_RT_series,[CF2]n_DT_series,Confident_ID,2+_homologous_series,3+_homologous_series,Exact_mass_match,Score.1,Score_Description.1,Checked_Viz,TRUE_Viz,Class_Viz,Cnumb_Viz,Comment_Viz,Classification
A,[CF2]n_13,PMPA|(M-H-CO2)-|NA|CAS=NA,C4HF7O3,,184.9852,11.165,,Yes,Lvl 2 Schymanski: Confident ID (class specific dominant fragments observed along with exact mass) and 2+ in homologous series,No,1413,14.978,115.97,-1,1,37,99.8,,FALSE,505.999,1_PMPA|(M-H-CO2)-|NA|CAS=NA;C4HF7O3;NA | 1_PFMPA|(M-H-CO2)-|DTXSID70191136|CAS=377-73-1;C4HF7O3;OC(=O)C(F)(F)C(F)(F)OC(F)(F)F,185,-0.0148,184.997016,185,-0.002984019,37,13,2,TRUE,RT not ordered,DT not ordered,TRUE,TRUE,FALSE,FALSE,A,Lvl 2 Schymanski: Confident ID (class specific dominant fragments observed along with exact mass) and 2+ in homologous series,,,,,,likely
A-,[CF2]n_0,Nafion Byproduct 2|(M-H)-|DTXSID10892352|CAS=749836-20-2,C7H2F14O5S,[H]C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(F)S(O)(=O)=O)C(F)(F)F)C(F)(F)F,462.9294,8.778,,Yes,Lvl 2 Schymanski: Confident ID (class specific dominant fragments and exact mass),No,504,20.872,155.11,-1,3,64,100,,FALSE,1241.7,1_Nafion Byproduct 2|(M-H)-|DTXSID10892352|CAS=749836-20-2;C7H2F14O5S;[H]C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(F)S(O)(=O)=O)C(F)(F)F)C(F)(F)F | 1_Nafion Byproduct 2|(M-H)-|DTXSID10892352|CAS=749836-20-2;C7H2F14O5S;[H]C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(F)S(O)(=O)=O)C(F)(F)F)C(F)(F)F,463,-0.0706,462.9589697,463,-0.041030255,33,0,0,TRUE,,,TRUE,FALSE,FALSE,FALSE,A-,Lvl 2 Schymanski: Confident ID (class specific dominant fragments and exact mass),,,,,,likely
A-,[CF2]n_0,PFDA|(M-H-CO2)-|DTXSID3031860|CAS=335-76-2,C10HF19O2,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,468.9681,11.222,,Yes,Lvl 2 Schymanski: Confident ID (class specific dominant fragments and exact mass),No,121,20.985,155.86,-1,2,105,100,,FALSE,5525.452,1_PFDA|(M-H-CO2)-|DTXSID3031860|CAS=335-76-2;C10HF19O2;OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F | 1_13C6- PFDA|(M-H-CO2)-|NA|CAS=NA;C10HF19O2;NA | 1_PFDA|(M-H-CO2)-|DTXSID3031860|CAS=335-76-2;C10HF19O2;OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,469,-0.0319,468.9980555,469,-0.001944531,37,0,0,TRUE,,,TRUE,FALSE,FALSE,FALSE,A-,Lvl 2 Schymanski: Confident ID (class specific dominant fragments and exact mass),,,,,,likely
A-,[CF2]n_0,PFOS-L|(M-H)-|NA|CAS=NA,C8HF17O3S,,498.9307,10.463,,Yes,Lvl 2 Schymanski: Confident ID (class specific dominant fragments and exact mass),No,4,22.768,168.82,-1,6,107,100,x,FALSE,170810.5,1_PFOS-L|(M-H)-|NA|CAS=NA;C8HF17O3S;NA | 1_13C8- PFOS|(M-H)-|NA|CAS=NA;C8HF17O3S;NA | 1_PFOS|(M-H)-|DTXSID3031864|CAS=1763-23-1;C8HF17O3S;OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,499,-0.0693,498.9625693,499,-0.037430662,34,0,0,TRUE,,,TRUE,FALSE,FALSE,FALSE,A-,Lvl 2 Schymanski: Confident ID (class specific dominant fragments and exact mass),,,,,,likely
A,[CF2]n_11,PFDA|(M-H)-|DTXSID3031860|CAS=335-76-2,C10HF19O2,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,512.9581,11.222,,Yes,Lvl 2 Schymanski: Confident ID (class specific dominant fragments observed along with exact mass) and 2+ in homologous series,No,526,23.529,174.34,-1,2,83,100,,FALSE,1008.359,1_PFDA|(M-H)-|DTXSID3031860|CAS=335-76-2;C10HF19O2;OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F | 1_PFDA|(M-H)-|DTXSID3031860|CAS=335-76-2;C10HF19O2;OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,513,-0.0419,512.9908653,513,-0.009134658,36,11,2,TRUE,RT ordered,DT ordered,TRUE,TRUE,FALSE,FALSE,A,Lvl 2 Schymanski: Confident ID (class specific dominant fragments observed along with exact mass) and 2+ in homologous series,,,,,,likely
A,[CF2]n_11,PFDoA|(M-H)-|DTXSID8031861|CAS=307-55-1,C12HF23O2,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,612.9523,12.463,,Yes,Lvl 2 Schymanski: Confident ID (class specific dominant fragments observed along with exact mass) and 2+ in homologous series,No,326,26.042,192.14,-1,4,91,100,,FALSE,353.1847,1_PFDoA|(M-H)-|DTXSID8031861|CAS=307-55-1;C12HF23O2;OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F | 1_13C2- PFDoA|(M-H)-|NA|CAS=NA;C12HF23O2;NA | 1_PFDoA|(M-H)-|DTXSID8031861|CAS=307-55-1;C12HF23O2;OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,613,-0.0477,612.9914525,613,-0.0085475,36,11,2,TRUE,RT ordered,DT ordered,TRUE,TRUE,FALSE,FALSE,A,Lvl 2 Schymanski: Confident ID (class specific dominant fragments observed along with exact mass) and 2+ in homologous series,,,,,,likely
C+,[CF2]n_11,"2,2,3,3,4,4,5,5,6,6,7,7,8,9,9,9-hexadecafluoro-8-(trifluoromethyl)nonanoic acid/2,2,3,3,4,4,5,5,6,6,7,7,8,9,9,9-hexadecafluoro-8-(trifluoromethyl)nonanoic acid/2,2,3,3,4,4,5,5,6,6,7,7,8,9,9,9-hexadecafluoro-8-(trifluoromethyl)nonanoic acid",C10HF19O2,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,512.9579,11.223,,Yes,"Lvl 5 Schymanski: Possible ID, possible PFAS: 2+ in homologous series, and at least one confident PFAS identification within homologous series (A- or higher grade)",Yes,608,26.885,199.2,-1,2,82,100,,FALSE,1023.306,4_PFDA|(M-H)-|DTXSID3031860|CAS=335-76-2;C10HF19O2;OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F | 4_PFDA|(M-H)-|DTXSID3031860|CAS=335-76-2;C10HF19O2;OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,513,-0.0421,512.9906653,513,-0.009334671,36,11,2,TRUE,RT ordered,DT not ordered,FALSE,TRUE,FALSE,TRUE,C+,"Lvl 5 Schymanski: Possible ID, possible PFAS: 2+ in homologous series, and at least one confident PFAS identification within homologous series (A- or higher grade)",,,,,,TRUE
C+,[CF2]n_9,"Perfluorononanesulfonic acid/2,2'-(2-Iodo-5-methyl-1,3-phenylene)bis(hexafluoropropan-2-ol)",C9HF19SO3,,548.9252,10.94,,Yes,"Lvl 5 Schymanski: Possible ID, possible PFAS: 2+ in homologous series, and at least one confident PFAS identification within homologous series (A- or higher grade)",Yes,1428,23.57,174.35,-1,2,35,98.5,,FALSE,600.999,4_PFNS-L|(M-H)-|NA|CAS=NA;C9HF19SO3;NA | 4_PFNS|(M-H)-|DTXSID60873010|CAS=474511-07-4;C9HF19SO3;OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,549,-0.0748,548.9602628,549,-0.039737249,33,9,3,TRUE,RT ordered,DT ordered,FALSE,TRUE,TRUE,TRUE,C+,"Lvl 5 Schymanski: Possible ID, possible PFAS: 2+ in homologous series, and at least one confident PFAS identification within homologous series (A- or higher grade)",,,,,,TRUE
C+,[CF2]n_9,Perfluorodecanesulfonic acid,C10HF21O3S,,598.9213,11.592,,Yes,"Lvl 5 Schymanski: Possible ID, possible PFAS: 2+ in homologous series, and at least one confident PFAS identification within homologous series (A- or higher grade)",Yes,567,24.777,182.91,-1,3,78,99.1,,FALSE,301.5903,4_PFDS-L|(M-H)-|NA|CAS=NA;C10HF21O3S;NA | 4_PFDS|(M-H)-|DTXSID00873014|CAS=126105-34-8;C10HF21O3S;OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,599,-0.0787,598.9595563,599,-0.040443734,33,9,3,TRUE,RT ordered,DT ordered,FALSE,TRUE,TRUE,TRUE,C+,"Lvl 5 Schymanski: Possible ID, possible PFAS: 2+ in homologous series, and at least one confident PFAS identification within homologous series (A- or higher grade)",,,,,,TRUE
D,[CF2]n_30,nan,,,350.05,13.966,,,"Lvl 5 Schymanski: No ID, possible PFAS: 3+ within homologous series",Yes,3130,22.124,165.95,-1,2,18,51.3,,FALSE,32.67832,5_NoID,350,0.05,350.0723595,350,0.072359542,44,30,3,TRUE,RT not ordered,DT ordered,FALSE,TRUE,TRUE,FALSE,D,"Lvl 5 Schymanski: No ID, possible PFAS: 3+ within homologous series",,,,,,FALSE
