Match,Match Source,Classification Type,Confidence Level,Notes,ID,RT,DT,CCS,m/z,Mass Error (ppm),CCS Error (%),RT Error (%),35 2286 - Serum.d.DeMP, 36 2286 - Mitra.d.DeMP, 37 2286 - DBS.d.DeMP, 38 2182 - Serum.d.DeMP, 39 2182 - Mitra.d.DeMP, 40 2182 - DBS.d.DeMP, 41 2187 - Serum.d.DeMP, 42 2187 - Mitra.d.DeMP, 43 2187 - DBS.d.DeMP, 44 2854 - Serum.d.DeMP, 45 2854 - Mitra.d.DeMP, 46 2854 - DBS.d.DeMP, 47 2911 - Serum.d.DeMP, 48 2911 - Mitra.d.DeMP, 49 2911 - DBS.d.DeMP, 125 1777 - Serum.d.DeMP, 126 1777 - Mitra.d.DeMP, 127 1777 - DBS.d.DeMP, 128 1821 - Serum.d.DeMP, 129 1821 - Mitra.d.DeMP, 130 1821 - DBS.d.DeMP, 131 1673 - Serum.d.DeMP, 132 1673 - Mitra.d.DeMP, 133 1673 - DBS.d.DeMP, 134 1894 - Serum.d.DeMP, 135 1894 - Mitra.d.DeMP, 136 1894 - DBS.d.DeMP, 137 3330 - Serum.d.DeMP, 138 3330 - Mitra.d.DeMP, 139 3330 - DBS.d.DeMP, 80 2003 - Serum.d.DeMP, 81 2003 - Mitra.d.DeMP, 82 2003 - DBS.d.DeMP, 83 2095 - Serum.d.DeMP, 84 2095 - Mitra.d.DeMP, 85 2095 - DBS.d.DeMP, 86 2046 - Serum.d.DeMP, 87 2046 - Mitra.d.DeMP, 88 2046 - DBS.d.DeMP, 89 2889 - Serum.d.DeMP, 90 2889 - Mitra.d.DeMP, 91 2889 - DBS.d.DeMP, 92 3021 - Serum.d.DeMP, 93 3021 - Mitra.d.DeMP, 94 3021 - DBS.d.DeMP, DBS 2184.d.DeMP
PFOA (M-H-CO2),PFAS Standards,likely,,,962,9.413666667,18.51066667,139.26,368.9749333,-4.52,-0.17,N/A,496.6499542,0,823.2370908,0,0,0,0,0,21.64995419,0,0,0,0,0,0,0,0,14575.23709,346.6499542,0,0,0,0,0,0,0,8378.237091,0,0,25043.23709,0,0,870.2370908,0,0,0,0,0,0,0,0,0,0,0,0,0
PFHxS (M-H),PFAS Standards,likely,,,46,8.3165,19.9775,149.875,398.93595,-1.63,-0.42,N/A,0,0,161894.8493,0,0,194622.8493,2127.849334,1691.849334,232595.8493,0,0,0,0,0,378927.8493,0,4622.849334,60184.84933,0,13643.84933,139689.8493,0,3495.849334,158718.8493,0,5609.849334,264466.8493,109923.8493,185.8493343,157198.8493,0,0,334763.8493,59699.84933,20200.84933,40022.84933,23891.84933,11307.84933,21707.84933,7335.849334,49720.84933,347496.8493,0,0,146790.8493,36945.84933
PFHxS (M-H),PFAS Standards,likely,,,2086,8.873,20.101,150.815,398.9342,-6.02,0.21,N/A,0,0,0,0,0,0,0,0,354.7778889,0,0,0,0,0,1521.777889,0,0,39.77788889,0,0,0,0,44.77788889,0,0,0,0,0,0,0,15.77788889,0,0,0,0,0,0,0,0,0,0,748.7778889,0,0,42.77788889,0
PFNA (M-H-CO2),PFAS Standards,likely,,,334,10.304,19.651,147.21,418.9715,-4.53,0.14,N/A,0,0,0,0,0,0,1182.574331,0,0,354.5743306,0,0,0,0,0,328.5743306,0,0,255.5743306,0,0,225.5743306,0,0,0,0,0,0,0,0,0,0,0,2022.574331,0,0,2015.574331,0,0,0,0,0,0,0,0,0
PFHpS (M-H),PFAS Standards,likely,,,2105,9.337,21.203,158.5,448.9312,-4.9,-0.44,N/A,928.999,254.999,224.999,1847.999,252.999,243.999,4924.999,616.999,481.999,2909.999,444.999,0,410.999,0,1140.999,1190.999,124.999,0,1285.999,335.999,180.999,2553.999,385.999,369.999,1886.999,407.999,319.999,508.999,94.999,184.999,4769.999,536.999,641.999,8777.999,781.999,351.999,5527.999,853.999,0,2274.999,439.999,608.999,0,0,97.999,318.999
PFOS (M-H),PFAS Standards,likely,,,27,10.319,22.641,168.71,498.9295,-1.4,0.24,N/A,9928.236017,3442.236017,5984.236017,42289.23602,6561.236017,8782.236017,60931.23602,13955.23602,14856.23602,42877.23602,9310.236017,0,12778.23602,4285.236017,33406.23602,28213.23602,4158.236017,4036.236017,35337.23602,10968.23602,8328.236017,42722.23602,9800.236017,9244.236017,26999.23602,11328.23602,10927.23602,15600.23602,3240.236017,5059.236017,59278.23602,11724.23602,20266.23602,99497.23602,13377.23602,8177.236017,69659.23602,19077.23602,7265.236017,20960.23602,6795.236017,16089.23602,1959.236017,426.2360168,3269.236017,5224.236017
"2,3,3,3-Tetrafluoro-1-(2-hydroxyphenyl)propan-1-one",External Targets,tentative,,,1117,13.02,17.106,131.76,221.0213,-8.2,N/A,N/A,0,0,0,355.5556667,352.5556667,446.5556667,131.5556667,537.5556667,0,287.5556667,0,0,0,476.5556667,0,350.5556667,0,388.5556667,0,0,0,0,0,337.5556667,0,356.5556667,0,0,0,0,0,482.5556667,0,0,0,459.5556667,0,0,447.5556667,0,350.5556667,0,0,0,0,480.5556667
"2,2,3,3-Tetrafluoro-2,3-dihydro-1,4-benzodioxin-5-amine or 2,2,3,3-Tetrafluoro-2,3-dihydro-1,4-benzodioxin-6-amine or 2,2,4,4-Tetrafluoro-2H,4H-1,3-benzodioxin-6-amine",External Targets,tentative,,,5769,8.148,16.7,128.56,222.02,7.38,N/A,N/A,0,0,0,55.999,0,0,0,0,0,0,0,0,0,55.999,0,0,0,0,0,0,70.999,0,0,56.999,0,0,0,0,0,0,51.999,0,51.999,0,71.999,0,0,0,0,0,0,0,0,0,0,0
Nonafluoro-tert-butanol or Perfluorobutanol,External Targets,tentative,,,1440,11.584,15.974,122.61,234.9797,-5.91,N/A,N/A,0,1272.999,0,0,838.999,0,0,1374.999,0,0,0,0,0,556.999,0,0,1002.999,67.999,0,0,0,0,0,0,0,259.999,0,0,868.999,0,0,0,0,0,0,0,0,2105.999,107.999,0,185.999,0,0,101.999,0,0
"4-[(2,2,3,3-Tetrafluoropropyl)sulfanyl]benzene-1,2-diamine",External Targets,tentative,,,4083,4.836,17.73,135.52,253.04,-11.07,N/A,N/A,0,0,0,233.999,0,0,0,0,0,0,0,0,108.999,0,0,0,0,0,236.999,0,0,163.999,0,0,158.999,0,0,267.999,99.999,0,0,0,0,0,0,0,0,0,0,202.999,0,0,0,0,0,0
"5-(Heptafluoropropyl)-N-methyl-1,3,4-oxadiazol-2-amine",External Targets,tentative,Level 4,"Predicted CCS: 139.5 aligns, using no sulfur, only 1 possible molecular formula",3438,3.477,18.044,137.6,266.0169,-0.3,N/A,N/A,0,0,0,0,0,0,240.999,0,0,0,168.999,0,70.999,0,0,184.999,0,0,0,416.999,304.999,0,0,80.999,0,0,0,0,0,0,270.999,0,0,218.999,0,0,161.999,0,0,0,0,0,0,0,0,0
