Match,Match Source,Classification Type,ID,RT,DT,CCS,m/z,Mass Error (ppm),CCS Error (%),RT Error (%),37 2286 - DBS.d.DeMP,40 2182 - DBS.d.DeMP,43 2187 - DBS.d.DeMP,46 2854 - DBS.d.DeMP,49 2911 - DBS.d.DeMP,127 1777 - DBS.d.DeMP,130 1821 - DBS.d.DeMP,133 1673 - DBS.d.DeMP,136 1894 - DBS.d.DeMP,139 3330 - DBS.d.DeMP,82 2003 - DBS.d.DeMP,85 2095 - DBS.d.DeMP,88 2046 - DBS.d.DeMP,91 2889 - DBS.d.DeMP,94 3021 - DBS.d.DeMP,DBS 2184.d.DeMP
PFNA (M-H-CO2),PFAS Standards,likely,646.0,10.316,19.657,147.2,418.9714,-4.77,0.14,N/A,98.4304185986224,186.4304185986224,203.4304185986224,0.0,119.4304185986224,140.4304185986224,30.430418598622396,353.4304185986224,124.4304185986224,238.4304185986224,0.0,333.4304185986224,270.4304185986224,56.430418598622396,0.0,0.0
"Methyl 4,4,5,5-tetrafluoro-3,3-dihydroxypentanoate",External Targets,tentative,286.0,13.691500000000001,17.455,134.39249999999998,219.02743750000002,-5.27,N/A,N/A,1090.999,921.999,0.0,0.0,1777.999,2544.999,1670.999,2679.999,0.0,958.999,1841.999,1247.999,1710.999,1137.999,2192.999,4045.999
"Methyl 4,4,5,5-tetrafluoro-3,3-dihydroxypentanoate",External Targets,tentative,520.0,14.19525,17.451,134.32250000000002,219.027325,-5.78,N/A,N/A,813.999,1687.999,2185.999,0.0,1731.999,837.999,877.999,0.0,0.0,0.0,983.999,1813.999,953.999,761.999,940.999,3576.999
"4-bromo-3,3,4,4-tetrafluorobutan-1-ol",External Targets,tentative,2331.0,5.979,17.087,131.37,222.9364,-10.36,N/A,N/A,68.999,0.0,0.0,0.0,0.0,0.0,0.0,88.999,0.0,88.999,0.0,0.0,0.0,0.0,0.0,597.999
"Methyl 4,4,5,5-tetrafluoro-3-hydroxy-3-methoxypentanoate",External Targets,tentative,1434.0,12.78475,18.3305,140.68999999999997,233.04217500000004,-8.87,N/A,N/A,253.999,0.0,272.999,0.0,228.999,350.999,257.999,344.999,309.999,311.999,228.999,292.999,269.999,310.999,219.999,0.0
"Methyl 4,4,5,5-tetrafluoro-3-hydroxy-3-methoxypentanoate",External Targets,tentative,1957.0,13.351666666666667,18.321,140.57333333333332,233.0421,-9.19,N/A,N/A,0.0,225.999,241.999,0.0,0.0,309.999,292.999,189.999,315.999,320.999,233.999,321.999,329.999,0.0,0.0,372.999
"Methyl 4,4,5,5-tetrafluoro-3-hydroxy-3-methoxypentanoate",External Targets,tentative,1166.0,13.674,18.326,140.64,233.0421,-9.19,N/A,N/A,0.0,225.999,241.999,0.0,0.0,309.999,292.999,189.999,315.999,320.999,233.999,321.999,329.999,0.0,0.0,372.999
"1H-Pyrazol-5-ol, 1-phenyl-3-(1,1,2,2-tetrafluoroethyl)- or 2,2,3,3,4,4,5,5-Octafluoro-1,6-hexanediamine",External Targets,tentative,3932.0,11.811,18.959,144.74,259.0472,-10.79 or -5.77,N/A,N/A,75.999,0.0,0.0,0.0,0.0,0.0,0.0,56.999,52.999,64.999,0.0,0.0,0.0,0.0,0.0,0.0
"3-(1,1,1,3,3,3-Hexafluoro-2-hydroxypropan-2-yl)bicyclo[2.2.1]heptan-2-one or 3-(2-Methylprop-1-en-1-yl)-2,2-bis(trifluoromethyl)cyclopropane-1-carboxylic acid",External Targets,tentative,3237.0,13.728,19.896,151.29,275.0553,14.84,N/A,N/A,0.0,0.0,0.0,0.0,75.999,0.0,0.0,0.0,114.999,0.0,0.0,0.0,0.0,0.0,0.0,229.999
3-[(Nonafluorobutyl)sulfanyl]propan-1-ol,External Targets,tentative,1391.0,14.231,21.024,159.18,309.0044,13.89,N/A,N/A,0.0,228.999,467.999,0.0,0.0,175.999,180.999,0.0,156.999,254.999,154.999,0.0,126.999,175.999,350.999,0.0
"N-(2-Azido-1,1,1,3,3,3-hexafluoropropan-2-yl)benzamide",External Targets,tentative,2442.0,13.435,21.253,160.86,311.0353,-6.43,N/A,N/A,127.999,0.0,0.0,0.0,0.0,0.0,0.0,112.999,0.0,161.999,149.999,72.999,0.0,0.0,137.999,0.0
"2-(4,4,5,5,6,6,6-heptafluorohexyl)propanedioic Acid or 2-Hydroxy-2-phenyl-5,5-bis(trifluoromethyl)oxolan-3-one",External Targets,tentative,3364.0,12.28,19.6585,148.7,313.03364999999997,6.47 or 10.12,N/A,N/A,0.0,0.0,0.0,0.0,0.0,88.999,0.0,58.999,74.999,73.999,0.0,0.0,0.0,87.999,0.0,0.0
"Phenol, 4,4'-(2,2,3,3,4,4,5,5-octafluoropentylidene)bis-",External Targets,tentative,2868.0,8.19,19.87,149.04,399.0592,-11.21,N/A,N/A,0.0,173.999,0.0,0.0,0.0,0.0,70.999,83.999,0.0,131.999,0.0,0.0,0.0,0.0,90.999,0.0
6:2 Fluorotelomer phosphate monoester,External Targets,tentative,3909.0,10.155,20.433,152.81,442.9721,-0.52,N/A,N/A,0.0,123.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.999,67.999,0.0,0.0
"2-[2-(Tridecafluorohexyl)-5,6-dihydropyrimidin-1(4H)-yl]ethan-1-ol or 4-(Tridecafluorohexyl)cyclohexane-1-carboxylic acid",External Targets,tentative,3110.0,10.021,24.524,182.97,445.0528,-14.15 or 11.09,N/A,N/A,0.0,0.0,0.0,0.0,0.0,91.999,0.0,0.0,106.999,0.0,0.0,0.0,0.0,0.0,0.0,265.999
"1,1,2,2,3,3,4,4,5,6,6,7,7,7-tetradecafluoro-5-(trifluoromethyl)heptane-1-sulfonic acid or 1,1,2,2,3,3,4,5,5,6,6,7,7,7-tetradecafluoro-4-(trifluoromethyl)heptane-1-sulfonic acid or 1,1,2,2,3,3,5,5,6,6,6-undecafluoro-4,4-bis(trifluoromethyl)hexane-1-sulfonic acid or 1,1,2,2,3,4,4,5,5,6,6,7,7,7-tetradecafluoro-3-(trifluoromethyl)heptane-1-sulfonic acid or 1,1,2,3,3,4,4,5,5,6,6,7,7,7-tetradecafluoro-2-(trifluoromethyl)heptane-1-sulfonic acid or Heptadecafluorooctane-2-sulfonic acid or IsoPFOS or Perfluorooctanesulfonic acid",External Targets,tentative,187.0,10.2062,22.0468,164.31199999999998,498.92807999999997,-4.28,N/A,N/A,116.999,645.2858601231054,3346.285860123105,0.0,217.999,0.0,0.0,1882.285860123105,0.0,0.0,202.999,2016.285860123105,1148.2858601231055,0.0,0.0,706.2858601231054
"1,1'-Peroxybis(2,2,3,3,4,4,5,5,6,6-decafluorocyclohexan-1-ol) or Perfluoro-1,10-decanedicarboxylic acid",External Targets,tentative,3187.0,7.318,22.946,170.51,588.9508,-8.99,N/A,N/A,114.999,91.999,73.999,0.0,92.999,0.0,0.0,0.0,0.0,0.0,59.999,0.0,0.0,0.0,0.0,0.0
docosafluorotridecanedioic acid,External Targets,tentative,789.0,8.245,23.898,177.01,638.9515,-2.19,N/A,N/A,292.112018155701,278.112018155701,229.11201815570098,0.0,188.11201815570095,0.0,0.0,0.0,0.0,0.0,52.112018155700945,67.11201815570095,127.11201815570095,62.112018155700945,85.11201815570095,0.0
