ID,RT,DT,CCS,m/z,Abundance,36 2286 - Mitra.d.DeMP, 39 2182 - Mitra.d.DeMP, 42 2187 - Mitra.d.DeMP, 45 2854 - Mitra.d.DeMP, 48 2911 - Mitra.d.DeMP, 126 1777 - Mitra.d.DeMP, 129 1821 - Mitra.d.DeMP, 132 1673 - Mitra.d.DeMP, 135 1894 - Mitra.d.DeMP, 138 3330 - Mitra.d.DeMP, 81 2003 - Mitra.d.DeMP, 84 2095 - Mitra.d.DeMP, 87 2046 - Mitra.d.DeMP, 90 2889 - Mitra.d.DeMP, 93 3021 - Mitra.d.DeMP,Blank 1.d,Blank 2.d,Blank 3.d
1,13.904,30.659,228.7,473.2841,188332,91132,115370,122960,213807,243223,219247,187062,159229,209387,203268,154250,181762,241157,275589,207543,71903,27207,131772
2,13.87,23.169,176.16,281.2488,148672,127123,200809,165017,195566,145106,180460,143100,173161,98438,99288,137607,134204,170901,75313,183988,2103,1794,1730
3,14.438,23.361,177.56,283.2649,137949,120741,162884,156686,147214,126318,136871,123361,158207,156322,111069,91606,126762,176822,125323,149042,6151,3361,3650
4,13.615,22.182,169.43,255.2332,107505,97870,121602,113550,114116,107792,108096,105534,111580,108840,93522,88851,106683,120862,96436,117235,12360,13006,12308
5,13.314,23.128,175.92,279.2332,91897,66456,98065,87775,110362,83681,106870,92488,103489,79508,66712,105488,78315,108664,54498,136082,0.001,0.001,0.001
6,0.234,20.326,154.35,291.0836,60011,58397,50423,50980,57056,51236,38034,67388,73765,76497,75901,44215,59922,71158,67873,57321,0.001,0.001,0.001
7,13.344,24.09,182.57,303.2332,54025,53549,58847,71267,55455,78093,54904,52251,55107,58125,52169,36187,35306,46581,41149,61386,0.001,0.001,0.001
8,12.415,35.191,260.33,674.1867,39060,34710,36569,29729,35709,33071,32515,46463,43903,42578,43563,38495,42104,42149,43065,41283,0.001,0.001,0.001
9,8.438,20.107,150.84,398.9366,38529,26611,19280,35371,33167,24880,38302,47323,37175,39289,33865,29916,53880,44987,83400,30492,34960,19380,51982
10,13.071,26.39,199.04,339.2003,34924,0.001,41007,39634,36185,27054,34980,33331,46806,35044,38169,28133,36001,34282,45616,47614,35784,0.001,56599
11,7.486,26.131,196.55,367.159,33332,16401,31638,20844,17574,52452,7554,62129,53349,46617,72120,7420,32386,23045,31202,25243,0.001,0.001,0.001
12,12.415,34.653,256.57,646.1911,31144,28370,30720,23501,28821,25133,24716,39134,34965,33458,35582,29398,33497,33513,34515,31839,0.001,0.001,0.001
13,13.382,19.558,150.5,223.0286,28245,14517,36096,23491,37963,16763,14959,40290,40897,31257,28594,19091,26219,40057,31918,21566,0.001,0.001,0.001
14,13.751,29.345,218.85,480.3115,27275,25667,25772,20143,29245,21408,24869,34382,31115,39718,28317,16743,21456,42617,21239,26431,0.001,0.001,0.001
15,12.506,27.596,206.59,421.2275,25813,19858,17695,17018,17684,24860,27078,46278,21828,31051,30473,30216,19581,27299,30328,25948,2971,1331,2154
