SampleName,Compound,Heavy_Halogen_Presence,r_CF2,m_over_Cm,md_over_Cm,Predicted_F_per_C,RT,DT,CCS,Peak_mz,m/z,Peak_intensity
129 1821 - Mitra.d.DeMP,64.0,Cl3_Br0,0.01620057208723434,-0.004115600893719814,-0.016200572029149388,1.03,6.393,17.8550205230713,136.7314453125,244.90784,244.90784,11904.0
129 1821 - Mitra.d.DeMP,64.0,Cl3_Br0,0.01620057208723434,-0.004115600893719814,-0.016200572029149388,1.03,6.393,17.8550205230713,136.7314453125,245.9099,244.90784,863.0
129 1821 - Mitra.d.DeMP,64.0,Cl3_Br0,0.01620057208723434,-0.004115600893719814,-0.016200572029149388,1.03,6.393,17.8550205230713,136.7314453125,246.90505,244.90784,10964.0
129 1821 - Mitra.d.DeMP,64.0,Cl3_Br0,0.01620057208723434,-0.004115600893719814,-0.016200572029149388,1.03,6.393,17.8550205230713,136.7314453125,247.90733,244.90784,757.0
129 1821 - Mitra.d.DeMP,64.0,Cl3_Br0,0.01620057208723434,-0.004115600893719814,-0.016200572029149388,1.03,6.393,17.8550205230713,136.7314453125,248.90129,244.90784,3192.0
129 1821 - Mitra.d.DeMP,64.0,Cl3_Br0,0.01620057208723434,-0.004115600893719814,-0.016200572029149388,1.03,6.393,17.8550205230713,136.7314453125,249.9035,244.90784,221.0
129 1821 - Mitra.d.DeMP,64.0,Cl3_Br0,0.01620057208723434,-0.004115600893719814,-0.016200572029149388,1.03,6.393,17.8550205230713,136.7314453125,250.89716,244.90784,288.0
132 1673 - Mitra.d.DeMP,64.0,Cl0_Br1,0.01619277133861489,-0.003869627582592452,-0.01619277128724074,1.23,6.393,17.8550205230713,136.7314453125,244.90767,244.90767,7679.0
132 1673 - Mitra.d.DeMP,64.0,Cl0_Br1,0.01619277133861489,-0.003869627582592452,-0.01619277128724074,1.23,6.393,17.8550205230713,136.7314453125,245.91028,244.90767,546.0
132 1673 - Mitra.d.DeMP,64.0,Cl0_Br1,0.01619277133861489,-0.003869627582592452,-0.01619277128724074,1.23,6.393,17.8550205230713,136.7314453125,246.90485,244.90767,7383.0
132 1673 - Mitra.d.DeMP,64.0,Cl0_Br1,0.01619277133861489,-0.003869627582592452,-0.01619277128724074,1.23,6.393,17.8550205230713,136.7314453125,247.90666,244.90767,468.0
132 1673 - Mitra.d.DeMP,64.0,Cl0_Br1,0.01619277133861489,-0.003869627582592452,-0.01619277128724074,1.23,6.393,17.8550205230713,136.7314453125,248.90116,244.90767,2100.0
132 1673 - Mitra.d.DeMP,64.0,Cl0_Br1,0.01619277133861489,-0.003869627582592452,-0.01619277128724074,1.23,6.393,17.8550205230713,136.7314453125,249.90432,244.90767,162.0
132 1673 - Mitra.d.DeMP,64.0,Cl0_Br1,0.01619277133861489,-0.003869627582592452,-0.01619277128724074,1.23,6.393,17.8550205230713,136.7314453125,250.89814,244.90767,172.0
132 1673 - Mitra.d.DeMP,118.0,No,0.006072313853855164,0.011719796632023974,0.006072312597207637,2.64,10.025,22.1692638397217,165.221572875977,498.92975,498.92975,3752.0
132 1673 - Mitra.d.DeMP,118.0,No,0.006072313853855164,0.011719796632023974,0.006072312597207637,2.64,10.025,22.1692638397217,165.221572875977,499.93226,498.92975,245.0
132 1673 - Mitra.d.DeMP,118.0,No,0.006072313853855164,0.011719796632023974,0.006072312597207637,2.64,10.025,22.1692638397217,165.221572875977,500.92617,498.92975,134.0
135 1894 - Mitra.d.DeMP,113.0,No,0.005192331703380762,0.010537367980279546,0.0051923305153452875,2.64,10.025,22.1692638397217,165.221572875977,498.93049,498.93049,3038.0
135 1894 - Mitra.d.DeMP,113.0,No,0.005192331703380762,0.010537367980279546,0.0051923305153452875,2.64,10.025,22.1692638397217,165.221572875977,499.93237,498.93049,207.0
36 2286 - Mitra.d.DeMP,60.0,Cl3_Br0,0.016187365529883823,-0.0036219745469442256,-0.01618736548486003,1.13,6.393,17.8550205230713,136.7314453125,244.90749,244.90749,4817.0
36 2286 - Mitra.d.DeMP,60.0,Cl3_Br0,0.016187365529883823,-0.0036219745469442256,-0.01618736548486003,1.13,6.393,17.8550205230713,136.7314453125,245.91054,244.90749,336.0
36 2286 - Mitra.d.DeMP,60.0,Cl3_Br0,0.016187365529883823,-0.0036219745469442256,-0.01618736548486003,1.13,6.393,17.8550205230713,136.7314453125,246.9046,244.90749,4497.0
36 2286 - Mitra.d.DeMP,60.0,Cl3_Br0,0.016187365529883823,-0.0036219745469442256,-0.01618736548486003,1.13,6.393,17.8550205230713,136.7314453125,247.90666,244.90749,295.0
36 2286 - Mitra.d.DeMP,60.0,Cl3_Br0,0.016187365529883823,-0.0036219745469442256,-0.01618736548486003,1.13,6.393,17.8550205230713,136.7314453125,248.90123,244.90749,1245.0
36 2286 - Mitra.d.DeMP,106.0,No,0.0019627257883979726,0.0023069670047882003,-0.0019627256377543856,1.73,10.025,22.1692638397217,165.221572875977,498.92917,498.92917,911.0
