Match,Match Source,Classification Type,ID,RT,DT,CCS,m/z,Mass Error (ppm),CCS Error (%),RT Error (%),35 2286 - Serum.d.DeMP, 36 2286 - Mitra.d.DeMP, 37 2286 - DBS.d.DeMP, 38 2182 - Serum.d.DeMP, 39 2182 - Mitra.d.DeMP, 40 2182 - DBS.d.DeMP, 41 2187 - Serum.d.DeMP, 42 2187 - Mitra.d.DeMP, 43 2187 - DBS.d.DeMP, 44 2854 - Serum.d.DeMP, 45 2854 - Mitra.d.DeMP, 46 2854 - DBS.d.DeMP, 47 2911 - Serum.d.DeMP, 48 2911 - Mitra.d.DeMP, 49 2911 - DBS.d.DeMP, 125 1777 - Serum.d.DeMP, 126 1777 - Mitra.d.DeMP, 127 1777 - DBS.d.DeMP, 128 1821 - Serum.d.DeMP, 129 1821 - Mitra.d.DeMP, 130 1821 - DBS.d.DeMP, 131 1673 - Serum.d.DeMP, 132 1673 - Mitra.d.DeMP, 133 1673 - DBS.d.DeMP, 134 1894 - Serum.d.DeMP, 135 1894 - Mitra.d.DeMP, 136 1894 - DBS.d.DeMP, 137 3330 - Serum.d.DeMP, 138 3330 - Mitra.d.DeMP, 139 3330 - DBS.d.DeMP, 80 2003 - Serum.d.DeMP, 81 2003 - Mitra.d.DeMP, 82 2003 - DBS.d.DeMP, 83 2095 - Serum.d.DeMP, 84 2095 - Mitra.d.DeMP, 85 2095 - DBS.d.DeMP, 86 2046 - Serum.d.DeMP, 87 2046 - Mitra.d.DeMP, 88 2046 - DBS.d.DeMP, 89 2889 - Serum.d.DeMP, 90 2889 - Mitra.d.DeMP, 91 2889 - DBS.d.DeMP, 92 3021 - Serum.d.DeMP, 93 3021 - Mitra.d.DeMP, 94 3021 - DBS.d.DeMP
PFOA (M-H-CO2),PFAS Standards,likely,1141.0,9.284500000000001,18.491,139.12,368.97535,-3.39,-0.27,N/A,416.6905634635963,0.0,823.4822621668245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14575.482262166825,266.6905634635963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8378.482262166825,0.0,0.0,25043.482262166825,0.0,0.0,870.4822621668245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PFHxS (M-H),PFAS Standards,likely,3565.0,8.941500000000001,20.1005,150.825,398.93425,-5.89,0.22,N/A,0.0,18.333444444444453,33.33344444444445,0.0,0.0,0.0,36.33344444444445,0.0,32.33344444444445,0.0,0.0,0.0,0.0,0.0,0.0,12.333444444444453,0.0,0.0,22.333444444444453,0.0,0.0,0.0,18.333444444444453,0.0,0.0,0.0,0.0,24.333444444444453,0.0,0.0,16.333444444444453,0.0,0.0,0.0,19.333444444444453,0.0,0.0,0.0,0.0,0.0,0.0,29.333444444444453,24.333444444444453,0.0,10.333444444444453
PFNA (M-H-CO2),PFAS Standards,likely,396.0,10.298,19.648,147.2,418.9716,-4.3,0.14,N/A,178.32200846659754,0.0,0.0,1830.3220084665975,128.32200846659754,68.32200846659754,3095.3220084665973,256.32200846659754,85.32200846659754,2267.3220084665973,231.32200846659754,0.0,1322.3220084665975,145.32200846659754,0.0,2241.3220084665973,0.0,22.322008466597538,2168.3220084665973,361.32200846659754,0.0,2138.3220084665973,160.32200846659754,235.32200846659754,1752.3220084665975,170.32200846659754,0.0,444.32200846659754,34.32200846659754,120.32200846659754,1424.3220084665975,0.0,0.0,3935.3220084665977,134.32200846659754,215.32200846659754,3928.3220084665977,483.32200846659754,152.32200846659754,485.32200846659754,0.0,0.0,0.0,0.0,0.0
PFHpS (M-H),PFAS Standards,likely,2456.0,9.3325,21.1985,158.47,448.9312,-4.9,-0.46,N/A,152.49898470937217,0.0,0.0,1071.498984709372,0.0,0.0,4148.498984709373,0.0,0.0,2133.498984709372,0.0,0.0,0.0,0.0,364.49898470937205,414.49898470937205,0.0,0.0,509.49898470937205,0.0,0.0,1777.498984709372,0.0,0.0,1110.498984709372,0.0,0.0,0.0,0.0,0.0,3993.4989847093725,0.0,0.0,8001.498984709371,0.0,0.0,4751.498984709373,77.49898470937217,0.0,1498.498984709372,0.0,0.0,0.0,0.0,0.0
PFOS (M-H),PFAS Standards,likely,28.0,10.313,22.638,168.7,498.9297,-1.0,0.24,N/A,0.0,0.0,0.0,14303.203091982796,0.0,0.0,32945.203091982796,0.0,0.0,14891.203091982796,0.0,0.0,0.0,0.0,5420.203091982796,227.20309198279574,0.0,0.0,7351.203091982796,0.0,0.0,14736.203091982796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31292.203091982796,0.0,0.0,71511.2030919828,0.0,0.0,41673.203091982796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(-)-1-Perfluoropropylethanol or (2S)-3,3,4,4,5,5,5-Heptafluoropentan-2-ol or 1-Perfluoropropylethanol or 2(Perfluoro-2-propyl)ethanol or 3:2 Fluorotelomer alcohol",External Targets,tentative,4810.0,2.722,17.696,136.58,213.0142,-6.49,N/A,N/A,54.11122222222222,0.0,0.0,38.11122222222222,0.0,0.0,38.11122222222222,0.0,0.0,60.11122222222222,0.0,0.0,27.111222222222217,20.111222222222217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.111222222222217,0.0,0.0,0.0,0.0,34.11122222222222,0.0,0.0,0.0,0.0,35.11122222222222,21.111222222222217,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"4-bromo-3,3,4,4-tetrafluorobutan-1-ol",External Targets,tentative,2055.0,5.921,17.059,131.33,222.9362,-11.26,N/A,N/A,648.999,123.999,68.999,952.999,106.999,0.0,0.0,214.999,0.0,0.0,203.999,0.0,866.999,0.0,0.0,0.0,74.999,0.0,0.0,148.999,0.0,0.0,226.999,88.999,0.0,237.999,0.0,0.0,327.999,88.999,776.999,0.0,0.0,0.0,170.999,0.0,1063.999,0.0,0.0,0.0,0.0,0.0,308.999,0.0,0.0
"4-[(2,2,3,3-Tetrafluoropropyl)sulfanyl]benzene-1,2-diamine",External Targets,tentative,4707.0,4.836,17.73,135.52,253.04,-11.07,N/A,N/A,0.0,0.0,0.0,233.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.999,0.0,0.0,0.0,0.0,0.0,236.999,0.0,0.0,163.999,0.0,0.0,158.999,0.0,0.0,267.999,99.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,202.999,0.0,0.0,0.0,0.0,0.0
"5-(Heptafluoropropyl)-N-methyl-1,3,4-oxadiazol-2-amine",External Targets,tentative,3958.0,3.477,18.044,137.6,266.0169,-0.3,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0,240.999,0.0,0.0,0.0,168.999,0.0,70.999,0.0,0.0,184.999,0.0,0.0,0.0,416.999,304.999,0.0,0.0,80.999,0.0,0.0,0.0,0.0,0.0,0.0,270.999,0.0,0.0,218.999,0.0,0.0,161.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tetrafluron,External Targets,tentative,4523.0,5.322,18.911,143.84,279.0774,4.26,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.999,0.0,0.0,173.999,0.0,0.0,0.0,0.0,0.0,185.999,0.0,0.0,291.999,0.0,0.0,217.999,0.0,0.0,176.999,0.0,0.0,0.0,0.0,0.0,109.999,0.0,0.0,134.999,0.0,0.0,171.999,0.0,0.0,77.999,0.0,0.0
