Match,Match Source,Classification Type,ID,RT,DT,CCS,m/z,Mass Error (ppm),CCS Error (%),RT Error (%),35 2286 - Serum.d.DeMP, 38 2182 - Serum.d.DeMP, 41 2187 - Serum.d.DeMP, 44 2854 - Serum.d.DeMP, 47 2911 - Serum.d.DeMP, 125 1777 - Serum.d.DeMP, 128 1821 - Serum.d.DeMP, 131 1673 - Serum.d.DeMP, 134 1894 - Serum.d.DeMP, 137 3330 - Serum.d.DeMP, 80 2003 - Serum.d.DeMP, 83 2095 - Serum.d.DeMP, 86 2046 - Serum.d.DeMP, 89 2889 - Serum.d.DeMP, 92 3021 - Serum.d.DeMP
PFOA (M-H-CO2),PFAS Standards,likely,1570,9.405333333,18.511,139.3033333,368.9749,-4.61,-0.14,N/A,9823.562713,3324.562713,5821.562713,12146.56271,7507.562713,13586.56271,11214.56271,4994.562713,9085.562713,8171.562713,10180.56271,10273.56271,11697.56271,6900.562713,2105.562713
PFHxS (M-H),PFAS Standards,likely,359,8.3105,19.9745,149.92,398.9357,-2.26,-0.39,N/A,12633.36812,7111.368118,25643.36812,22362.36812,8539.368118,22526.36812,18776.36812,23511.36812,12772.36812,133439.3681,18490.36812,83215.36812,47407.36812,30851.36812,296.3681177
PFHxS (M-H),PFAS Standards,likely,3425,8.832,20.1045,150.845,398.93425,-5.89,0.23,N/A,125.999,193.999,142.999,0,0,119.999,104.999,134.999,118.999,0,217.999,117.999,0,0,0
PFHxS (M-H),PFAS Standards,likely,7120,9.278,20.117,150.81,398.9334,-8.02,0.21,N/A,0,0,0,0,0,0,49.999,0,0,59.999,51.999,73.999,0,0,0
PFNA (M-H-CO2),PFAS Standards,likely,329,10.299,19.645,147.22,418.9719,-3.58,0.15,N/A,396.4129508,2048.412951,3313.412951,2485.412951,1540.412951,2459.412951,2386.412951,2356.412951,1970.412951,662.4129508,1642.412951,4153.412951,4146.412951,703.4129508,0
PFHpS (M-H),PFAS Standards,likely,1809,9.3325,21.21,158.56,448.93155,-4.12,-0.4,N/A,928.999,1847.999,4924.999,2909.999,410.999,1190.999,1285.999,2553.999,1886.999,508.999,4769.999,8777.999,5527.999,2274.999,0
PFOS (M-H),PFAS Standards,likely,21,10.313,22.636,168.74,498.9297,-1,0.26,N/A,10119.89102,42480.89102,61122.89102,43068.89102,12969.89102,28404.89102,35528.89102,42913.89102,27190.89102,15791.89102,59469.89102,99688.89102,69850.89102,21151.89102,2150.891022
"(-)-1-Perfluoropropylethanol or (2S)-3,3,4,4,5,5,5-Heptafluoropentan-2-ol or 1-Perfluoropropylethanol or 2(Perfluoro-2-propyl)ethanol or 3:2 Fluorotelomer alcohol",External Targets,tentative,4735,2.726,17.692,136.7,213.0142,-6.49,N/A,N/A,122.999,106.999,106.999,128.999,95.999,0,0,0,0,0,0,0,103.999,0,0
"Methyl 4,4,5,5-tetrafluoro-3,3-dihydroxypentanoate",External Targets,tentative,3148,6.478,17.474,134.63,219.027,-7.27,N/A,N/A,0,0,0,389.999,0,0,468.999,0,0,0,0,0,644.999,0,0
"4-bromo-3,3,4,4-tetrafluorobutan-1-ol",External Targets,tentative,1564,5.917,17.064,131.4,222.936,-12.16,N/A,N/A,648.999,952.999,0,0,866.999,0,0,0,0,0,776.999,0,1063.999,0,308.999
"1,3-Benzenediamine, 4-(1,1,2,2-tetrafluoroethoxy)- or [3-(1,1,2,2-Tetrafluoroethoxy)phenyl]hydrazine",External Targets,tentative,6882,4.633,16.931,130.21,223.0526,11.68,N/A,N/A,0,0,0,0,0,0,97.999,0,0,86.999,0,0,0,0,78.999
"4-[(2,2,3,3-Tetrafluoropropyl)sulfanyl]benzene-1,2-diamine",External Targets,tentative,3289,4.835,17.731,135.54,253.0401,-10.68,N/A,N/A,0,233.999,0,0,108.999,0,236.999,163.999,158.999,267.999,0,0,0,202.999,0
"3-Amino-4,4,5,5-tetrafluoro-1-phenylpent-2-ene-1-thione",External Targets,tentative,4499,7.4895,18.9345,144.48,262.0351,12.2,N/A,N/A,0,255.999,0,0,0,0,0,0,0,0,308.999,405.999,254.999,0,0
