SampleName,Compound,Heavy_Halogen_Presence,r_CF2,m_over_Cm,md_over_Cm,Predicted_F_per_C,RT,DT,CCS,Peak_mz,m/z,Peak_intensity
125 1777 - Serum.d.DeMP,19.0,Cl3_Br0,0.016492730925961818,-0.0068454421279886485,-0.01649273076811424,0.89,6.382,17.8609657287598,136.77685546875,244.90859,244.90859,90977.0
125 1777 - Serum.d.DeMP,19.0,Cl3_Br0,0.016492730925961818,-0.0068454421279886485,-0.01649273076811424,0.89,6.382,17.8609657287598,136.77685546875,245.91114,244.90859,8429.0
125 1777 - Serum.d.DeMP,19.0,Cl3_Br0,0.016492730925961818,-0.0068454421279886485,-0.01649273076811424,0.89,6.382,17.8609657287598,136.77685546875,246.90548,244.90859,90927.0
125 1777 - Serum.d.DeMP,19.0,Cl3_Br0,0.016492730925961818,-0.0068454421279886485,-0.01649273076811424,0.89,6.382,17.8609657287598,136.77685546875,247.90816,244.90859,7965.0
125 1777 - Serum.d.DeMP,19.0,Cl3_Br0,0.016492730925961818,-0.0068454421279886485,-0.01649273076811424,0.89,6.382,17.8609657287598,136.77685546875,248.90245,244.90859,27232.0
125 1777 - Serum.d.DeMP,19.0,Cl3_Br0,0.016492730925961818,-0.0068454421279886485,-0.01649273076811424,0.89,6.382,17.8609657287598,136.77685546875,249.90464,244.90859,2237.0
125 1777 - Serum.d.DeMP,19.0,Cl3_Br0,0.016492730925961818,-0.0068454421279886485,-0.01649273076811424,0.89,6.382,17.8609657287598,136.77685546875,250.89908,244.90859,2845.0
125 1777 - Serum.d.DeMP,19.0,Cl3_Br0,0.016492730925961818,-0.0068454421279886485,-0.01649273076811424,0.89,6.382,17.8609657287598,136.77685546875,251.90133,244.90859,181.0
125 1777 - Serum.d.DeMP,49.0,No,0.007213558047403064,0.012766775319153174,0.007213556792123576,2.64,10.029,22.1778259277344,165.274383544922,498.93119,498.93119,7749.0
125 1777 - Serum.d.DeMP,49.0,No,0.007213558047403064,0.012766775319153174,0.007213556792123576,2.64,10.029,22.1778259277344,165.274383544922,499.93187,498.93119,488.0
125 1777 - Serum.d.DeMP,252.0,No,0.0026724769068150445,0.008477852944215563,0.002672475412695271,2.2,9.464,21.3678436279297,159.737197875977,448.93289,448.93289,1191.0
125 1777 - Serum.d.DeMP,252.0,No,0.0026724769068150445,0.008477852944215563,0.002672475412695271,2.2,9.464,21.3678436279297,159.737197875977,449.93634,448.93289,79.0
125 1777 - Serum.d.DeMP,372.0,Cl2_Br0,0.012713041256660387,-0.004836081104613666,-0.012713041154457023,1.06,5.914,17.052677154541,131.322280883789,220.9392,220.9392,1398.0
125 1777 - Serum.d.DeMP,372.0,Cl2_Br0,0.012713041256660387,-0.004836081104613666,-0.012713041154457023,1.06,5.914,17.052677154541,131.322280883789,221.94278,220.9392,97.0
125 1777 - Serum.d.DeMP,372.0,Cl2_Br0,0.012713041256660387,-0.004836081104613666,-0.012713041154457023,1.06,5.914,17.052677154541,131.322280883789,222.93672,220.9392,834.0
125 1777 - Serum.d.DeMP,678.0,Cl2_Br0,0.004859366609358959,0.00012390572297587082,-0.004859366609183437,1.44,10.951,23.7734527587891,177.661804199219,450.92653,450.92653,3127.0
125 1777 - Serum.d.DeMP,678.0,Cl2_Br0,0.004859366609358959,0.00012390572297587082,-0.004859366609183437,1.44,10.951,23.7734527587891,177.661804199219,451.92735,450.92653,312.0
125 1777 - Serum.d.DeMP,678.0,Cl2_Br0,0.004859366609358959,0.00012390572297587082,-0.004859366609183437,1.44,10.951,23.7734527587891,177.661804199219,452.92314,450.92653,1854.0
125 1777 - Serum.d.DeMP,678.0,Cl2_Br0,0.004859366609358959,0.00012390572297587082,-0.004859366609183437,1.44,10.951,23.7734527587891,177.661804199219,453.92489,450.92653,186.0
125 1777 - Serum.d.DeMP,678.0,Cl2_Br0,0.004859366609358959,0.00012390572297587082,-0.004859366609183437,1.44,10.951,23.7734527587891,177.661804199219,454.91982,450.92653,300.0
125 1777 - Serum.d.DeMP,745.0,No,0.000748327477501149,-0.005998901554474924,-0.0007483248058481641,0.95,4.546,17.2796306610107,133.428573608398,211.02423,211.02423,6082.0
125 1777 - Serum.d.DeMP,745.0,No,0.000748327477501149,-0.005998901554474924,-0.0007483248058481641,0.95,4.546,17.2796306610107,133.428573608398,212.02696,211.02423,447.0
128 1821 - Serum.d.DeMP,51.0,No,0.0038442847983307118,0.008830868231917439,0.003844283671343953,2.2,10.029,22.1778259277344,165.274383544922,498.93117,498.93117,7937.0
128 1821 - Serum.d.DeMP,51.0,No,0.0038442847983307118,0.008830868231917439,0.003844283671343953,2.2,10.029,22.1778259277344,165.274383544922,499.93276,498.93117,577.0
128 1821 - Serum.d.DeMP,51.0,No,0.0038442847983307118,0.008830868231917439,0.003844283671343953,2.2,10.029,22.1778259277344,165.274383544922,500.92658,498.93117,267.0
128 1821 - Serum.d.DeMP,386.0,Cl2_Br0,0.01131287606915318,-0.0017470695567511601,-0.011312876054164103,1.28,5.914,17.052677154541,131.322280883789,220.93935,220.93935,1654.0
128 1821 - Serum.d.DeMP,386.0,Cl2_Br0,0.01131287606915318,-0.0017470695567511601,-0.011312876054164103,1.28,5.914,17.052677154541,131.322280883789,221.94083,220.93935,91.0
128 1821 - Serum.d.DeMP,386.0,Cl2_Br0,0.01131287606915318,-0.0017470695567511601,-0.011312876054164103,1.28,5.914,17.052677154541,131.322280883789,222.93619,220.93935,940.0
128 1821 - Serum.d.DeMP,534.0,No,0.01153320973709284,0.0020490011615910014,-0.01153320971686909,1.71,4.866,17.2190208435059,131.04150390625,278.91394,278.91394,2059.0
128 1821 - Serum.d.DeMP,534.0,No,0.01153320973709284,0.0020490011615910014,-0.01153320971686909,1.71,4.866,17.2190208435059,131.04150390625,279.91613,278.91394,114.0
128 1821 - Serum.d.DeMP,898.0,No,0.0009415180805319689,-0.00402830849596251,-0.0009415171230193727,1.18,2.593,19.7186737060547,150.205703735352,273.00706,273.00706,2654.0
128 1821 - Serum.d.DeMP,898.0,No,0.0009415180805319689,-0.00402830849596251,-0.0009415171230193727,1.18,2.593,19.7186737060547,150.205703735352,274.00938,273.00706,213.0
128 1821 - Serum.d.DeMP,898.0,No,0.0009415180805319689,-0.00402830849596251,-0.0009415171230193727,1.18,2.593,19.7186737060547,150.205703735352,275.00565,273.00706,109.0
128 1821 - Serum.d.DeMP,2180.0,No,0.013418328006508409,-0.014278908959211923,-0.013418327162359325,0.67,5.324,18.2979393005371,139.519943237305,267.05638,267.05638,255.0
128 1821 - Serum.d.DeMP,2180.0,No,0.013418328006508409,-0.014278908959211923,-0.013418327162359325,0.67,5.324,18.2979393005371,139.519943237305,268.05437,267.05638,106.0
131 1673 - Serum.d.DeMP,19.0,Cl0_Br1,0.016275926900521338,-0.0049407010167738736,-0.016275926817199488,1.02,6.382,17.8609657287598,136.77685546875,244.90812,244.90812,40890.0
131 1673 - Serum.d.DeMP,19.0,Cl0_Br1,0.016275926900521338,-0.0049407010167738736,-0.016275926817199488,1.02,6.382,17.8609657287598,136.77685546875,245.91052,244.90812,3173.0
131 1673 - Serum.d.DeMP,19.0,Cl0_Br1,0.016275926900521338,-0.0049407010167738736,-0.016275926817199488,1.02,6.382,17.8609657287598,136.77685546875,246.90519,244.90812,40466.0
131 1673 - Serum.d.DeMP,19.0,Cl0_Br1,0.016275926900521338,-0.0049407010167738736,-0.016275926817199488,1.02,6.382,17.8609657287598,136.77685546875,247.90737,244.90812,3253.0
131 1673 - Serum.d.DeMP,19.0,Cl0_Br1,0.016275926900521338,-0.0049407010167738736,-0.016275926817199488,1.02,6.382,17.8609657287598,136.77685546875,248.90201,244.90812,11633.0
