Match,Match Source,Classification Type,ID,RT,DT,CCS,m/z,Mass Error (ppm),CCS Error (%),RT Error (abs),35 2286 - Serum.d.DeMP, 36 2286 - Mitra.d.DeMP, 37 2286 - DBS.d.DeMP, 38 2182 - Serum.d.DeMP, 39 2182 - Mitra.d.DeMP, 40 2182 - DBS.d.DeMP, 41 2187 - Serum.d.DeMP, 42 2187 - Mitra.d.DeMP, 43 2187 - DBS.d.DeMP, 44 2854 - Serum.d.DeMP, 45 2854 - Mitra.d.DeMP, 46 2854 - DBS.d.DeMP, 47 2911 - Serum.d.DeMP, 48 2911 - Mitra.d.DeMP, 49 2911 - DBS.d.DeMP, 125 1777 - Serum.d.DeMP, 126 1777 - Mitra.d.DeMP, 127 1777 - DBS.d.DeMP, 128 1821 - Serum.d.DeMP, 129 1821 - Mitra.d.DeMP, 130 1821 - DBS.d.DeMP, 131 1673 - Serum.d.DeMP, 132 1673 - Mitra.d.DeMP, 133 1673 - DBS.d.DeMP, 134 1894 - Serum.d.DeMP, 135 1894 - Mitra.d.DeMP, 136 1894 - DBS.d.DeMP, 137 3330 - Serum.d.DeMP, 138 3330 - Mitra.d.DeMP, 139 3330 - DBS.d.DeMP, 80 2003 - Serum.d.DeMP, 81 2003 - Mitra.d.DeMP, 82 2003 - DBS.d.DeMP, 83 2095 - Serum.d.DeMP, 84 2095 - Mitra.d.DeMP, 85 2095 - DBS.d.DeMP, 86 2046 - Serum.d.DeMP, 87 2046 - Mitra.d.DeMP, 88 2046 - DBS.d.DeMP, 89 2889 - Serum.d.DeMP, 90 2889 - Mitra.d.DeMP, 91 2889 - DBS.d.DeMP, 92 3021 - Serum.d.DeMP, 93 3021 - Mitra.d.DeMP, 94 3021 - DBS.d.DeMP,Detection Frequency (%),Average Abundance
PEPA (M-H-CO2),CCS Library,likely,1882.0,11.6,15.97,122.6,234.9797,-5.96,1.4,N/A,0.0,1272.999,0.0,0.0,838.999,0.0,0.0,1374.999,0.0,0.0,0.0,0.0,0.0,556.999,0.0,0.0,1002.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,259.999,0.0,0.0,868.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2105.999,107.999,0.0,185.999,0.0,0.0,101.999,0.0,24.4,189.0
PEPA (M-H-CO2),CCS Library,likely,1882.0,11.6,15.97,122.6,234.9797,-5.96,1.4,N/A,0.0,1272.999,0.0,0.0,838.999,0.0,0.0,1374.999,0.0,0.0,0.0,0.0,0.0,556.999,0.0,0.0,1002.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,259.999,0.0,0.0,868.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2105.999,107.999,0.0,185.999,0.0,0.0,101.999,0.0,24.4,189.0
PFOA (M-H-CO2),CCS Library,likely,7668.0,9.7,18.53,139.4,368.9744,-5.85,-0.07,N/A,416.6905634635963,0.0,823.4822621668245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14575.482262166825,266.6905634635963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8378.482262166825,0.0,0.0,25043.482262166825,0.0,0.0,870.4822621668245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.6,1095.0
PFUdA (M-H-CO2),CCS Library,likely,4657.0,11.7,22.03,164.0,518.9657,-2.5,0.39,N/A,0.0,0.0,0.0,144.999,0.0,0.0,113.999,0.0,0.0,408.999,0.0,0.0,0.0,0.0,0.0,176.999,0.0,0.0,159.999,0.0,0.0,244.999,0.0,0.0,0.0,0.0,0.0,116.999,0.0,0.0,0.0,0.0,0.0,182.999,0.0,0.0,395.999,131.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.2,46.0
PFHpS (M-H),CCS Library,likely,2795.0,9.3,21.2,158.5,448.9312,-4.9,-0.48,N/A,152.49898470937217,0.0,0.0,1071.498984709372,0.0,0.0,4148.498984709372,0.0,0.0,2133.498984709372,0.0,0.0,0.0,0.0,364.49898470937217,414.49898470937217,0.0,0.0,509.49898470937217,0.0,0.0,1777.498984709372,0.0,0.0,1110.498984709372,0.0,0.0,0.0,0.0,0.0,3993.498984709372,0.0,0.0,8001.498984709372,0.0,0.0,4751.498984709372,0.0,0.0,1498.498984709372,0.0,0.0,0.0,0.0,0.0,28.9,651.0
PFDA (M-H-CO2),CCS Library,likely,986.0,11.0,20.85,155.6,468.9676,-5.54,0.23,N/A,0.0,0.0,0.0,406.21795117784893,0.0,0.0,503.21795117784893,0.0,0.0,868.2179511778489,0.0,0.0,206.21795117784893,0.0,0.0,505.21795117784893,0.0,0.0,379.21795117784893,0.0,0.0,612.2179511778489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,237.21795117784893,0.0,0.0,822.2179511778489,0.0,0.0,960.2179511778489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.2,120.0
PFNA (M-H-CO2),CCS Library,likely,435.0,10.3,19.65,147.2,418.9716,-4.3,0.12,N/A,178.32200846659748,0.0,0.0,1830.3220084665975,128.32200846659748,0.0,3095.3220084665973,256.3220084665975,0.0,2267.3220084665973,231.32200846659748,0.0,1322.3220084665975,145.32200846659748,0.0,2241.3220084665973,0.0,0.0,2168.3220084665973,361.3220084665975,0.0,2138.3220084665973,160.32200846659748,235.32200846659748,1752.3220084665975,170.32200846659748,0.0,444.3220084665975,0.0,120.32200846659748,1424.3220084665975,0.0,0.0,3935.3220084665973,134.32200846659748,215.32200846659748,3928.3220084665973,483.3220084665975,152.32200846659748,485.3220084665975,0.0,0.0,0.0,0.0,0.0,60.0,654.0
"1,1,1,3,3,4,4,4-Octafluoro-2-butanol or 2-(Difluoromethyl)-1,1,1,3,3,3-hexafluoropropan-2-ol",Suspects Library,tentative,397.0,8.4,15.69,121.0,216.9878,-12.49,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0,126.97251246008636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.97251246008636,0.0,0.0,256.97251246008636,0.0,0.0,137.97251246008636,0.0,0.0,261.97251246008636,0.0,0.0,169.97251246008636,0.0,0.0,104.97251246008636,0.0,0.0,263.97251246008636,0.0,0.0,165.97251246008636,0.0,0.0,191.97251246008636,0.0,0.0,138.97251246008636,0.0,0.0,24.4,45.0
"5-(Heptafluoropropyl)-N-methyl-1,3,4-oxadiazol-2-amine",Suspects Library,tentative,4692.0,3.5,18.04,137.6,266.0169,-0.3,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0,240.999,0.0,0.0,0.0,168.999,0.0,0.0,0.0,0.0,184.999,0.0,0.0,0.0,416.999,304.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270.999,0.0,0.0,218.999,0.0,0.0,161.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.8,43.0
"4-[(1,2,3,3,3-Pentafluoroprop-1-en-1-yl)oxy]benzoic acid",Suspects Library,tentative,9727.0,13.6,18.35,140.0,267.0046,-15.0,N/A,N/A,0.0,0.0,0.0,243.999,123.999,0.0,119.999,0.0,0.0,229.999,0.0,0.0,0.0,0.0,0.0,117.999,0.0,0.0,0.0,0.0,0.0,135.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.999,0.0,0.0,0.0,0.0,144.999,0.0,0.0,17.8,27.0
