Match,Match Source,Classification Type,ID,RT,DT,CCS,m/z,Fragments,Isotopic Distribution,Assigned MF,Confidence Level,Mass Error (ppm),CCS Error (%),RT Error (abs),35 2286 - Serum.d.DeMP, 38 2182 - Serum.d.DeMP, 41 2187 - Serum.d.DeMP, 44 2854 - Serum.d.DeMP, 47 2911 - Serum.d.DeMP, 125 1777 - Serum.d.DeMP, 128 1821 - Serum.d.DeMP, 131 1673 - Serum.d.DeMP, 134 1894 - Serum.d.DeMP, 137 3330 - Serum.d.DeMP, 80 2003 - Serum.d.DeMP, 86 2046 - Serum.d.DeMP, 89 2889 - Serum.d.DeMP, 92 3021 - Serum.d.DeMP,Detection Frequency (%),Average Abundance
No Match,None,unmatched,18,6.4,17.86,136.8,244.9079,,,,,,,,21952.999,19938.999,18223.999,126896.999,27117.999,90976.999,50342.999,40889.999,30079.999,29715.999,26686.999,46415.999,34505.999,10822.999,100,38311
PFOS (M-H),CCS Library,likely,29,10.3,22.64,168.8,498.9297,,,,,-1,0.29,N/A,10119.89102,42480.89102,61122.89102,43068.89102,12969.89102,28404.89102,35528.89102,42913.89102,27190.89102,15791.89102,59469.89102,69850.89102,21151.89102,2150.891022,100,31488
PFHxS (M-H),CCS Library,likely,348,8.3,19.97,149.9,398.9358,,,,,-2.13,-0.39,N/A,12633.36812,7111.368118,25643.36812,22362.36812,8539.368118,22526.36812,18776.36812,23511.36812,12772.36812,133439.3681,18490.36812,47407.36812,30851.36812,0,92.9,25611
Heptadecafluorooctane-2-sulfonic acid or Perfluorooctanesulfonic acid (PFOS),Suspects Library,tentative,3601,10.1,22,164,498.9292,,,,,-0.97,N/A,N/A,3567.020465,11881.999,41775.999,15925.999,3434.020465,7748.999,7936.999,20055.999,11736.999,2968.999,34672.999,32793.999,13825.999,0,92.9,13895
No Match,None,unmatched,2625,3.8,20.4,156.2,245.048,,,,,,,,17073.999,4409.999,2908.999,1256.999,1471.999,0,15455.999,17164.999,75380.999,6705.999,11048.999,4872.999,16418.999,29601.999,92.9,13591
No Match,None,unmatched,75,2.4,24.28,182.2,397.0037,,,,,,,,9282.999,10552.999,11413.999,9867.999,11529.999,12869.999,12135.999,5992.999,12814.999,9331.999,11757.999,12184.999,12081.999,11445.999,100,10224
No Match,None,unmatched,84,0.4,18.39,142.1,209.0792,,,,,,,,2798.999,7005.999,17051.999,5615.999,4273.999,3126.999,17373.999,27425.999,9487.999,8361.999,3325.999,12955.999,11833.999,5133.999,100,9058
PFOA (M-H-CO2),CCS Library,likely,1526,9.4,18.51,139.3,368.975,,,,,-4.43,-0.13,N/A,9823.562713,3324.562713,5821.562713,12146.56271,7507.562713,13586.56271,11214.56271,4994.562713,9085.562713,8171.562713,10180.56271,11697.56271,6900.562713,2105.562713,100,7777
No Match,None,unmatched,3856,1.3,18.66,144.1,212.0013,,,,,,,,18376.999,9979.999,3895.999,7373.999,3648.999,6287.999,10747.999,3828.999,13814.999,1466.999,9304.999,5950.999,2468.999,15165.999,100,7494
No Match,None,unmatched,123,2.2,16.99,132.5,179.0561,,,,,,,,1484.999,6605.999,2506.999,13295.999,2942.999,4643.999,30132.999,2947.999,4678.999,0,9984.999,646.999,3639.999,11496.999,92.9,6340
No Match,None,unmatched,126,0.7,20.8,158.6,267.0721,,,,,,,,7744.999,10618.999,5054.999,8748.999,11883.999,10062.999,0,11210.999,940.999,16576.999,1498.999,708.999,3540.999,2202.999,92.9,6059
No Match,None,unmatched,128,1.5,24.52,183.3,446.9936,,,,,,,,19760.999,3132.999,1966.999,5663.999,1476.999,5356.999,11064.999,2326.999,13752.999,0,9575.999,5350.999,919.999,8436.999,92.9,5925
No Match,None,unmatched,144,1.2,16.58,129.7,172.9909,"109.0305 (C3H6FO3), 93.0364 (C3H6FO2), 79.9586 (SO3)",,C3H6FO5S,3,,,,3970.999,1768.999,2297.999,3350.999,2581.999,5789.999,6417.999,13203.999,5657.999,9062.999,11907.999,3239.999,4015.999,3771.999,100,5143
No Match,None,unmatched,157,5.7,23.5,177,352.0857,,,,,,,,9407.999,8345.999,1561.999,688.999,1641.999,1743.999,10513.999,6161.999,11218.999,866.999,0,5224.999,1015.999,12310.999,92.9,4720
No Match,None,unmatched,179,3.9,15.71,124.6,144.0454,,,,,,,,3739.999,3959.999,2929.999,4336.999,3977.999,4539.999,9363.999,2578.999,6336.999,6376.999,2823.999,4784.999,2045.999,5464.999,100,4224
No Match,None,unmatched,182,6.8,17.91,135.7,308.8388,,,,,,,,1416.999,1437.999,5418.999,12182.999,1441.999,7765.999,5758.999,7784.999,5735.999,6194.999,2301.999,2155.999,1485.999,0,92.9,4078
No Match,None,unmatched,1831,8.7,18.1,138.2,262.8382,,"1 Br, 1 Cl",C3HBrClO5S,4,,,,759.999,0,0,4327.999,0,5555.999,0,0,0,0,1797.999,0,32699.999,0,35.7,3012
