ID,RT,DT,CCS,m/z,30 CC7-1.d.DeMP, 31 CC7-2.d.DeMP, 32 CC7-3.d.DeMP, 187 CC7-1.d.DeMP, 188 CC7-2.d.DeMP, 189 CC7-3.d.DeMP, 193 B3 MB-1.d.DeMP, 194 B3 MB-2.d.DeMP, 195 B3 MB-3.d.DeMP, 260 B4 MB-1.d.DeMP, 261 B4 MB-2.d.DeMP, 262 B4 MB-3.d.DeMP, 103 B2 MB-1.d.DeMP, 104 B2 MB-2.d.DeMP, 105 B2 MB-3.d.DeMP, 36 B1 MB-1.d.DeMP, 37 B1 MB-2.d.DeMP, 38 B1 MB-3.d.DeMP
1,3.856,22.23,169.32,255.232,431177,431983,430939,426772,425726,423213,313987,356698,368047,221447,269523,347840,417312,324280,401020,7714,375144,389797
2,4.035,23.222,176.09,281.2479,429633,428218,429300,425790,425655,425947,4051,240274,253029,158545,140294,210654,195381,106517,183347,178829,181556,225634
3,4.422,23.359,177.07,283.2638,428358,428138,428623,425793,425729,426831,0.001,0.001,0.001,0.001,0.001,1621,269555,75593,0.001,161578,199856,209471
4,1.496,18.919,142.1,348.9392,426621,429217,428071,414160,412135,412340,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
5,2.489,23.98,177.79,548.928,426891,428897,428799,403242,415764,416315,0.001,0.001,0.001,271,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
6,2.686,25.231,186.71,598.9255,423695,425930,425961,415851,415779,412587,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
7,3.496,24.127,182.37,303.2324,420513,421359,421296,417870,418259,417836,0.001,0.001,183,0.001,1656,0.001,2505,0.001,1184,2036,1476,987
8,2.787,22.84,169.74,497.9468,424226,423257,423180,413487,415375,414196,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
9,2.061,21.434,159.72,448.9335,427559,423898,424662,409054,412187,415863,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
10,0.99,17.654,133.38,298.9421,407663,414864,411547,425731,424401,424024,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
11,2.827,25.328,187.22,630.8911,424844,422893,422666,415418,411331,405162,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
12,2.067,19.698,147.04,418.9728,418468,422236,419998,414086,410221,407972,0.001,0.001,0.001,5566,3180,3207,0.001,0.001,0.001,0.001,0.001,0.001
13,2.44,23.029,170.86,530.8966,428543,428651,427215,392280,404560,407381,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
14,2.231,20.31,151.89,397.9526,412207,420115,419953,393663,412699,410023,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
15,2.199,20.908,155.59,468.9698,423482,416758,418371,409540,400098,398473,191,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
16,1.74,18.588,139.32,368.976,413102,423077,422234,405262,397725,394950,1196,1431,1175,2319,1479,0.001,288,356,230,500,594,479
17,2.6,23.221,172,568.9648,424251,412222,414263,385094,391069,386024,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
18,1.771,19.985,149.43,398.9369,426433,424928,426369,369412,372302,372608,0.001,0.001,0.001,0.001,0.001,0.001,329,0.001,0.001,0.001,0.001,0.001
19,2.407,22.05,163.67,518.9681,423992,422037,421937,365297,375536,376034,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
20,1.438,17.596,132.58,318.9787,368237,395900,391771,408504,409018,410379,396,252,406,543,459,182,0.001,0.001,0.001,0.001,0.001,0.001
