ID,RT,DT,CCS,m/z,Abundance,Z,Ions,Freq.,Q Score,Sat.,Mark,RT,DT,CCS,m/z,Abundance,RSD,Freq.,RT,DT,CCS,m/z,Abundance,RSD,Freq.,RT,DT,CCS,m/z,Log2(A1/A2),Expression,Diff.Score,148 B2 16632.d.DeMP, 149 B2 16631.d.DeMP, 220 B3 16562.d.DeMP, 221 B3 16563.d.DeMP, 291 B4 16634.d.DeMP, 295 B4 16707.d.DeMP,Blank 1.d,Blank 2.d,Blank 3.d,Blank 4.d,Blank 5.d,Blank 6.d,Blank 7.d,Blank 8.d,Blank 9.d
1,3.666,23.175,175.79,279.232,428319,-1,4,15,100,x,FALSE,3.646,23.228,176.2,279.231,428319,0,6,3.679,23.139,175.51,279.2326,40046,0.43,9,-0.033,0.089,0.69,-0.0016,3.42,up,100,426371,426828,429031,428798,429497,429390,47551,41731,44783,65097,32293,39942,47050,259,41705
2,3.433,22.024,167.81,253.2161,424888,-1,5,9,100,x,FALSE,3.436,22.065,168.13,253.2155,424888,0.01,6,3.426,21.941,167.18,253.2171,33134,1.5,3,0.01,0.124,0.95,-0.0015,3.68,up,100,431004,427977,421641,422330,423424,422953,100645,0.001,0.001,0.001,0.001,0.001,94304,103261,0.001
3,3.209,23.13,175.51,277.2157,423320,-1,4,8,100,x,FALSE,3.282,23.178,175.88,277.2153,423320,0.01,6,2.988,22.987,174.42,277.217,335,2.63,2,0.295,0.191,1.46,-0.0018,10.3,up,100,426046,425491,417699,426045,426518,418118,352,0.001,0.001,0.001,0.001,0.001,2664,0.001,0.001
4,4.416,23.407,177.44,283.2633,423293,-1,5,10,100,x,FALSE,4.424,23.439,177.68,283.2625,423293,0.02,6,4.405,23.36,177.08,283.2646,72640,1.4,4,0.019,0.079,0.61,-0.0021,2.54,up,100,424757,424426,413135,417231,430019,430187,0.001,0.001,108760,269555,75593,0.001,0.001,199856,0.001
5,3.649,24.319,183.83,303.2319,419979,-1,5,11,100,x,FALSE,3.551,24.252,183.32,303.2314,419979,0,6,3.766,24.4,184.44,303.2326,692,1.27,5,-0.214,-0.148,-1.11,-0.0012,9.25,up,100,418839,419255,420751,419789,420887,420354,0.001,819,2401,233,0.001,1619,1156,0.001,0.001
6,3.808,33.257,246.9,539.4323,419800,-1,5,8,100,x,FALSE,3.764,33.292,247.17,539.4323,419800,0.01,6,3.942,33.152,246.1,539.4325,61,2.49,2,-0.178,0.14,1.07,-0.0002,12.74,up,100,423493,414429,417438,420229,424570,418640,0.001,0.001,92,0.001,459,0.001,0.001,0.001,0.001
7,3.204,21.089,161.58,227.1999,419772,-1,5,9,100,x,FALSE,3.216,21.123,161.84,227.1994,419772,0.01,6,3.18,21.02,161.04,227.2008,14577,1.51,3,0.036,0.104,0.8,-0.0014,4.85,up,100,420755,417657,421304,424738,423348,410830,0.001,39856,0.001,0.001,0.001,0.001,0.001,43898,47438
8,3.912,22.215,169.2,255.232,413793,-1,5,13,100,x,FALSE,3.905,22.27,169.63,255.2309,413793,0.07,6,3.918,22.168,168.84,255.2329,210329,0.8,7,-0.012,0.102,0.79,-0.002,0.98,up,98.714,429415,430925,422074,421619,422322,356401,221447,269523,0.001,417312,0.001,401020,90150,103715,389797
9,2.275,22.698,168.6,506.9581,409336,-1,5,15,100,x,FALSE,2.272,22.747,168.96,506.9573,409336,0.02,6,2.277,22.666,168.36,506.9587,352788,0.09,9,-0.005,0.08,0.61,-0.0014,0.21,up,99.884,415477,413677,405578,393294,419467,408521,419751,390870,360388,323805,338298,330455,340451,335498,335580
10,3.059,28.85,214.77,478.2947,409309,-1,2,12,100,x,FALSE,3.037,28.915,215.28,478.2938,409309,0.06,6,3.081,28.784,214.27,478.2956,406,1.49,6,-0.044,0.131,1.01,-0.0018,9.98,up,100,419034,423107,415001,361909,418609,418191,1894,0.001,0.001,656,440,89,295,276,0.001
11,2.917,29.252,217.52,500.2796,396740,-1,4,7,100,x,FALSE,2.78,29.273,217.68,500.2787,396740,0.05,6,3.737,29.122,216.52,500.2852,22,3,1,-0.957,0.152,1.17,-0.0065,14.12,up,100,371077,378998,418764,389117,411245,411237,0.001,0.001,0.001,0.001,0.001,200,0.001,0.001,0.001
12,1.8,20.159,150.7,401.947,391846,-1,6,15,100,x,FALSE,1.797,20.208,151.07,401.946,391846,0.06,6,1.803,20.126,150.45,401.9476,342960,0.12,9,-0.005,0.082,0.62,-0.0016,0.19,up,98.246,375481,357563,411890,392424,410541,403177,413930,408846,345672,309576,323953,325454,322470,320225,316518
13,3.474,30.732,228.98,467.3741,388459,-1,5,6,100,x,FALSE,3.474,30.732,228.98,467.3741,388459,0.05,6,,,,,0,,0,,,,,16,up,100,397066,371054,369502,414860,370629,407644,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
14,4.56,34.296,254.02,595.4959,386584,-1,6,14,100,x,FALSE,4.607,34.45,255.19,595.495,386584,0.11,6,4.525,34.18,253.15,595.4965,1145,0.87,8,0.082,0.271,2.04,-0.0015,8.4,up,100,417905,404512,331525,327839,418657,419064,2554,1503,720,2826,1071,1011,0.001,153,467
15,2.094,25.109,186.36,528.9696,378332,-1,5,15,100,x,FALSE,2.09,25.171,186.83,528.9687,378332,0.04,6,2.096,25.068,186.05,528.9702,276501,0.19,9,-0.006,0.102,0.78,-0.0015,0.45,up,99.939,375233,372600,398982,374577,389158,359441,390439,339810,265049,267062,271052,245987,246218,229657,233231
16,1.627,22.568,168.42,428.9748,375544,-1,6,15,100,x,FALSE,1.622,22.62,168.82,428.9738,375544,0.05,6,1.63,22.533,168.16,428.9755,230963,0.32,9,-0.007,0.087,0.66,-0.0017,0.7,up,99.957,388502,357466,388803,371149,393158,354187,379113,331861,228219,199418,206330,198785,183811,177866,173265
17,3.18,27.985,208.88,436.2837,372555,-1,5,7,100,x,FALSE,3.045,28.027,209.2,436.2832,372555,0.09,6,3.989,27.733,206.97,436.2865,12,3,1,-0.944,0.294,2.23,-0.0033,14.95,up,100,357183,416255,411902,365111,335889,348989,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,106
18,3.339,29.206,217.41,480.3105,369377,-1,6,11,100,x,FALSE,3.403,29.253,217.77,480.3097,369377,0.32,6,3.263,29.15,216.98,480.3115,755,1.44,5,0.14,0.103,0.8,-0.0017,8.93,up,100,421931,423897,418617,405784,416008,130026,3295,0.001,0.001,469,1332,0.001,1228,475,0.001
