Match,Match Source,Classification Type,ID,RT,DT,CCS,m/zs,Mass Error (ppm),CCS Error (%),RT Error (%),ES01.d.DeMP, ES04.d.DeMP, ES11.d.DeMP, ES12.d.DeMP, ES13.d.DeMP, ES14.d.DeMP, ES17.d.DeMP, ES19.d.DeMP, ES21.d.DeMP, ES22.d.DeMP, ES24.d.DeMP, ES28.d.DeMP, ES30.d.DeMP, ES32.d.DeMP, ES02.d.DeMP, ES03.d.DeMP, ES05.d.DeMP, ES06.d.DeMP, ES07.d.DeMP, ES08.d.DeMP, ES09.d.DeMP, ES10.d.DeMP, ES15.d.DeMP, ES16.d.DeMP, ES18.d.DeMP, ES20.d.DeMP, ES23.d.DeMP, ES25.d.DeMP, ES26.d.DeMP, ES27.d.DeMP, ES29.d.DeMP, ES31.d.DeMP, ES33.d.DeMP, ES34.d.DeMP, ES35.d.DeMP, ES36.d.DeMP, ES37.d.DeMP, ES38.d.DeMP, ES39.d.DeMP, ES40.d.DeMP, ES41.d.DeMP, ES42.d.DeMP,Detection Frequency (%),Average Abundance
PFBA (M-H-CO2),PFAS Standards,likely,45534,2.365,14.116,110.36,168.9902,4.73,-0.36,N/A,0,0,4937.523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,955.7246,0,0,0,3290.6879999999996,0,0,0,0,0,0,0,0,0,0,100,100
PMPA (M-H-CO2),PFAS Standards,likely,59705,12.436,14.957,116.13,184.9836,-3.78,0.81,N/A,0,0,0,0,1323.648,0,0,0,0,1559.461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1504.843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100
PMPA (M-H-CO2),PFAS Standards,likely,59705,12.436,14.957,116.13,184.9836,-3.78,0.81,N/A,0,0,0,0,1323.648,0,0,0,0,1559.461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1504.843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100
PMPA (M-H-CO2),PFAS Standards,likely,71789,7.297499999999999,14.866,115.64,184.98430000000002,0,0.38,N/A,6350.867,0,3656.2549999999997,4989.193,0,4643.742,6672.321,0,0,6234.389999999999,9984.554,10287.579,6083.5,5164.366,7409.45,3803.808,6523.651,5532.625,3536.0739999999996,7221.07,6341.894,7560.001,9463.231,6026.304,7938.786999999999,0,7768.389999999999,0,7256.173,0,4116.405,6782.156,9682.984,7620.54,11244.539,10619.128999999999,8279.993,9259.809,6431.219,3852.8059999999996,7037.2519999999995,9390.885,100,100
PMPA (M-H-CO2),PFAS Standards,likely,71789,7.297499999999999,14.866,115.64,184.98430000000002,0,0.38,N/A,6350.867,0,3656.2549999999997,4989.193,0,4643.742,6672.321,0,0,6234.389999999999,9984.554,10287.579,6083.5,5164.366,7409.45,3803.808,6523.651,5532.625,3536.0739999999996,7221.07,6341.894,7560.001,9463.231,6026.304,7938.786999999999,0,7768.389999999999,0,7256.173,0,4116.405,6782.156,9682.984,7620.54,11244.539,10619.128999999999,8279.993,9259.809,6431.219,3852.8059999999996,7037.2519999999995,9390.885,100,100
PFHxA (M-H-CO2),PFAS Standards,likely,49015,10.8135,16.483,125.30000000000001,268.9836,2.23,0.16,N/A,874.4836,3822.3309999999997,0,2861.249,1337.335,0,0,1442.143,0,1033.207,1679.971,0,0,0,0,0,0,0,1994.1589000000001,0,0,2734.33,998.9759,0,1757.826,817.5164,6389.605,964.2997,0,0,0,0,0,0,7655.690999999999,0,0,0,4541.9682999999995,0,0,0,100,100
PFHxA (M-H-CO2),PFAS Standards,likely,29683,11.876,16.468,125.21,268.9839,3.35,0.09,N/A,0,1895.846,0,985.4256,0,0,0,0,0,2135.468,2056.676,0,0,0,0,0,0,0,1508.914,0,0,0,0,2611.946,0,0,1593.559,1243.433,0,0,0,0,1925.498,0,3417.779,0,0,0,4929.495,676.5812,0,0,100,100
PFBS (M-H),PFAS Standards,likely,1377,5.333,17.692,133.83,298.9434,1.34,0.16,N/A,160130.799,327082.099,1412.339,153142.59900000002,208859.999,311348.699,0,227644.399,0,237892.799,278628.699,189255.09900000002,82571.08899999999,149881.499,58715.059,0,171300.59900000002,0,0,283933.799,77847.159,98940.83899999999,1757864.999,0,221084.499,88160.999,286615.39900000003,101116.099,79545.699,64306.629,0,0,345938.599,185384.09900000002,165076.399,97497.609,114986.599,357295.39900000003,121414.099,84284.629,140831.69900000002,174792.59900000002,100,100
PFHpA (M-H-CO2),PFAS Standards,likely,35035,11.212,17.586,132.71,318.9808,3.13,0.25,N/A,0,0,0,0,2116.743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,886.0526,1251.193,1777.3020000000001,752.9109,4010.944,1738.135,0,0,0,0,1188.411,0,2118.182,0,0,0,1347.448,0,0,0,100,100
4:2 FTS (M-H),PFAS Standards,likely,81564,6.845,19.697,148.43,326.9719,-7.34,-1.3,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1473.029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100
