Name,Classification Type,CCS,RT,m/z,ID,GroupID,Repeating Unit,trend_group
TFA(1),External Standard,96.52,0.36,68.9952,0.0,1,CF2,1.0
No Match,unmatched,177.08200000000002,10.3814,418.97316,66283.0,1,CF2,1.2
PFNA,External Standard,147.02,10.3,418.9734,0.0,1,CF2,1.0
No Match,unmatched,161.638,12.359800000000002,418.97422000000006,94084.0,1,CF2,1.3
PFNA (M-H-CO2),likely,147.51666666666665,12.080333333333334,418.9743666666666,12796.0,1,CF2,1.0
No Match,unmatched,183.53,10.413,418.9759,82910.0,1,CF2,1.2
No Match,unmatched,196.4,13.757,718.9543,771.0,1,CF2,1.0
PFDA (M-H-CO2),likely,156.02,11.219333333333331,468.9705333333333,1942.0,1,CF2,1.0
No Match,unmatched,173.655,11.101,468.9712,880.0,1,CF2,1.1
No Match,unmatched,201.3,13.65,718.9555,8158.0,1,CF2,1.1
No Match,unmatched,211.75,14.412,818.9485,53564.0,1,CF2,1.0
No Match,unmatched,183.27,11.858,518.9621,538.0,1,CF2,1.1
No Match,unmatched,170.57,11.9,518.9637,87859.0,1,CF2,1.3
PFUdA,External Standard,163.36,11.77,518.967,0.0,1,CF2,1.0
PFPeA,External Standard,117.43,4.52,218.9862,0.0,1,CF2,1.0
No Match,unmatched,151.04,10.421,218.9864,1844.0,1,CF2,1.1
PFTrDA,External Standard,179.65,12.86,618.9606,0.0,1,CF2,1.0
PFTeDA,External Standard,187.62,13.3,668.9574,0.0,1,CF2,1.0
No Match,unmatched,176.75333333333333,11.751666666666669,518.9676,343.0,1,CF2,1.1
No Match,unmatched,196.848,11.8714,518.96762,86719.0,1,CF2,1.2
PFUdA (M-H-CO2),likely,164.1075,12.121,518.968525,14002.0,1,CF2,1.0
PFTeDA (M-H-CO2),likely,188.53,13.376,668.9581,906.0,1,CF2,1.0
PFDoA,External Standard,171.5,12.36,568.9638,0.0,1,CF2,1.0
PFDoA (M-H-CO2),likely,174.23,12.293,568.9642,1237.0,1,CF2,1.0
No Match,unmatched,185.05333333333337,12.397333333333334,568.9643666666666,1136.0,1,CF2,1.1
No Match,unmatched,209.97,11.386,568.9678,88622.0,1,CF2,1.2
No Match,unmatched,136.95,8.329,168.9901,52055.0,1,CF2,1.3
PFBA (M-H-CO2),likely,110.36,2.365,168.9902,45534.0,1,CF2,1.0
PFHxDA,External Standard,203.67,14.02,768.951,0.0,1,CF2,1.0
PFHxDA (M-H-CO2),likely,204.35,14.103,768.9513,14521.0,1,CF2,1.0
No Match,unmatched,158.46,11.208,268.9828,4716.0,1,CF2,1.1
PFHxA,External Standard,125.1,6.66,268.983,0.0,1,CF2,1.0
No Match,unmatched,149.56,10.421,268.9835,5377.0,1,CF2,1.2
PFHxA (M-H-CO2),likely,125.3,10.8135,268.9836,49015.0,1,CF2,1.0
PFHxA (M-H-CO2),likely,125.21,11.876,268.9839,29683.0,1,CF2,1.0
PFPrA(1),External Standard,119.28,10.47,118.992,0.0,1,CF2,1.2
PFPrA(2),External Standard,104.5986,0.82,118.992,0.0,1,CF2,1.0
PFTrDA (M-H-CO2),likely,181.36333333333332,12.973333333333334,618.9618666666667,2576.0,1,CF2,1.0
No Match,unmatched,166.19,11.877,318.9805,3596.0,1,CF2,1.1
No Match,unmatched,150.46666666666667,10.694666666666665,318.9806,15175.0,1,CF2,1.3
PFHpA (M-H-CO2),likely,132.71,11.212,318.9808,35035.0,1,CF2,1.0
No Match,unmatched,139.55,11.873,368.9726,80191.0,1,CF2,1.0
PFOA (M-H-CO2),likely,140.29,12.939,368.9739,68840.0,1,CF2,1.0
PFOA,External Standard,139.5,9.37,368.9766,0.0,1,CF2,1.0
PFOA (M-H-CO2),likely,139.77,9.484,368.977,835.0,1,CF2,1.0
PFOA (M-H-CO2),likely,139.71,11.875,368.9773,16089.0,1,CF2,1.0
PFOA (M-H-CO2),likely,140.08,12.951,368.9787,86066.0,1,CF2,1.0
PFPrS,External Standard,125.1,3.2,248.9462,0.0,2,CF2,2.0
PFPeS,External Standard,142.2,7.03,348.9398,0.0,2,CF2,2.0
No Match,unmatched,133.31,0.579,148.9524,71369.0,2,CF2,2.1
No Match,unmatched,134.60666666666663,0.8206666666666668,148.9525,28947.0,2,CF2,2.1
TFMS(1),External Standard,109.59,0.38,148.9526,0.0,2,CF2,2.0
TFMS(2),External Standard,111.32,0.38,148.9526,0.0,2,CF2,2.0
No Match,unmatched,121.85,0.55,148.9528,48095.0,2,CF2,2.2
No Match,unmatched,125.5175,0.55075,148.95345,574.0,2,CF2,2.2
No Match,unmatched,132.68,0.551,148.954,75613.0,2,CF2,2.1
No Match,unmatched,124.22,0.572,148.9545,55135.0,2,CF2,2.2
PFOS,External Standard,168.27,10.12,498.9302,0.0,2,CF2,2.0
"1,1,2,2,3,3,4,4,5,6,6,7,7,7-tetradecafluoro-5-(trifluoromethyl)heptane-1-sulfonic acid or 1,1,2,2,3,3,4,5,5,6,6,7,7,7-tetradecafluoro-4-(trifluoromethyl)heptane-1-sulfonic acid or 1,1,2,2,3,3,5,5,6,6,6-undecafluoro-4,4-bis(trifluoromethyl)hexane-1-sulfonic acid or 1,1,2,2,3,4,4,5,5,6,6,7,7,7-tetradecafluoro-3-(trifluoromethyl)heptane-1-sulfonic acid or 1,1,2,3,3,4,4,5,5,6,6,7,7,7-tetradecafluoro-2-(trifluoromethyl)heptane-1-sulfonic acid or Heptadecafluorooctane-2-sulfonic acid or IsoPFOS or Perfluorooctanesulfonic acid",tentative,157.84090909090912,10.395,498.93033636363634,55619.0,2,CF2,2.2
"1,1,2,2,3,3,4,4,5,6,6,7,7,7-tetradecafluoro-5-(trifluoromethyl)heptane-1-sulfonic acid or 1,1,2,2,3,3,4,5,5,6,6,7,7,7-tetradecafluoro-4-(trifluoromethyl)heptane-1-sulfonic acid or 1,1,2,2,3,3,5,5,6,6,6-undecafluoro-4,4-bis(trifluoromethyl)hexane-1-sulfonic acid or 1,1,2,2,3,4,4,5,5,6,6,7,7,7-tetradecafluoro-3-(trifluoromethyl)heptane-1-sulfonic acid or 1,1,2,3,3,4,4,5,5,6,6,7,7,7-tetradecafluoro-2-(trifluoromethyl)heptane-1-sulfonic acid or Heptadecafluorooctane-2-sulfonic acid or IsoPFOS or Perfluorooctanesulfonic acid",tentative,191.05,10.451,498.9307,12235.0,2,CF2,2.1
PFBS,External Standard,133.62,5.2,298.943,0.0,2,CF2,2.0
PFBS (M-H),likely,133.83,5.333,298.9434,1377.0,2,CF2,2.0
PFHxS,External Standard,150.51,8.38,398.9366,0.0,2,CF2,2.0
PFHxS (M-H),likely,148.605,8.197,398.9368,35568.0,2,CF2,2.0
No Match,unmatched,104.19,9.7315,98.9558,49333.0,2,CF2,2.0
No Match,unmatched,104.0725,7.46425,98.956,18633.0,2,CF2,2.0
No Match,unmatched,104.04153846153848,9.60623076923077,98.95622307692308,26664.0,2,CF2,2.0
No Match,unmatched,104.20666666666666,8.421666666666667,98.95623333333332,68501.0,2,CF2,2.0
No Match,unmatched,104.04,9.6078,98.95624,49575.0,2,CF2,2.0
No Match,unmatched,104.14833333333335,8.200000000000001,98.9563,17339.0,2,CF2,2.0
No Match,unmatched,104.18,9.5485,98.9567,33193.0,2,CF2,2.0
No Match,unmatched,104.02,8.249,98.9568,30019.0,2,CF2,2.0
No Match,unmatched,103.99,5.978,98.957,31867.0,2,CF2,2.0
No Match,unmatched,103.79,2.709,98.9574,71186.0,2,CF2,2.0
No Match,unmatched,103.94,5.263,98.9575,38686.0,2,CF2,2.0
PFHpS,External Standard,159.24,9.2,448.9334,0.0,2,CF2,2.0
PFNA,External Standard,165.15,10.3,462.9632,0.0,44,CF2,44.0
PFNA (M-H),likely,165.51,10.42,462.9641,3794.0,44,CF2,44.0
PFTeDA (M-H),likely,209.04,13.319,712.9472499999999,2993.0,44,CF2,44.0
PFTeDA,External Standard,209.19,13.3,712.9473,0.0,44,CF2,44.0
PFDA,External Standard,174.21,11.1,512.96,0.0,44,CF2,44.0
PFDA (M-H),likely,173.12,11.0955,512.9603,82916.0,44,CF2,44.0
PFHxDA,External Standard,226.12,14.02,812.9409,0.0,44,CF2,44.0
PFDoA (M-H),likely,191.36,12.375,612.95425,2537.0,44,CF2,44.0
PFTrDA (M-H),likely,200.14333333333332,12.857,662.9497333333333,66524.0,44,CF2,44.0
PFTrDA,External Standard,200.76,12.86,662.9505,0.0,44,CF2,44.0
PFUdA,External Standard,182.86,11.77,562.9568,0.0,44,CF2,44.0
Hexacosafluoro-13-(trifluoromethyl)myristic acid or Perfluoropentadecanoic acid,tentative,218.58,13.756,762.9445,2173.0,44,CF2,44.0
11-Chloro-Perfluoroundecanoic acid,tentative,186.94,11.98,578.9296,80609.0,46,CF2,46.0
No Match,unmatched,200.62,13.027,678.9222,38185.0,46,CF2,46.0
No Match,unmatched,204.39,13.445,728.9203,29215.0,46,CF2,46.0
12-Cl-Perfluorododecanoic acid,tentative,194.31,12.54,628.9254,26112.0,46,CF2,46.0
9Cl-PFNA,External Standard,168.64,7.99,478.9331,0.0,46,CF2,46.0
10-Chloro-perfluorodecanoic acid,tentative,178.95,11.343,528.9301,85540.0,46,CF2,46.0
No Match,unmatched,220.58142857142855,14.181571428571427,976.9461,71321.0,55,CF2,55.0
No Match,unmatched,232.21,13.915,976.9472,3176.0,55,CF2,55.1
No Match,unmatched,211.77,12.801,826.9566,5321.0,55,CF2,55.1
"(3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,14,14-Pentacosafluorotetradecyl)phosphonic acid",tentative,197.34,11.834,726.9612,32469.0,55,CF2,55.1
"(3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,14,14-Pentacosafluorotetradecyl)phosphonic acid",tentative,189.1966666666667,14.324333333333334,726.9617666666667,75478.0,55,CF2,55.0
No Match,unmatched,201.385,13.1805,826.957225,93829.0,55,CF2,55.0
"(3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,14,14-Pentacosafluorotetradecyl)phosphonic acid",tentative,189.43,12.678,726.96335,65637.0,55,CF2,55.0
"(3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,14,14-Pentacosafluorotetradecyl)phosphonic acid",tentative,189.24,15.5285,726.9635499999999,37471.0,55,CF2,55.0
No Match,unmatched,238.57,14.22,1026.9432,4056.0,55,CF2,55.1
No Match,unmatched,183.41333333333333,12.272,676.9654333333333,68456.0,55,CF2,55.0
"(3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,12-Henicosafluorododecyl)phosphonic acid",tentative,176.66,11.5,626.9694,48273.0,55,CF2,55.0
