Classification Type,CCS,RT,m/z,ID,Average Abundance,Detection Frequency (%),GroupID,Repeating Unit,KMD (CF2)
External Standard,96.52,0.36,68.9952,0.0,0.0,0.0,1,CF2,0.0003978253812562116
unmatched,138.77857142857144,10.518285714285714,418.9730428571429,105.0,100.0,100.0,1,CF2,0.00022495720935467034
unmatched,177.08200000000002,10.3814,418.97316,66283.0,100.0,100.0,1,CF2,0.0001078068780770991
External Standard,147.02,10.3,418.9734,0.0,0.0,0.0,1,CF2,-0.00013220843493400025
unmatched,161.638,12.359800000000002,418.97422000000006,94084.0,100.0,100.0,1,CF2,-0.0009522607542749029
likely,147.51666666666665,12.080333333333334,418.9743666666666,12796.0,100.0,100.0,1,CF2,-0.0010989367787601623
unmatched,187.89,10.43,418.9758,65975.0,100.0,100.0,1,CF2,-0.00253236156464709
unmatched,183.53,10.413,418.9759,82910.0,100.0,100.0,1,CF2,-0.0026323679451252247
External Standard,155.28,11.1,468.9702,0.0,0.0,0.0,1,CF2,-0.0001222077968350277
unmatched,196.4,13.757,718.9543,771.0,100.0,100.0,1,CF2,-0.0001722109871025168
likely,156.02,11.219333333333331,468.9705333333333,1942.0,100.0,100.0,1,CF2,-0.00045556239820143674
unmatched,173.655,11.101,468.9712,880.0,100.0,100.0,1,CF2,-0.0011222716009342548
unmatched,217.185,13.705,718.9538,86505.0,100.0,100.0,1,CF2,0.00032782091500394017
unmatched,201.3,13.65,718.9555,8158.0,100.0,100.0,1,CF2,-0.00137228755193064
unmatched,211.75,14.412,818.9485,53564.0,100.0,100.0,1,CF2,-0.0007522479934323201
unmatched,84.32,11.874,518.9615,70720.0,100.0,100.0,1,CF2,0.005388143763525477
unmatched,56.46,11.882,518.962,83769.0,100.0,100.0,1,CF2,0.004888111861532707
unmatched,183.27,11.858,518.9621,538.0,100.0,100.0,1,CF2,0.004788105481111415
unmatched,73.11,11.931,518.9625,89450.0,100.0,100.0,1,CF2,0.004388079959539937
unmatched,170.57,11.9,518.9637,87859.0,100.0,100.0,1,CF2,0.0031880033945981268
unmatched,69.57,11.82,518.9652,93728.0,100.0,100.0,1,CF2,0.0016879076885061295
unmatched,44.53,11.8765,518.9653,94166.0,100.0,100.0,1,CF2,0.001587901308084838
unmatched,82.35,11.861,518.9656,89541.0,100.0,100.0,1,CF2,0.0012878821669346507
External Standard,163.36,11.77,518.967,0.0,0.0,0.0,1,CF2,-0.00011220715884974197
External Standard,117.43,4.52,218.9862,0.0,0.0,0.0,1,CF2,-0.0001722109870740951
unmatched,151.04,10.421,218.9864,1844.0,100.0,100.0,1,CF2,-0.0003722237478882562
External Standard,179.65,12.86,618.9606,0.0,0.0,0.0,1,CF2,-9.220588276548369e-05
External Standard,187.62,13.3,668.9574,0.0,0.0,0.0,1,CF2,-8.220524466651113e-05
unmatched,176.75333333333333,11.751666666666669,518.9676,343.0,100.0,100.0,1,CF2,-0.0007122454412638035
unmatched,196.848,11.8714,518.96762,86719.0,100.0,100.0,1,CF2,-0.0007322467173480618
unmatched,206.15,11.8875,518.9682,41035.0,100.0,100.0,1,CF2,-0.001312283723677865
likely,164.1075,12.121,518.968525,14002.0,100.0,100.0,1,CF2,-0.0016373044600186404
unmatched,41.37,11.894,518.9688,86513.0,100.0,100.0,1,CF2,-0.0019123220060919266
unmatched,91.19,11.895,518.9689,74135.0,100.0,100.0,1,CF2,-0.002012328386513218
likely,188.53,13.376,668.9581,906.0,100.0,100.0,1,CF2,-0.0007822499075018641
unmatched,192.915,11.8835,518.9714,94938.0,100.0,100.0,1,CF2,-0.004512487896704442
unmatched,114.245,11.8755,518.9729,85184.0,100.0,100.0,1,CF2,-0.00601258360279644
External Standard,171.5,12.36,568.9638,0.0,0.0,0.0,1,CF2,-0.00010220652075076941
likely,174.23,12.293,568.9642,1237.0,100.0,100.0,1,CF2,-0.000502232042435935
unmatched,185.05333333333337,12.397333333333334,568.9643666666666,1136.0,100.0,100.0,1,CF2,-0.0006689093430622961
unmatched,209.97,11.386,568.9678,88622.0,100.0,100.0,1,CF2,-0.004102461737033991
External Standard,110.76,2.26,168.9894,0.0,0.0,0.0,1,CF2,-0.00018221162508780253
unmatched,136.95,8.329,168.9901,52055.0,100.0,100.0,1,CF2,-0.0008822562879799989
likely,110.36,2.365,168.9902,45534.0,100.0,100.0,1,CF2,-0.0009822626683444469
External Standard,222.2,14.29,868.9441,0.0,0.0,0.0,1,CF2,0.00045782920949477557
unmatched,95.3,12.9455,618.9567,354.0,100.0,100.0,1,CF2,0.0038080429532101334
External Standard,203.67,14.02,768.951,0.0,0.0,0.0,1,CF2,-6.220396869593969e-05
likely,204.35,14.103,768.9513,14521.0,100.0,100.0,1,CF2,-0.00036222310984612704
unmatched,158.46,11.208,268.9828,4716.0,100.0,100.0,1,CF2,3.780241178219512e-05
External Standard,125.1,6.66,268.983,0.0,0.0,0.0,1,CF2,-0.00016221034900354425
unmatched,39.44,12.946,618.9576,96031.0,100.0,100.0,1,CF2,0.0029079855295321977
unmatched,149.56,10.421,268.9835,5377.0,100.0,100.0,1,CF2,-0.0006622422510531578
likely,125.3,10.8135,268.9836,49015.0,100.0,100.0,1,CF2,-0.0007622486314744492
likely,125.21,11.876,268.9839,29683.0,100.0,100.0,1,CF2,-0.00106226777268148
External Standard,104.5986,0.82,118.992,0.0,0.0,0.0,1,CF2,0.0004078260192983407
External Standard,119.28,10.47,118.992,0.0,0.0,0.0,1,CF2,0.0004078260192983407
External Standard,132.38,8.21,318.9798,0.0,0.0,0.0,1,CF2,-0.00015220971101825853
unmatched,166.19,11.877,318.9805,3596.0,100.0,100.0,1,CF2,-0.0008522543738536115
unmatched,150.46666666666667,10.694666666666665,318.9806,15175.0,100.0,100.0,1,CF2,-0.0009522607542180594
likely,132.71,11.212,318.9808,35035.0,100.0,100.0,1,CF2,-0.0011522735150606422
likely,181.36333333333332,12.973333333333334,618.9618666666667,2576.0,100.0,100.0,1,CF2,-0.0013589533679123633
unmatched,175.26,1.319,368.9724,10156.0,100.0,100.0,1,CF2,0.004058058904149675
unmatched,139.55,11.873,368.9726,80191.0,100.0,100.0,1,CF2,0.0038580461433639357
likely,140.29,12.939,368.9739,68840.0,100.0,100.0,1,CF2,0.002557963198057678
External Standard,139.5,9.37,368.9766,0.0,0.0,0.0,1,CF2,-0.0001422090729761294
likely,139.77,9.484,368.977,835.0,100.0,100.0,1,CF2,-0.0005422345945476081
