Match,Match Source,Classification Type,ID,RT,DT,CCS,m/z,Mass Error (ppm),CCS Error (%),RT Error (abs),NIST SRM-1957 1.d.DeMP, NIST SRM-1957 10.d.DeMP, NIST SRM-1957 2.d.DeMP, NIST SRM-1957 3.d.DeMP, NIST SRM-1957 6.d.DeMP, NIST SRM-1957 7.d.DeMP, NIST SRM-1957 8.d.DeMP, NIST SRM-1957 9.d.DeMP,Detection Frequency (%),Average Abundance
PFHpA (M-H-CO2),CCS Library,likely,3289.0,8.4,17.54,132.5,318.9777,-6.58,0.11,N/A,149.999,0.0,191.999,176.999,0.0,167.999,0.0,0.0,50.0,82.0
PFPeS (M-H),CCS Library,likely,5422.0,7.2,18.92,142.2,348.935,-13.76,-0.01,N/A,0.0,0.0,0.0,0.0,105.999,107.999,0.0,0.0,25.0,27.0
PFOA (M-H-CO2),CCS Library,likely,4708.0,9.5,18.61,139.5,368.9714,-14.03,0.03,N/A,4632.999,3408.999,4505.999,4029.999,4468.999,3914.999,2759.999,2718.999,100.0,3393.0
PFHxS (M-H),CCS Library,likely,1898.0,8.5,20.07,150.0,398.9329,-9.27,-0.36,N/A,10092.999,9084.999,9299.999,8912.999,12496.999,11899.999,7660.999,7312.999,100.0,8540.0
PFHxS (M-H),CCS Library,likely,1399.0,8.9,20.2,150.7,398.9314,-13.03,0.15,N/A,0.0,580.999,0.0,0.0,0.0,0.0,684.999,661.999,37.5,218.0
PFNA (M-H-CO2),CCS Library,likely,603.0,10.4,19.71,147.2,418.9687,-11.22,0.11,N/A,683.999,536.999,687.999,526.999,710.999,809.999,456.999,395.999,100.0,546.0
PFHpS (M-H),CCS Library,likely,420.0,9.6,21.44,159.7,448.9291,-9.58,0.31,N/A,943.999,953.999,1004.999,815.999,1019.999,1097.999,724.999,580.999,100.0,805.0
PFOS (M-H),CCS Library,likely,0.0,10.6,22.73,168.5,498.924,-12.49,0.16,N/A,27968.999,23108.999,28089.999,28190.999,27649.999,26700.999,17606.999,17655.999,100.0,21897.0
NMeFOSAA (M-H),CCS Library,likely,2437.0,12.5,25.93,192.2,569.9636,-6.49,1.17,N/A,350.999,0.0,256.999,271.999,0.0,102.999,0.0,0.0,50.0,115.0
PFDS (M-H),CCS Library,likely,6190.0,11.9,25.17,186.5,598.9175,-10.52,0.17,N/A,140.999,0.0,132.999,0.0,0.0,0.0,0.0,0.0,25.0,33.0
3-(Perfluoropropyl)propanol,Suspects Library,tentative,3910.0,4.0,19.11,146.5,227.0326,8.42,N/A,N/A,0.0,0.0,0.0,0.0,176.999,152.999,0.0,0.0,25.0,39.0
"7,8,8,8-Tetrafluoro-7-(trifluoromethyl)octan-1-ol",Suspects Library,tentative,1869.0,5.7,20.71,157.3,269.0757,-7.2,N/A,N/A,219.999,111.999,265.999,203.999,0.0,254.999,131.999,113.999,87.5,154.0
1H-Perfluorononane,Suspects Library,tentative,3338.0,11.2,20.88,155.4,468.963,-14.2,N/A,N/A,137.999,133.999,0.0,183.999,148.999,0.0,0.0,0.0,50.0,73.0
Perfluorononane,Suspects Library,tentative,4519.0,7.0,26.8,198.7,486.967,13.99,N/A,N/A,0.0,235.999,0.0,0.0,0.0,0.0,216.999,0.0,25.0,53.0
Heptadecafluorooctane-2-sulfonic acid or Perfluorooctanesulfonic acid (PFOS),Suspects Library,tentative,5764.0,10.2,22.1,164.2,498.926,-7.46 or -7.45,N/A,N/A,9464.999,10249.999,8965.999,8089.999,11966.999,12202.999,7440.999,7153.999,100.0,8404.0
(E)-Perfluoronon-7-ene-1-sulfonic acid (dPFLSA n=6),Suspects Library,tentative,4580.0,4.1,25.99,192.6,510.9307,2.02,N/A,N/A,0.0,0.0,0.0,0.0,152.999,144.999,145.999,0.0,37.5,53.0
No Match,None,unmatched,5389.0,13.4,10.18,82.2,116.9736,,,,0.0,108.999,0.0,0.0,154.999,0.0,0.0,0.0,25.0,32.0
No Match,None,unmatched,5441.0,2.5,12.91,103.9,116.9736,,,,0.0,214.999,0.0,0.0,0.0,0.0,0.0,127.999,25.0,41.0
No Match,None,unmatched,3982.0,15.5,12.25,97.6,132.8663,,,,0.0,0.0,124.999,138.999,0.0,0.0,0.0,0.0,25.0,32.0
No Match,None,unmatched,247.0,4.0,15.76,124.6,144.0442,,,,2272.999,1014.999,2414.999,2375.999,1345.999,1431.999,1051.999,837.999,100.0,1427.0
No Match,None,unmatched,2747.0,12.7,16.46,130.0,149.0082,,,,311.999,0.0,285.999,259.999,0.0,0.0,0.0,0.0,37.5,99.0
No Match,None,unmatched,4703.0,13.7,16.44,129.8,149.0107,,,,214.999,0.0,0.0,100.999,0.0,112.999,0.0,0.0,37.5,52.0
