Match,Match Source,Classification Type,ID,RT,DT,CCS,m/z,Mass Error (ppm),CCS Error (%),RT Error (abs),Abundance,NIST SRM-1957 1.d.DeMP, NIST SRM-1957 10.d.DeMP,Detection Frequency (%),Average Abundance
PFOA (M-H-CO2),CCS Library,likely,4708.0,9.5,18.61,139.5,368.9714,-14.03,0.03,N/A,0.0,0.0,446.999,33.3,120.0
PFHxS (M-H),CCS Library,likely,1898.0,8.5,20.07,150.0,398.9329,-9.27,-0.36,N/A,0.0,0.0,193.37425570851258,33.3,57.0
PFHxS (M-H),CCS Library,likely,1399.0,8.9,20.2,150.7,398.9314,-13.03,0.15,N/A,240.999,0.0,580.999,66.7,222.0
PFOS (M-H),CCS Library,likely,0.0,10.6,22.73,168.5,498.924,-12.49,0.16,N/A,289.999,0.0,1222.999,66.7,395.0
"2-(Heptafluoropropyl)-1,4-dimethoxybenzene",Suspects Library,tentative,1772.0,13.8,20.6,155.4,305.0442,9.66,N/A,N/A,182.999,0.0,790.999,66.7,260.0
"2-(Heptafluoropropyl)-1,4-dimethoxybenzene",Suspects Library,tentative,4165.0,15.7,20.57,155.0,305.0455,13.92,N/A,N/A,0.0,0.0,211.999,33.3,61.0
Perfluorononane,Suspects Library,tentative,3033.0,5.9,26.78,198.8,486.9674,14.7,N/A,N/A,0.0,154.999,243.999,66.7,116.0
Perfluorononane,Suspects Library,tentative,4519.0,7.0,26.8,198.7,486.967,13.99,N/A,N/A,0.0,0.0,235.999,33.3,67.0
2H-Perfluorotridecanoic acid (HPFLCA_i n=11),Suspects Library,tentative,7660.0,11.8,23.96,177.1,644.952,-11.37,N/A,N/A,0.0,178.999,0.0,33.3,53.0
2-Hydrido-perfluorotetradecanoic acid (HPFLCA_i n=12),Suspects Library,tentative,3845.0,12.4,24.94,184.0,694.9507,-7.83,N/A,N/A,0.0,258.4626512939198,0.0,33.3,73.0
2-Hydrido-perfluoropentadecanoic acid (HPFLCA_i n=13),Suspects Library,tentative,2012.0,12.8,25.88,190.6,744.9451,-10.53,N/A,N/A,0.0,363.6408206389345,0.0,33.3,99.0
2H-Perfluorohexadecanoic acid (HPFLCA_i n=14),Suspects Library,tentative,843.0,13.2,26.79,196.9,794.9412,-10.76,N/A,N/A,0.0,437.5631480752429,0.0,33.3,118.0
No Match,None,unmatched,8498.0,12.9,11.16,90.0,116.9709,,,,0.0,0.0,136.999,33.3,43.0
No Match,None,unmatched,5441.0,2.5,12.91,103.9,116.9736,,,,0.0,0.0,214.999,33.3,62.0
No Match,None,unmatched,6565.0,15.7,12.28,97.7,136.86,,,,0.0,147.999,0.0,33.3,45.0
No Match,None,unmatched,14.0,2.5,17.67,137.0,187.0068,,,,1282.2741693527148,0.0,3725.274169352715,66.7,1269.0
No Match,None,unmatched,3189.0,2.5,17.7,136.9,188.0097,,,,0.0,0.0,350.999,33.3,96.0
No Match,None,unmatched,3677.0,2.5,17.71,136.9,189.004,,,,0.0,0.0,324.999,33.3,90.0
No Match,None,unmatched,3359.0,14.4,17.35,133.9,202.0378,,,,0.0,0.0,221.999,33.3,64.0
No Match,None,unmatched,254.0,2.2,17.63,135.9,203.0008,,,,0.0,0.0,189.999,33.3,56.0
No Match,None,unmatched,1842.0,15.3,17.36,133.9,203.0333,,,,134.999,282.999,366.999,100.0,221.0
No Match,None,unmatched,2313.0,14.7,17.78,136.6,213.0142,,,,143.999,0.0,310.999,66.7,130.0
No Match,None,unmatched,1596.0,15.4,17.8,136.7,213.0132,,,,206.999,0.0,565.999,66.7,210.0
No Match,None,unmatched,6635.0,12.0,17.52,134.9,215.0412,,,,0.0,240.999,0.0,33.3,69.0
No Match,None,unmatched,5146.0,13.7,17.53,134.8,215.0404,,,,0.0,199.999,0.0,33.3,58.0
No Match,None,unmatched,1840.0,8.3,17.86,137.4,218.0267,,,,0.0,428.40506099994457,0.0,33.3,115.0
No Match,None,unmatched,2210.0,14.0,18.98,145.6,218.0288,,,,114.999,0.0,0.0,33.3,37.0
No Match,None,unmatched,4507.0,5.2,17.21,132.0,222.9108,,,,0.0,0.0,101.999,33.3,34.0
No Match,None,unmatched,8999.0,6.3,16.76,128.8,223.0158,,,,0.0,108.999,0.0,33.3,36.0
No Match,None,unmatched,59.0,13.9,19.62,150.5,223.0274,,,,0.0,0.0,791.0353473556809,33.3,206.0
No Match,None,unmatched,1593.0,5.1,17.0,130.4,224.0592,,,,206.999,0.0,0.0,33.3,60.0
No Match,None,unmatched,2853.0,6.0,17.03,130.4,224.0596,,,,102.999,0.0,353.999,66.7,131.0
No Match,None,unmatched,5698.0,13.6,18.94,145.2,225.011,,,,0.0,0.0,104.999,33.3,35.0
No Match,None,unmatched,2873.0,5.7,17.1,130.9,225.067,,,,101.999,0.0,210.999,66.7,95.0
No Match,None,unmatched,5342.0,11.4,18.31,140.3,231.0453,,,,0.0,165.999,0.0,33.3,50.0
No Match,None,unmatched,1935.0,13.4,17.55,133.7,244.0248,,,,163.999,0.0,804.999,66.7,259.0
No Match,None,unmatched,5427.0,7.3,18.4,140.4,244.0252,,,,0.0,0.0,223.999,33.3,64.0
No Match,None,unmatched,77.0,6.6,17.93,136.7,244.9059,,,,111.999,0.0,323.999,66.7,126.0
No Match,None,unmatched,2536.0,7.0,17.93,136.6,244.9048,,,,116.999,0.0,347.999,66.7,133.0
No Match,None,unmatched,1844.0,4.6,17.63,134.3,246.0733,,,,173.999,0.0,440.999,66.7,170.0
No Match,None,unmatched,1817.0,6.8,17.95,136.7,246.9022,,,,177.999,0.0,580.999,66.7,206.0
No Match,None,unmatched,4359.0,6.7,17.96,136.7,248.8988,,,,0.0,0.0,218.999,33.3,63.0
No Match,None,unmatched,4583.0,6.0,18.43,140.5,251.999,,,,0.0,201.999,241.999,66.7,128.0
No Match,None,unmatched,259.0,7.2,20.33,154.7,253.0818,,,,0.0,0.0,204.999,33.3,60.0
No Match,None,unmatched,7245.0,7.6,20.37,154.8,253.0795,,,,0.0,0.0,114.999,33.3,37.0
No Match,None,unmatched,147.0,14.9,19.06,144.9,262.0359,,,,577.999,0.0,2388.999,66.7,758.0
No Match,None,unmatched,4853.0,11.3,19.36,147.2,263.0271,,,,0.0,248.999,0.0,33.3,71.0
No Match,None,unmatched,1084.0,13.2,19.03,144.4,263.0327,,,,847.999,0.0,1442.999,66.7,589.0
No Match,None,unmatched,6051.0,8.8,18.19,138.2,264.8339,,,,0.0,0.0,143.999,33.3,44.0
No Match,None,unmatched,7460.0,8.9,19.78,149.8,270.9368,,,,0.0,0.0,106.999,33.3,35.0
No Match,None,unmatched,4315.0,12.2,19.87,150.7,275.0533,,,,0.0,185.999,294.999,66.7,137.0
No Match,None,unmatched,1718.0,15.3,19.92,151.1,275.0555,,,,188.999,327.999,211.999,100.0,207.0
No Match,None,unmatched,5867.0,9.6,19.92,150.8,276.0508,,,,0.0,0.0,156.999,33.3,48.0
No Match,None,unmatched,8164.0,11.5,18.58,140.8,276.9971,,,,0.0,0.0,151.999,33.3,46.0
No Match,None,unmatched,6491.0,13.4,18.57,140.9,276.9986,,,,0.0,0.0,152.999,33.3,47.0
No Match,None,unmatched,3969.0,12.8,18.59,140.9,277.9958,,,,0.0,0.0,281.999,33.3,79.0
No Match,None,unmatched,4559.0,10.5,18.59,140.7,278.9907,,,,0.0,0.0,221.999,33.3,64.0
No Match,None,unmatched,4529.0,13.8,19.94,151.0,280.0316,,,,0.0,0.0,128.999,33.3,41.0
No Match,None,unmatched,1234.0,13.1,19.23,145.3,289.0289,,,,523.999,0.0,1557.999,66.7,537.0
No Match,None,unmatched,5772.0,10.6,19.25,145.4,289.0561,,,,0.0,0.0,195.999,33.3,57.0
No Match,None,unmatched,6451.0,3.2,19.62,148.4,294.9,,,,0.0,108.999,0.0,33.3,36.0
No Match,None,unmatched,8400.0,15.4,21.85,165.2,297.0444,,,,0.0,210.999,210.999,66.7,122.0
No Match,None,unmatched,7764.0,14.3,21.83,164.9,299.0232,,,,0.0,0.0,118.999,33.3,38.0
No Match,None,unmatched,866.0,9.8,21.13,159.7,304.9075,,,,0.0,959.7381050903122,0.0,33.3,248.0
No Match,None,unmatched,1349.0,13.1,20.59,155.2,306.042,,,,248.999,0.0,905.999,66.7,305.0
No Match,None,unmatched,1148.0,9.8,21.17,159.8,306.9045,,,,0.0,0.0,151.999,33.3,46.0
No Match,None,unmatched,2140.0,15.7,20.55,155.3,307.0397,,,,102.999,392.999,0.0,66.7,141.0
No Match,None,unmatched,2081.0,6.7,17.98,135.7,308.8368,,,,149.999,0.0,542.999,66.7,190.0
No Match,None,unmatched,5381.0,10.4,20.76,156.3,309.0371,,,,0.0,0.0,136.999,33.3,43.0
No Match,None,unmatched,5803.0,10.9,20.13,151.9,310.9325,,,,0.0,105.999,0.0,33.3,35.0
No Match,None,unmatched,6263.0,14.8,20.13,152.1,310.9323,,,,0.0,161.999,0.0,33.3,49.0
No Match,None,unmatched,1694.0,13.4,21.2,159.3,331.042,,,,191.999,0.0,408.999,66.7,167.0
No Match,None,unmatched,4175.0,15.2,21.31,160.1,332.0383,,,,0.0,0.0,212.999,33.3,62.0
No Match,None,unmatched,5965.0,13.9,21.9,164.6,335.0204,,,,0.0,0.0,113.999,33.3,37.0
No Match,None,unmatched,4419.0,11.1,21.72,163.1,355.044,,,,0.0,170.999,136.999,66.7,94.0
No Match,None,unmatched,6334.0,7.3,21.7,162.9,356.0398,,,,0.0,137.999,125.999,66.7,83.0
No Match,None,unmatched,2563.0,14.4,21.74,162.9,356.0415,,,,115.999,0.0,231.999,66.7,104.0
No Match,None,unmatched,2136.0,12.9,21.74,162.9,357.0376,,,,145.999,0.0,440.999,66.7,163.0
No Match,None,unmatched,2020.0,13.6,21.72,162.8,357.0381,,,,153.999,0.0,453.999,66.7,169.0
No Match,None,unmatched,235.0,9.6,23.03,172.4,366.8979,,,,0.0,0.0,114.999,33.3,37.0
No Match,None,unmatched,6011.0,9.6,23.05,172.4,368.8926,,,,0.0,0.0,115.999,33.3,37.0
No Match,None,unmatched,2870.0,9.9,18.64,139.5,368.971,,,,101.999,0.0,288.999,66.7,114.0
No Match,None,unmatched,6360.0,6.4,22.3,166.9,386.9167,,,,0.0,109.999,0.0,33.3,36.0
No Match,None,unmatched,4796.0,7.3,22.3,166.8,386.9179,,,,0.0,145.999,0.0,33.3,45.0
No Match,None,unmatched,3565.0,2.6,21.11,157.7,400.8612,,,,0.0,107.999,172.999,66.7,87.0
No Match,None,unmatched,4874.0,3.2,21.12,157.5,400.861,,,,0.0,0.0,133.999,33.3,42.0
