"Score","SeriesType_Identifier","Name_or_Class","Formula","SMILES","m/z","Retention Time","Adduct","Unique","Score_Description","Needs_Validation","row.ID","DT","CCS","Abundance","RSD","X9.M.E1.A.1.d.DeMP","X10.M.E1.A.2.d.DeMP","X11.M.E1.A.3.d.DeMP","X16.DBS.E1.A.1.d.DeMP","X17.DBS.E1.A.2.d.DeMP","X18.DBS.E1.A.3.d.DeMP","X41.M.E4.A.1.d.DeMP","X42.M.E4.A.2.d.DeMP","X43.M.E4.A.3.d.DeMP","X47.DBS.E4.A.1.d.DeMP","X48.DBS.E4.A.2.d.DeMP","X49.DBS..E4.A.3.d.DeMP","Blank.1.d","Blank.2.d","Blank.3.d","ID_Ranked","nominal mass","mass defect","[CF2]n_Kendrick_mass","[CF2]n_nominal_Kendrick_mass","[CF2]n_Kendrick_mass_defect","[CF2]n_KMD_Group","[CF2]n_homologous_series","[CF2]n_Homologous_series_count","[CF2]n_MD_Filter","[CF2]n_RT_series","[CF2]n_DT_series","Confident_ID","2+_homologous_series","3+_homologous_series","Exact_mass_match","Score","Score_Description","Files","eC","MZ_eC","MD_eC","Checked_Viz","TRUE_Viz","Class_Viz","Cnumb_Viz","Comment_Viz"
"C+","[CF2]n_458","PFPrA|(M-H-CO2)-|DTXSID10892478|CAS=44864-55-3","C3HF5O2","OC(=O)C(F)(F)C(F)(F)F","118.9917","8.413","[M-H-CO2]-","Yes","Lvl 5 Schymanski: Possible ID, possible PFAS: 2+ in homologous series, and at least one confident PFAS identification within homologous series (A- or higher grade)","Yes","11235","17.407","140.32","14","2.34","0.001","0.001","0.001","0.001","0.001","0.001","87","0.001","0.001","0.001","0.001","76","0","0","0","4_PFPrA|(M-H-CO2)-|DTXSID10892478|CAS=44864-55-3;C3HF5O2;OC(=O)C(F)(F)C(F)(F)F | 4_PFPrA|(M-H-CO2)-|DTXSID10892478|CAS=44864-55-3;C3HF5O2;OC(=O)C(F)(F)C(F)(F)F","119","-0.00830000000000553","118.99930062813","119","-0.000699371869728793","49","458","8","TRUE","RT ordered","DT ordered","FALSE","TRUE","TRUE","TRUE","C+","Lvl 5 Schymanski: Possible ID, possible PFAS: 2+ in homologous series, and at least one confident PFAS identification within homologous series (A- or higher grade)","","eC","MZ_eC","MD_eC",,,,,
"C+","[CF2]n_458","PFBA|(M-H-CO2)-|DTXSID4059916|CAS=375-22-4","C4HF7O2","OC(=O)C(F)(F)C(F)(F)C(F)(F)F","168.9882","9.585","[M-H-CO2]-","Yes","Lvl 5 Schymanski: Possible ID, possible PFAS: 2+ in homologous series, and at least one confident PFAS identification within homologous series (A- or higher grade)","Yes","4845","18.467","144.55","64","1.06","0.001","0.001","0.001","0.001","0.001","0.001","141","116","112","145","113","135","0","0","0","4_PFBA|(M-H-CO2)-|DTXSID4059916|CAS=375-22-4;C4HF7O2;OC(=O)C(F)(F)C(F)(F)C(F)(F)F | 4_PFBA|(M-H-CO2)-|DTXSID4059916|CAS=375-22-4;C4HF7O2;OC(=O)C(F)(F)C(F)(F)C(F)(F)F","169","-0.0117999999999938","168.998994168556","169","-0.00100583144364919","49","458","8","TRUE","RT not ordered","DT ordered","FALSE","TRUE","TRUE","TRUE","C+","Lvl 5 Schymanski: Possible ID, possible PFAS: 2+ in homologous series, and at least one confident PFAS identification within homologous series (A- or higher grade)","","eC","MZ_eC","MD_eC",,,,,
"C+","[CF2]n_458","PFBA|(M-H-CO2)-|DTXSID4059916|CAS=375-22-4","C4HF7O2","OC(=O)C(F)(F)C(F)(F)C(F)(F)F","168.9884","7.354","[M-H-CO2]-","Yes","Lvl 5 Schymanski: Possible ID, possible PFAS: 2+ in homologous series, and at least one confident PFAS identification within homologous series (A- or higher grade)","Yes","6220","26.68","208.44","44","1.37","0.001","0.001","0.001","0.001","0.001","0.001","143","88","0.001","159","63","72","0","0","0","4_PFBA|(M-H-CO2)-|DTXSID4059916|CAS=375-22-4;C4HF7O2;OC(=O)C(F)(F)C(F)(F)C(F)(F)F | 4_PFBA|(M-H-CO2)-|DTXSID4059916|CAS=375-22-4;C4HF7O2;OC(=O)C(F)(F)C(F)(F)C(F)(F)F","169","-0.0115999999999872","168.999194181331","169","-0.000805818668595748","49","458","8","TRUE","RT not ordered","DT not ordered","FALSE","TRUE","TRUE","TRUE","C+","Lvl 5 Schymanski: Possible ID, possible PFAS: 2+ in homologous series, and at least one confident PFAS identification within homologous series (A- or higher grade)","","eC","MZ_eC","MD_eC",,,,,
"C+","[CF2]n_458","PFBA|(M-H-CO2)-|DTXSID4059916|CAS=375-22-4","C4HF7O2","OC(=O)C(F)(F)C(F)(F)C(F)(F)F","168.9889","8.473","[M-H-CO2]-","Yes","Lvl 5 Schymanski: Possible ID, possible PFAS: 2+ in homologous series, and at least one confident PFAS identification within homologous series (A- or higher grade)","Yes","1602","17.45","136.64","296","0.89","0.001","129","98","0.001","0.001","70","578","554","468","650","493","513","0","0","0","4_PFBA|(M-H-CO2)-|DTXSID4059916|CAS=375-22-4;C4HF7O2;OC(=O)C(F)(F)C(F)(F)C(F)(F)F | 4_PFBA|(M-H-CO2)-|DTXSID4059916|CAS=375-22-4;C4HF7O2;OC(=O)C(F)(F)C(F)(F)C(F)(F)F","169","-0.011099999999999","168.999694213269","169","-0.000305786730962154","49","458","8","TRUE","RT not ordered","DT ordered","FALSE","TRUE","TRUE","TRUE","C+","Lvl 5 Schymanski: Possible ID, possible PFAS: 2+ in homologous series, and at least one confident PFAS identification within homologous series (A- or higher grade)","","eC","MZ_eC","MD_eC",,,,,
"C+","[CF2]n_458","PFPeA|(M-H-CO2)-|DTXSID00892487|CAS=45167-47-3","C5HF9O2","OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F","218.985","9.577","[M-H-CO2]-","Yes","Lvl 5 Schymanski: Possible ID, possible PFAS: 2+ in homologous series, and at least one confident PFAS identification within homologous series (A- or higher grade)","Yes","14980","18.478","142.27","7","3.46","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","78","0.001","0.001","0","0","0","4_PFPeA|(M-H-CO2)-|DTXSID00892487|CAS=45167-47-3;C5HF9O2;OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F | 4_PFPeA|(M-H-CO2)-|DTXSID00892487|CAS=45167-47-3;C5HF9O2;OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F","219","-0.0149999999999864","218.998987728145","219","-0.00101227185498942","49","458","8","TRUE","RT not ordered","DT not ordered","FALSE","TRUE","TRUE","TRUE","C+","Lvl 5 Schymanski: Possible ID, possible PFAS: 2+ in homologous series, and at least one confident PFAS identification within homologous series (A- or higher grade)","","eC","MZ_eC","MD_eC",,,,,
"C+","[CF2]n_458","PFPeA|(M-H-CO2)-|DTXSID00892487|CAS=45167-47-3","C5HF9O2","OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F","218.9856","11.312","[M-H-CO2]-","Yes","Lvl 5 Schymanski: Possible ID, possible PFAS: 2+ in homologous series, and at least one confident PFAS identification within homologous series (A- or higher grade)","Yes","17334","20.751","159.66","5","3.46","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","56","0","0","0","4_PFPeA|(M-H-CO2)-|DTXSID00892487|CAS=45167-47-3;C5HF9O2;OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F | 4_PFPeA|(M-H-CO2)-|DTXSID00892487|CAS=45167-47-3;C5HF9O2;OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F","219","-0.0143999999999949","218.99958776647","219","-0.000412233529829109","49","458","8","TRUE","RT not ordered","DT not ordered","FALSE","TRUE","TRUE","TRUE","C+","Lvl 5 Schymanski: Possible ID, possible PFAS: 2+ in homologous series, and at least one confident PFAS identification within homologous series (A- or higher grade)","","eC","MZ_eC","MD_eC",,,,,
"A","[CF2]n_458","PFHxA|(M-H-CO2)-|DTXSID20892484|CAS=92612-52-7","C6HF11O2","OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F","268.9817","6.842","[M-H-CO2]-","Yes","Lvl 2 Schymanski: Confident ID (class specific dominant fragments observed along with exact mass) and 2+ in homologous series","No","4302","16.378","124.86","76","1.26","0.001","0.001","0.001","0.001","0.001","0.001","226","186","0.001","180","153","162","0","0","0","1_PFHxA|(M-H-CO2)-|DTXSID20892484|CAS=92612-52-7;C6HF11O2;OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F | 1_13C5- PFHxA|(M-H-CO2)-|NA|CAS=NA;C6HF11O2;NA | 1_PFHxA|(M-H-CO2)-|DTXSID20892484|CAS=92612-52-7;C6HF11O2;OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F","269","-0.0183000000000106","268.998881281346","269","-0.00111871865391322","49","458","8","TRUE","RT not ordered","DT not ordered","TRUE","TRUE","TRUE","FALSE","A","Lvl 2 Schymanski: Confident ID (class specific dominant fragments observed along with exact mass) and 2+ in homologous series","","eC","MZ_eC","MD_eC",,,,,
"A","[CF2]n_458","PFHpA|(M-H-CO2)-|DTXSID1037303|CAS=375-85-9","C7HF13O2","OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F","318.9784","8.497","[M-H-CO2]-","Yes","Lvl 2 Schymanski: Confident ID (class specific dominant fragments observed along with exact mass) and 2+ in homologous series","No","523","17.525","132.56","1318","0.6","625","534","607","612","623","577","2688","1962","1875","2149","1594","1973","0","0","0","1_PFHpA|(M-H-CO2)-|DTXSID1037303|CAS=375-85-9;C7HF13O2;OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F | 1_13C4- PFHpA|(M-H-CO2)-|NA|CAS=NA;C7HF13O2;NA | 1_PFHpA|(M-H-CO2)-|DTXSID1037303|CAS=375-85-9;C7HF13O2;OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F","319","-0.0215999999999781","318.998774834547","319","-0.00122516545275175","49","458","8","TRUE","RT ordered","DT ordered","TRUE","TRUE","TRUE","FALSE","A","Lvl 2 Schymanski: Confident ID (class specific dominant fragments observed along with exact mass) and 2+ in homologous series","","eC","MZ_eC","MD_eC",,,,,
"A","[CF2]n_458","PFOA|(M-H-CO2)-|DTXSID40892486|CAS=45285-51-6","C8HF15O2","OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F","368.975","9.672","[M-H-CO2]-","Yes","Lvl 2 Schymanski: Confident ID (class specific dominant fragments observed along with exact mass) and 2+ in homologous series","No","318","18.565","139.6","2606","0.71","853","970","809","947","1004","738","5511","3924","3895","4725","3712","4184","0","0","0","1_PFOA|(M-H-CO2)-|DTXSID40892486|CAS=45285-51-6;C8HF15O2;OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F | 1_13C8- PFOA|(M-H-CO2)-|NA|CAS=NA;C8HF15O2;NA | 1_PFOA|(M-H-CO2)-|DTXSID40892486|CAS=45285-51-6;C8HF15O2;OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F","369","-0.0249999999999773","368.998568381361","369","-0.00143161863917385","49","458","8","TRUE","RT not ordered","DT ordered","TRUE","TRUE","TRUE","FALSE","A","Lvl 2 Schymanski: Confident ID (class specific dominant fragments observed along with exact mass) and 2+ in homologous series","","eC","MZ_eC","MD_eC",,,,,
"A","[CF2]n_458","PFNA|(M-H-CO2)-|DTXSID8031863|CAS=375-95-1","C9HF17O2","OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F","418.9712","10.607","[M-H-CO2]-","Yes","Lvl 2 Schymanski: Confident ID (class specific dominant fragments observed along with exact mass) and 2+ in homologous series","No","1391","19.681","147.32","360","0.86","92","99","143","129","0.001","0.001","777","483","563","734","538","756","0","0","0","1_PFNA|(M-H-CO2)-|DTXSID8031863|CAS=375-95-1;C9HF17O2;OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F | 1_13C9- PFNA|(M-H-CO2)-|NA|CAS=NA;C9HF17O2;NA | 1_PFNA|(M-H-CO2)-|DTXSID8031863|CAS=375-95-1;C9HF17O2;OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F","419","-0.0287999999999897","418.997961902624","419","-0.00203809737570282","49","458","8","TRUE","RT not ordered","DT ordered","TRUE","TRUE","TRUE","FALSE","A","Lvl 2 Schymanski: Confident ID (class specific dominant fragments observed along with exact mass) and 2+ in homologous series","","eC","MZ_eC","MD_eC",,,,,
