ID,RT,DT,CCS,m/z,Abundance,RSD, 9-M-E1-A-1.d.DeMP,10-M-E1-A-2.d.DeMP, 11-M-E1-A-3.d.DeMP, 16-DBS-E1-A-1.d.DeMP, 17-DBS-E1-A-2.d.DeMP, 18-DBS-E1-A-3.d.DeMP, 41-M-E4-A-1.d.DeMP, 42-M-E4-A-2.d.DeMP, 43-M-E4-A-3.d.DeMP, 47-DBS-E4-A-1.d.DeMP, 48-DBS-E4-A-2.d.DeMP, 49-DBS--E4-A-3.d.DeMP,Blank 1.d,Blank 2.d,Blank 3.d
1,14.419,23.219,176.3,281.2488,389194,0.03,385962,384420,383451,380057,373766,373920,404760,403034,401260,394435,393775,391493,0,0,0
2,14.969,23.384,177.48,283.2647,331750,0.14,301118,293742,298629,288086,270596,271964,379834,381441,376247,372383,375674,371287,0,0,0
3,13.821,23.15,175.83,279.2334,323279,0.06,309282,309446,311627,313828,298460,297441,344944,334723,336993,340005,337261,345337,0,0,0
4,14.133,22.19,169.29,255.2334,209162,0.29,161560,161682,155303,172757,144535,150967,288071,295878,295474,249250,228019,206443,0,0,0
5,14.547,25.974,195.24,355.3227,198335,1.05,0.001,0.001,0.001,367207,377092,375043,0.001,0.001,0.001,420053,419676,420951,0,0,0
6,13.86,24.167,182.85,303.2333,179113,0.29,146735,140874,138842,131620,116256,111229,234159,227478,224727,229411,225768,222255,0,0,0
7,14.951,28.577,212.87,464.3154,176940,0.63,81249,77461,77262,71080,60355,59839,290897,272124,282668,290829,276663,282847,0,0,0
8,15.144,26.941,201.93,383.3538,134879,1.21,0.001,0.001,0.001,156849,153972,160931,0.001,0.001,0.001,395385,377068,374341,0,0,0
9,14.776,27.91,208.27,438.3002,124757,0.79,36651,33882,34418,30476,27539,24676,220090,190752,212828,232738,228399,224638,0,0,0
10,15.099,28.257,211.37,405.2652,109413,0.51,63967,68129,63601,64727,57188,49702,192877,204698,152448,131776,136793,127048,0,0,0
11,14.248,24.173,182.85,305.2491,99709,0.82,26663,25367,23960,22466,16812,17869,188623,167794,174074,204854,179273,148754,0,0,0
12,16.323,25.698,193.51,339.3276,99658,1.21,7283,9859,9669,65258,73720,58391,27041,32116,26178,322961,281785,281636,0,0,0
13,13.935,22.607,172.08,267.2329,93701,0.78,27366,25734,24809,26533,20970,20811,163731,148380,149634,176864,171492,168086,0,0,0
14,16.066,27.214,203.98,383.3541,92509,1.47,0.001,0.001,0.001,56163,57824,55266,0.001,0.001,0.001,331868,305696,303285,0,0,0
15,14.483,30.716,228.62,473.2836,88074,0.59,34362,37534,31459,50204,42523,39098,149179,136884,123984,137501,132178,141986,0,0,0
16,10.634,22.689,168.78,506.9564,80661,0.77,24448,22493,22217,26170,21995,18619,140812,125666,115480,171982,138589,139463,0,0,0
17,15.413,26.112,196.28,355.3219,80336,1.48,0.001,0.001,0.001,47449,47761,44019,312,334,405,292400,268161,263195,0,0,0
18,13.684,24.809,187.11,327.2909,76528,1.58,0.001,0.001,0.001,31180,29449,31002,0.001,0.001,0.001,300316,246524,279862,0,0,0
