ID,RT,DT,CCS,m/z,83 Paired 12835.d.DeMP, 84 Paired 7211.d.DeMP, 85 Paired 2654.d.DeMP,Blank 1.d,Blank 2.d,Blank 3.d
1,14.443,23.343,207.48,283.2634,53242,53224,53219,0.001,0.001,0.001
2,13.609,22.165,199.52,255.2327,53017,52944,53068,0.001,0.001,0.001
3,13.306,23.076,205.59,279.2326,52963,52973,52852,0.001,0.001,0.001
4,13.88,23.17,206.23,281.2482,52684,53028,52696,0.001,0.001,0.001
5,12.923,21.937,197.85,253.2169,52348,52912,52828,0.001,0.001,0.001
6,7.478,26.161,226.5,367.1583,52452,52612,52521,0.001,0.001,0.001
7,5.425,17.575,163.24,301.9514,52144,52039,52680,0.001,0.001,0.001
8,4.95,23.569,208.35,311.1396,53125,51669,52007,0.001,0.001,0.001
9,2.454,17.578,167.47,187.0063,51212,52236,52200,0.001,0.001,0.001
10,12.796,22.979,204.92,277.2169,50316,52666,52569,0.001,0.001,0.001
11,10.309,22.65,198.17,506.9564,52407,52281,50394,0.001,0.001,0.001
12,8.611,26.047,225.61,369.174,52935,52110,49954,0.001,0.001,0.001
13,14.535,29.132,246.74,480.3104,51113,52295,51304,0.001,0.001,0.001
14,6.678,19.913,180.31,328.9798,52226,48955,52267,0.001,0.001,0.001
15,13.35,24.162,213.06,303.2327,52687,52731,47682,0.001,0.001,0.001
16,12.545,21.013,191.89,227.2012,51668,52836,47420,0.001,0.001,0.001
17,13.475,28.424,241.52,476.2789,52039,52322,46802,0.001,0.001,0.001
18,16.33,40.526,327.4,885.5538,48396,51856,44647,0.001,0.001,0.001
19,4.87,20.979,190.33,259.0274,48160,48023,47755,0.001,0.001,0.001
20,13.774,28.134,239.71,452.2788,45852,50432,45874,0.001,0.001,0.001
21,9.328,22.492,197.93,428.9742,50136,49183,39103,0.001,0.001,0.001
22,8.434,20.083,180.3,401.9458,49915,51029,33252,0.001,0.001,0.001
23,14.003,28.759,243.99,478.2946,44247,47452,40751,0.001,0.001,0.001
24,7.434,18.248,173.17,179.0707,38841,47298,45339,0.001,0.001,0.001
25,8.295,17.484,162.13,321.9886,43818,44084,42824,0.001,0.001,0.001
26,7.113,21.919,197.21,267.1233,42001,47317,39776,0.001,0.001,0.001
27,13.897,30.651,258.16,473.2829,46694,50774,27413,0.001,0.001,0.001
28,11.017,25.06,215.86,528.9681,44076,49184,27647,0.001,0.001,0.001
29,11.589,24.005,211.43,319.2276,44114,37669,37825,0.001,0.001,0.001
30,1.656,18.591,173.98,212.0014,33532,46314,39254,0.001,0.001,0.001
31,1.762,21.738,195.97,263.1032,32275,46255,38539,0.001,0.001,0.001
