ID,RT,DT,CCS,m/z,Abundance,Z,Ions,Freq.,Q Score,Sat.,Mark,RT,DT,CCS,m/z,Abundance,RSD,Freq.,RT,DT,CCS,m/z,Abundance,RSD,Freq.,RT,DT,CCS,m/z,Log2(A1/A2),Expression,Diff.Score,83 Paired 12835.d.DeMP, 84 Paired 7211.d.DeMP, 85 Paired 2654.d.DeMP,Blank 1.d,Blank 2.d,Blank 3.d
1,14.443,23.343,207.48,283.2634,53228,-1,4,3,100,x,FALSE,14.443,23.343,207.48,283.2634,53228,0,3,,,,,0,,0,,,,,16,up,100,53242,53224,53219,0.001,0.001,0.001
2,13.609,22.165,199.52,255.2327,53010,-1,5,3,100,x,FALSE,13.609,22.165,199.52,255.2327,53010,0,3,,,,,0,,0,,,,,16,up,100,53017,52944,53068,0.001,0.001,0.001
3,13.306,23.076,205.59,279.2326,52929,-1,4,3,100,x,FALSE,13.306,23.076,205.59,279.2326,52929,0,3,,,,,0,,0,,,,,16,up,100,52963,52973,52852,0.001,0.001,0.001
4,13.88,23.17,206.23,281.2482,52803,-1,5,3,93.7,x,FALSE,13.88,23.17,206.23,281.2482,52803,0,3,,,,,0,,0,,,,,16,up,100,52684,53028,52696,0.001,0.001,0.001
5,12.923,21.937,197.85,253.2169,52696,-1,4,3,100,x,FALSE,12.923,21.937,197.85,253.2169,52696,0.01,3,,,,,0,,0,,,,,16,up,100,52348,52912,52828,0.001,0.001,0.001
6,7.478,26.161,226.5,367.1583,52528,-1,5,3,100,x,FALSE,7.478,26.161,226.5,367.1583,52528,0,3,,,,,0,,0,,,,,16,up,100,52452,52612,52521,0.001,0.001,0.001
7,5.425,17.575,163.24,301.9514,52288,-1,3,3,100,x,FALSE,5.425,17.575,163.24,301.9514,52288,0.01,3,,,,,0,,0,,,,,16,up,100,52144,52039,52680,0.001,0.001,0.001
8,4.95,23.569,208.35,311.1396,52267,-1,4,3,100,x,FALSE,4.95,23.569,208.35,311.1396,52267,0.01,3,,,,,0,,0,,,,,16,up,100,53125,51669,52007,0.001,0.001,0.001
9,2.454,17.578,167.47,187.0063,51883,-1,5,3,100,x,FALSE,2.454,17.578,167.47,187.0063,51883,0.01,3,,,,,0,,0,,,,,16,up,100,51212,52236,52200,0.001,0.001,0.001
10,12.796,22.979,204.92,277.2169,51850,-1,4,3,100,x,FALSE,12.796,22.979,204.92,277.2169,51850,0.03,3,,,,,0,,0,,,,,16,up,100,50316,52666,52569,0.001,0.001,0.001
