ID,RT,DT,CCS,m/z,Abundance,Z,Ions,Freq.,Q Score,Sat.,Mark,RT,DT,CCS,m/z,Abundance,RSD,Freq.,RT,DT,CCS,m/z,Abundance,RSD,Freq.,RT,DT,CCS,m/z,Log2(A1/A2),Expression,Diff.Score,11 2286 - Serum.d.DeMP, 12 2286 - Mitra.d.DeMP, 13 2286 - DBS.d.DeMP,Blank 1.d,Blank 2.d,Blank 3.d
5227,2.194,22.76,200.12,57.9758,74,-1,1,1,50.4,,FALSE,2.194,22.76,200.12,57.9758,74,1.73,1,,,,,0,,0,,,,,16,up,62.61,222,0.001,0.001,0.001,0.001,0.001
9592,15.116,26.77,234.69,59.0131,27,-1,1,1,34.5,,FALSE,15.116,26.77,234.69,59.0131,27,1.73,1,,,,,0,,0,,,,,16,up,62.61,0.001,82,0.001,0.001,0.001,0.001
5502,15.605,32.411,284.12,59.0133,68,-1,1,2,52.1,,FALSE,15.605,32.411,284.12,59.0133,68,1.03,2,,,,,0,,0,,,,,16,up,83.359,0.001,140,65,0.001,0.001,0.001
6670,14.621,26.693,234.01,59.0135,52,-1,1,1,51.7,,FALSE,14.621,26.693,234.01,59.0135,52,1.73,1,,,,,0,,0,,,,,16,up,62.61,0.001,156,0.001,0.001,0.001,0.001
6054,10.43,30.594,268.2,59.0137,60,-1,1,1,53.7,,FALSE,10.43,30.594,268.2,59.0137,60,1.73,1,,,,,0,,0,,,,,16,up,62.61,0.001,0.001,179,0.001,0.001,0.001
6727,14.656,26.58,233.02,59.0137,52,-1,1,1,37,,FALSE,14.656,26.58,233.02,59.0137,52,1.73,1,,,,,0,,0,,,,,16,up,62.61,0.001,155,0.001,0.001,0.001,0.001
8184,13.341,28.367,248.69,59.0137,37,-1,1,1,55.2,,FALSE,13.341,28.367,248.69,59.0137,37,1.73,1,,,,,0,,0,,,,,16,up,62.61,112,0.001,0.001,0.001,0.001,0.001
7794,13.976,34.637,303.63,59.014,41,-1,1,1,49.9,,FALSE,13.976,34.637,303.63,59.014,41,1.73,1,,,,,0,,0,,,,,16,up,62.61,0.001,0.001,122,0.001,0.001,0.001
8408,13.937,37.926,332.45,59.014,35,-1,1,1,35.7,,FALSE,13.937,37.926,332.45,59.014,35,1.73,1,,,,,0,,0,,,,,16,up,62.61,0.001,0.001,106,0.001,0.001,0.001
3660,5.576,26.57,232.93,59.0141,120,-1,1,1,52.4,,FALSE,5.576,26.57,232.93,59.0141,120,1.73,1,,,,,0,,0,,,,,16,up,62.61,0.001,0.001,359,0.001,0.001,0.001
3863,5.995,27.972,245.22,59.0141,110,-1,1,1,48.5,,FALSE,5.995,27.972,245.22,59.0141,110,1.73,1,,,,,0,,0,,,,,16,up,62.61,0.001,0.001,331,0.001,0.001,0.001
5353,15.622,32.024,280.73,59.0141,71,-1,1,1,43.8,,FALSE,15.622,32.024,280.73,59.0141,71,1.73,1,,,,,0,,0,,,,,16,up,62.61,0.001,214,0.001,0.001,0.001,0.001
6470,15.2,28.326,248.32,59.0141,54,-1,1,1,33.7,,FALSE,15.2,28.326,248.32,59.0141,54,1.73,1,,,,,0,,0,,,,,16,up,62.61,0.001,0.001,163,0.001,0.001,0.001
6710,14.992,28.328,248.34,59.0141,52,-1,1,1,35.8,,FALSE,14.992,28.328,248.34,59.0141,52,1.73,1,,,,,0,,0,,,,,16,up,62.61,0.001,0.001,155,0.001,0.001,0.001
1151,15.817,33.725,295.64,59.0142,520,-1,1,2,67.2,,FALSE,15.817,33.725,295.64,59.0142,520,0.96,2,,,,,0,,0,,,,,16,up,85.299,0.001,1001,559,0.001,0.001,0.001
3517,13.934,31.984,280.38,59.0142,126,-1,1,1,55.4,,FALSE,13.934,31.984,280.38,59.0142,126,1.73,1,,,,,0,,0,,,,,16,up,62.61,0.001,0.001,378,0.001,0.001,0.001
5186,6.354,29.345,257.25,59.0142,75,-1,1,1,38.4,,FALSE,6.354,29.345,257.25,59.0142,75,1.73,1,,,,,0,,0,,,,,16,up,62.61,0.001,0.001,224,0.001,0.001,0.001
