ID,RT,DT,CCS,m/z,35 2286 - Serum.d.DeMP, 36 2286 - Mitra.d.DeMP, 37 2286 - DBS.d.DeMP, 38 2182 - Serum.d.DeMP, 39 2182 - Mitra.d.DeMP, 40 2182 - DBS.d.DeMP, 41 2187 - Serum.d.DeMP, 42 2187 - Mitra.d.DeMP, 43 2187 - DBS.d.DeMP, 44 2854 - Serum.d.DeMP, 45 2854 - Mitra.d.DeMP, 46 2854 - DBS.d.DeMP, 47 2911 - Serum.d.DeMP, 48 2911 - Mitra.d.DeMP, 49 2911 - DBS.d.DeMP, 125 1777 - Serum.d.DeMP, 126 1777 - Mitra.d.DeMP, 127 1777 - DBS.d.DeMP, 128 1821 - Serum.d.DeMP, 129 1821 - Mitra.d.DeMP, 130 1821 - DBS.d.DeMP, 131 1673 - Serum.d.DeMP, 132 1673 - Mitra.d.DeMP, 133 1673 - DBS.d.DeMP, 134 1894 - Serum.d.DeMP, 135 1894 - Mitra.d.DeMP, 136 1894 - DBS.d.DeMP, 137 3330 - Serum.d.DeMP, 138 3330 - Mitra.d.DeMP, 139 3330 - DBS.d.DeMP, 80 2003 - Serum.d.DeMP, 81 2003 - Mitra.d.DeMP, 82 2003 - DBS.d.DeMP, 83 2095 - Serum.d.DeMP, 84 2095 - Mitra.d.DeMP, 85 2095 - DBS.d.DeMP, 86 2046 - Serum.d.DeMP, 87 2046 - Mitra.d.DeMP, 88 2046 - DBS.d.DeMP, 89 2889 - Serum.d.DeMP, 90 2889 - Mitra.d.DeMP, 91 2889 - DBS.d.DeMP, 92 3021 - Serum.d.DeMP, 93 3021 - Mitra.d.DeMP, 94 3021 - DBS.d.DeMP,Blank 1.d,Blank 2.d,Blank 3.d,Blank 4.d,Blank 5.d,Blank 6.d,Blank 7.d,Blank 8.d,Blank 9.d
2847,14.801,34.223,301.19,59.0143,0.001,0.001,0.001,0.001,820,0.001,0.001,234,0.001,0.001,496,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,405,0.001,0.001,402,0.001,0.001,349,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,158,0.001,0.001,606,0.001,0.001,167,0.001,0.001,176,124,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
2120,2.414,17.487,147.42,79.9577,458,259,136,397,272,0.001,265,0.001,0.001,361,221,0.001,0.001,0.001,0.001,365,0.001,0.001,398,0.001,0.001,131,0.001,0.001,469,269,103,258,0.001,0.001,298,0.001,0.001,301,0.001,0.001,338,0.001,0.001,335,0.001,0.001,445,200,154,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1610,2.969,19.899,166.88,83.0506,0.001,0.001,0.001,562,0.001,0.001,787,0.001,0.001,449,0.001,0.001,517,0.001,0.001,203,0.001,0.001,1040,0.001,0.001,1368,0.001,0.001,595,0.001,0.001,581,0.001,0.001,552,0.001,0.001,492,0.001,0.001,995,0.001,0.001,900,0.001,0.001,259,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
5858,1.838,24.658,203.88,92.9272,0.001,0.001,0.001,0.001,0.001,0.001,75,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,167,0.001,0.001,0.001,0.001,0.001,151,0.001,0.001,0.001,0.001,0.001,183,0.001,0.001,144,0.001,0.001,92,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
4577,0.572,22.612,186.97,92.9273,153,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,64,0.001,138,0.001,0.001,0.001,133,92,0.001,113,161,0.001,103,117,0.001,118,0.001,0.001,0.001,136,0.001,0.001,0.001,0.001,0.001,146,0.001,0.001,97,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
5022,0.631,26.621,220.1,92.9273,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,126,0.001,0.001,101,0.001,0.001,0.001,0.001,134,112,0.001,83,0.001,145,0.001,111,109,61,147,0.001,0.001,0.001,0.001,132,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
5446,1.576,26.532,219.5,92.9274,81,0.001,0.001,137,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,105,0.001,0.001,196,0.001,0.001,0.001,0.001,0.001,123,0.001,0.001,190,0.001,0.001,179,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
4911,1.74,26.856,222.07,92.9275,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,125,0.001,0.001,143,0.001,0.001,146,0.001,0.001,139,0.001,0.001,108,0.001,0.001,0.001,0.001,0.001,214,0.001,0.001,0.001,0.001,0.001,142,0.001,0.001,165,0.001,0.001,155,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
5054,1.464,24.51,202.67,92.9275,0.001,0.001,0.001,0.001,0.001,0.001,140,0.001,0.001,0.001,0.001,0.001,114,0.001,0.001,160,0.001,0.001,119,0.001,0.001,67,0.001,0.001,131,93,0.001,169,0.001,0.001,0.001,0.001,0.001,105,0.001,0.001,141,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
5289,0.449,24.502,202.66,92.9275,0.001,0.001,0.001,0.001,0.001,0.001,113,0.001,0.001,0.001,0.001,0.001,50,0.001,122,0.001,97,0.001,0.001,0.001,0.001,0.001,0.001,0.001,125,0.001,0.001,0.001,0.001,127,0.001,0.001,0.001,0.001,0.001,153,0.001,0.001,106,0.001,0.001,80,0.001,0.001,128,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
