Classification Type,CCS,RT,m/z,ID,Average Abundance,Detection Frequency (%),GroupID,Repeating Unit,trend_group
External Standard,96.52,0.36,68.9952,0.0,0.0,0.0,1,CF2,1.0
External Standard,104.5986,0.82,118.992,0.0,0.0,0.0,1,CF2,1.0
External Standard,110.76,2.26,168.9894,0.0,0.0,0.0,1,CF2,1.0
External Standard,117.43,4.52,218.9862,0.0,0.0,0.0,1,CF2,1.0
External Standard,125.1,6.66,268.983,0.0,0.0,0.0,1,CF2,1.0
likely,132.5,8.4,318.9777,3289.0,82.0,50.0,1,CF2,1.0
External Standard,132.38,8.21,318.9798,0.0,0.0,0.0,1,CF2,1.0
External Standard,139.5,9.37,368.9766,0.0,0.0,0.0,1,CF2,1.0
External Standard,147.02,10.3,418.9734,0.0,0.0,0.0,1,CF2,1.0
External Standard,155.28,11.1,468.9702,0.0,0.0,0.0,1,CF2,1.0
External Standard,163.36,11.77,518.967,0.0,0.0,0.0,1,CF2,1.0
External Standard,171.5,12.36,568.9638,0.0,0.0,0.0,1,CF2,1.0
External Standard,179.65,12.86,618.9606,0.0,0.0,0.0,1,CF2,1.0
External Standard,187.62,13.3,668.9574,0.0,0.0,0.0,1,CF2,1.0
External Standard,109.59,0.38,148.9526,0.0,0.0,0.0,2,CF2,2.0
External Standard,117.4,1.3,198.9494,0.0,0.0,0.0,2,CF2,2.0
External Standard,125.1,3.2,248.9462,0.0,0.0,0.0,2,CF2,2.0
External Standard,133.62,5.2,298.943,0.0,0.0,0.0,2,CF2,2.0
likely,142.2,7.2,348.935,5422.0,27.0,25.0,2,CF2,2.0
External Standard,142.2,7.03,348.9398,0.0,0.0,0.0,2,CF2,2.0
likely,150.7,8.9,398.9314,1399.0,218.0,37.5,2,CF2,2.0
likely,150.0,8.5,398.9329,1898.0,8540.0,100.0,2,CF2,2.0
External Standard,150.51,8.38,398.9366,0.0,0.0,0.0,2,CF2,2.0
likely,159.7,9.6,448.9291,420.0,805.0,100.0,2,CF2,2.0
External Standard,159.24,9.2,448.9334,0.0,0.0,0.0,2,CF2,2.0
External Standard,168.27,10.12,498.9302,0.0,0.0,0.0,2,CF2,2.0
External Standard,177.24,11.1,548.927,0.0,0.0,0.0,2,CF2,2.0
External Standard,186.21,11.76,598.9238,0.0,0.0,0.0,2,CF2,2.0
likely,139.5,9.5,368.9714,4708.0,3393.0,100.0,3,CF2,3.0
likely,147.2,10.4,418.9687,603.0,546.0,100.0,3,CF2,3.0
tentative,155.4,11.2,468.963,3338.0,73.0,50.0,3,CF2,3.0
unmatched,203.7,13.6,844.9389,554.0,203.0,50.0,4,CF2,4.0
unmatched,210.5,14.1,894.9338,563.0,296.0,62.5,4,CF2,4.0
unmatched,217.4,14.2,944.9326,509.0,224.0,62.5,4,CF2,4.0
