,Name,Classification Type,CCS,RT,m/z,ID,Average Abundance,Detection Frequency (%)
0,PFBA (M-H-CO2),likely,110.36,2.365,168.9902,45534.0,100.0,100.0
1,PMPA (M-H-CO2),likely,116.13,12.436,184.9836,59705.0,100.0,100.0
2,PMPA (M-H-CO2),likely,116.13,12.436,184.9836,59705.0,100.0,100.0
3,PMPA (M-H-CO2),likely,115.64,7.297499999999999,184.9843,71789.0,100.0,100.0
4,PMPA (M-H-CO2),likely,115.64,7.297499999999999,184.9843,71789.0,100.0,100.0
5,PFHxA (M-H-CO2),likely,125.3,10.8135,268.9836,49015.0,100.0,100.0
6,PFHxA (M-H-CO2),likely,125.21,11.876,268.9839,29683.0,100.0,100.0
7,PFBS (M-H),likely,133.83,5.333,298.9434,1377.0,100.0,100.0
8,PFHpA (M-H-CO2),likely,132.71,11.212,318.9808,35035.0,100.0,100.0
9,4:2 FTS (M-H),likely,148.43,6.845,326.9719,81564.0,100.0,100.0
10,PFPeS (M-H),likely,142.47,7.142,348.9392,50152.0,100.0,100.0
11,PFOA (M-H-CO2),likely,140.29,12.939,368.9739,68840.0,100.0,100.0
12,PFOA (M-H-CO2),likely,139.77,9.484,368.977,835.0,100.0,100.0
13,PFOA (M-H-CO2),likely,139.71,11.875,368.9773,16089.0,100.0,100.0
14,PFOA (M-H-CO2),likely,140.08,12.951,368.9787,86066.0,100.0,100.0
15,PFHxS (M-H),likely,148.605,8.197,398.9368,35568.0,100.0,100.0
16,PFHxS (M-H),likely,151.00333333333333,8.633666666666665,398.9378,636.0,100.0,100.0
17,PFNA (M-H-CO2),likely,147.51666666666665,12.080333333333334,418.9743666666666,12796.0,100.0,100.0
18,6:2 FTS (M-H),likely,168.97500000000002,9.435,426.96905,94159.0,100.0,100.0
19,PFHpS (M-H),likely,159.07000000000002,9.472666666666669,448.9352,3270.0,100.0,100.0
20,PFNA (M-H),likely,165.51,10.42,462.9641,3794.0,100.0,100.0
21,PFDA (M-H-CO2),likely,156.02,11.219333333333331,468.9705333333333,1942.0,100.0,100.0
22,PFDA (M-H),likely,173.12,11.0955,512.9603,82916.0,100.0,100.0
23,PFUdA (M-H-CO2),likely,164.1075,12.121,518.968525,14002.0,100.0,100.0
24,9Cl-PF3ONS (M-H),likely,170.85,10.926,530.8957,796.0,100.0,100.0
25,PFNS (M-H),likely,175.67,11.035000000000002,548.9287333333333,26710.0,100.0,100.0
26,PFDoA (M-H-CO2),likely,174.23,12.293,568.9642,1237.0,100.0,100.0
27,NMeFOSAA (M-H),likely,192.33,12.443,569.9676,13578.0,100.0,100.0
28,PFDS (M-H),likely,183.682,11.7154,598.9239,62254.0,100.0,100.0
29,PFDoA (M-H),likely,191.36,12.375,612.95425,2537.0,100.0,100.0
30,PFTrDA (M-H-CO2),likely,181.36333333333332,12.973333333333334,618.9618666666667,2576.0,100.0,100.0
31,11Cl-PF3OUdS (M-H),likely,186.96,12.202,630.8905,9259.0,100.0,100.0
32,PFTrDA (M-H),likely,200.14333333333332,12.857,662.9497333333333,66524.0,100.0,100.0
33,PFTeDA (M-H-CO2),likely,188.53,13.376,668.9581,906.0,100.0,100.0
34,6:6 PFPi (M-H),likely,197.44,12.696,700.9225,12233.0,100.0,100.0
35,PFTeDA (M-H),likely,209.04,13.319,712.9472499999999,2993.0,100.0,100.0
36,PFHxDA (M-H-CO2),likely,204.35,14.103,768.9513,14521.0,100.0,100.0
37,6:2 diPAP (M-H),likely,232.34,13.293,788.9759,11725.0,100.0,100.0
38,6:8 PFPi (M-H),likely,215.03,13.44,800.9174,5618.0,100.0,100.0
39,8:8 PFPi (M-H),likely,231.95,14.042,900.9033,78684.0,100.0,100.0
40,Heptafluoropropan-2-ol or Perfluoropropanol,tentative,144.86,12.431,184.9855,68508.0,100.0,100.0
41,"2,2,3,3-Tetrafluorobutanediimidic acid",tentative,22.130000000000003,2.418,187.012,94323.0,100.0,100.0
42,"2,2,3,3-Tetrafluorobutanediimidic acid",tentative,130.84,2.386,187.0121,94953.0,100.0,100.0
43,"2,2,3,3-Tetrafluorobutanediimidic acid",tentative,5.62,2.452,187.0127,86166.0,100.0,100.0
44,Tetrafluorosuccinic acid,tentative,119.5,0.552,188.9827,88203.0,100.0,100.0
45,"5-Ethyl-3-(1,1,2,2-tetrafluoroethyl)-1H-pyrazole",tentative,140.53,4.581,195.0557,87141.0,100.0,100.0
46,"4-Hexen-3-one, 1,1,2,2-tetrafluoro-5-mercapto- or 5,5,6,6-Tetrafluoro-4-sulfanylhex-3-en-2-one or 5,6,6,6-Tetrafluoro-4-sulfanylhex-3-en-2-one",tentative,139.64,4.79,201.0009,94521.0,100.0,100.0
47,"4-Hexen-3-one, 1,1,2,2-tetrafluoro-5-mercapto- or 5,5,6,6-Tetrafluoro-4-sulfanylhex-3-en-2-one or 5,6,6,6-Tetrafluoro-4-sulfanylhex-3-en-2-one",tentative,139.75,8.264,201.0015,93340.0,100.0,100.0
48,"3-(2,2,3,3-Tetrafluoropropoxy)propane-1,2-diol",tentative,138.7,12.0365,205.0478,74514.0,100.0,100.0
49,"4,4,4-Trifluoro-3-hydroxy-3-(trifluoromethyl)butanenitrile",tentative,144.24,0.501,206.0029,39053.0,100.0,100.0
50,"1,5-Pentanediamine, 2,2,3,3,4,4-hexafluoro-",tentative,138.85,1.535,209.0502,86637.0,100.0,100.0
51,"Phenol, 4-(pentafluoroethyl)-",tentative,144.41,13.021,211.0171,20475.0,100.0,100.0
52,"2,3,3,3-Tetrafluoro-2-(trifluoromethyl)propanamide or Heptafluorobutyramide",tentative,15.75,1.533,211.9945,90604.0,100.0,100.0
53,"2,3,3,3-Tetrafluoro-2-(trifluoromethyl)propanamide or Heptafluorobutyramide",tentative,1.48,1.571,211.9962,96116.0,100.0,100.0
54,"2,3,3,3-Tetrafluoro-2-(trifluoromethyl)propanamide or Heptafluorobutyramide",tentative,107.35,1.942,211.9968,91892.0,100.0,100.0
55,"2,3,3,3-Tetrafluoro-2-(trifluoromethyl)propanamide or Heptafluorobutyramide",tentative,117.54,1.938,211.9971,91501.0,100.0,100.0
56,"Ethyl 4,4,5,5-tetrafluoro-3-hydroxypent-2-enoate",tentative,27.19,0.792,215.0321,94147.0,100.0,100.0
57,"Ethyl 4,4,5,5-tetrafluoro-3-hydroxypent-2-enoate",tentative,138.65,4.828,215.0334,95135.0,100.0,100.0
58,"Ethyl 4,4,5,5-tetrafluoro-3-hydroxypent-2-enoate",tentative,141.03,0.675,215.0336,63439.0,100.0,100.0
59,"Ethyl 4,4,5,5-tetrafluoro-3-hydroxypent-2-enoate",tentative,21.04,0.687,215.0347,93609.0,100.0,100.0
60,"Methyl 3-amino-4,4,5,5,5-pentafluoropent-2-enoate",tentative,146.44,0.564,218.0244,86972.0,100.0,100.0
61,"Butanoic acid, 3,3,4,4-tetrafluoro-2-hydrazino-2-hydroxy-, hydrazide",tentative,150.98,10.423,219.0498,73746.0,100.0,100.0
62,"1,1,1-Trifluoro-4-methyl-2-(trifluoromethyl)pent-4-en-2-ol",tentative,146.43333333333334,1.8913333333333333,221.0392,36251.0,100.0,100.0
63,"(1,1,2,3,3,3-Hexafluoropropoxy)acetic acid or 3,3-Bis(trifluoromethyl)-3-hydroxypropionic acid",tentative,141.8725,1.5065,224.997725,77407.0,100.0,100.0
64,NSC213296,tentative,150.628125,14.738062500000002,225.0270563,68322.0,100.0,100.0
65,"1,1,1-Trifluoro-2-(trifluoromethyl)pentane-2,4-diol or 5,5,5-Trifluoro-4-(trifluoromethyl)pentane-1,4-diol",tentative,150.57,14.915,225.0335,94044.0,100.0,100.0
66,"2,2,3,3,4,4,4-Heptafluoro-N-methylbutanamide or Methyl 2,2,3,3,4,4,4-heptafluorobutanimidate",tentative,144.845,13.3385,226.0105,90659.0,100.0,100.0
67,"2,2,3,3,3-Pentafluoro-1-(pyridin-2-yl)propan-1-ol or 4-(Pentafluoroethoxy)aniline",tentative,150.6377777777778,15.583222222222222,226.02771111111116,38366.0,100.0,100.0
68,"4,4-Bis(trifluoromethyl)-4,5-dihydro-1H-pyrazole-3-carbonitrile or 5,5-Bis(trifluoromethyl)-4,5-dihydro-1H-pyrazole-4-carbonitrile",tentative,144.49,2.236,230.0143,83298.0,100.0,100.0
69,2H-Perfluoropropylsulfonic acid,tentative,124.66,1.925,230.9554,20849.0,100.0,100.0
70,"Ethyl 4,4,5,5,5-pentafluoro-3-hydroxy-2-pentenoate",tentative,151.15,2.824,233.026,30860.0,100.0,100.0
71,2-(Pentafluoroethyl)-1H-benzimidazole,tentative,144.585,0.676625,235.0279375,33192.0,100.0,100.0
72,"4-Methyl-5-(1,1,2,2-tetrafluoroethoxy)benzene-1,2-diamine",tentative,150.09,2.307,237.0644,71400.0,100.0,100.0
73,"4-Methyl-5-(1,1,2,2-tetrafluoroethoxy)benzene-1,2-diamine",tentative,148.38,5.641,237.0675,20898.0,100.0,100.0
74,"Imidazolidine, 2-heptafluoropropyl-",tentative,152.48,4.395,239.042,11100.0,100.0,100.0
75,"Imidazolidine, 2-heptafluoropropyl-",tentative,148.08,1.071,239.0434,50008.0,100.0,100.0
76,"2,4-Pentanediol, 4-methyl-1,1,1-trifluoro-2-(trifluoromethyl)- or 3,3,4,4,5,5-hexafluoroheptane-2,6-diol",tentative,154.41,4.335,239.0491,16561.0,100.0,100.0
77,"5,5,6,6,7,7,7-Heptafluoroheptan-3-amine",tentative,152.43,2.412,240.0651,64657.0,100.0,100.0
78,"1-Cyclohexene-1-carbonitrile, 2-amino-3,3,4,4,5,5-hexafluoro-6-imino-",tentative,149.8175,1.7845000000000002,242.013525,7191.0,100.0,100.0
79,"1-Cyclohexene-1-carbonitrile, 2-amino-3,3,4,4,5,5-hexafluoro-6-imino-",tentative,150.31,2.256,242.0144,54743.0,100.0,100.0
80,"(2,3,3,5,5,6,6-Heptafluoro-1,4-dioxan-2-yl)methanol or (Heptafluoropropoxy)acetic acid",tentative,150.41,3.622,242.9904,85293.0,100.0,100.0
