ID,RT,DT,CCS,m/z,SD,Abundance,37 2286 - DBS.d.DeMP,40 2182 - DBS.d.DeMP,43 2187 - DBS.d.DeMP,46 2854 - DBS.d.DeMP,49 2911 - DBS.d.DeMP,127 1777 - DBS.d.DeMP,130 1821 - DBS.d.DeMP,133 1673 - DBS.d.DeMP,136 1894 - DBS.d.DeMP,139 3330 - DBS.d.DeMP,82 2003 - DBS.d.DeMP,85 2095 - DBS.d.DeMP,88 2046 - DBS.d.DeMP,91 2889 - DBS.d.DeMP,94 3021 - DBS.d.DeMP,DBS 2184.d.DeMP,Blank 1.d,Blank 2.d,Blank 3.d
1,14.028,25.935,195.22,355.3229,0.0004,246420,233076,219190,282730,0.001,255787,272673,281730,241242,288466,282949,261098,250575,331434,215431,301981,224350,64215,16527,29738
2,13.924,30.655,228.6,473.2842,0.0006,183728,185930,144889,200557,0.001,215399,259373,150857,240228,158588,187742,151096,262934,207276,200245,153545,220983,29450,51343,29214
3,14.463,23.36,177.48,283.2651,0.0004,89923,63222,77060,89702,0.001,82528,102371,63610,88281,90605,83020,63650,90089,111789,53261,99675,279898,11163,4741,4941
4,13.644,22.18,169.36,255.2333,0.0003,86456,74365,76182,84516,0.001,80555,86964,63945,79313,68665,76635,60092,76426,87507,58963,87510,321662,28643,23192,27403
5,13.899,23.166,176.07,281.2491,0.0003,80416,45182,108267,97527,0.001,74326,113257,54908,79485,26021,47836,45759,59455,85265,23839,105755,319778,2467,1852,1817
6,12.854,26.418,198.57,369.3013,0.0006,79287,77067,65472,54929,0.001,76785,70458,85513,87539,95584,96089,81352,115343,66238,83199,114882,98144,798,363,710
7,15.47,25.651,193.42,339.3278,0.0004,78740,63166,74040,76439,0.001,82554,92843,71897,87015,94125,85797,91823,93139,107294,60415,100881,78415,2382,640,830
8,15.307,27.193,204.13,383.354,0.0005,75748,56243,66253,62485,0.001,75755,94465,67507,93608,100162,80243,86181,92516,100408,60029,99898,76211,724,395,0.001
9,13.352,23.124,175.82,279.2333,0.0004,62009,33442,51890,66008,0.001,55405,87939,43834,69339,28274,40033,42654,43667,56485,21080,98841,253246,0.001,0.001,0.001
10,14.664,26.903,201.96,383.3537,0.0005,55648,46020,33612,72307,0.001,54071,64259,64246,47430,67360,65022,53497,43877,127328,29390,78745,43210,7074,680,1290
