PrecursorName,SMILES,Formula,PrecursorMz,PrecursorAdduct
"1,1,2,2-Tetrafluoroethan-1-ol",OC(F)(F)C(F)F,C2H2F4O,116.9968973,M-H
"2,2,3,3-Tetrafluoropropan-1-amine",NCC(F)(F)C(F)F,C3H5F4N,130.0285318,M-H
A,OCC(F)(F)C(F)F,C3H4F4O,131.0124474,M-H
B,CC(F)(F)C(O)(F)F,C3H4F4O,131.0126474,M-H
"2,2,3,3-TETRAFLUOROCYCLOBUTANOL",OC1CC(F)(F)C1(F)F,C4H4F4O,143.0125474,M-H
"2,2,3,3-Tetrafluoropropionamide",NC(=O)C(F)(F)C(F)F,C3H3F4NO,144.0077964,M-H
"2,3,3,3-tetrafluoropropanamide",NC(=O)C(F)C(F)(F)F,C3H3F4NO,144.0077964,M-H
Flupropanate,OC(=O)C(F)(F)C(F)F,C3H2F4O2,144.991812,M-H
"2,3,3,3-tetrafluoropropanoic Acid",OC(=O)C(F)C(F)(F)F,C3H2F4O2,144.991812,M-H
"3,3,4,4-Tetrafluoro-1-butanol",OCCC(F)(F)C(F)F,C4H6F4O,145.0281975,M-H
"3,3,4,4-Tetrafluoro-2-butanol",CC(O)C(F)(F)C(F)F,C4H6F4O,145.0281975,M-H
"Hydrazine, (2,2,3,3-tetrafluoropropyl)-",NNCC(F)(F)C(F)F,C3H6F4N2,145.0394309,M-H
"1H,1H-Perfluoropropylamine",NCC(F)(F)C(F)(F)F,C3H4F5N,148.0191099,M-H
"1,1,2,2,3-Pentafluoropropan-1-amine",NC(F)(F)C(F)(F)CF,C3H4F5N,148.0191099,M-H
2:1 Fluorotelomer alcohol,OCC(F)(F)C(F)(F)F,C3H3F5O,149.0031255,M-H
"3H,3H-Perfluoropropanol",OC(F)(F)C(F)(F)CF,C3H3F5O,149.0031255,M-H
"2,2,3,3-Tetrafluorocyclopropane-1-carboxylic acid",OC(=O)C1C(F)(F)C1(F)F,C4H2F4O2,156.991812,M-H
"2,2,3,3-Tetrafluorocyclobutanemethanol",OCC1CC(F)(F)C1(F)F,C5H6F4O,157.0281975,M-H
"2-Furanol, 3,3,4,4-tetrafluorotetrahydro-",OC1OCC(F)(F)C1(F)F,C4H4F4O2,159.007462,M-H
"2,2,3,3-Tetrafluorobutanoic acid",CC(F)(F)C(F)(F)C(O)=O,C4H4F4O2,159.007462,M-H
"2,3,3,3-Tetrafluoro-2-methylpropanoic acid",CC(F)(C(O)=O)C(F)(F)F,C4H4F4O2,159.007462,M-H
"2-Methyl-3,3,4,4-tetrafluoro-2-butanol",CC(C)(O)C(F)(F)C(F)F,C5H8F4O,159.0438475,M-H
"2,2,3,3-Tetrafluoroputrescine",NCC(F)(F)C(F)(F)CN,C4H8F4N2,159.0550809,M-H
"2-Difluoromethoxy-2,2-difluoroacetic acid",OC(=O)C(F)(F)OC(F)F,C3H2F4O3,160.9867266,M-H
"2,3,3,3-Tetrafluoro-2-hydroxypropanoic acid",OC(=O)C(O)(F)C(F)(F)F,C3H2F4O3,160.9867266,M-H
Pentafluoropropylamidine,NC(=N)C(F)(F)C(F)(F)F,C3H3F5N2,161.0143589,M-H
"2,2,3,3-Tetrafluoro-1,4-butanediol",OCC(F)(F)C(F)(F)CO,C4H6F4O2,161.0231121,M-H
"2,2,3,3-Tetrafluoro-1-methoxypropan-1-ol",COC(O)C(F)(F)C(F)F,C4H6F4O2,161.0231121,M-H
Pentafluoropropionamide,NC(=O)C(F)(F)C(F)(F)F,C3H2F5NO,161.9983745,M-H
"2,3,3,3-Tetrafluoro-N-hydroxypropanimidoyl fluoride",ON=C(F)C(F)C(F)(F)F,C3H2F5NO,161.9983745,M-H
Perfluoropropanoic acid,OC(=O)C(F)(F)C(F)(F)F,C3HF5O2,162.9823901,M-H
(Pentafluoroethyl)boronic acid,OB(O)C(F)(F)C(F)(F)F,C2H2BF5O2,162.99952,M-H
2:2 fluorotelomer alcohol,OCCC(F)(F)C(F)(F)F,C4H5F5O,163.0187756,M-H
1-Pentafluoroethylethanol,CC(O)C(F)(F)C(F)(F)F,C4H5F5O,163.0187756,M-H
Hexafluoroisopropylideneimine,FC(F)(F)C(=N)C(F)(F)F,C3HF6N,163.994038,M-H
"1H-Perfluoro-1,1-propanediol",OC(O)C(F)(F)C(F)(F)F,C3H3F5O2,164.9980402,M-H
2-Amino-2H-perfluoropropane,NC(C(F)(F)F)C(F)(F)F,C3H3F6N,166.0096881,M-H
2H-Perfluoro-2-propanol,OC(C(F)(F)F)C(F)(F)F,C3H2F6O,166.9937037,M-H
Perfluoro-1-propanol,OC(F)(F)C(F)(F)C(F)F,C3H2F6O,166.9937037,M-H
TETRAFLUOROSUCCINIMIDE,FC1(F)C(=O)NC(=O)C1(F)F,C4HF4NO2,169.9870609,M-H
"N-(2,2,3,3,4-Pentafluorocyclobutylidene)hydroxylamine",ON=C1C(F)C(F)(F)C1(F)F,C4H2F5NO,173.9983745,M-H
"2,3,3,3-tetrafluoro-2-methoxypropanamide",COC(F)(C(N)=O)C(F)(F)F,C4H5F4NO2,174.0183611,M-H
"2,2,3,3-Tetrafluoro-3-methoxypropanamide",COC(F)(F)C(F)(F)C(N)=O,C4H5F4NO2,174.0183611,M-H
"1,2,2,3,3-Pentafluorocyclopropane-1-carboxylic acid",OC(=O)C1(F)C(F)(F)C1(F)F,C4HF5O2,174.9823901,M-H
"[(1E)-1,2,3,3,3-Pentafluoroprop-1-en-1-yl]boronic acid",OB(O)C(\F)=C(/F)C(F)(F)F,C3H2BF5O2,174.99952,M-H
"Propanoic acid, 2,3,3,3-tetrafluoro-2-methoxy-",COC(F)(C(O)=O)C(F)(F)F,C4H4F4O3,175.0023766,M-H
"2-(2,2,3,3-Tetrafluoropropoxy)ethan-1-ol",OCCOCC(F)(F)C(F)F,C5H8F4O2,175.0387622,M-H
"2,3,3,3-Tetrafluoroprop-1-ene-1,1-dithiol",FC(=C(S)S)C(F)(F)F,C3H2F4S2,176.9461251,M-H
"2,2,3,3,4-Pentafluorocyclobutane-1,1-diol",OC1(O)C(F)C(F)(F)C1(F)F,C4H3F5O2,176.9980402,M-H
"2-(Difluoromethyl)-2,3,3-trifluoropropanoic acid",OC(=O)C(F)(C(F)F)C(F)F,C4H3F5O2,176.9980402,M-H
"2,2,3,3,3-pentafluoropropanehydrazide",NNC(=O)C(F)(F)C(F)(F)F,C3H3F5N2O,177.0092735,M-H
"2,2,3,3,3-Pentafluoro-N-hydroxypropanimidamide",ONC(=N)C(F)(F)C(F)(F)F,C3H3F5N2O,177.0092735,M-H
"3,3,4,4,4-Pentafluoro-2-methylbutan-2-ol",CC(C)(O)C(F)(F)C(F)(F)F,C5H7F5O,177.0344257,M-H
3-(Perfluoroethyl)propanol,OCCCC(F)(F)C(F)(F)F,C5H7F5O,177.0344257,M-H
2-Chlorotetrafluoropropanamide,NC(=O)C(F)(Cl)C(F)(F)F,C3H2ClF4NO,177.968824,M-H
"3-Chloro-2,2,3,3-tetrafluoropropanoic acid",OC(=O)C(F)(F)C(F)(F)Cl,C3HClF4O2,178.9528396,M-H
"2-Chloro-2,3,3,3-tetrafluoropropanoic acid",OC(=O)C(F)(Cl)C(F)(F)F,C3HClF4O2,178.9528396,M-H
Difluoro(perfluoromethoxy)acetic acid,OC(=O)C(F)(F)OC(F)(F)F,C3HF5O3,178.9773047,M-H
Pentafluoropropaneperoxoic acid,OOC(=O)C(F)(F)C(F)(F)F,C3HF5O3,178.9773047,M-H
"Tetrafluoropropane-1,1,1,2-tetrol",OC(O)(O)C(O)(F)C(F)(F)F,C3H4F4O4,178.9972913,M-H
2-(Pentafluoroethoxy)ethan-1-ol,OCCOC(F)(F)C(F)(F)F,C4H5F5O2,179.0136902,M-H
Pentafluoropropionaldehyde methyl hemiacetal,COC(O)C(F)(F)C(F)(F)F,C4H5F5O2,179.0136902,M-H
"1,1,1,3,3,3-Hexafluoropropan-2-one, oxime",ON=C(C(F)(F)F)C(F)(F)F,C3HF6NO,179.9889526,M-H
"1,1,2,2-Tetrafluoroethanesulfonic acid",OS(=O)(=O)C(F)(F)C(F)F,C2H2F4O3S,180.9587978,M-H
"3,3,3-Trifluoro-2-(trifluoromethyl)-1-propanol",OCC(C(F)(F)F)C(F)(F)F,C4H4F6O,181.0093537,M-H
"1,1,2,2,3,3-Hexafluorobutan-1-ol",CC(F)(F)C(F)(F)C(O)(F)F,C4H4F6O,181.0093537,M-H
"1H,1H,3H-Perfluorobutanol",OCC(F)(F)C(F)C(F)(F)F,C4H4F6O,181.0093537,M-H
Hexafluoro-2-methyl-2-propanol,CC(O)(C(F)(F)F)C(F)(F)F,C4H4F6O,181.0093537,M-H
"1,1,1,3,3,3-Hexafluoropropane-2,2-diamine",NC(N)(C(F)(F)F)C(F)(F)F,C3H4F6N2,181.0205871,M-H
2-Aminohexafluoropropan-2-ol,NC(O)(C(F)(F)F)C(F)(F)F,C3H3F6NO,182.0046027,M-H
"1,1,1,3,3,3-Hexafluoropropane-2,2-diol",OC(O)(C(F)(F)F)C(F)(F)F,C3H2F6O2,182.9886183,M-H
Perfluoropropanamine,NC(F)(F)C(F)(F)C(F)(F)F,C3H2F7N,184.0002662,M-H
