MoleculeGroup,PrecursorName,PrecursorFormula,PrecursorAdduct,PrecursorCCS,PrecursorRT,PrecursorMz,PrecursorCharge,CAS,Synonyms,Name,Notes
,Compound 1,,,143.7,10,346.9441,,,,,
,Compound 2,,,140.2,10,346.9441,,,,,
,Compound 3,,,148.2,10,412.9359,,,,,
,Compound 4,,,144.4,10,364.9347,,,,,
,Compound 5,,,150.9,10,414.9315,,,,,
,Compound 6,,,158.3,10,464.9283,,,,,
,Compound 7,,,164.3,10,492.9232,,,,,
,Compound 8,,,161.5,10,508.9182,,,,,
,Compound 9,,,154.5,10,462.9327,,,,,
,Compound 10,,,182.4,10,672.9078,,,,,
,Compound 11,,,167.5,10,534.9174,,,,,
