Name,CCS,mass to charge
PFBA,110.2057838,171.9994
PFPeA,116.9451867,222.9996
PFHxA,124.6307339,272.9964
PFHpA,132.719615,321.9899
PFOA,139.7525465,376.0001
PFNA,165.5655524,471.9934
PFNA,147.3863262,427.0002
PFDA,174.5019682,518.9802
PFDA,155.943269,473.987
PFUdA,164.3544534,524.9871
PFUdA,183.5852737,569.9803
PFDoA,192.441922,614.9604
PFDoA,172.6200934,569.9672
PFTeDA,210.289103,714.954
PFTeDA,188.7751779,669.9608
FOSA,170.529758,505.973
N-MeFOSA,174.3880644,514.9807
N-EtFOSA,178.9279196,531.0089
N-MeFOSAA,193.7858179,572.9862
N-EtFOSAA,197.4386093,589.0144
N-MeFOSE,193.5691892,563.032
N-EtFOSE,197.7378366,579.0602
HFPO-DA,127.0001528,286.9846
PFBS,133.6007918,301.9531
PFHxS,151.2596908,401.9467
PFOS,169.2578952,506.9571
4:2 FTS,150.9921104,328.981
6:2 FTS,169.0161946,428.9746
8:2 FTS,186.961443,528.9682
