Match,Match Source,Classification Type,ID,RT,DT,CCS,m/z,Mass Error (ppm),CCS Error (%),RT Error (abs),Abundance,NIST SRM-1957 1.d.DeMP, NIST SRM-1957 10.d.DeMP, NIST SRM-1957 2.d.DeMP, NIST SRM-1957 3.d.DeMP, NIST SRM-1957 6.d.DeMP, NIST SRM-1957 7.d.DeMP, NIST SRM-1957 8.d.DeMP, NIST SRM-1957 9.d.DeMP,Detection Frequency (%),Average Abundance
PFHpA (M-H-CO2),CCS Library,likely,3289.0,8.4,17.54,132.5,318.9777,-6.58,0.11,N/A,85.999,149.999,0.0,191.999,176.999,0.0,167.999,0.0,0.0,55.6,83.0
PFPeS (M-H),CCS Library,likely,5422.0,7.2,18.92,142.2,348.935,-13.76,-0.01,N/A,42.999,0.0,68.999,61.999,0.0,105.999,107.999,0.0,0.0,55.6,44.0
PFOA (M-H-CO2),CCS Library,likely,4708.0,9.5,18.61,139.5,368.9714,-14.03,0.03,N/A,3804.999,4632.999,3408.999,4505.999,4029.999,4468.999,3914.999,2759.999,2718.999,100.0,3435.0
PFHxS (M-H),CCS Library,likely,1898.0,8.5,20.07,150.0,398.9329,-9.27,-0.36,N/A,9594.999,10092.999,9084.999,9299.999,8912.999,12496.999,11899.999,7660.999,7312.999,100.0,8646.0
PFHxS (M-H),CCS Library,likely,1399.0,8.9,20.2,150.7,398.9314,-13.03,0.15,N/A,240.999,0.0,580.999,0.0,0.0,0.0,0.0,684.999,661.999,44.4,221.0
PFNA (M-H-CO2),CCS Library,likely,603.0,10.4,19.71,147.2,418.9687,-11.22,0.11,N/A,600.999,683.999,536.999,687.999,526.999,710.999,809.999,456.999,395.999,100.0,551.0
PFHpS (M-H),CCS Library,likely,420.0,9.6,21.44,159.7,448.9291,-9.58,0.31,N/A,892.999,943.999,953.999,1004.999,815.999,1019.999,1097.999,724.999,580.999,100.0,814.0
PFOS (M-H),CCS Library,likely,0.0,10.6,22.73,168.5,498.924,-12.49,0.16,N/A,24621.999,27968.999,23108.999,28089.999,28190.999,27649.999,26700.999,17606.999,17655.999,100.0,22169.0
NMeFOSAA (M-H),CCS Library,likely,8093.0,11.5,26.13,193.3,569.9631,-7.37,1.73,N/A,19.999,0.0,0.0,0.0,103.999,0.0,0.0,51.999,0.0,33.3,21.0
NMeFOSAA (M-H),CCS Library,likely,2437.0,12.5,25.93,192.2,569.9636,-6.49,1.17,N/A,122.999,350.999,0.0,256.999,271.999,0.0,102.999,0.0,0.0,55.6,116.0
