,Name,Classification Type,CCS,RT,m/z,ID,GroupID,Repeating Unit
21,No Match,unmatched,151.04,10.421,218.9864,1844,6,CF2
22,No Match,unmatched,217.185,13.705,718.9538,86505,6,CF2
23,No Match,unmatched,196.4,13.757,718.9543,771,6,CF2
24,No Match,unmatched,201.3,13.65,718.9555,8158,6,CF2
25,No Match,unmatched,211.75,14.412,818.9485,53564,6,CF2
26,No Match,unmatched,136.95,8.329,168.9901,52055,6,CF2
27,PFBA (M-H-CO2),likely,110.36,2.365,168.9902,45534,6,CF2
28,PFHxDA (M-H-CO2),likely,204.35,14.103,768.9513,14521,6,CF2
29,No Match,unmatched,166.19,11.877,318.9805,3596,6,CF2
30,No Match,unmatched,150.4666667,10.69466667,318.9806,15175,6,CF2
31,PFHpA (M-H-CO2),likely,132.71,11.212,318.9808,35035,6,CF2
32,No Match,unmatched,158.46,11.208,268.9828,4716,6,CF2
33,No Match,unmatched,149.56,10.421,268.9835,5377,6,CF2
34,PFHxA (M-H-CO2),likely,125.3,10.8135,268.9836,49015,6,CF2
35,PFHxA (M-H-CO2),likely,125.21,11.876,268.9839,29683,6,CF2
37,No Match,unmatched,139.55,11.873,368.9726,80191,6,CF2
38,PFOA (M-H-CO2),likely,140.29,12.939,368.9739,68840,6,CF2
39,PFDS,External Standard,139.5,9,368.9765,0,6,CF2
40,PFOA (M-H-CO2),likely,139.77,9.484,368.977,835,6,CF2
41,PFOA (M-H-CO2),likely,139.71,11.875,368.9773,16089,6,CF2
42,PFOA (M-H-CO2),likely,140.08,12.951,368.9787,86066,6,CF2
43,PFTrDA (M-H-CO2),likely,181.3633333,12.97333333,618.9618667,2576,6,CF2
44,PFTeDA (M-H-CO2),likely,188.53,13.376,668.9581,906,6,CF2
46,No Match,unmatched,177.082,10.3814,418.97316,66283,6,CF2
47,PFDS,External Standard,146.6,10,418.9733,0,6,CF2
48,No Match,unmatched,161.638,12.3598,418.97422,94084,6,CF2
49,PFNA (M-H-CO2),likely,147.5166667,12.08033333,418.9743667,12796,6,CF2
50,No Match,unmatched,173.655,11.101,468.9712,880,6,CF2
51,No Match,unmatched,187.89,10.43,418.9758,65975,6,CF2
52,No Match,unmatched,183.53,10.413,418.9759,82910,6,CF2
54,PFDA (M-H-CO2),likely,156.02,11.21933333,468.9705333,1942,6,CF2
56,No Match,unmatched,183.27,11.858,518.9621,538,6,CF2
57,No Match,unmatched,73.11,11.931,518.9625,89450,6,CF2
58,No Match,unmatched,170.57,11.9,518.9637,87859,6,CF2
59,No Match,unmatched,69.57,11.82,518.9652,93728,6,CF2
60,No Match,unmatched,44.53,11.8765,518.9653,94166,6,CF2
61,No Match,unmatched,82.35,11.861,518.9656,89541,6,CF2
62,No Match,unmatched,176.7533333,11.75166667,518.9676,343,6,CF2
63,No Match,unmatched,196.848,11.8714,518.96762,86719,6,CF2
64,No Match,unmatched,206.15,11.8875,518.9682,41035,6,CF2
65,PFUdA (M-H-CO2),likely,164.1075,12.121,518.968525,14002,6,CF2
66,No Match,unmatched,41.37,11.894,518.9688,86513,6,CF2
67,No Match,unmatched,91.19,11.895,518.9689,74135,6,CF2
68,No Match,unmatched,192.915,11.8835,518.9714,94938,6,CF2
69,No Match,unmatched,114.245,11.8755,518.9729,85184,6,CF2
70,PFDoS,External Standard,139.5,9,368.9766,0,6,CF2
71,PFDoA (M-H-CO2),likely,174.23,12.293,568.9642,1237,6,CF2
72,No Match,unmatched,185.0533333,12.39733333,568.9643667,1136,6,CF2
73,No Match,unmatched,209.97,11.386,568.9678,88622,6,CF2
