level,m/C,MD/C
0.8,24.35,0.0008251989224685889
0.8,25.22,0.0008637127525644907
0.8,26.09,0.000962777235729297
0.8,26.67400477397959,0.0011
0.8,26.96,0.001197154355831567
0.8,27.45943142793276,0.0015
0.8,27.827188419063297,0.002
0.8,27.83,0.0020054874030715824
0.8,27.981793846379524,0.0024
0.8,28.058069159429074,0.0028
0.8,28.089715169683416,0.0033
0.8,28.10134745151518,0.0037
0.8,28.105112367778524,0.0041
0.8,28.105190948529852,0.0046
0.8,28.105611088262087,0.005
0.8,28.101340058111305,0.0054
0.8,28.072181776279784,0.0059
0.8,27.999704339156487,0.0063
0.8,27.889258290852435,0.0067
0.8,27.83,0.006979461914010346
0.8,27.76855090166358,0.0072
0.8,27.71241170892887,0.0076
0.8,27.779430200103697,0.008
0.8,27.83,0.008202989724147281
0.8,27.88684459767874,0.0085
0.8,27.913474756479776,0.0089
0.8,27.83,0.009093289044895713
0.8,27.718213451900493,0.0093
0.8,27.03030980024131,0.0098
0.8,26.96,0.00982116064028779
0.8,26.09,0.009988087627776336
0.8,25.220000000000002,0.010072453022456409
0.8,24.35,0.01010639719072334
0.9,24.35,-0.0014898828557727778
0.9,25.22,-0.0014832229040029135
0.9,26.090000000000003,-0.0014623028029240124
0.9,26.96,-0.0014100315127811903
0.9,27.83,-0.0012986980272211024
0.9,28.66993586406658,-0.0011
0.9,28.699999999999996,-0.0010919015296693068
0.9,29.57,-0.0007088218002972148
0.9,29.583651574925547,-0.0007
0.9,30.102373731448317,-0.00020000000000000004
0.9,30.43,0.0001626647571763101
0.9,30.455951194089682,0.0002
0.9,30.648017465401843,0.0007
0.9,30.765371248842698,0.0011
0.9,30.837590179246632,0.0015
0.9,30.890361282230213,0.002
0.9,30.941330018919373,0.0024
0.9,30.996511846781637,0.0028
0.9,31.052519569104795,0.0033
0.9,31.10059508294857,0.0037
0.9,31.129174030261844,0.0041
0.9,31.130256273468433,0.0046
0.9,31.107689801620758,0.005
0.9,31.07604947448421,0.005399999999999999
0.9,31.049899509819895,0.0059
0.9,31.035359387299764,0.0063
0.9,31.03164249759574,0.006699999999999999
0.9,31.03909811427652,0.0072
0.9,31.062692000153767,0.007600000000000001
0.9,31.10296020452907,0.008
0.9,31.144732015374757,0.0085
0.9,31.162374457955476,0.0089
0.9,31.13654799157449,0.0093
0.9,31.051078004693657,0.0098
0.9,30.84954758122931,0.0102
0.9,30.43,0.010643972964383793
0.9,30.35066402143215,0.0107
0.9,29.57,0.010987530917253545
0.9,29.01223141872373,0.0111
0.9,28.699999999999996,0.011177090923265433
0.9,27.83,0.011321726388305923
0.9,26.960000000000004,0.011407525088797086
0.9,26.09,0.01145604327287015
0.9,25.22,0.01148062416724141
0.9,24.35,0.011490421985985832
1.0,24.35,-0.0030856110503855597
1.0,25.22,-0.0030846956070829388
1.0,26.09,-0.0030816661828123775
1.0,26.96,-0.003073687427588095
1.0,27.83,-0.00305578199931542
1.0,28.7,-0.0030207564790344452
1.0,29.57,-0.002958912909780777
1.0,30.43,-0.0028548641141371432
1.0,30.726461455587874,-0.0028
1.0,31.299999999999997,-0.0026566883599153175
1.0,31.83988665189439,-0.0023999999999999994
1.0,32.17,-0.0020768087576616715
1.0,32.22352683286948,-0.002
1.0,32.495102747981065,-0.0015
1.0,32.78226184210392,-0.0011
1.0,33.04,-0.0007174952278292393
1.0,33.05089477889508,-0.0007
1.0,33.254107349834584,-0.0002
1.0,33.39034451829541,0.0002
1.0,33.469136373640076,0.0007
1.0,33.508703470421004,0.0011
1.0,33.532338360835574,0.0015
1.0,33.56041794794167,0.002
1.0,33.599422471735515,0.0024
1.0,33.640673268544425,0.0028
1.0,33.67235356975674,0.0033
1.0,33.69094217110352,0.0036999999999999997
1.0,33.70135181715332,0.0041
1.0,33.711009310134195,0.0046
1.0,33.72456169550944,0.005
1.0,33.74066156621064,0.0054
1.0,33.75498221167497,0.0059
1.0,33.77013093620262,0.0063
1.0,33.7997459090695,0.0067
1.0,33.85799166210697,0.0072
1.0,33.91,0.007446008153315585
1.0,33.94496254461944,0.0076
1.0,34.03560150857116,0.008
1.0,34.09477854891211,0.0085
1.0,34.124585803643214,0.0089
1.0,34.18505178539918,0.0093
1.0,34.3760647535968,0.0098
1.0,34.78,0.010182519844576568
1.0,34.80237580039576,0.0102
1.0,35.555163432817956,0.010700000000000001
1.0,35.65,0.010749299062753103
1.0,36.4806203052429,0.0111
1.0,36.52,0.011128002509221418
1.0,37.08074253010481,0.0115
1.1,24.35,-0.004213535189073338
1.1,25.22,-0.004213486910521766
1.1,26.09,-0.004213319278285034
1.1,26.96,-0.004212860043805158
1.1,27.83,-0.004211811279082887
1.1,28.7,-0.004209784029815334
1.1,29.57,-0.004206311795322203
1.1,30.43,-0.004200540016591884
1.1,31.3,-0.004190341235384828
1.1,32.17,-0.004171148245377522
1.1,33.04,-0.004135148542573654
1.1,33.52807611967384,-0.0041
1.1,33.91,-0.004072940305099978
1.1,34.78,-0.00395518528961721
1.1,35.61662972382304,-0.0037
1.1,35.65,-0.0036569350859748263
1.1,35.81237062712906,-0.0033
1.1,35.682719119507865,-0.0028
1.1,35.65,-0.002725291811168908
1.1,35.50837159327668,-0.0024000000000000002
1.1,35.437701038530385,-0.002
1.1,35.50290514023543,-0.0015
1.1,35.64702384633867,-0.0011
1.1,35.65,-0.0010918937297686986
1.1,35.78076845251665,-0.0007
1.1,35.87606567457981,-0.0002
1.1,35.937385285630064,0.00020000000000000004
1.1,35.97750081188019,0.0007
1.1,36.00540543574621,0.0011
1.1,36.02668324181691,0.0015
1.1,36.044177441400024,0.002
1.1,36.058990764872966,0.0024
1.1,36.074072694038826,0.0028
1.1,36.097180351594815,0.0033
1.1,36.13843413355591,0.0037
1.1,36.20359543611214,0.004100000000000001
1.1,36.289693836758126,0.0046
1.1,36.38934248262802,0.005
1.1,36.49823599676278,0.0054
1.1,36.52,0.0054967399372664065
1.1,36.60892044315431,0.0059
1.1,36.710437595689434,0.0063
1.1,36.79337859754524,0.0067
1.1,36.865115792529494,0.0072
1.1,36.94402149897061,0.0076
1.1,37.032593952490984,0.008
1.1,37.12188649771731,0.0085
1.1,37.243661429736655,0.0089
1.1,37.39,0.009119167749320957
1.1,37.5396351980599,0.0093
1.1,38.26,0.009773149846357573
1.1,38.32087798608467,0.0098
1.1,39.13,0.009997946791666554
1.1,40.0,0.010136890217611525
1.1,40.614401264166204,0.0102
1.1,40.87,0.010235866908691908
1.1,41.739999999999995,0.010314304494699042
1.1,42.61,0.010357682372245297
1.1,43.48,0.010375435529026682
1.1,44.35,0.010378141724697101
1.1,45.22,0.01037501794723647
1.1,46.09,0.01037159111666487
1.1,46.96,0.010369624865252605
1.1,47.83,0.010368854502402478
1.1,48.7,0.010368638414794035
1.1,49.57,0.010368594990582455
1.1,50.43000000000001,0.0103685891781809
1.1,51.3,0.01036858912891379
1.1,52.17,0.01036858947060114
1.1,53.040000000000006,0.01036858947060114
1.1,53.91,0.01036858947060114
1.1,54.78,0.01036858947060114
1.1,55.650000000000006,0.01036858947060114
1.1,56.52,0.01036858947060114
1.1,57.39,0.01036858947060114
1.1,58.260000000000005,0.01036858947060114
1.1,59.13000000000001,0.01036858947060114
1.1,60.0,0.01036858947060114
1.1,60.870000000000005,0.01036858947060114
1.1,61.74,0.01036858947060114
1.1,62.61,0.01036858947060114
1.1,63.48,0.01036858947060114
1.1,64.35,0.01036858947060114
1.1,65.22,0.01036858947060114
1.1,66.09,0.01036858947060114
