AlignmentID,Match_ID,Classification_Type,Peak_mz_1,Intensity_1,PIMMS_CCS,Peak_mz_2,Intensity_2,Intensity_3,Kaufman_C,m_over_C,mass_defect,md_over_C,NIST SRM-1957 1.d.DeMP,NIST SRM-1957 10.d.DeMP,NIST SRM-1957 2.d.DeMP,NIST SRM-1957 3.d.DeMP,NIST SRM-1957 6.d.DeMP,NIST SRM-1957 7.d.DeMP,NIST SRM-1957 8.d.DeMP,NIST SRM-1957 9.d.DeMP,Short_Match_ID,Predicted C/F ratio
3,No Match,unmatched,203.00138,1914.6,135.9,204.00398,141.6,83,6.809188538,30.79230497,0.00138,0.000228205,2069.999,0,2244.999,2348.999,1817.999,0,1090.999,0,No Match,0.9
6,No Match,unmatched,245.0478957,2336.428571,156.6,246.0512714,250.4285714,127.25,9.617149598,25.87487344,0.047895714,0.005057875,2815.999,1908.999,2801.999,2523.999,2290.999,2311.999,1700.999,0,No Match,0.8
8,PFOA (M-H-CO2),likely,368.9733075,3805.125,139.5,369.9763175,230.875,0,5.412857916,68.64893508,-0.0266925,-0.004975391,4632.999,3408.999,4505.999,4029.999,4468.999,3914.999,2759.999,2718.999,PFOA (M-H-CO2),2.3
9,PFHxS (M-H),likely,398.9342463,9595.25,150,399.935725,608.375,756.8571429,5.647067476,71.27666046,-0.06575375,-0.011751844,10092.999,9084.999,9299.999,8912.999,12496.999,11899.999,7660.999,7312.999,PFHxS (M-H),2.2
10,PFHpS (M-H),likely,448.930045,1059,159.7,449.93639,96.5,0,8.173239412,54.93211807,-0.069955,-0.008560354,0,0,0,0,1019.999,1097.999,0,0,PFHpS (M-H),1.7
11,No Match,unmatched,487.08273,480.5,199.9,488.08545,97.5,106,18.30372264,26.78626456,0.08273,0.004548125,0,0,0,0,511.999,448.999,0,0,No Match,0.8
12,PFOS (M-H),likely,498.9264114,24111.71429,168.5,499.9280757,2103.285714,1078.571429,7.816270125,64.0756326,-0.073588571,-0.009453907,27968.999,23108.999,28089.999,0,27649.999,26700.999,17606.999,17655.999,PFOS (M-H),2.1
13,"1,1,2,2,3,3,4,4,5,6,6,7,7,7-tetradecafluoro-5-(trifluoromethyl)heptane-1-sulfonic acid or 1,1,2,2,3,3,4,5,5,6,6,7,7,7-tetradecafluoro-4-(trifluoromethyl)heptane-1-sulfonic acid or 1,1,2,2,3,3,5,5,6,6,6-undecafluoro-4,4-bis(trifluoromethyl)hexane-1-sulfonic acid or 1,1,2,2,3,4,4,5,5,6,6,7,7,7-tetradecafluoro-3-(trifluoromethyl)heptane-1-sulfonic acid or 1,1,2,3,3,4,4,5,5,6,6,7,7,7-tetradecafluoro-2-(trifluoromethyl)heptane-1-sulfonic acid or Heptadecafluorooctane-2-sulfonic acid or IsoPFOS or Perfluorooctanesulfonic acid",tentative,498.9269313,9442,164.2,499.9280088,810.75,399.25,7.713360762,64.79354969,-0.07306875,-0.009493291,9464.999,10249.999,8965.999,8089.999,11966.999,12202.999,7440.999,7153.999,"1,1,2,2,3,3,4,4,5,6,6,7,7,7...",2.1
16,No Match,unmatched,639.07556,479.5,210.5,640.078975,79.5,0,14.82990925,43.38035198,0.07556,0.005129167,497.999,0,460.999,0,0,0,0,0,No Match,1.3
17,No Match,unmatched,669.95575,336.5,209.9,670.95755,64,0,17.07381727,39.25828048,-0.04425,-0.002594125,0,0,343.999,328.999,0,0,0,0,No Match,1.2
