Parent Peak,Child/Baby Peak,Relationship Type
59.0122,59.0122,loner
59.0123,59.0123,loner
59.0125,59.0125,loner
59.0126,59.0126,loner
59.0127,59.0127,loner
59.0128,59.0128,loner
59.0129,59.0129,loner
59.013,59.013,loner
59.0131,59.0131,loner
59.0132,59.0132,loner
59.0133,59.0133,loner
59.0134,59.0134,loner
59.0135,59.0135,loner
59.0136,59.0136,loner
59.0137,59.0137,loner
59.0138,59.0138,loner
59.014,59.014,loner
59.0141,59.0141,loner
59.0142,59.0142,loner
59.0143,59.0143,loner
59.0144,59.0144,loner
59.0145,59.0145,loner
59.0146,59.0146,loner
59.0148,59.0148,loner
59.0152,59.0152,loner
61.9869,61.9869,loner
61.9875,61.9875,loner
74.0232,74.0232,loner
74.0235,74.0235,loner
75.0068,75.0068,loner
78.9584,78.9584,loner
78.9589,78.9589,loner
79.9554,79.9554,loner
79.9555,79.9555,loner
79.9556,79.9556,loner
80.9148,80.9148,loner
80.9635,80.9635,loner
80.9639,80.9639,loner
80.9643,80.9643,loner
81.9517,81.9517,loner
81.9518,81.9518,loner
82.9601,82.9601,loner
85.0276,85.0276,loner
87.0073,87.0073,loner
89.0226,89.0226,loner
89.0227,89.0227,loner
89.0228,89.0228,loner
89.0229,89.0229,loner
89.0231,89.0231,loner
89.0232,89.0232,loner
89.0233,89.0233,loner
89.0234,89.0234,loner
89.0235,89.0235,loner
89.0236,89.0236,loner
89.0239,89.0239,loner
89.024,89.024,loner
89.0242,89.0242,loner
89.0244,89.0244,loner
91.0169,91.0169,loner
92.0247,92.0247,loner
92.0263,92.0263,loner
92.9257,92.9257,loner
92.926,92.926,loner
92.9262,92.9262,loner
92.9263,92.9263,loner
92.9265,92.9265,loner
92.9267,92.9267,loner
92.9268,92.9268,loner
92.9269,92.9269,loner
92.927,92.927,loner
92.9271,92.9271,loner
92.9272,92.9272,loner
92.9273,92.9273,loner
92.9274,92.9274,loner
92.9277,92.9277,loner
92.9278,92.9278,loner
92.9279,92.9279,loner
92.928,92.928,loner
92.9282,92.9282,loner
92.9283,92.9283,loner
92.9284,92.9284,loner
92.9285,92.9285,loner
92.9287,92.9287,loner
92.929,92.929,loner
92.9291,92.9291,loner
92.9294,92.9294,loner
92.9295,92.9295,loner
92.9299,92.9299,loner
92.9301,92.9301,loner
92.9311,92.9311,loner
93.0326,93.0326,loner
93.0327,93.0327,loner
93.0328,93.0328,loner
93.0329,93.0329,loner
93.0331,93.0331,loner
93.0336,93.0336,loner
93.0689,93.0689,loner
94.0377,94.0377,loner
94.9229,94.9229,loner
94.9231,94.9231,loner
94.9232,94.9232,loner
94.9233,94.9233,loner
94.9234,94.9234,loner
94.9236,94.9236,loner
94.9237,94.9237,loner
94.9238,94.9238,loner
94.9239,94.9239,loner
94.924,94.924,loner
94.9241,94.9241,loner
94.9243,94.9243,loner
94.9245,94.9245,loner
94.9248,94.9248,loner
94.925,94.925,loner
94.9251,94.9251,loner
94.9253,94.9253,loner
94.9254,94.9254,loner
94.9257,94.9257,loner
94.9259,94.9259,loner
94.926,94.926,loner
94.9263,94.9263,loner
94.9265,94.9265,loner
94.9268,94.9268,loner
94.927,94.927,loner
94.9278,94.9278,loner
94.9279,94.9279,loner
94.928,94.928,loner
94.9285,94.9285,loner
94.929,94.929,loner
95.0118,95.0118,loner
95.0119,95.0119,loner
96.0194,96.0194,loner
96.9192,96.9192,loner
96.9197,96.9197,loner
96.9199,96.9199,loner
96.92,96.92,loner
96.9201,96.9201,loner
96.9204,96.9204,loner
96.9205,96.9205,loner
96.9206,96.9206,loner
96.9208,96.9208,loner
96.921,96.921,loner
96.9223,96.9223,loner
96.9584,96.9584,loner
96.9595,96.9595,loner
96.9597,96.9597,loner
98.9545,99.9551,parent-child
98.9545,99.9551,baby
99.0076,99.0076,loner
99.9246,99.9246,loner
99.9247,99.9247,loner
99.9554,99.9554,loner
99.9561,99.9561,loner
99.9565,99.9565,loner
99.957,99.957,loner
99.9571,99.9571,loner
99.9572,99.9572,loner
99.9584,99.9584,loner
101.0002,101.0002,loner
102.9546,102.9546,loner
102.9549,102.9549,loner
102.9551,102.9551,loner
102.9552,102.9552,loner
102.9554,102.9554,loner
102.9555,102.9555,loner
102.9556,102.9556,loner
102.9557,102.9557,loner
102.9558,102.9558,loner
102.9559,102.9559,loner
102.9563,102.9563,loner
102.9566,102.9566,loner
105.0322,105.0322,loner
105.92,105.92,loner
106.04,106.04,loner
107.0482,107.0482,loner
107.0485,107.0485,loner
107.0489,107.0489,loner
107.0494,107.0494,loner
107.0847,107.0847,loner
107.0849,107.0849,loner
108.0195,108.0195,loner
108.0198,108.0198,loner
108.0199,108.0199,loner
108.021,108.021,loner
111.0072,111.0072,loner
112.0497,112.0497,loner
112.9351,112.9351,loner
114.9342,114.9342,loner
114.9352,114.9352,loner
114.9354,114.9354,loner
116.0695,116.0695,loner
116.9318,116.9318,loner
116.9683,116.9683,loner
116.9686,116.9686,loner
116.9689,116.9689,loner
116.9694,116.9694,loner
116.9695,116.9695,loner
116.9698,116.9698,loner
116.9702,116.9702,loner
116.9703,116.9703,loner
116.9704,116.9704,loner
116.9705,116.9705,loner
116.9706,116.9706,loner
116.9708,116.9708,loner
116.9712,116.9712,loner
116.9713,116.9713,loner
116.9714,116.9714,loner
116.9715,116.9715,loner
116.9717,116.9717,loner
116.9718,116.9718,loner
116.9719,116.9719,loner
116.9721,116.9721,loner
116.9722,116.9722,loner
116.9725,116.9725,loner
116.9726,116.9726,loner
116.9727,116.9727,loner
116.9728,116.9728,loner
116.9729,116.9729,loner
116.973,116.973,loner
116.9733,116.9733,loner
116.9736,116.9736,loner
116.9741,116.9741,loner
116.9742,116.9742,loner
116.9744,116.9744,loner
116.9745,116.9745,loner
116.9746,116.9746,loner
116.9748,116.9748,loner
116.976,116.976,loner
116.9766,116.9766,loner
116.9776,116.9776,loner
116.978,116.978,loner
117.0322,117.0322,loner
118.9179,118.9179,loner
118.9671,118.9671,loner
118.9672,118.9672,loner
118.9673,118.9673,loner
118.9674,118.9674,loner
118.9676,118.9676,loner
118.9677,118.9677,loner
118.9678,118.9678,loner
118.9682,118.9682,loner
118.9684,118.9684,loner
118.9688,118.9688,loner
118.969,118.969,loner
118.9696,118.9696,loner
118.9701,118.9701,loner
118.9718,118.9718,loner
119.0478,119.0478,loner
119.0503,119.0503,loner
119.9455,119.9455,loner
119.9461,119.9461,loner
121.028,121.028,loner
121.0286,121.0286,loner
121.0288,121.0288,loner
121.9976,121.9976,loner
122.035,122.035,loner
123.0064,124.0041,parent-child
123.0064,124.0043,parent-child
123.0064,124.0044,parent-child
123.0064,124.0046,parent-child
123.0064,124.005,parent-child
123.0064,124.0054,parent-child
123.0064,124.0055,parent-child
123.0064,124.0056,parent-child
123.0064,124.0062,parent-child
123.0064,124.0063,parent-child
123.0064,124.0064,parent-child
123.0064,124.0064,baby
123.0069,124.0046,parent-child
123.0069,124.005,parent-child
123.0069,124.0054,parent-child
123.0069,124.0055,parent-child
123.0069,124.0056,parent-child
123.0069,124.0062,parent-child
123.0069,124.0063,parent-child
123.0069,124.0064,parent-child
123.0069,124.0067,parent-child
123.0069,124.0067,baby
123.0428,123.0428,loner
123.0432,123.0432,loner
123.0434,123.0434,loner
123.8996,123.8996,loner
123.9,123.9,loner
123.9002,123.9002,loner
123.9006,123.9006,loner
123.9021,123.9021,loner
124.0005,124.0005,loner
124.0033,124.0033,loner
124.0034,124.0034,loner
124.0071,124.0071,loner
124.0072,124.0072,loner
124.008,124.008,loner
124.0087,124.0087,loner
124.0133,124.0133,loner
124.0135,124.0135,loner
124.0136,124.0136,loner
124.0141,124.0141,loner
125.0224,125.0224,loner
125.0227,125.0227,loner
125.9005,125.9005,loner
126.9995,126.9995,loner
126.9998,126.9998,loner
129.0175,129.0175,loner
129.0181,129.0181,loner
129.0536,129.0536,loner
129.0545,129.0545,loner
129.0553,129.0553,loner
129.0555,129.0555,loner
130.0852,130.0852,loner
130.9293,130.9293,loner
130.9312,130.9312,loner
131.0805,131.0805,loner
132.9275,132.9275,loner
133.0632,133.0632,loner
133.0657,133.0657,loner
134.8941,134.8941,loner
135.0086,135.0086,loner
135.0278,135.0278,loner
135.0285,135.0285,loner
135.0291,135.0291,loner
135.0308,135.0308,loner
135.0448,135.0448,loner
135.0454,135.0454,loner
135.1162,135.1162,loner
135.9699,135.9699,loner
136.0162,136.0162,loner
137.0224,137.0224,loner
137.0226,137.0226,loner
137.0234,137.0234,loner
137.0235,137.0235,loner
137.0599,137.0599,loner
138.0188,138.0188,loner
139.0047,139.0047,loner
139.0049,139.0049,loner
141.013,141.013,loner
141.0132,141.0132,loner
141.0135,141.0135,loner
141.0138,141.0138,loner
141.0139,141.0139,loner
141.0142,141.0142,loner
141.0144,141.0144,loner
141.0146,141.0146,loner
141.0147,141.0147,loner
141.0148,141.0148,loner
141.0149,141.0149,loner
141.0151,141.0151,loner
141.0152,141.0152,loner
141.0153,141.0153,loner
141.0154,141.0154,loner
141.0159,141.0159,loner
141.016,141.016,loner
141.0162,141.0162,loner
141.0163,141.0163,loner
141.0164,141.0164,loner
141.0165,141.0165,loner
141.0166,141.0166,loner
141.0168,141.0168,loner
141.0171,141.0171,loner
141.0172,141.0172,loner
141.0178,141.0178,loner
141.018,141.018,loner
141.0181,141.0181,loner
141.0182,141.0182,loner
141.019,141.019,loner
141.0196,141.0196,loner
141.0198,141.0198,loner
141.0201,141.0201,loner
141.0202,141.0202,loner
141.0205,141.0205,loner
141.0208,141.0208,loner
141.0209,141.0209,loner
143.1056,143.1056,loner
143.1059,143.1059,loner
143.106,143.106,loner
143.1064,143.1064,loner
143.1082,143.1082,loner
143.1085,143.1085,loner
144.0435,144.0435,loner
144.0458,144.0458,loner
145.0614,145.0614,loner
145.0623,145.0623,loner
146.906,146.906,loner
146.9807,146.9807,loner
146.9808,146.9808,loner
146.981,146.981,loner
146.9812,146.9812,loner
146.9817,146.9817,loner
146.9825,146.9825,loner
146.9831,146.9831,loner
146.9832,146.9832,loner
146.9844,146.9844,loner
148.9776,148.9776,loner
148.9785,148.9785,loner
148.9787,148.9787,loner
148.979,148.979,loner
148.9791,148.9791,loner
148.9797,148.9797,loner
149.008,149.008,loner
149.06,150.0573,parent-child
149.06,150.0573,baby
151.0393,151.0393,loner
151.0399,151.0399,loner
151.0402,151.0402,loner
151.0771,151.0771,loner
152.0334,152.0334,loner
152.0336,152.0336,loner
152.0349,152.0349,loner
152.9933,152.9933,loner
152.9937,152.9937,loner
152.9939,152.9939,loner
152.9959,152.9959,loner
152.9965,152.9965,loner
152.9966,152.9966,loner
153.0172,153.0172,loner
154.0589,154.0589,loner
154.0599,154.0599,loner
154.0602,154.0602,loner
154.0605,154.0605,loner
154.0607,154.0607,loner
154.0608,154.0608,loner
154.0612,154.0612,loner
154.0614,154.0614,loner
154.0616,154.0616,loner
154.0617,154.0617,loner
154.0618,154.0618,loner
154.0626,154.0626,loner
154.0634,154.0634,loner
154.0635,154.0635,loner
154.9465,154.9465,loner
155.8636,155.8636,loner
156.942,156.942,loner
157.1224,157.1224,loner
157.1232,157.1232,loner
158.9117,158.9117,loner
159.0929,159.0929,loner
159.1011,159.1011,loner
160.84,160.84,loner
160.842,160.842,loner
160.9096,160.9096,loner
160.9099,160.9099,loner
160.9547,160.9547,loner
160.9566,160.9566,loner
161.0214,161.0214,loner
161.0441,161.0441,loner
161.059,161.059,loner
161.0595,161.0595,loner
162.8367,162.8367,loner
162.9521,162.9521,loner
163.0381,163.0381,loner
163.0383,163.0383,loner
164.0335,164.0335,loner
164.0713,164.0713,loner
164.0717,164.0717,loner
164.8347,164.8347,loner
164.8359,164.8359,loner
165.0034,165.0034,loner
165.0386,165.0386,loner
165.0388,165.0388,loner
165.0394,165.0394,loner
165.0405,165.0405,loner
165.0408,165.0408,loner
165.0417,165.0417,loner
165.042,165.042,loner
165.0528,165.0528,loner
165.0535,165.0535,loner
165.054,165.054,loner
165.0548,165.0548,loner
165.0901,165.0901,loner
165.0928,165.0928,loner
166.0168,167.0184,parent-child
166.0168,167.0184,baby
167.0185,167.0185,loner
167.0187,168.022,parent-child
167.0187,168.022,baby
167.0188,168.022,parent-child
167.0188,168.022,baby
167.0189,168.022,parent-child
167.0189,168.022,baby
167.019,168.022,parent-child
167.019,168.022,baby
167.0191,168.022,parent-child
167.0191,168.022,baby
167.0192,168.022,parent-child
167.0192,168.022,baby
167.0193,168.022,parent-child
167.0193,168.022,baby
167.0194,168.022,parent-child
167.0194,168.022,baby
167.0195,168.022,parent-child
167.0195,168.022,baby
167.0196,168.022,parent-child
167.0196,168.022,baby
167.0197,168.022,parent-child
167.0197,168.022,baby
167.0198,168.022,parent-child
167.0198,168.022,baby
167.0199,168.022,parent-child
167.0199,168.022,baby
167.02,168.022,parent-child
167.02,168.022,baby
167.0201,168.022,parent-child
167.0201,168.022,baby
167.0202,168.022,parent-child
167.0202,168.022,baby
167.0204,168.022,parent-child
167.0204,168.022,baby
167.0205,168.022,parent-child
167.0205,168.022,baby
167.0206,168.022,parent-child
167.0206,168.022,baby
167.0207,168.022,parent-child
167.0207,168.022,baby
167.0209,168.022,parent-child
167.0209,168.022,baby
167.021,168.022,parent-child
167.021,168.022,baby
167.0211,168.022,parent-child
167.0211,168.022,baby
167.0214,168.022,parent-child
167.0214,168.022,baby
167.0218,168.022,parent-child
167.0218,168.022,baby
167.0222,168.022,parent-child
167.0222,168.022,baby
167.0224,168.022,parent-child
167.0224,168.022,baby
167.0329,167.0329,loner
167.0345,167.0345,loner
167.106,167.106,loner
167.1079,167.1079,loner
168.0231,168.0231,loner
168.9896,168.9896,loner
169.0663,169.0663,loner
169.1213,169.1213,loner
169.1241,169.1241,loner
169.1244,169.1244,loner
171.0254,171.0254,loner
171.0256,171.0256,loner
171.0262,171.0262,loner
171.0269,171.0269,loner
171.028,171.028,loner
171.1368,171.1368,loner
171.1392,172.1418,parent-child
171.1392,172.1418,baby
171.9992,171.9992,loner
171.9996,171.9996,loner
172.0394,172.0394,loner
172.9893,172.9893,loner
172.9897,172.9897,loner
172.9899,172.9899,loner
172.9902,172.9902,loner
172.991,172.991,loner
172.9911,172.9911,loner
172.9917,172.9917,loner
172.9919,172.9919,loner
173.0079,173.0079,loner
173.1035,173.1035,loner
173.1048,173.1048,loner
174.0536,174.0536,loner
174.0539,174.0539,loner
174.0567,174.0567,loner
176.0818,176.0818,loner
176.0847,176.0847,loner
176.9502,176.9502,loner
176.9512,176.9512,loner
177.019,177.019,loner
177.0221,177.0221,loner
177.0561,177.0561,loner
177.0908,177.0908,loner
177.1262,177.1262,loner
177.1274,177.1274,loner
178.948,178.948,loner
179.0544,179.0544,loner
179.0549,179.0549,loner
179.0551,179.0551,loner
179.0557,179.0557,loner
179.0567,179.0567,loner
179.0691,180.0657,parent-child
179.0691,180.0675,parent-child
179.0691,180.0675,baby
179.0696,180.0675,parent-child
179.0696,180.0675,baby
179.0715,180.0739,parent-child
179.0715,180.0739,baby
179.1063,179.1063,loner
179.1421,179.1421,loner
179.1793,179.1793,loner
180.9462,180.9462,loner
181.0357,181.0357,loner
181.0498,181.0498,loner
183.012,183.012,loner
183.0127,183.0127,loner
183.1004,183.1004,loner
183.1031,183.1031,loner
183.1368,183.1368,loner
183.1734,183.1734,loner
185.0562,185.0562,loner
185.1547,185.1547,loner
185.1552,185.1552,loner
187.0032,187.0032,loner
187.004,187.004,loner
187.0042,187.0042,loner
187.0043,187.0043,loner
187.0046,187.0046,loner
187.0049,187.0049,loner
187.0051,187.0051,loner
187.0056,188.009,parent-child
187.0056,188.009,baby
187.0057,188.009,parent-child
187.0057,188.009,baby
187.0059,188.009,parent-child
187.0059,188.009,baby
187.0062,188.009,parent-child
187.0062,188.009,baby
187.0063,188.009,parent-child
187.0063,188.009,baby
187.0064,188.009,parent-child
187.0064,188.009,baby
187.0067,188.009,parent-child
187.0067,188.009,baby
187.007,188.009,parent-child
187.007,188.009,baby
187.0073,188.009,parent-child
187.0073,188.009,baby
187.0076,188.009,parent-child
187.0076,188.009,baby
187.0079,188.009,parent-child
187.0079,188.009,baby
187.009,188.009,parent-child
187.009,188.009,baby
187.0095,188.009,parent-child
187.0095,188.0091,parent-child
187.0095,188.0092,parent-child
187.0095,188.0092,baby
187.0096,188.009,parent-child
187.0096,188.0091,parent-child
187.0096,188.0092,parent-child
187.0096,188.0092,baby
187.0101,188.009,parent-child
187.0101,188.0091,parent-child
187.0101,188.0092,parent-child
187.0101,188.0092,baby
187.0403,187.0403,loner
187.1339,187.1339,loner
188.0451,189.0416,parent-child
188.0451,189.042,parent-child
188.0451,189.0432,parent-child
188.0451,189.0432,baby
188.9841,188.9841,loner
188.9874,188.9874,loner
189.0041,189.0041,loner
189.0085,189.0085,loner
189.0395,189.0395,loner
189.0396,189.0396,loner
