Score,SeriesType_Identifier,Name_or_Class,Formula,SMILES,m/z,Retention Time,Adduct,Unique,Score_Description,Needs_Validation,row.ID,DT,CCS,Z,Ions,Freq.,Q.Score,Sat.,Mark,X43.B1.7974.d.DeMP,ID_Ranked,nominal mass,mass defect,[CF2]n_Kendrick_mass,[CF2]n_nominal_Kendrick_mass,[CF2]n_Kendrick_mass_defect,[CF2]n_KMD_Group,[CF2]n_homologous_series,[CF2]n_Homologous_series_count,[CF2]n_MD_Filter,[CF2]n_RT_series,[CF2]n_DT_series,Confident_ID,2+_homologous_series,3+_homologous_series,Exact_mass_match,Score.1,Score_Description.1,Checked_Viz,TRUE_Viz,Class_Viz,Cnumb_Viz,Comment_Viz,Classification
A,[CF2]n_191,PFBS-L|(M-H)-|NA|CAS=NA,C4HF9O3S,,298.9416,0.952,,Yes,Lvl 2 Schymanski: Confident ID (class specific dominant fragments observed along with exact mass) and 2+ in homologous series,No,3346,17.683,133.6,-1,3,16,100,,FALSE,5525.999,1_PFBS-L|(M-H)-|NA|CAS=NA;C4HF9O3S;NA | 1_13C3- PFBS|(M-H)-|NA|CAS=NA;C4HF9O3S;NA | 1_PFBS|(M-H)-|DTXSID5030030|CAS=375-73-5;C4HF9O3S;OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,299,-0.0584,298.960695,299,-0.039305022,44,191,5,TRUE,RT ordered,DT ordered,TRUE,TRUE,TRUE,FALSE,A,Lvl 2 Schymanski: Confident ID (class specific dominant fragments observed along with exact mass) and 2+ in homologous series,,,,,,likely
A,[CF2]n_217,PFHpA|(M-H-CO2)-|DTXSID1037303|CAS=375-85-9,C7HF13O2,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,318.9789,1.436,,Yes,Lvl 2 Schymanski: Confident ID (class specific dominant fragments observed along with exact mass) and 2+ in homologous series,No,1655,17.576,132.43,-1,3,44,100,,FALSE,1475.919,1_PFHpA|(M-H-CO2)-|DTXSID1037303|CAS=375-85-9;C7HF13O2;OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F | 1_13C4- PFHpA|(M-H-CO2)-|NA|CAS=NA;C7HF13O2;NA | 1_PFHpA|(M-H-CO2)-|DTXSID1037303|CAS=375-85-9;C7HF13O2;OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,319,-0.0211,318.9992749,319,-0.000725134,48,217,8,TRUE,RT not ordered,DT not ordered,TRUE,TRUE,TRUE,FALSE,A,Lvl 2 Schymanski: Confident ID (class specific dominant fragments observed along with exact mass) and 2+ in homologous series,,,,,,likely
A,[CF2]n_191,PFPeS-L|(M-H)-|NA|CAS=NA,C5HF11O3S,,348.9383,1.479,,Yes,Lvl 2 Schymanski: Confident ID (class specific dominant fragments observed along with exact mass) and 2+ in homologous series,No,2030,18.927,142.15,-1,3,35,100,,FALSE,714.999,1_PFPeS-L|(M-H)-|NA|CAS=NA;C5HF11O3S;NA | 1_PFPeS|(M-H)-|DTXSID8062600|CAS=2706-91-4;C5HF11O3S;OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,349,-0.0617,348.9605885,349,-0.039411468,44,191,5,TRUE,RT ordered,DT ordered,TRUE,TRUE,TRUE,FALSE,A,Lvl 2 Schymanski: Confident ID (class specific dominant fragments observed along with exact mass) and 2+ in homologous series,,,,,,likely
A,[CF2]n_217,PFOA|(M-H-CO2)-|DTXSID40892486|CAS=45285-51-6,C8HF15O2,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,368.9761,1.743,,Yes,Lvl 2 Schymanski: Confident ID (class specific dominant fragments observed along with exact mass) and 2+ in homologous series,No,87,18.635,139.67,-1,3,39,100,x,FALSE,61277,1_PFOA|(M-H-CO2)-|DTXSID40892486|CAS=45285-51-6;C8HF15O2;OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F | 1_13C8- PFOA|(M-H-CO2)-|NA|CAS=NA;C8HF15O2;NA | 1_PFOA|(M-H-CO2)-|DTXSID40892486|CAS=45285-51-6;C8HF15O2;OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,369,-0.0239,368.9996685,369,-0.000331548,48,217,8,TRUE,RT ordered,DT ordered,TRUE,TRUE,TRUE,FALSE,A,Lvl 2 Schymanski: Confident ID (class specific dominant fragments observed along with exact mass) and 2+ in homologous series,,,,,,likely
A,[CF2]n_191,PFHxS-L|(M-H)-|NA|CAS=NA,C6HF13O3S,,398.9367,1.802,,Yes,Lvl 2 Schymanski: Confident ID (class specific dominant fragments observed along with exact mass) and 2+ in homologous series,No,62,20.182,150.91,-1,3,39,100,x,FALSE,144413,1_PFHxS-L|(M-H)-|NA|CAS=NA;C6HF13O3S;NA | 1_13C3- PFHxS|(M-H)-|NA|CAS=NA;C6HF13O3S;NA | 1_PFHxS|(M-H)-|DTXSID7040150|CAS=355-46-4;C6HF13O3S;OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,399,-0.0633,398.9621822,399,-0.037817807,44,191,5,TRUE,RT ordered,DT ordered,TRUE,TRUE,TRUE,FALSE,A,Lvl 2 Schymanski: Confident ID (class specific dominant fragments observed along with exact mass) and 2+ in homologous series,,,,,,likely
A,[CF2]n_217,PFNA|(M-H-CO2)-|DTXSID8031863|CAS=375-95-1,C9HF17O2,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,418.9733,2.23,,Yes,Lvl 2 Schymanski: Confident ID (class specific dominant fragments observed along with exact mass) and 2+ in homologous series,No,1181,19.722,147.22,-1,2,26,100,,FALSE,7873.073,1_PFNA|(M-H-CO2)-|DTXSID8031863|CAS=375-95-1;C9HF17O2;OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F | 1_13C9- PFNA|(M-H-CO2)-|NA|CAS=NA;C9HF17O2;NA | 1_PFNA|(M-H-CO2)-|DTXSID8031863|CAS=375-95-1;C9HF17O2;OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,419,-0.0267,419.000062,419,6.20368E-05,48,217,8,TRUE,RT ordered,DT not ordered,TRUE,TRUE,TRUE,FALSE,A,Lvl 2 Schymanski: Confident ID (class specific dominant fragments observed along with exact mass) and 2+ in homologous series,,,,,,likely
A,[CF2]n_193,PFHpS-L|(M-H)-|NA|CAS=NA,C7HF15O3S,,448.9341,2.036,,Yes,Lvl 2 Schymanski: Confident ID (class specific dominant fragments observed along with exact mass) and 2+ in homologous series,No,1091,21.306,158.76,-1,4,20,100,,FALSE,15754,1_PFHpS-L|(M-H)-|NA|CAS=NA;C7HF15O3S;NA | 1_PFHpS|(M-H)-|DTXSID8059920|CAS=375-92-8;C7HF15O3S;OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,449,-0.0659,448.9627758,449,-0.037224209,45,193,2,TRUE,RT ordered,DT ordered,TRUE,TRUE,FALSE,FALSE,A,Lvl 2 Schymanski: Confident ID (class specific dominant fragments observed along with exact mass) and 2+ in homologous series,,,,,,likely
A,[CF2]n_217,PFDA|(M-H-CO2)-|DTXSID3031860|CAS=335-76-2,C10HF19O2,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,468.9708,2.238,,Yes,Lvl 2 Schymanski: Confident ID (class specific dominant fragments observed along with exact mass) and 2+ in homologous series,No,14722,20.903,155.55,-1,2,9,100,,FALSE,1489.096,1_PFDA|(M-H-CO2)-|DTXSID3031860|CAS=335-76-2;C10HF19O2;OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F | 1_13C6- PFDA|(M-H-CO2)-|NA|CAS=NA;C10HF19O2;NA | 1_PFDA|(M-H-CO2)-|DTXSID3031860|CAS=335-76-2;C10HF19O2;OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,469,-0.0292,469.0007556,469,0.000755641,48,217,8,TRUE,RT ordered,DT not ordered,TRUE,TRUE,TRUE,FALSE,A,Lvl 2 Schymanski: Confident ID (class specific dominant fragments observed along with exact mass) and 2+ in homologous series,,,,,,likely
A,[CF2]n_217,PFUdA|(M-H-CO2)-|DTXSID8047553|CAS=2058-94-8,C11HF21O2,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,518.968,2.394,,Yes,Lvl 2 Schymanski: Confident ID (class specific dominant fragments observed along with exact mass) and 2+ in homologous series,No,729,22.084,163.92,-1,3,37,100,,FALSE,1143.999,1_PFUdA|(M-H-CO2)-|DTXSID8047553|CAS=2058-94-8;C11HF21O2;OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F | 1_13C7- PFUdA|(M-H-CO2)-|NA|CAS=NA;C11HF21O2;NA | 1_PFUdA|(M-H-CO2)-|DTXSID8047553|CAS=2058-94-8;C11HF21O2;OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,519,-0.032,519.0011492,519,0.001149226,48,217,8,TRUE,RT ordered,DT not ordered,TRUE,TRUE,TRUE,FALSE,A,Lvl 2 Schymanski: Confident ID (class specific dominant fragments observed along with exact mass) and 2+ in homologous series,,,,,,likely
A-,[CF2]n_214,8:2 FTS|(M-H)-|DTXSID00192353|CAS=39108-34-4,C10H5F17SO3,OS(=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,526.9629,2.092,,Yes,Lvl 2 Schymanski: Confident ID (class specific dominant fragments and exact mass),No,1487,25.138,186.59,-1,2,41,100,,FALSE,587.999,1_8:2 FTS|(M-H)-|DTXSID00192353|CAS=39108-34-4;C10H5F17SO3;OS(=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F | 1_8:2 FTS|(M-H)-|DTXSID00192353|CAS=39108-34-4;C10H5F17SO3;OS(=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,527,-0.0371,526.9965599,527,-0.003440097,48,214,0,TRUE,RT not ordered,DT ordered,TRUE,FALSE,FALSE,FALSE,A-,Lvl 2 Schymanski: Confident ID (class specific dominant fragments and exact mass),,,,,,likely
