ID,RT,DT,CCS,m/z,Z,Ions,Freq.,Q Score,Sat.,Mark, 303 B4 7292.d.DeMP
1,3.23,21.095,161.62,227.2004,-1,5,21,100.0,x,False,325074.793170138
2,3.718,23.177,175.81,279.2322,-1,4,19,100.0,x,False,334793.4857992858
3,2.762,28.515,212.31,476.2792,-1,6,14,100.0,x,False,420228.55566666665
4,4.045,23.256,176.35,281.247,-1,5,16,100.0,x,False,141373.8785913196
5,2.814,29.218,217.26,500.2803,-1,4,16,100.0,x,False,401526.66184747464
6,3.786,33.197,246.45,539.4331,-1,4,17,100.0,x,False,370307.06370289583
7,4.374,23.368,177.14,283.2637,-1,5,20,100.0,x,False,3957.511361160374
8,2.872,28.224,210.45,452.2791,-1,6,15,100.0,x,False,418757.999
9,3.36,29.205,217.41,480.311,-1,6,18,100.0,x,False,419029.21474204666
10,2.952,29.366,218.6,480.309,-1,5,16,100.0,x,False,340553.5535105834
11,2.771,22.868,169.88,505.9739,-1,5,22,100.0,x,False,351609.5584620457
12,3.299,23.153,175.68,277.2155,-1,4,14,100.0,x,False,234412.2780890487
13,0.403,17.668,136.86,187.0056,-1,5,16,100.0,x,False,390334.22233333334
14,3.44,22.056,168.06,253.2156,-1,4,16,100.0,x,False,222294.86809782428
15,2.269,22.692,168.62,498.9308,-1,4,21,100.0,x,False,307259.8553439367
16,3.519,28.985,215.97,464.3157,-1,5,16,100.0,x,False,268846.05044223665
17,4.593,34.263,253.79,595.4959,-1,6,18,100.0,x,False,320092.89676055015
24,1.071,26.23,196.85,367.1582,-1,7,16,100.0,x,False,71620.54033093789
26,4.165,39.869,293.34,861.5564,-1,6,18,100.0,x,False,385720.21609301976
27,2.514,22.643,171.97,271.2261,-1,5,13,100.0,x,False,366209.4445555555
28,3.273,27.998,208.97,436.284,-1,5,17,100.0,x,False,324763.83993294596
30,1.722,18.393,142.91,179.0692,-1,4,13,100.0,x,False,398066.999
31,4.081,38.989,287.01,833.5248,-1,6,14,100.0,x,False,406568.999
32,3.814,24.203,182.9,305.248,-1,4,23,100.0,x,False,316906.7449543133
33,3.593,32.262,240.44,465.3047,-1,6,11,100.0,x,False,287425.999
34,3.423,25.186,189.81,327.2318,-1,5,13,100.0,x,False,315022.999
35,2.966,32.677,242.42,554.3485,-1,4,15,100.0,x,False,106111.999
37,3.499,32.61,242.11,537.4173,-1,4,14,100.0,x,False,368067.739051145
40,3.378,30.379,225.82,508.3425,-1,5,14,100.0,x,False,208999.999
42,3.542,24.23,183.15,303.2316,-1,5,14,100.0,x,False,190978.56470814702
44,2.154,21.85,166.11,265.1463,-1,6,16,100.0,x,False,101950.5833506962
45,4.118,40.327,296.6,883.5404,-1,5,16,100.0,x,False,343558.5680538513
46,2.962,28.953,215.55,478.294,-1,4,13,100.0,x,False,419671.999
47,4.09,39.632,291.62,857.5256,-1,7,12,100.0,x,False,385257.999
48,3.48,30.743,229.06,467.3742,-1,4,11,100.0,x,False,229683.999
49,2.327,32.351,239.39,619.2918,-1,6,15,100.0,x,False,155999.999
50,3.525,24.133,182.41,303.2333,-1,5,14,100.0,x,False,410954.24680029997
51,4.309,34.131,252.84,593.4808,-1,5,12,100.0,x,False,199444.55566666665
52,2.586,23.22,171.99,569.9689,-1,4,24,100.0,x,False,89748.3805285109
54,0.635,21.078,160.4,259.0267,-1,5,15,100.0,x,False,367552.999
55,1.796,20.196,151.02,398.9362,-1,3,14,100.0,x,False,72858.999
56,3.213,28.726,214.06,462.2994,-1,4,19,100.0,x,False,209970.98487933222
58,2.486,27.892,207.9,457.2363,-1,5,12,100.0,x,False,193443.999
59,3.414,33.714,249.85,582.3797,-1,5,13,100.0,x,False,18642.999
60,3.65,25.212,189.97,329.2476,-1,5,15,100.0,x,False,244814.7778888889
61,2.519,20.089,155.08,199.1684,-1,4,14,100.0,x,False,292423.1112222222
62,0.96,17.971,137.06,244.9059,-1,9,13,100.0,x,False,30741.000111111112
64,3.432,23.45,174.13,514.9818,-1,5,15,100.0,x,False,223963.999
65,2.774,32.911,243.91,578.3487,-1,4,14,100.0,x,False,23788.999
66,2.995,33.264,246.52,580.3653,-1,4,15,100.0,x,False,180779.999
68,3.49,30.114,224.67,445.3327,-1,3,15,99.8,x,False,81434.74696202137
69,2.77,29.924,222.26,524.2796,-1,4,11,100.0,x,False,100678.999
71,3.972,33.824,250.56,591.4662,-1,8,14,100.0,x,False,247822.28516973855
73,2.478,24.103,181.8,319.2273,-1,3,13,100.0,x,False,272517.999
74,2.882,32.691,242.53,554.3478,-1,4,11,100.0,x,False,310102.999
75,2.801,29.767,221.31,504.3111,-1,5,14,100.0,x,False,194940.999
76,3.025,24.841,187.2,327.29,-1,5,15,100.0,x,False,65923.55566666667
77,3.769,22.648,172.13,267.2313,-1,4,16,100.0,x,False,169612.27556509804
79,2.756,32.509,240.74,599.3222,-1,6,12,100.0,x,False,222806.999
80,4.56,24.327,183.73,309.2789,-1,4,21,100.0,x,False,188982.86401807342
81,3.424,24.105,182.25,301.2169,-1,4,15,100.0,x,False,170571.4734631158
82,1.281,27.7,207.36,397.2055,-1,5,14,100.0,x,False,21979.999
83,1.497,26.877,200.43,448.3067,-1,5,13,100.0,x,False,305418.999
84,1.741,18.646,139.75,368.9756,-1,3,12,100.0,x,False,132876.999
85,4.197,39.155,288.23,835.5402,-1,5,15,100.0,x,False,290927.999
86,3.664,28.344,249.04,59.0124,-1,3,16,100.0,x,False,106463.40238274097
87,4.23,40.266,296.11,885.5579,-1,7,8,100.0,x,False,415183.77329545456
89,2.904,29.921,222.22,526.2946,-1,4,13,100.0,x,False,167599.999
90,2.453,27.135,202.56,433.2369,-1,5,19,100.0,x,False,106170.91035241605
91,3.584,24.13,179.06,531.0103,-1,5,14,100.0,x,False,109580.999
94,3.202,23.015,174.63,277.2175,-1,4,12,100.0,x,False,413890.69492973824
95,4.482,23.412,177.48,283.2635,-1,5,11,100.0,x,False,171365.1783087813
96,3.529,31.423,234.46,445.3335,-1,5,14,93.7,x,False,112248.61341603503
97,2.309,31.711,234.85,595.2909,-1,5,12,100.0,x,False,109679.999
98,3.313,28.703,214.58,415.3221,-1,4,13,100.0,x,False,132523.999
99,4.176,24.291,183.51,307.263,-1,4,17,100.0,x,False,82027.96494768461
100,3.495,32.004,237.89,511.4018,-1,5,15,100.0,x,False,196501.22233333334
102,3.172,21.212,161.7,250.1437,-1,4,21,100.0,x,False,248809.47728512896
103,1.544,23.855,180.12,311.2212,-1,4,12,100.0,x,False,90226.999
104,2.896,23.77,179.77,299.2579,-1,4,10,100.0,x,False,138834.999
105,1.865,23.056,172.97,366.8995,-1,10,13,100.0,x,False,177880.999
107,1.337,26.105,195.88,369.1743,-1,6,12,100.0,x,False,84072.24299035911
109,4.187,22.851,173.62,269.246,-1,4,15,100.0,x,False,89514.89296417698
110,2.546,25.98,192.5,569.9692,-1,4,18,100.0,x,False,45521.18419169352
111,4.034,28.605,213.68,425.3638,-1,4,17,100.0,x,False,88635.65197025183
113,4.411,37.203,274.36,746.5173,-1,10,12,100.0,x,False,78860.999
116,3.612,30.703,228.77,467.3742,-1,4,12,100.0,x,False,156572.999
117,3.176,30.009,223.09,506.327,-1,3,16,100.0,x,False,159463.00011111112
118,2.842,28.298,211.01,452.2781,-1,5,7,100.0,x,False,262513.999
119,4.262,37.45,276.08,762.513,-1,10,10,100.0,x,False,122407.999
120,2.514,32.045,237.31,597.3063,-1,5,13,100.0,x,False,51802.999
122,2.761,20.838,159.72,225.1847,-1,4,20,100.0,x,False,271007.39799503965
123,2.865,29.748,220.94,524.284,-1,4,6,97.4,x,False,310846.55566666665
124,3.81,33.784,250.45,573.4541,-1,4,11,100.0,x,False,54594.999
126,2.304,24.093,178.78,531.0107,-1,5,23,100.0,x,False,15599.751409857286
127,2.94,30.008,222.87,526.2947,-1,4,12,100.0,x,False,204185.66677777778
130,4.331,31.315,232.95,495.4069,-1,5,18,100.0,x,False,31001.994663276702
134,4.041,36.543,269.7,714.512,-1,5,12,100.0,x,False,245099.999
136,3.861,30.338,225.51,509.332,-1,2,14,100.0,x,False,140451.999
137,3.343,23.25,175.78,301.1646,-1,6,20,100.0,x,False,35425.063807942905
138,3.529,28.516,210.81,639.0833,-1,5,12,100.0,x,False,52523.999
139,2.677,29.828,221.71,509.2896,-1,5,12,100.0,x,False,48754.999
141,2.904,29.271,217.64,502.2944,-1,4,10,100.0,x,False,261108.999
142,2.356,27.529,205.57,429.3016,-1,4,15,100.0,x,False,228049.999
143,2.35,23.526,177.97,297.2423,-1,4,11,100.0,x,False,144045.999
144,3.745,29.942,223.36,447.3476,-1,4,12,100.0,x,False,116139.0001111111
145,3.405,30.709,228.86,463.3434,-1,3,12,100.0,x,False,97244.999
148,2.016,19.729,147.28,418.9726,-1,3,14,100.0,x,False,73728.8016559924
149,3.047,23.806,180.04,299.258,-1,4,16,100.0,,False,78309.82231110125
150,3.707,19.717,151.19,223.027,-1,5,11,100.0,x,False,107306.93518703317
151,3.63,23.248,176.34,279.3241,-1,2,8,64.6,,False,164527.999
156,2.783,24.794,186.9,325.1813,-1,2,8,97.4,x,False,539.999
159,2.758,23.64,178.78,299.2584,-1,4,22,100.0,,False,64796.287640206414
162,1.552,26.132,196.08,369.1736,-1,4,13,100.0,x,False,30422.999
164,1.205,17.998,135.8,308.8384,-1,7,13,100.0,x,False,10138.999
165,3.639,33.842,250.8,581.4575,-1,4,17,100.0,x,False,176713.75650727336
166,1.568,27.531,206.13,395.1894,-1,4,13,100.0,x,False,10515.999
167,4.206,33.721,249.76,593.4825,-1,5,12,100.0,x,False,70967.17770873294
168,3.286,29.991,223.47,465.3599,-1,3,18,98.3,x,False,158462.80857055917
169,3.232,29.303,218.15,480.3104,-1,5,6,100.0,x,False,188356.999
171,0.443,23.674,178.75,311.1388,-1,4,12,100.0,x,False,8386.999
172,0.484,20.558,156.86,245.0469,-1,5,12,100.0,x,False,62709.999
173,2.892,29.373,218.4,502.2946,-1,4,15,100.0,,False,48559.3854376206
174,0.402,15.068,122.18,107.0482,-1,3,14,100.0,x,False,105011.999
175,0.923,17.141,131.43,220.9387,-1,7,13,100.0,x,False,27666.999
176,3.032,30.107,224.35,465.3589,-1,3,11,95.1,x,False,29399.333444444444
178,3.063,30.147,223.88,528.31,-1,4,11,100.0,x,False,180222.999
179,4.247,19.731,151.3,223.0263,-1,4,9,100.0,x,False,122700.22233333334
180,1.6,29.041,216.17,481.2811,-1,4,13,100.0,x,False,82482.999
182,2.616,27.557,205.53,447.2521,-1,3,15,100.0,x,False,1501.8890000000001
183,3.024,20.855,159.56,233.153,-1,4,16,100.0,x,False,206099.44455555556
184,3.27,29.449,219.11,489.2788,-1,4,16,100.0,,False,28704.689458896577
186,0.382,16.771,129.79,188.9839,-1,4,13,100.0,x,False,32767.999
187,3.948,38.444,283.14,807.5108,-1,5,15,100.0,x,False,275613.55566666665
189,2.785,33.497,248.04,602.3493,-1,4,15,100.0,,False,63888.999
190,2.95,25.455,187.94,669.9637,-1,3,10,100.0,,False,60938.999
191,0.635,18.378,142.79,179.0696,-1,3,15,100.0,,False,147199.999
192,1.839,28.587,213.2,449.255,-1,4,14,100.0,x,False,16317.999
195,3.313,33.665,249.49,582.3794,-1,4,11,100.0,x,False,199313.999
196,3.866,30.067,223.66,495.3155,-1,3,14,100.0,x,False,42635.889
198,3.953,37.164,274.06,746.5182,-1,8,9,97.3,,False,111080.999
203,2.21,23.442,174.07,514.9817,-1,4,24,100.0,,False,1086.6066702316093
204,2.046,21.426,159.66,448.9334,-1,5,15,100.0,,False,16469.999
205,0.379,16.638,129.53,172.9897,-1,4,16,100.0,,False,67699.33344444445
206,3.57,31.487,233.97,517.3912,-1,2,13,96.6,,False,64196.999
207,4.436,33.124,245.54,573.455,-1,4,11,100.0,x,False,30107.290353533477
208,3.914,32.039,238.66,473.3643,-1,4,14,97.4,,False,131093.91606466428
210,4.187,41.013,301.53,909.5571,-1,4,13,100.0,x,False,115413.999
213,3.864,30.391,226.34,473.3646,-1,5,16,97.3,,False,83279.40868501848
215,1.062,17.593,133.64,264.8887,-1,7,12,100.0,x,False,16847.999
216,4.354,40.116,295.15,863.5709,-1,5,15,100.0,x,False,119643.0001111111
217,3.06,21.946,167.28,251.201,-1,4,21,100.0,,False,69465.7190619193
218,1.895,27.091,202.89,391.2849,-1,4,12,100.0,x,False,69386.999
220,4.036,40.162,295.4,881.5252,-1,2,13,100.0,,False,99708.999
222,0.552,19.214,147.7,213.0203,-1,4,13,100.0,x,False,163991.999
223,2.303,23.393,177.01,295.2271,-1,4,14,100.0,x,False,21026.333444444444
225,0.404,17.685,136.29,203.0001,-1,5,15,100.0,,False,51484.999
227,2.911,30.717,228.62,485.3855,-1,4,15,100.0,,False,68531.999
231,3.835,25.14,189.37,331.264,-1,4,14,100.0,,False,379.24619042279926
233,3.693,28.143,210.58,403.3577,-1,5,13,100.0,x,False,29313.999
234,2.37,23.607,178.64,295.2263,-1,3,8,100.0,x,False,63452.999
237,1.246,20.365,155.14,253.0811,-1,4,12,100.0,,False,12456.999
238,4.208,39.816,293.21,816.582,-1,6,13,86.6,,False,41489.999
240,3.093,28.746,214.16,466.2942,-1,5,11,93.7,x,False,80621.999
242,0.648,17.296,131.06,278.9136,-1,4,13,100.0,x,False,18040.999
243,2.473,29.492,219.23,507.274,-1,4,13,100.0,,False,16758.999
245,2.471,26.145,195.87,386.2365,-1,5,13,100.0,x,False,14487.999
247,2.699,26.409,197.82,388.252,-1,5,13,100.0,x,False,21604.999
249,1.392,27.769,207.85,399.2203,-1,6,11,100.0,x,False,6978.999
252,3.298,29.327,218.88,439.3428,-1,4,13,100.0,,False,93706.889
256,3.186,28.11,210.21,411.2902,-1,4,14,100.0,x,False,151136.79811186096
257,2.744,29.282,217.75,500.2789,-1,4,7,99.5,x,False,206041.999
259,2.784,27.201,203.2,423.2519,-1,4,16,100.0,x,False,2882.666777777778
260,2.595,24.448,184.37,321.2422,-1,4,8,100.0,x,False,26828.999
262,2.446,32.426,239.93,621.3061,-1,5,13,100.0,,False,20953.999
264,0.594,16.886,130.03,204.9439,-1,6,13,100.0,x,False,4996.999
265,3.753,39.931,294.08,816.5805,-1,5,8,99.7,x,False,60649.999
267,3.061,32.979,245.08,517.3915,-1,4,12,100.0,,False,13937.999
268,2.79,32.874,244.47,504.311,-1,4,13,100.0,,False,4537.999
270,1.549,27.65,206.95,399.2213,-1,5,13,100.0,x,False,133.999
272,3.385,33.567,249.58,508.3426,-1,4,15,100.0,,False,32857.999
273,2.855,31.059,231.2,483.3696,-1,4,8,99.2,,False,109480.999
274,3.294,30.612,227.79,489.3599,-1,2,11,97.5,,False,52451.999
275,3.276,25.65,192.64,359.2203,-1,4,14,100.0,,False,109246.999
276,4.332,37.205,274.37,747.5211,-1,3,8,96.5,,False,155611.999
277,2.66,32.303,239.66,552.333,-1,3,15,100.0,,False,32702.999
278,3.063,33.211,246.96,506.327,-1,4,15,100.0,,False,30737.999
279,3.637,25.291,190.52,331.2631,-1,4,13,100.0,,False,88821.77788888889
280,4.534,28.403,212.64,397.3682,-1,4,15,100.0,,False,7842.999
281,3.806,31.797,236.28,517.3917,-1,2,15,88.6,,False,41849.10240855145
283,0.38,16.957,130.57,204.9785,-1,4,10,100.0,x,False,3063.999
284,0.748,19.82,151.75,229.0519,-1,4,12,100.0,x,False,15211.999
285,0.477,23.269,175.5,319.1203,-1,5,3,100.0,x,False,146393.999
286,3.837,31.462,234.1,491.3761,-1,2,12,100.0,,False,48203.999
287,2.866,33.018,244.72,578.3484,-1,3,7,100.0,x,False,219155.999
288,0.256,16.12,125.79,167.0195,-1,3,13,100.0,x,False,18392.999
290,2.788,27.468,205.02,435.2526,-1,3,20,100.0,,False,22501.96520805858
294,2.794,30.453,226.15,528.3101,-1,4,12,100.0,,False,44219.999
295,2.879,27.857,207.74,449.2684,-1,3,16,100.0,x,False,1525.4445555555556
298,2.972,32.703,243.52,480.311,-1,4,7,100.0,,False,86047.999
302,3.986,39.877,293.67,816.5807,-1,5,8,100.0,x,False,55580.999
303,3.369,25.383,192.47,283.2415,-1,3,12,100.0,,False,37839.999
304,3.998,37.21,274.47,738.5122,-1,5,8,100.0,,False,158595.22233333334
305,3.418,30.18,224.88,465.3597,-1,2,13,96.8,,False,44839.75855294727
306,1.197,26.084,195.75,367.1598,-1,2,5,100.0,x,False,19154.999
308,2.576,26.833,200.66,409.2358,-1,3,15,100.0,,False,36102.03208055935
309,3.199,29.605,220.9,443.3175,-1,3,14,100.0,,False,13142.999
310,3.192,31.458,233.85,509.3867,-1,2,12,97.1,,False,40082.999
311,3.048,23.586,178.43,297.2422,-1,2,11,100.0,,False,26836.962058185414
312,1.834,29.611,221.13,431.3167,-1,4,13,100.0,,False,17767.999
313,1.561,27.834,206.97,498.2901,-1,5,12,100.0,x,False,30209.999
315,3.032,29.009,216.03,473.3493,-1,4,13,100.0,x,False,28620.999
318,3.882,31.964,237.5,519.4062,-1,2,8,100.0,,False,65755.33344444445
320,2.482,26.684,200.31,365.2686,-1,4,15,98.4,,False,37653.777888888886
321,3.194,32.252,239.47,535.402,-1,4,13,100.0,,False,55252.999
322,3.374,28.011,207.18,623.055,-1,4,13,100.0,,False,25998.111222222222
323,3.123,29.898,222.4,494.3267,-1,3,13,100.0,,False,14757.999
324,1.326,29.739,221.07,507.2245,-1,5,13,100.0,x,False,8897.999
326,2.523,22.637,171.93,271.2258,-1,4,11,100.0,x,False,8334.999
330,4.048,29.933,223.26,449.3641,-1,4,12,100.0,,False,60267.00011111111
332,3.857,28.824,215.36,423.3478,-1,5,12,100.0,,False,53945.44455555556
333,2.747,30.776,229.09,483.3707,-1,4,9,99.9,,False,79838.999
338,3.418,30.09,224.88,421.332,-1,4,12,90.0,,False,29223.999
339,4.041,36.895,272.12,740.5276,-1,5,8,98.5,,False,19109.999
340,2.191,20.919,155.67,468.9696,-1,4,15,100.0,,False,9647.24274704857
342,2.354,22.409,170.19,271.2287,-1,4,4,100.0,x,False,110983.33344444445
344,2.432,20.861,159.99,223.1685,-1,3,15,100.0,,False,54781.999
345,2.465,21.154,162.16,225.2208,-1,3,13,100.0,,False,27954.999
346,3.634,23.248,176.3,281.238,-1,2,4,100.0,,False,118867.999
351,2.686,23.384,176.94,295.2271,-1,2,17,100.0,,False,473.40520533667586
353,3.14,29.541,220.0,473.2842,-1,4,22,100.0,,False,12077.504742528437
355,4.297,23.787,180.0,295.2624,-1,4,17,100.0,,False,25550.177201723833
356,2.358,31.476,233.33,571.2898,-1,5,13,100.0,,False,57538.999
359,1.579,21.68,320.85,294.6181,-2,5,11,100.0,,False,19509.999
