ID,RT,DT,CCS,m/z,Z,Ions,Freq.,Q Score,Sat.,Mark, 2286-17.d.DeMP
4,10.463,22.768,168.82,498.9307,-1,6,107,100.0,x,False,170810.48647381345
28,6.159,21.019,160.18,242.1772,-1,3,107,100.0,,False,1943.2774235072065
35,15.857,25.75,193.3,339.3289,-1,4,107,100.0,,False,265.3070203510906
37,10.18,22.31,165.43,498.9302,-1,4,91,100.0,,False,8689.277668895604
43,16.03,40.155,294.47,838.5701,-1,5,65,100.0,,False,3893.450845335272
45,15.142,24.609,185.41,311.2965,-1,3,48,100.0,,False,1630.7969896964023
53,13.23,21.714,165.5,241.2193,-1,3,86,100.0,,False,1937.3093698473622
62,10.23,22.447,166.44,498.9298,-1,4,49,100.0,,False,25503.631455509025
90,13.615,19.631,150.29,223.0299,-1,5,74,100.0,,False,34878.53073583467
100,8.92,19.639,150.33,223.0296,-1,5,108,100.0,,False,4387.181062467693
110,11.222,23.487,174.45,468.9692,-1,2,106,100.0,,False,6678.86050555455
116,15.665,40.449,296.41,885.5572,-1,4,95,100.0,,False,128.12367225289972
120,15.727,29.22,217.07,465.3091,-1,4,106,93.7,,False,105.65261197161135
121,11.222,20.985,155.86,468.9681,-1,2,105,100.0,,False,5525.451886994739
127,13.209,33.342,246.17,600.3341,-1,4,37,100.0,,False,1488.3424335586742
129,13.268,21.72,165.65,241.2182,-1,3,30,100.0,,False,5332.999
136,15.849,40.089,294.05,838.568,-1,4,53,100.0,,False,781.321555757404
144,13.728,29.267,217.01,500.2801,-1,3,60,100.0,,False,2026.7979057079665
150,16.239,26.283,197.0,353.3433,-1,3,103,100.0,,False,567.0943604753666
151,16.363,40.649,298.07,864.5841,-1,4,38,100.0,,False,1808.6840971412057
161,13.727,34.055,251.15,626.349,-1,4,63,100.0,,False,2426.880365260793
163,16.478,39.223,287.98,790.5665,-1,5,65,79.0,,False,1708.1147547837295
175,15.621,27.69,206.73,395.3905,-1,3,107,100.0,,False,770.8471825405118
185,11.511,21.266,161.8,250.1459,-1,3,108,100.0,,False,1933.632567678559
186,11.055,23.911,177.8,450.9256,-1,7,79,100.0,,False,24713.877714152
190,16.114,39.676,291.14,814.5678,-1,4,16,100.0,,False,5347.999
199,12.886,21.148,161.74,227.2024,-1,3,60,100.0,,False,46.618530117602404
201,14.797,27.207,238.43,59.0195,-1,2,42,100.0,,False,13.543427085450276
214,8.723,17.86,134.24,328.7623,-1,6,96,100.0,,False,2146.3001059748003
241,13.043,22.527,170.91,265.2191,-1,3,29,100.0,,False,1616.90778525125
264,9.16,21.033,160.76,229.1815,-1,2,107,100.0,,False,157.46550625788814
271,14.17,22.069,324.24,379.0323,-2,11,27,100.0,,False,229.69845118080752
285,12.782,23.504,174.15,514.9791,-1,3,93,100.0,,False,1540.8825792989364
292,14.503,19.646,150.4,223.0295,-1,3,56,100.0,,False,697.652494577877
301,13.73,29.854,221.09,524.2798,-1,3,45,100.0,,False,3590.770197847358
326,12.463,26.042,192.14,612.9523,-1,4,91,100.0,,False,353.18468216892586
329,15.924,39.631,290.82,814.5649,-1,4,62,100.0,,False,589.7891732932405
343,15.879,17.518,134.25,219.0297,-1,3,21,52.5,,False,4810.266611555651
363,15.748,22.293,169.57,255.234,-1,3,14,60.0,,False,1627.999
390,16.264,37.115,272.67,762.5137,-1,4,24,100.0,,False,2178.999
391,0.429,20.068,153.54,228.0859,-1,1,22,98.4,,False,2286.999
402,12.268,20.165,155.11,205.1614,-1,2,107,100.0,,False,1119.831549492749
405,14.023,34.148,251.81,628.364,-1,3,51,100.0,,False,580.8716930631795
412,16.018,29.603,219.77,479.3237,-1,3,37,73.6,,False,524.8219845054737
413,15.022,20.597,155.31,306.0451,-1,3,24,71.3,,False,93.87747871451825
435,14.101,33.652,248.35,604.3645,-1,3,52,100.0,,False,179.3047771262702
452,14.463,25.535,191.5,349.2758,-1,3,42,100.0,,False,283.53988081174793
457,15.291,19.645,150.41,223.0292,-1,3,36,100.0,,False,1137.2837754141492
459,12.578,16.517,129.89,149.012,-1,3,83,100.0,,False,2738.045102179686
464,12.578,16.885,131.78,165.0424,-1,3,79,100.0,,False,2978.9675629183926
465,15.471,17.558,134.67,217.0357,-1,1,19,94.6,,False,465.4189345834111
477,2.826,18.566,142.2,223.0371,-1,2,22,100.0,,False,1556.999
479,15.668,30.114,223.5,481.4269,-1,2,107,100.0,,False,137.1267693603745
483,13.164,24.161,178.87,531.0073,-1,3,85,100.0,,False,544.3925300062697
486,12.507,22.993,174.19,275.2012,-1,3,25,100.0,,False,2665.3631063468656
504,8.778,20.872,155.11,462.9294,-1,3,64,100.0,,False,1241.70006038762
510,15.095,24.015,181.31,297.2796,-1,3,36,100.0,,False,1462.9617040616884
520,10.944,20.919,159.74,233.1551,-1,2,108,100.0,,False,16.38288616746331
521,15.47,40.019,293.57,838.5655,-1,4,50,100.0,,False,215.7423896930681
526,11.222,23.529,174.34,512.9581,-1,2,83,100.0,,False,1008.3585206654794
562,16.342,31.377,232.89,480.4434,-1,3,77,100.0,,False,186.78837258334624
567,11.592,24.777,182.91,598.9213,-1,3,78,99.1,,False,301.59031640933415
575,15.808,17.569,134.72,217.0351,-1,1,20,56.3,,False,215.31549347017744
594,14.314,26.875,235.49,59.0192,-1,2,44,100.0,,False,30.74598622441522
608,11.223,26.885,199.2,512.9579,-1,2,82,100.0,,False,1023.3064942107442
617,15.006,19.645,150.43,223.029,-1,3,42,100.0,,False,1223.4610513323116
637,0.415,19.088,146.42,215.0591,-1,3,15,93.7,,False,829.2094821835017
639,15.044,34.738,254.81,839.1256,-1,5,56,100.0,,False,858.6683784300371
640,3.055,16.451,127.62,181.0163,-1,2,11,100.0,,False,3313.999
642,14.454,28.26,208.99,557.1081,-1,4,47,100.0,,False,3635.6763216966033
646,14.945,32.317,237.72,713.1305,-1,5,67,100.0,,False,662.5125014969312
648,15.987,29.158,255.57,59.0191,-1,1,45,54.0,,False,171.87813130490872
649,14.374,39.801,292.2,816.5801,-1,4,19,80.1,,False,3575.999
658,16.253,39.466,289.66,802.5655,-1,4,70,100.0,,False,302.2657422064251
674,13.24,29.112,215.91,498.2642,-1,3,47,100.0,,False,515.1339192782893
675,11.181,21.872,165.09,297.0472,-1,4,75,100.0,,False,807.7651229562498
677,13.837,32.816,242.56,566.3484,-1,3,47,100.0,,False,863.5003750014193
678,16.478,33.199,245.74,536.5068,-1,3,40,99.3,,False,562.999
682,14.425,33.175,245.24,568.3643,-1,3,27,100.0,,False,106.43864718943632
693,8.226,20.4,155.7,236.1058,-1,2,54,79.4,,False,47.31209650126357
696,14.24,19.059,144.74,262.0551,-1,1,13,43.2,,False,667.8543335756303
707,16.344,32.753,242.39,540.4644,-1,3,66,100.0,,False,166.32355692217754
711,11.184,26.209,218.04,84.995,-1,1,61,99.8,,False,257.5521225919242
720,5.667,23.542,177.24,315.1815,-1,2,99,100.0,,False,45.438755125336456
738,15.99,20.598,157.22,235.1251,-1,3,37,63.7,,False,201.78026802400734
739,11.18,22.146,182.75,91.0261,-1,2,63,99.9,,False,1366.7382446410447
745,9.904,22.03,163.35,498.9279,-1,2,76,100.0,,False,307.41817375395914
750,14.184,34.223,252.36,628.3647,-1,3,12,100.0,,False,800.0697238848038
761,15.205,30.586,226.68,509.3252,-1,4,21,100.0,,False,105.80398198416833
763,15.306,20.576,155.13,306.0449,-1,3,20,52.6,,False,571.999
773,0.814,20.928,158.81,267.0717,-1,2,11,100.0,,False,2012.999
785,16.337,39.458,289.34,855.5081,-1,3,48,100.0,,False,409.33229779487147
803,16.197,29.186,255.82,59.0192,-1,1,42,62.0,,False,647.999
807,15.073,16.885,131.8,165.0424,-1,3,39,100.0,,False,110.50933053302924
815,16.085,27.807,207.27,415.3247,-1,3,41,93.6,,False,46.28474409770149
819,15.85,36.511,268.42,736.4949,-1,3,44,100.0,,False,1145.112743896378
822,16.155,39.924,292.88,826.5674,-1,4,31,100.0,,False,850.3252623274966
844,16.023,42.315,309.91,920.5701,-1,4,71,100.0,,False,19.97660491966508
845,14.774,27.364,203.83,427.3248,-1,3,42,100.0,,False,30.34380864023217
853,16.114,27.478,204.83,419.3022,-1,3,23,76.5,,False,96.0662967582848
854,15.256,16.855,131.54,165.0435,-1,3,25,100.0,,False,568.001329711884
877,11.187,22.598,174.95,184.9849,-1,1,55,99.6,,False,545.9756183788401
882,11.055,22.909,170.81,414.9478,-1,3,36,100.0,,False,4993.747402812022
883,2.052,16.925,131.95,167.04,-1,3,23,100.0,,False,635.9341945667038
888,0.636,19.179,147.51,208.061,-1,2,11,100.0,,False,2478.999
900,13.67,23.456,177.42,283.2652,-1,2,44,91.6,,False,467.999
904,15.231,23.999,181.09,297.2806,-1,3,31,100.0,,False,22.77718250355275
906,11.038,23.804,176.09,548.9247,-1,2,59,100.0,,False,116.10022968274268
912,15.312,40.429,296.4,862.5655,-1,4,60,100.0,,False,619.902714513446
914,12.41,33.623,248.53,567.2033,-1,3,62,100.0,,False,929.0825814009733
919,14.97,22.148,182.76,91.0261,-1,1,60,99.8,,False,355.9556781878907
928,7.586,21.438,163.57,237.1511,-1,2,62,100.0,,False,91.75030824729754
971,15.516,20.588,155.27,306.0442,-1,1,20,44.1,,False,996.999
973,13.07,22.583,171.44,265.2165,-1,3,17,100.0,,False,506.999
975,12.561,21.52,164.23,239.2016,-1,2,14,100.0,,False,1957.999
981,8.847,27.573,204.94,459.2384,-1,3,15,100.0,,False,1487.999
983,14.415,22.136,182.67,91.0263,-1,3,42,99.8,,False,2894.6363900897836
1005,15.71,17.565,134.69,217.0348,-1,1,19,44.0,,False,1009.999
1007,13.162,30.268,224.12,528.2736,-1,3,37,100.0,,False,180.19543882972619
1026,15.917,27.824,207.46,415.3238,-1,3,29,98.1,,False,54.8667887369993
1032,15.378,40.426,296.36,862.5669,-1,4,18,100.0,,False,1438.8769749238597
1041,16.114,39.146,287.52,775.6177,-1,4,36,57.8,,False,276.29493028456204
1057,13.614,19.798,151.01,239.0608,-1,4,44,100.0,,False,3039.6943416763397
1063,15.342,39.537,290.13,812.5512,-1,4,38,100.0,,False,1122.7290938053818
1066,16.114,17.569,134.72,217.0346,-1,1,16,44.0,,False,255.99636084883696
1086,8.706,20.863,155.03,462.9303,-1,3,34,100.0,,False,435.999
1092,14.259,19.9,150.72,276.0544,-1,3,25,78.2,,False,578.999
1109,8.919,19.796,150.98,239.0605,-1,3,74,100.0,,False,314.05757874296773
1117,15.405,39.002,286.35,788.5485,-1,3,59,95.2,,False,198.6630033129308
1124,12.439,25.044,189.69,275.2028,-1,2,24,97.8,,False,119.999
1128,16.032,40.591,298.09,778.5433,-1,3,44,100.0,,False,211.4650871465583
1131,8.94,24.003,178.47,451.9092,-1,5,42,100.0,,False,1060.999
1138,13.961,29.965,221.89,526.2945,-1,2,50,100.0,,False,330.8580764216465
1160,14.258,18.402,140.51,233.0444,-1,3,20,81.6,,False,31.7040189937959
1165,13.717,22.101,168.05,253.2184,-1,2,47,82.4,,False,123.14229839880898
1186,14.861,29.597,219.7,479.3236,-1,2,34,57.3,,False,275.15451221816784
1187,13.209,33.292,246.55,526.2953,-1,3,35,100.0,,False,232.63659386709304
1188,13.579,19.05,144.69,260.0452,-1,1,15,59.5,,False,1394.999
1192,13.727,25.472,190.74,363.2216,-1,2,87,99.8,,False,32.07118341790874
1202,13.695,18.38,140.37,233.0445,-1,3,24,72.5,,False,884.999
1207,0.358,19.505,147.89,270.798,-1,1,18,98.1,,False,550.3103946129908
1208,15.817,28.293,210.79,425.3643,-1,2,37,99.7,,False,244.2377516202164
1209,16.065,41.06,300.89,888.5813,-1,3,31,100.0,,False,131.94044144438647
1216,16.366,25.959,194.89,338.3434,-1,2,84,99.6,,False,18.45341287837573
1220,14.107,29.979,222.02,526.2919,-1,2,42,100.0,,False,708.1512272380825
1236,14.184,18.41,140.63,232.0478,-1,1,19,79.2,,False,173.56426069509791
1244,15.018,21.882,165.22,297.0469,-1,3,33,100.0,,False,456.3219343112546
1248,15.486,27.813,207.43,415.3231,-1,3,25,82.4,,False,54.04370327323886
1257,10.563,25.143,185.78,575.9216,-1,3,53,100.0,,False,1878.0443842990385
1259,15.986,32.321,237.75,713.1292,-1,4,66,100.0,,False,374.6739857630067
1292,13.726,19.899,150.7,276.0544,-1,3,25,91.3,,False,256.4461943055127
1302,14.638,39.864,292.41,836.55,-1,4,30,92.7,,False,420.041065159602
1303,14.455,26.056,193.37,485.0679,-1,3,36,100.0,,False,1428.736267186045
1339,0.38,23.442,177.34,283.2649,-1,2,26,48.6,,False,232.999
1342,15.99,40.815,299.15,870.5579,-1,3,33,94.1,,False,62.73519483403743
1354,14.312,28.215,247.22,59.0196,-1,1,20,99.7,,False,366.3609567800801
1365,15.6,33.084,244.38,580.34,-1,3,47,92.1,,False,68.03573786229379
1374,0.608,23.646,178.96,283.1632,-1,2,14,100.0,,False,1308.999
1385,1.354,23.582,183.42,172.9932,-1,1,26,83.9,,False,663.999
1386,11.222,26.846,199.4,468.9674,-1,1,55,99.5,,False,494.2209993529764
1391,15.344,19.628,150.25,223.0299,-1,3,28,100.0,,False,930.999
1392,14.515,26.582,198.56,391.2516,-1,2,72,99.4,,False,31.641822641689203
1395,14.875,39.421,289.25,812.5512,-1,4,26,96.5,,False,320.2215160661101
1406,16.286,20.198,154.71,220.1483,-1,1,30,69.9,,False,222.2814452592214
1413,11.165,14.978,115.97,184.9852,-1,1,37,99.8,,False,505.999
1419,15.592,28.992,253.97,59.0198,-1,1,16,54.3,,False,103.36301517896084
1428,10.94,23.57,174.35,548.9252,-1,2,35,98.5,,False,600.999
1456,0.393,25.658,206.13,116.9754,-1,1,39,86.6,,False,89.83583592616958
1472,15.362,26.886,201.02,381.3365,-1,2,64,100.0,,False,18.695287884861955
1479,10.852,23.871,176.04,628.9144,-1,3,22,100.0,,False,2603.999
1487,14.289,29.344,217.45,511.289,-1,3,41,100.0,,False,1.969659028241722
1490,12.802,21.744,165.81,241.2174,-1,2,14,98.1,,False,898.999
1509,15.009,16.524,129.98,149.0118,-1,2,37,100.0,,False,159.89875855432314
1511,2.438,22.587,174.75,187.0078,-1,2,29,92.4,,False,80.12698354109352
1534,16.008,23.742,181.83,221.1557,-1,1,44,97.9,,False,125.43204951247611
1543,16.027,42.488,311.12,936.5638,-1,3,44,97.6,,False,54.132127373401715
1570,10.997,23.826,175.77,628.9132,-1,3,18,100.0,,False,3248.999
1582,16.074,28.296,248.05,59.0186,-1,1,21,45.8,,False,95.1436662636113
1590,14.774,30.749,227.4,555.3176,-1,1,36,98.6,,False,51.91573251810348
1600,10.903,23.849,175.89,628.9149,-1,3,26,98.2,,False,1861.999
1604,15.264,22.134,182.67,91.026,-1,1,33,99.7,,False,275.7963784965715
1618,12.075,25.0,187.98,325.1849,-1,2,49,96.8,,False,667.2302137019017
1638,11.054,23.882,178.03,414.949,-1,3,25,100.0,,False,2728.999
1641,13.208,30.332,224.63,526.2929,-1,2,43,100.0,,False,43.730744814981335
1648,15.626,27.466,204.66,420.3046,-1,2,26,98.1,,False,249.09936957944547
1667,15.989,28.268,209.05,557.1073,-1,3,61,100.0,,False,271.31740894809053
1684,15.277,30.366,266.1,59.019,-1,1,50,97.1,,False,10.714929213921152
1708,15.417,37.287,326.78,59.0194,-1,1,38,98.4,,False,331.7891258286465
1715,14.489,18.436,140.89,231.0505,-1,2,26,79.2,,False,19.651185615264694
1719,15.586,23.159,175.3,279.2329,-1,1,52,98.8,,False,2.4320495124761123
1737,13.498,23.536,177.83,291.2341,-1,2,18,100.0,,False,206.82369459019333
1739,7.65,17.573,134.81,215.0428,-1,2,43,52.1,,False,0.39489327493441806
1746,8.848,27.195,203.03,399.2174,-1,3,13,100.0,,False,723.999
1750,16.031,23.708,180.86,236.1066,-1,2,22,82.4,,False,226.06679867276944
1751,13.23,30.209,223.59,537.2239,-1,3,46,100.0,,False,178.16315400314136
1756,13.953,27.319,203.31,441.2658,-1,3,28,100.0,,False,90.65431458664864
1763,13.727,33.994,251.43,552.3094,-1,3,52,100.0,,False,210.4216772048021
1768,14.889,38.443,282.43,762.5323,-1,3,31,98.4,,False,299.999
1777,15.988,40.618,297.86,854.5612,-1,3,17,99.6,,False,991.181482268849
1804,14.288,29.337,217.43,510.292,-1,2,31,98.9,,False,27.678653355918982
1838,16.204,32.055,236.91,573.3422,-1,2,41,96.8,,False,224.999
1854,6.415,17.935,136.56,246.9059,-1,1,25,99.6,,False,137.999
1861,14.008,19.923,150.94,276.0528,-1,1,18,61.6,,False,478.999
1865,15.17,28.717,213.34,470.3142,-1,1,48,98.7,,False,12.710246574480323
1869,13.656,16.876,131.71,165.0427,-1,3,38,100.0,,False,1233.3123739160787
1884,16.122,20.209,154.86,220.1472,-1,1,17,72.0,,False,656.999
1892,16.019,42.432,311.12,860.5456,-1,3,43,85.2,,False,182.4705252854098
1902,13.617,16.507,129.84,149.012,-1,3,29,100.0,,False,1575.5520952051493
1928,4.707,15.289,117.12,222.9974,-1,1,14,99.4,,False,416.999
1938,15.837,30.632,226.85,528.3375,-1,1,24,98.6,,False,450.999
1965,1.373,34.331,267.03,172.9896,-1,2,23,90.4,,False,77.58859167499486
1967,13.83,17.353,133.58,203.035,-1,1,28,72.1,,False,45.684033271114345
1968,1.963,18.888,144.42,229.035,-1,2,14,100.0,,False,717.999
1969,15.178,21.874,165.13,297.0474,-1,3,25,100.0,,False,120.44406309582098
1971,16.252,19.635,150.96,207.1404,-1,1,36,97.8,,False,296.999
1979,14.008,17.347,133.59,202.0383,-1,1,22,74.5,,False,268.7230718321249
1988,16.263,20.579,155.17,306.0442,-1,1,11,44.0,,False,499.999
1997,16.217,23.709,180.99,236.1057,-1,2,19,82.4,,False,544.999
2010,1.596,22.659,173.97,211.9997,-1,2,13,93.9,,False,137.11801574832225
2011,14.767,19.912,150.78,277.0496,-1,2,20,54.8,,False,289.999
2059,16.354,31.071,230.32,506.4402,-1,3,37,100.0,,False,649.7937957973079
2064,14.29,30.441,225.13,554.298,-1,3,30,98.5,,False,19.996444989166832
2077,14.916,26.045,193.27,485.0675,-1,3,32,100.0,,False,238.58859167499486
2079,2.411,23.736,183.71,187.0074,-1,2,18,84.8,,False,75.07199285931199
2091,14.985,24.525,183.51,373.0442,-1,3,34,100.0,,False,36.91545069679324
2097,15.49,36.339,267.14,736.4953,-1,3,19,100.0,,False,400.999
2100,14.331,29.234,217.27,465.3071,-1,2,26,82.4,,False,3.0538894600994126
2118,13.725,19.938,151.04,275.0565,-1,1,21,67.5,,False,529.999
2131,16.344,32.324,237.76,713.1292,-1,3,48,100.0,,False,184.50757154906427
2137,14.38,28.436,249.23,59.0191,-1,1,24,99.7,,False,177.17818343036893
2162,16.158,38.63,283.8,764.5471,-1,3,31,99.3,,False,268.999
2172,13.654,25.006,188.13,321.243,-1,2,28,100.0,,False,89.999
2173,14.992,16.899,131.89,165.0422,-1,2,38,99.7,,False,173.95302291576786
2188,15.207,19.918,150.88,276.0528,-1,1,19,50.4,,False,337.999
2195,13.118,26.873,204.35,253.2182,-1,2,21,92.7,,False,88.2794659561334
2196,0.364,24.487,181.09,552.7148,-1,1,34,95.5,,False,48.24296948628779
2198,14.775,27.585,205.64,415.3091,-1,2,12,100.0,,False,188.98305502724958
2210,16.039,46.078,336.99,1021.7493,-1,4,34,89.1,,False,164.46874808871146
2214,5.365,17.696,133.5,302.0583,-1,1,27,78.8,,False,182.999
2255,13.175,30.834,228.06,552.2737,-1,3,23,100.0,,False,307.1660179404204
2270,16.228,20.403,155.68,237.11,-1,1,41,97.8,,False,22.43204951247614
2279,15.072,26.83,200.7,377.3065,-1,3,16,100.0,,False,70.999
2294,14.191,19.238,145.44,286.0397,-1,2,33,56.2,,False,135.59613879107133
2318,10.638,23.212,172.0,514.9224,-1,1,34,99.5,,False,119.02625964172225
2322,16.2,23.36,176.02,309.1739,-1,1,55,99.8,,False,22.260810267255863
2349,14.271,32.401,239.18,599.3209,-1,2,33,100.0,,False,111.55766301813763
2350,14.121,18.412,140.67,232.0469,-1,1,14,48.5,,False,467.1018916521976
2357,9.05,21.85,164.92,297.0467,-1,2,46,99.9,,False,94.5612986369805
2375,15.047,33.995,255.1,343.0622,-1,2,31,99.5,,False,52.29073280395198
2381,16.399,40.457,296.65,852.5805,-1,3,19,72.9,,False,1136.8486853377865
2392,16.355,28.263,209.01,557.1077,-1,3,45,99.7,,False,176.79797906335972
2397,13.001,26.167,198.1,277.218,-1,2,33,99.4,,False,65.30274939081704
2398,12.458,22.537,171.11,263.201,-1,2,21,100.0,,False,138.26796023388087
2418,16.301,33.191,245.07,593.3912,-1,2,68,98.0,,False,18.62678476033193
2440,15.902,18.939,150.53,131.0154,-1,1,13,49.3,,False,316.999
2452,16.341,42.447,310.81,938.5777,-1,3,31,88.2,,False,82.999
2476,14.371,21.838,164.81,299.0276,-1,2,19,99.2,,False,82.90196567145279
2480,15.194,39.936,292.92,836.5493,-1,4,22,99.2,,False,366.41460590703355
2493,13.227,25.927,227.24,59.019,-1,1,27,99.6,,False,35.6096238164119
2498,16.316,25.73,193.25,336.3268,-1,2,27,80.9,,False,110.03974466706279
2507,2.101,13.63,106.05,172.8321,-1,1,43,84.7,,False,61.330107219015645
2512,13.693,23.441,177.39,283.2643,-1,2,17,76.1,,False,40.281445259221414
2522,0.968,13.614,106.01,170.8333,-1,1,35,86.5,,False,58.86217036312701
2527,13.379,27.864,207.16,455.2208,-1,2,25,97.1,,False,61.141027192827266
2534,15.243,39.776,291.85,824.5513,-1,4,12,100.0,,False,648.8513244085706
2540,15.637,39.887,292.4,861.5548,-1,3,18,100.0,,False,92.20317417796204
