ID,RT,DT,CCS,m/z,Z,Ions,Freq.,Q Score,Sat.,Mark, 130 B2 7523.d.DeMP
1,3.23,21.095,161.62,227.2004,-1,5,21,100.0,x,False,313703.793170138
2,3.718,23.177,175.81,279.2322,-1,4,19,100.0,x,False,333350.4857992858
3,2.762,28.515,212.31,476.2792,-1,6,14,100.0,x,False,393730.55566666665
5,2.814,29.218,217.26,500.2803,-1,4,16,100.0,x,False,404963.66184747464
6,3.786,33.197,246.45,539.4331,-1,4,17,100.0,x,False,199403.06370289583
7,4.374,23.368,177.14,283.2637,-1,5,20,100.0,x,False,220.51136116037378
8,2.872,28.224,210.45,452.2791,-1,6,15,100.0,x,False,414380.999
9,3.36,29.205,217.41,480.311,-1,6,18,100.0,x,False,411301.21474204666
10,2.952,29.366,218.6,480.309,-1,5,16,100.0,x,False,354166.5535105834
11,2.771,22.868,169.88,505.9739,-1,5,22,100.0,x,False,243775.55846204568
13,0.403,17.668,136.86,187.0056,-1,5,16,100.0,x,False,391446.22233333334
16,3.519,28.985,215.97,464.3157,-1,5,16,100.0,x,False,198061.05044223668
21,2.234,22.398,166.43,498.9311,-1,5,16,100.0,x,False,344650.7753782548
26,4.165,39.869,293.34,861.5564,-1,6,18,100.0,x,False,237172.2160930198
27,2.514,22.643,171.97,271.2261,-1,5,13,100.0,x,False,300748.4445555555
28,3.273,27.998,208.97,436.284,-1,5,17,100.0,x,False,561.8399329459553
31,4.081,38.989,287.01,833.5248,-1,6,14,100.0,x,False,253486.999
32,3.814,24.203,182.9,305.248,-1,4,23,100.0,x,False,333300.7449543133
35,2.966,32.677,242.42,554.3485,-1,4,15,100.0,x,False,178.999
40,3.378,30.379,225.82,508.3425,-1,5,14,100.0,x,False,176369.999
45,4.118,40.327,296.6,883.5404,-1,5,16,100.0,x,False,293468.5680538513
47,4.09,39.632,291.62,857.5256,-1,7,12,100.0,x,False,333751.999
49,2.327,32.351,239.39,619.2918,-1,6,15,100.0,x,False,243036.999
50,3.525,24.133,182.41,303.2333,-1,5,14,100.0,x,False,415454.24680029997
52,2.586,23.22,171.99,569.9689,-1,4,24,100.0,x,False,35353.3805285109
54,0.635,21.078,160.4,259.0267,-1,5,15,100.0,x,False,217758.999
55,1.796,20.196,151.02,398.9362,-1,3,14,100.0,x,False,323511.999
60,3.65,25.212,189.97,329.2476,-1,5,15,100.0,x,False,219018.7778888889
63,1.213,26.169,196.36,369.1737,-1,6,13,100.0,x,False,967.999
64,3.432,23.45,174.13,514.9818,-1,5,15,100.0,x,False,56189.999
65,2.774,32.911,243.91,578.3487,-1,4,14,100.0,x,False,186139.999
66,2.995,33.264,246.52,580.3653,-1,4,15,100.0,x,False,168535.999
70,3.052,28.778,214.23,478.2952,-1,3,7,100.0,x,False,411206.889
71,3.972,33.824,250.56,591.4662,-1,8,14,100.0,x,False,162090.28516973855
73,2.478,24.103,181.8,319.2273,-1,3,13,100.0,x,False,75192.999
74,2.882,32.691,242.53,554.3478,-1,4,11,100.0,x,False,339153.999
