GroupID,m/z,RT,ID,CCS,Classification Type,Match Source,Match,Repeating Unit
1,68.9952,0.36,100040.0,96.52,External Library,Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative,TFA(1) (M-H-CO2),CF2
1,118.992,0.82,100037.0,104.5986,External Library,Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative,PFPrA(2) (M-H-CO2),CF2
1,318.9784,1.428,2628.0,132.52,likely,PFAS Standards,PFHpA (M-H-CO2),CF2
1,318.9798,8.21,100031.0,132.38,External Library,Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative,PFHpA (M-H-CO2),CF2
1,368.9756,1.7315,286.0,139.345,likely,PFAS Standards,PFOA (M-H-CO2),CF2
1,368.9766,9.37,100030.0,139.5,External Library,Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative,PFOA (M-H-CO2),CF2
1,418.9722,2.2245,1465.0,147.13,likely,PFAS Standards,PFNA (M-H-CO2),CF2
1,418.97225,3.4445,3573.0,147.12,likely,PFAS Standards,PFNA (M-H-CO2),CF2
1,418.9734,10.3,100029.0,147.02,External Library,Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative,PFNA (M-H-CO2),CF2
1,468.9689,2.19,1234.0,155.71,likely,PFAS Standards,PFDA (M-H-CO2),CF2
1,468.9702,11.1,100027.0,155.28,External Library,Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative,PFDA (M-H-CO2),CF2
1,518.9667,2.39,2227.0,164.01,likely,PFAS Standards,PFUdA (M-H-CO2),CF2
1,518.967,11.77,100025.0,163.36,External Library,Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative,PFUdA (M-H-CO2),CF2
1,568.9638,12.36,100023.0,171.5,External Library,Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative,PFDoA (M-H-CO2),CF2
39,148.9526,0.38,100010.0,109.59,External Library,Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative,TFMS(1) (M-H),CF2
39,198.9494,1.3,100009.0,117.4,External Library,Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative,PFEtS (M-H),CF2
39,298.9415,0.95,5935.0,133.81,likely,PFAS Standards,PFBS (M-H),CF2
39,298.943,5.2,100007.0,133.62,External Library,Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative,PFBS (M-H),CF2
39,348.9374,1.474,3773.0,142.24,likely,PFAS Standards,PFPeS (M-H),CF2
39,348.9398,7.03,100006.0,142.2,External Library,Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative,PFPeS (M-H),CF2
39,398.9354333333333,1.8356666666666663,14522.0,150.33333333333334,likely,PFAS Standards,PFHxS (M-H),CF2
39,398.9366,8.38,100005.0,150.51,External Library,Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative,PFHxS (M-H),CF2
39,448.9324,2.044,1000.0,159.84,likely,PFAS Standards,PFHpS (M-H),CF2
39,448.9334,9.2,100004.0,159.24,External Library,Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative,PFHpS (M-H),CF2
39,498.9302,10.12,100003.0,168.27,External Library,Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative,PFOS (M-H),CF2
39,498.9309,2.262,173.0,167.655,likely,PFAS Standards,PFOS (M-H),CF2
39,548.927,11.1,100002.0,177.24,External Library,Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative,PFNS (M-H),CF2
39,598.9238,11.76,100001.0,186.21,External Library,Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative,PFDS (M-H),CF2
39,598.92445,2.6245000000000003,7386.0,185.09,likely,PFAS Standards,PFDS (M-H),CF2
39,698.9174,12.83,100000.0,203.67,External Library,Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative,PFDoS (M-H),CF2
250,297.959,6.68,100105.0,134.99,External Library,Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative,FBSA (M-H),CF2
250,397.9526,9.78,100099.0,151.96,External Library,Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative,FHxSA (M-H),CF2
250,497.9455,2.77,4960.0,170.19,tentative,External Targets,Perfluorooctanesulfonamide,CF2
250,597.9398,12.54,100090.0,188.12,External Library,Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative,FDSA (M-H),CF2
268,326.9743,6.51,100048.0,150.39,External Library,Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative,4:2 FTS (M-H),CF2
268,426.9679,9.31,100047.0,168.13,External Library,Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative,6:2 FTS (M-H),CF2
268,426.968,1.6375000000000002,1275.0,168.235,likely,PFAS Standards,6:2 FTS (M-H),CF2
268,526.9615,11.08,100046.0,185.8,External Library,Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative,8:2 FTS (M-H),CF2
268,626.9551,12.37,100045.0,203.62,External Library,Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative,10:2 FTS (M-H),CF2
2142,406.9589,8.8,100063.0,146.26,External Library,Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative,EVE acid (M-H),HF
2142,426.9679,9.31,100047.0,168.13,External Library,Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative,6:2 FTS (M-H),HF
2142,426.968,1.6375000000000002,1275.0,168.235,likely,PFAS Standards,6:2 FTS (M-H),HF
