Cluster,Point1,Point2,Distance
0,0,1,328.06516191687797
0,0,2,327.43244544005563
0,0,3,269.47033457134177
0,0,4,232.32054922013543
0,0,5,274.59102879084156
0,0,6,10289.12814996901
0,1,2,655.4786163642128
0,1,3,94.43877483030793
0,1,4,154.74418982290027
0,1,5,598.4178007451608
0,1,6,10612.372659567838
0,2,3,592.8425916441572
0,2,4,545.4928081540515
0,2,5,92.40892612176893
0,2,6,9967.752320521084
0,3,4,174.1250094776481
0,3,5,527.9457230846597
0,3,6,10535.310956888821
0,4,5,504.25145231345795
0,4,6,10513.236290830238
0,5,6,10015.113578986511
1,0,1,212.87018531509142
1,0,2,205.18041272572287
1,0,3,237.82879183690383
1,0,4,216.39527448216097
1,0,5,200.44495642664742
1,0,6,200.44495642664742
1,0,7,50.55937104039171
1,0,8,423.9394836139692
1,0,9,166.4657612901848
1,0,10,183.40164910782818
1,0,11,175.23906922497906
1,0,12,139.12384019454672
1,0,13,139.12384019454672
1,0,14,140.07230275825412
1,0,15,176.15168102617585
1,0,16,141.34272832289741
1,0,17,393.7920301637402
1,0,18,176.80150319198904
1,0,19,205.4677956985009
1,0,20,205.4677956985009
1,1,2,165.40184775866112
1,1,3,38.51016070590688
1,1,4,421.6769280647415
1,1,5,370.5440913396004
1,1,6,370.5440913396004
1,1,7,259.0898873890256
1,1,8,608.1925938878248
1,1,9,140.7705023393156
1,1,10,192.27902726167304
1,1,11,114.19329729212423
1,1,12,239.54329212673662
1,1,13,239.54329212673662
1,1,14,349.58685784705347
1,1,15,358.39675880120484
1,1,16,73.59786842529199
1,1,17,606.4285339781791
1,1,18,48.65529857750631
1,1,19,84.33570817544775
1,1,20,84.33570817544775
1,2,3,203.35518922531685
1,2,4,349.2549025793414
1,2,5,405.06031861734175
1,2,6,405.06031861734175
1,2,7,253.27378243597548
1,2,8,627.0380036410927
1,2,9,42.222343003690185
1,2,10,42.83156716362035
1,2,11,55.49351914020841
1,2,12,124.42253669865913
1,2,13,124.42253669865913
1,2,14,333.60853915927663
1,2,15,381.3272725360328
1,2,16,163.1078470147815
1,2,17,548.8703182276661
1,2,18,123.88679356335528
1,2,19,234.7786384458352
1,2,20,234.7786384458352
1,3,4,450.79458925568315
1,3,5,379.8434634412332
1,3,6,379.8434634412332
1,3,7,281.1656372969916
1,3,8,617.3423282250751
1,3,9,179.26079706748584
1,3,10,230.78914211683554
1,3,11,152.68756469224124
1,3,12,276.380429839042
1,3,13,276.380429839042
1,3,14,370.4313271762067
1,3,15,370.77459110102745
1,3,16,96.64754639701138
1,3,17,631.2336063242609
1,3,18,86.34032066979286
1,3,19,68.50892962534112
1,3,20,68.50892962534112
1,4,5,251.75463650267673
1,4,6,251.75463650267673
1,4,7,186.47853343265635
1,4,8,360.3722946770419
1,4,9,327.61682538558625
1,4,10,309.08022844550726
1,4,11,349.4584282318938
1,4,12,226.0419626180007
1,4,13,226.0419626180007
1,4,14,136.05063552416865
1,4,15,220.83327180145784
1,4,16,354.4719051308962
1,4,17,200.09908438020454
1,4,18,378.82975560439894
1,4,19,421.8222865321149
1,4,20,421.8222865321149
1,5,6,0.0
1,5,7,156.61966735267043
1,5,8,237.7622372069259
1,5,9,365.1513071318973
1,5,10,383.5020999670564
1,5,11,369.88652106924917
1,5,12,328.1479014641338
1,5,13,328.1479014641338
1,5,14,120.96275770668086
1,5,15,32.589418528270095
1,5,16,299.82023215996577
1,5,17,326.89140761451466
1,5,18,351.14962157510695
1,5,19,320.33359188462947
1,5,20,320.33359188462947
1,6,7,156.61966735267043
1,6,8,237.7622372069259
1,6,9,365.1513071318973
1,6,10,383.5020999670564
1,6,11,369.88652106924917
1,6,12,328.1479014641338
1,6,13,328.1479014641338
1,6,14,120.96275770668086
1,6,15,32.589418528270095
1,6,16,299.82023215996577
1,6,17,326.89140761451466
1,6,18,351.14962157510695
1,6,19,320.33359188462947
1,6,20,320.33359188462947
1,7,8,374.2660439085551
1,7,9,215.73350698304444
1,7,10,228.25104226258267
1,7,11,225.59201367108358
1,7,12,172.32991622381445
1,7,13,172.32991622381445
1,7,14,90.79647570252945
1,7,15,129.57769007027144
1,7,16,186.06355616978027
1,7,17,350.8529235594694
1,7,18,225.66060062957789
1,7,19,241.26508812353887
1,7,20,241.26508812353887
1,8,9,589.9994559824946
1,8,10,598.8936007175886
1,8,11,598.8444235497893
1,8,12,529.6793216853581
1,8,13,529.6793216853581
1,8,14,296.7665238022679
1,8,15,251.77619061479996
1,8,16,536.9096986372494
1,8,17,280.8001419653654
1,8,18,587.0200499282789
1,8,19,556.4070414742129
1,8,20,556.4070414742129
1,9,10,51.885315018844196
1,9,11,27.998279839518336
1,9,12,111.46112146743643
1,9,13,111.46112146743643
1,9,14,299.2234634831657
1,9,15,342.3359141565289
1,9,16,125.05185752190847
1,9,17,525.369679437741
1,9,18,94.240569574604
1,9,19,201.23419927228923
1,9,20,201.23419927228923
1,10,11,78.22539197678243
1,10,12,83.15137917945786
1,10,13,83.15137917945786
1,10,14,303.0634327340375
1,10,15,357.7488545818934
1,10,16,173.9050094307181
1,10,17,509.07215663080706
1,10,18,146.12077986769924
1,10,19,252.21093854477652
1,10,20,252.21093854477652
1,11,12,138.0608505609071
1,11,13,138.0608505609071
1,11,14,312.18581756838023
1,11,15,348.9276264288709
1,11,16,108.28769102470422
1,11,17,545.7064927693656
1,11,18,69.47451181434117
1,11,19,179.5228468911954
1,11,20,179.5228468911954
1,12,13,0.0
1,12,14,233.12983711083155
1,12,15,299.26397946822226
1,12,16,195.99377771373497
1,12,17,426.10626066331804
1,12,18,190.93964174015272
1,12,19,278.26598912106726
1,12,20,278.26598912106726
1,13,14,233.12983711083155
1,13,15,299.26397946822226
1,13,16,195.99377771373497
1,13,17,426.10626066331804
1,13,18,190.93964174015272
1,13,19,278.26598912106726
1,13,20,278.26598912106726
1,14,15,88.53477488138208
1,14,16,276.2951841268605
1,14,17,265.8930114252175
1,14,18,316.36976778435394
1,14,19,326.12302467118866
1,14,20,326.12302467118866
1,15,16,286.10657102520634
1,15,17,309.3129451518126
1,15,18,335.3589558840771
1,15,19,314.63411109699496
1,15,20,314.63411109699496
1,16,17,535.0438406490198
1,16,18,55.20965516778138
1,16,19,82.3627613719817
1,16,20,82.3627613719817
1,17,18,567.463227306425
1,17,19,591.1904799387002
1,17,20,591.1904799387002
1,18,19,111.46919674983153
1,18,20,111.46919674983153
1,19,20,0.0
2,0,1,137.6982032911871
2,0,2,154.01061760045502
2,0,3,242.46903783910324
2,0,4,36.70718980943048
2,0,5,282.2303943387633
2,0,6,282.2303943387633
2,0,7,92.19544457292888
2,0,8,457.03954523485027
2,0,9,109.33209247073746
2,0,10,143.3065065477791
2,0,11,169.43713663616458
2,0,12,245.12560449615384
2,0,13,245.12560449615384
2,0,14,200.76416512913852
2,0,15,455.7384715056516
2,0,16,329.23361836091954
2,0,17,83.346259355196
2,0,18,78.0625457487529
2,0,19,319.72902880531404
2,0,20,319.72902880531404
2,0,21,200.0099997500125
2,0,22,557.7829993614305
2,0,23,138.50427113798978
2,0,24,484.5186632284319
2,0,25,68.83186110618063
2,0,26,222.20606770395665
2,0,27,222.20606770395665
2,1,2,165.49346234874463
2,1,3,353.6644550239702
2,1,4,174.39421618696383
2,1,5,192.54743593003928
2,1,6,192.54743593003928
2,1,7,225.87734382617282
2,1,8,592.2759025384222
2,1,9,207.67829401551643
2,1,10,277.06209096034485
2,1,11,295.4813125718593
2,1,12,382.39189229221694
2,1,13,382.39189229221694
2,1,14,327.761920859107
2,1,15,556.3223321729753
2,1,16,466.88558664164213
2,1,17,95.94854045346676
2,1,18,138.85928000190643
2,1,19,440.4178841528301
2,1,20,440.4178841528301
2,1,21,323.59366733591037
2,1,22,683.6776693161684
2,1,23,193.27901167276283
2,1,24,591.2225583615253
2,1,25,122.67244881080885
2,1,26,329.55905613867185
2,1,27,329.55905613867185
2,2,3,388.251839779945
2,2,4,171.56476516606324
2,2,5,170.3751572382947
2,2,6,170.3751572382947
2,2,7,227.14545234309216
2,2,8,557.0572554845877
2,2,9,263.26622238094984
2,2,10,213.84178088715925
2,2,11,206.7111344364145
2,2,12,322.388652034371
