,Match,Match Source,Classification Type,ID,RT,DT,CCS,m/z,Mass Error (ppm),CCS Error (%),RT Error (%),NIST SRM-1957 1.d.DeMP, NIST SRM-1957 10.d.DeMP, NIST SRM-1957 2.d.DeMP, NIST SRM-1957 3.d.DeMP, NIST SRM-1957 6.d.DeMP, NIST SRM-1957 7.d.DeMP, NIST SRM-1957 8.d.DeMP, NIST SRM-1957 9.d.DeMP
0,PFOA (M-H-CO2),PFAS Standards,likely,4708,9.53275,18.6115,139.54,368.971425,-14.03,0.03,N/A,4632.999,3408.999,4505.999,4029.999,4468.999,3914.999,2759.999,2718.999
1,PFHxS (M-H),PFAS Standards,likely,1898,8.498666667,20.06533333,149.97,398.9329,-9.27,-0.35,N/A,10092.999,9084.999,9299.999,8912.999,12496.999,11899.999,7660.999,7312.999
2,PFHxS (M-H),PFAS Standards,likely,1399,8.87,20.205,150.74,398.9314,-13.03,0.16,N/A,0,580.999,0,0,0,0,684.999,661.999
3,PFNA (M-H-CO2),PFAS Standards,likely,603,10.447,19.712,147.18,418.9687,-11.22,0.12,N/A,683.999,536.999,687.999,526.999,710.999,809.999,456.999,395.999
4,PFHpS (M-H),PFAS Standards,likely,420,9.584,21.443,159.73,448.9291,-9.58,0.33,N/A,943.999,953.999,1004.999,815.999,1019.999,1097.999,724.999,580.999
5,PFOS (M-H),PFAS Standards,likely,12,10.63766667,22.72633333,168.5333333,498.9239667,-12.49,0.14,N/A,27968.999,23108.999,28089.999,28190.999,27649.999,26700.999,17606.999,17655.999
6,"2,2,3,3-Tetrafluoro-1,4-butanediol or 2,2,3,3-Tetrafluoro-1-methoxypropan-1-ol",External Targets,tentative,2529,2.074,16.236,127.25,161.0231,-0.08,N/A,N/A,173.999,73.999,192.999,167.999,0,154.999,112.999,66.999
7,"4,4,5,5,5-Pentafluoropentane-1-thiol",External Targets,tentative,7645,4.563,16.976,131.57,193.0142,13.56,N/A,N/A,57.999,0,0,67.999,0,53.999,0,0
8,"5-(1,1,2,2,2-pentafluoroethyl)-1H-1,2,4-triazol-3-amine",External Targets,tentative,1651,3.528,18.536,143.01,201.0225,9.91,N/A,N/A,301.999,193.999,0,333.999,147.999,283.999,182.999,140.999
9,"1,1-bis(Trifluoromethyl)methoxy-2-ethanol or 2-ethoxy-1,1,1,3,3,3-hexafluoropropan-2-ol or 3,3,4,5,5,5-Hexafluoropentane-1,2-diol or Hexafluoroamylene glycol",External Targets,tentative,7185,4.573,17.356,133.85,211.022,9.86,N/A,N/A,123.999,0,80.999,0,0,0,0,0
10,"(-)-1-Perfluoropropylethanol or (2S)-3,3,4,4,5,5,5-Heptafluoropentan-2-ol or 1-Perfluoropropylethanol or 2(Perfluoro-2-propyl)ethanol or 3:2 Fluorotelomer alcohol",External Targets,tentative,6057,7.811,17.747,136.39,213.0143,-6.02,N/A,N/A,0,0,0,0,145.999,0,138.999,0
11,"(-)-1-Perfluoropropylethanol or (2S)-3,3,4,4,5,5,5-Heptafluoropentan-2-ol or 1-Perfluoropropylethanol or 2(Perfluoro-2-propyl)ethanol or 3:2 Fluorotelomer alcohol",External Targets,tentative,2313,14.651,17.78,136.615,213.0142,-6.49,N/A,N/A,0,0,0,0,0,351.999,371.999,425.999
12,"(-)-1-Perfluoropropylethanol or (2S)-3,3,4,4,5,5,5-Heptafluoropentan-2-ol or 1-Perfluoropropylethanol or 2(Perfluoro-2-propyl)ethanol or 3:2 Fluorotelomer alcohol",External Targets,tentative,1596,15.44,17.804,136.66,213.0132,-11.18,N/A,N/A,0,565.999,0,0,0,0,518.999,572.999
13,"Methyl 3-amino-4,4,5,5,5-pentafluoropent-2-enoate",External Targets,tentative,4883,7.704,17.141,131.94,218.0219,-12.33,N/A,N/A,0,0,212.999,194.999,0,0,0,0
14,"Methyl 3-amino-4,4,5,5,5-pentafluoropent-2-enoate",External Targets,tentative,1840,8.303,17.858,137.45,218.0267,9.68,N/A,N/A,1078.999,0,314.999,0,0,0,0,0
15,"4,4,5,5,6,6-Hexafluorohex-2-ynoic acid",External Targets,tentative,6826,9.555,18.534,142.45,218.9871,-6.93,N/A,N/A,58.999,0,0,0,106.999,61.999,0,0
16,"Methyl 4,4,5,5-tetrafluoro-3,3-dihydroxypentanoate",External Targets,tentative,252,13.89633333,17.41933333,133.9533333,219.0278667,-3.31,N/A,N/A,7370.999,0,7646.999,7599.999,0,0,0,3864.999
17,"Methyl 4,4,5,5-tetrafluoro-3,3-dihydroxypentanoate",External Targets,tentative,295,14.297,17.454,134.13,219.0281,-2.24,N/A,N/A,3007.999,0,0,2972.999,0,0,0,4765.999
18,"Methyl 4,4,5,5-tetrafluoro-3,3-dihydroxypentanoate",External Targets,tentative,344,14.808,17.536,134.8,219.0266,-9.09,N/A,N/A,2211.999,0,2019.999,2111.999,0,0,0,2872.999
19,"Methyl 4,4,5,5-tetrafluoro-3,3-dihydroxypentanoate",External Targets,tentative,1271,15.529,17.527,134.7633333,219.0263667,-10.16,N/A,N/A,0,0,1234.999,887.999,0,0,0,691.999
20,"Methyl 4,4,5,5-tetrafluoro-3,3-dihydroxypentanoate",External Targets,tentative,265,13.432,17.47,134.25,219.0283,-1.33,N/A,N/A,4320.999,0,0,2526.999,0,0,0,5021.999
21,"7,7,8,8,8-pentafluorooctan-1-ol",External Targets,tentative,7313,7.502,17.505,134.7,219.0819,2.39,N/A,N/A,131.999,0,0,64.999,0,0,0,0
22,"2,2,3,3-Tetrafluoro-2,3-dihydro-1,4-benzodioxin-5-amine or 2,2,3,3-Tetrafluoro-2,3-dihydro-1,4-benzodioxin-6-amine or 2,2,4,4-Tetrafluoro-2H,4H-1,3-benzodioxin-6-amine",External Targets,tentative,7805,4.658,16.75,128.55,222.0195,5.13,N/A,N/A,0,0,0,116.999,0,0,0,53.999
23,"2,2,3,3-Tetrafluoro-3-sulfopropanoic acid",External Targets,tentative,8336,6.763,17.247,132,224.9478,-3.68,N/A,N/A,0,64.999,0,0,0,0,77.999,0
24,2-Perfluoropropyl-2-propanol or 3-(Perfluoroisopropyl)propanol or 3-(Perfluoropropyl)propanol,External Targets,tentative,3910,3.98,19.113,146.53,227.0326,6.03,N/A,N/A,71.999,0,93.999,0,176.999,152.999,57.999,0
25,"2,2,3,3,3-pentafluoro-N-(3H-1,2,4-triazol-3-yl)propanamide or 2,2,3,3,3-pentafluoro-N-(4H-1,2,4-triazol-4-yl)propanamide",External Targets,tentative,6790,3.667,19.134,146.64,229.0176,9.51,N/A,N/A,0,0,66.999,111.999,0,0,49.999,0
26,"2-(2,2,3,3,4,4,4-Heptafluorobutoxy)ethan-1-ol or 3-(Perfluoro-1-propyl)-1,2-propanediol or Heptafluorobutyraldehyde ethyl hemiacetal",External Targets,tentative,851,14.76533333,17.49366667,133.5566667,243.0288667,11.19,N/A,N/A,0,460.999,0,0,0,0,188.999,0
27,"2-(2,2,3,3,4,4,4-Heptafluorobutoxy)ethan-1-ol or 3-(Perfluoro-1-propyl)-1,2-propanediol or 4-(1,1,1,3,3,3-Hexafluoropropan-2-yl)phenol or Benzenemethanol, .alpha.,.alpha.-bis(trifluoromethyl)- or Heptafluorobutyraldehyde ethyl hemiacetal",External Targets,tentative,5293,13.2705,18.3945,140.385,243.02785,7.01 or 11.71,N/A,N/A,0,174.999,0,182.999,0,162.999,0,0
28,"2-(2,2,3,3,4,4,4-Heptafluorobutoxy)ethan-1-ol or 3-(Perfluoro-1-propyl)-1,2-propanediol or 4-(1,1,1,3,3,3-Hexafluoropropan-2-yl)phenol or Benzenemethanol, .alpha.,.alpha.-bis(trifluoromethyl)- or Heptafluorobutyraldehyde ethyl hemiacetal",External Targets,tentative,5345,13.812,19.0145,145.27,243.02795,7.42 or 12.12,N/A,N/A,0,0,174.999,0,0,176.999,0,0
29,5-fluoro-2-methyl-6-(pentafluoroethyl)pyrimidin-4(1h)-one,External Targets,tentative,5051,13.366,19.0055,144.72,245.01895,14.07,N/A,N/A,0,202.999,0,0,0,0,0,182.999
30,"1,1,1,3,4,4-Hexafluoro-2-(trifluoromethyl)but-3-en-2-ol",External Targets,tentative,6720,2.671,19.286,147.44,246.9786,-10.07,N/A,N/A,0,0,106.999,127.999,0,0,0,0
31,"1,1,1,3,4,4-Hexafluoro-2-(trifluoromethyl)but-3-en-2-ol",External Targets,tentative,3774,7.361,19.32,147.37,246.9782,-11.69,N/A,N/A,203.999,0,122.999,0,0,0,132.999,116.999
32,"1,1,1,3,4,4-Hexafluoro-2-(trifluoromethyl)but-3-en-2-ol",External Targets,tentative,3668,8.047,19.298,147.53,246.9792,-7.64,N/A,N/A,198.999,0,235.999,164.999,0,0,0,0
33,"1,1,1,3,4,4-Hexafluoro-2-(trifluoromethyl)but-3-en-2-ol or 1H,1H,5H-Perfluoropentane-1-thiol",External Targets,tentative,4811,10.3495,19.336,147.545,246.97995,-13.63 or -4.61,N/A,N/A,0,0,191.999,0,0,87.999,0,136.999
34,"1,1,1,3,4,4-Hexafluoro-2-(trifluoromethyl)but-3-en-2-ol",External Targets,tentative,3255,11.338,19.333,147.63,246.9786,-10.07,N/A,N/A,203.999,0,226.999,0,0,128.999,135.999,0
