Mass,Abundance
429.94435,1474
429.94435,2318
429.94435,2130
429.94435,372
429.95026,1979
429.95026,52408
429.95026,146337
429.95026,222933
429.95026,180644
429.95026,86918
429.95026,8341
429.95026,34
429.95617,23
429.95617,25896
429.95617,234134
429.95617,618307
429.95617,974771
429.95617,958994
429.95617,578873
429.95617,196349
429.95617,4167
429.95617,271
429.96208,95
429.96208,544
429.96208,64956
429.96208,421539
429.96208,1112625
429.96208,1774103
429.96208,1833609
429.96208,1220127
429.96208,494299
429.96208,78072
429.96208,29
429.96208,102
429.96208,270
429.96208,3155
429.96799,373
429.96799,2152
429.96799,60334
429.96799,396845
429.96799,1082905
429.96799,1771044
429.96799,1869972
429.96799,1282463
429.96799,536468
429.96799,100395
429.96799,148
429.96799,605
429.96799,5424
429.97389,151
429.97389,1010
429.97389,35103
429.97389,276302
429.97389,783768
429.97389,1306489
429.97389,1388361
429.97389,951878
429.97389,395341
429.97389,72104
429.97389,64
429.97389,23
429.97389,233
429.97389,3455
429.9798,167
429.9798,16783
429.9798,178068
429.9798,523642
429.9798,885801
429.9798,943297
429.9798,640977
429.9798,261789
429.9798,43255
429.9798,1007
429.98571,4545
429.98571,103280
429.98571,322835
429.98571,561816
429.98571,602458
429.98571,406122
429.98571,162491
429.98571,23038
429.98571,87
429.99162,601
429.99162,53915
429.99162,185452
429.99162,329953
429.99162,357453
429.99162,235458
429.99162,89522
429.99162,8246
429.99753,29292
429.99753,104904
429.99753,190315
429.99753,205371
429.99753,131672
429.99753,46289
429.99753,2106
430.00344,14606
430.00344,57462
430.00344,106370
430.00344,116585
430.00344,73820
430.00344,25400
430.00344,182
430.00935,7353
430.00935,34207
430.00935,64228
430.00935,70392
430.00935,43834
430.00935,14013
430.01526,2281
430.01526,20714
430.01526,40476
430.01526,44407
430.01526,26780
430.01526,7112
430.02117,197
430.02117,12505
430.02117,25698
430.02117,28565
430.02117,16824
430.02117,3397
430.02708,8458
430.02708,18796
430.02708,21864
430.02708,12677
430.02708,1615
430.03299,6090
430.03299,14229
430.03299,15249
430.03299,8182
430.03299,166
430.0389,3511
430.0389,10380
430.0389,11489
430.0389,5405
430.0448,1434
430.0448,6628
430.0448,7457
430.0448,3031
430.05071,209
430.05071,3251
430.05071,3984
430.05071,1017
430.05662,691
430.05662,1386
430.05662,154
430.06253,89
430.06253,173
430.06844,21
430.06844,22
430.54708,28
430.54708,334
430.54708,472
430.54708,426
430.55299,142
430.55299,458
430.55299,648
430.55299,489
430.5589,98
430.5589,457
430.5589,621
430.5589,490
430.56481,46
430.56481,177
430.56481,246
430.56481,181
430.57072,52
430.57072,99
430.57072,47
430.57663,21
430.94435,122.342
430.94435,192.394
430.94435,176.79
430.94435,30.876
430.95026,164.257
430.95026,4349.864
430.95026,12145.971
430.95026,18503.439
430.95026,14993.452
430.95026,7214.194
430.95026,692.303
430.95026,2.822
430.95617,1.909
430.95617,2149.368
430.95617,19433.122
430.95617,51319.481
430.95617,80905.993
430.95617,79596.502
430.95617,48046.459
430.95617,16296.967
430.95617,345.861
430.95617,22.493
430.96208,7.885
430.96208,45.152
430.96208,5391.348
430.96208,34987.737
430.96208,92347.875
430.96208,147250.549
430.96208,152189.547
430.96208,101270.541
430.96208,41026.817
430.96208,6479.976
430.96208,2.407
430.96208,8.466
430.96208,22.41
430.96208,261.865
430.96799,30.959
430.96799,178.616
430.96799,5007.722
430.96799,32938.135
430.96799,89881.115
430.96799,146996.652
430.96799,155207.676
430.96799,106444.429
430.96799,44526.844
430.96799,8332.785
430.96799,12.284
430.96799,50.215
430.96799,450.192
430.97389,12.533
430.97389,83.83
430.97389,2913.549
430.97389,22933.066
430.97389,65052.744
430.97389,108438.587
430.97389,115233.963
430.97389,79005.874
