Mass,Drift,Abundance
288.00935,19.05,1474
288.00935,19.17,2318
288.00935,19.29,2130
288.00935,19.41,372
288.01526,18.81,1979
288.01526,18.93,52408
288.01526,19.05,146337
288.01526,19.17,222933
288.01526,19.29,180644
288.01526,19.41,86918
288.01526,19.52,8341
288.01526,19.64,34
288.02117,18.69,23
288.02117,18.81,25896
288.02117,18.93,234134
288.02117,19.05,618307
288.02117,19.17,974771
288.02117,19.29,958994
288.02117,19.41,578873
288.02117,19.52,196349
288.02117,19.64,4167
288.02117,20.12,271
288.02708,18.57,95
288.02708,18.69,544
288.02708,18.81,64956
288.02708,18.93,421539
288.02708,19.05,1112625
288.02708,19.17,1774103
288.02708,19.29,1833609
288.02708,19.41,1220127
288.02708,19.52,494299
288.02708,19.64,78072
288.02708,19.76,29
288.02708,19.88,102
288.02708,20,270
288.02708,20.12,3155
288.03299,18.57,373
288.03299,18.69,2152
288.03299,18.81,60334
288.03299,18.93,396845
288.03299,19.05,1082905
288.03299,19.17,1771044
288.03299,19.29,1869972
288.03299,19.41,1282463
288.03299,19.52,536468
288.03299,19.64,100395
288.03299,19.88,148
288.03299,20,605
288.03299,20.12,5424
288.03889,18.57,151
288.03889,18.69,1010
288.03889,18.81,35103
288.03889,18.93,276302
288.03889,19.05,783768
288.03889,19.17,1306489
288.03889,19.29,1388361
288.03889,19.41,951878
288.03889,19.52,395341
288.03889,19.64,72104
288.03889,19.76,64
288.03889,19.88,23
288.03889,20,233
288.03889,20.12,3455
288.0448,18.69,167
288.0448,18.81,16783
288.0448,18.93,178068
288.0448,19.05,523642
288.0448,19.17,885801
288.0448,19.29,943297
288.0448,19.41,640977
288.0448,19.52,261789
288.0448,19.64,43255
288.0448,20.12,1007
288.05071,18.81,4545
288.05071,18.93,103280
288.05071,19.05,322835
288.05071,19.17,561816
288.05071,19.29,602458
288.05071,19.41,406122
288.05071,19.52,162491
288.05071,19.64,23038
288.05071,20.12,87
288.05662,18.81,601
288.05662,18.93,53915
288.05662,19.05,185452
288.05662,19.17,329953
288.05662,19.29,357453
288.05662,19.41,235458
288.05662,19.52,89522
288.05662,19.64,8246
288.06253,18.93,29292
288.06253,19.05,104904
288.06253,19.17,190315
288.06253,19.29,205371
288.06253,19.41,131672
288.06253,19.52,46289
288.06253,19.64,2106
288.06844,18.93,14606
288.06844,19.05,57462
288.06844,19.17,106370
288.06844,19.29,116585
288.06844,19.41,73820
288.06844,19.52,25400
288.06844,19.64,182
288.07435,18.93,7353
288.07435,19.05,34207
288.07435,19.17,64228
288.07435,19.29,70392
288.07435,19.41,43834
288.07435,19.52,14013
288.08026,18.93,2281
288.08026,19.05,20714
288.08026,19.17,40476
288.08026,19.29,44407
288.08026,19.41,26780
288.08026,19.52,7112
288.08617,18.93,197
288.08617,19.05,12505
288.08617,19.17,25698
288.08617,19.29,28565
288.08617,19.41,16824
288.08617,19.52,3397
288.09208,19.05,8458
288.09208,19.17,18796
288.09208,19.29,21864
288.09208,19.41,12677
288.09208,19.52,1615
288.09799,19.05,6090
288.09799,19.17,14229
288.09799,19.29,15249
288.09799,19.41,8182
288.09799,19.52,166
288.1039,19.05,3511
288.1039,19.17,10380
288.1039,19.29,11489
288.1039,19.41,5405
288.1098,19.05,1434
288.1098,19.17,6628
288.1098,19.29,7457
288.1098,19.41,3031
288.11571,19.05,209
288.11571,19.17,3251
288.11571,19.29,3984
288.11571,19.41,1017
288.12162,19.17,691
288.12162,19.29,1386
288.12162,19.41,154
288.12753,19.17,89
288.12753,19.29,173
288.13344,19.17,21
288.13344,19.29,22
288.61208,19.76,28
288.61208,19.88,334
288.61208,20,472
288.61208,20.12,426
288.61799,19.76,142
288.61799,19.88,458
288.61799,20,648
288.61799,20.12,489
288.6239,19.76,98
288.6239,19.88,457
288.6239,20,621
288.6239,20.12,490
288.62981,19.76,46
288.62981,19.88,177
288.62981,20,246
288.62981,20.12,181
288.63572,19.88,52
288.63572,20,99
288.63572,20.12,47
288.64163,20,21
