,GroupID,m/z,RT,DT,ID,CCS,Classification Type,Match Source,Match,Neutral Loss,148 B2 16632.d.DeMP,149 B2 16631.d.DeMP,220 B3 16562.d.DeMP,Outlier
0,1,233.04235,0.592,19.322,6,146.675,likely,PFAS Standards,PFPeS (M-H),M-CO2,750.999,0,2023.999,False
1,1,269.0102286,0.706428571,20.628,7,155.9485714,likely,PFAS Standards,PFPeS (M-H),M-SO3,750.999,0,2023.999,False
2,1,225.02,0.617,19.652,8,150.61,likely,PFAS Standards,PFPeS (M-H),M-CO2,750.999,0,2023.999,False
3,2,201.023475,0.7565,18.187,1,144.925,likely,PFAS Standards,PFPeS (M-H),M-CO2,750.999,0,2023.999,False
4,2,201.0203,0.548,18.51,2,142.76,likely,PFAS Standards,PFPeS (M-H),M-CO2,750.999,0,2023.999,False
5,2,165.0529,1.242,17.436,3,136.22,likely,PFAS Standards,PFPeS (M-H),M-SO3,750.999,0,2023.999,False
6,2,245.0089,0.976,17.983,4,137.14,likely,PFAS Standards,PFPeS (M-H),M-CO2,750.999,0,2023.999,False
7,1,277.0285,1.477,21.383,9,162.21,likely,PFAS Standards,PFPeS (M-H),M,750.999,0,2023.999,True
8,1,189.05315,0.7065,18.055,10,140.88,likely,PFAS Standards,PFPeS (M-H),M-CO2,750.999,0,2023.999,True
9,2,245.0101,0.518,19.352,5,147.63,likely,PFAS Standards,PFPeS (M-H),M,750.999,0,2023.999,True
